SUA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
2000,..,231,7863,17775,22829,29224,30556,15895,3178,127546,..,1928,8517,6153,6228,5466,3312,937,107,32651,..,73,309,1000,1811,1285,727,394,260,5851,55375,..,..,..,..,..,..,..,..,55375,..,12338,..,..,..,..,..,..,..,12338,..,12814,5878,2433,1875,964,164,5,0,24127,..,1126,773,399,572,850,879,430,229,5248,..,763,895,432,392,353,207,79,20,3132,..,1010,1642,794,926,1339,1206,477,74,7476,..,888,2824,3109,5416,9242,9770,5250,1879,38381,818,1119,1305,913,981,1098,1073,426,95,7825,56190,32282,29991,33002,41044,49819,47902,23894,5826,319950,..,415,10738,20318,25009,31057,28063,11629,1461,128706,..,2978,9220,6364,6505,5125,2559,600,64,33423,..,485,2817,4465,5262,2944,1499,1206,863,19547,52023,..,..,..,..,..,..,..,..,52023,..,13370,..,..,..,..,..,..,..,13370,..,7545,3396,1102,877,606,133,0,0,13660,..,826,421,182,398,1051,1174,917,566,5529,..,749,649,218,210,181,123,40,17,2195
2001,..,12,515,993,864,763,736,331,69,4281,..,81,501,283,223,111,49,13,5,1258,..,0,9,50,71,56,24,3,3,216,2583,..,..,..,..,..,..,..,..,2583,..,534,..,..,..,..,..,..,..,534,..,520,297,91,47,21,0,0,0,983,..,58,67,23,30,27,33,15,0,253,..,40,46,18,10,16,11,3,0,144,..,38,63,28,28,22,30,7,5,205,..,29,127,124,158,167,154,91,21,869,19,24,28,22,22,16,9,10,0,148,2598,1325,1652,1631,1445,1195,1050,472,108,11474,..,17,658,1017,912,783,682,239,31,4332,..,145,530,268,196,118,28,10,0,1297,..,9,142,268,261,132,51,35,21,920,2349,..,..,..,..,..,..,..,..,2349,..,615,..,..,..,..,..,..,..,615,..,342,196,40,15,15,0,0,0,612,..,50,30,3,17,46,85,34,15,282,..,37,35,8,0,9,5,0,0,89
2002,..,3,200,321,398,474,588,413,103,2500,..,77,246,128,108,83,63,14,3,719,..,3,12,23,52,24,19,7,9,133,1264,..,..,..,..,..,..,..,..,1264,..,263,..,..,..,..,..,..,..,263,..,288,128,64,51,30,3,0,0,560,..,37,21,14,18,22,14,4,0,121,..,33,17,12,3,7,4,0,0,87,..,46,74,29,22,22,19,14,0,227,..,18,82,72,106,152,184,116,62,785,12,22,18,14,10,13,12,6,3,111,1281,788,801,670,760,822,897,574,176,6776,..,12,275,365,431,527,565,328,48,2555,..,110,255,116,113,90,43,10,0,744,..,34,95,162,167,75,39,42,21,631,1224,..,..,..,..,..,..,..,..,1224,..,254,..,..,..,..,..,..,..,254,..,192,90,34,30,15,0,0,0,358,..,21,9,6,16,37,31,27,5,145,..,31,13,6,7,3,0,0,0,63
2003,..,54,1716,3427,3412,3403,3213,1790,427,17438,..,597,2014,1006,778,543,255,106,8,5302,..,15,119,209,325,193,84,45,26,1022,10104,..,..,..,..,..,..,..,..,10104,..,2270,..,..,..,..,..,..,..,2270,..,1989,961,366,263,117,16,0,0,3703,..,259,214,77,88,120,88,35,20,893,..,205,247,67,45,33,17,3,0,615,..,643,801,210,189,178,130,53,16,2224,..,207,888,689,840,1037,956,569,229,5417,119,167,185,94,78,69,63,27,10,802,10222,6399,7148,6141,6022,5680,4813,2623,736,49790,..,114,2239,3780,3476,3387,3078,1383,224,17684,..,812,2044,970,731,476,187,59,5,5284,..,154,783,1188,1332,614,281,176,141,4660,9643,..,..,..,..,..,..,..,..,9643,..,2430,..,..,..,..,..,..,..,2430,..,1280,538,171,131,78,30,0,0,2234,..,186,151,49,74,163,202,122,57,1000,..,200,107,41,17,24,12,5,7,404
2004,..,57,1622,3104,3030,3045,3118,1809,471,16258,..,490,1819,888,674,478,243,86,10,4698,..,12,89,201,286,172,80,44,42,928,9384,..,..,..,..,..,..,..,..,9384,..,2095,..,..,..,..,..,..,..,2095,..,1969,908,388,228,122,22,0,0,3632,..,253,212,78,84,110,95,42,20,886,..,147,199,68,59,41,15,3,0,536,..,446,586,177,151,159,111,53,10,1693,..,183,675,607,801,1012,936,521,231,4968,106,157,146,106,67,72,77,31,8,764,9489,5812,6253,5615,5372,5218,4702,2591,801,45847,..,99,2171,3367,3068,3240,2894,1428,248,16507,..,731,1903,867,677,398,187,47,8,4812,..,118,763,1103,1178,601,285,175,123,4348,8863,..,..,..,..,..,..,..,..,8863,..,2251,..,..,..,..,..,..,..,2251,..,1212,504,179,113,88,22,0,0,2125,..,248,139,44,72,169,194,126,69,1057,..,176,132,49,28,17,11,9,3,422
2005,..,6,74,241,264,338,404,259,66,1648,..,17,115,142,145,104,80,28,10,641,..,4,7,23,49,28,17,5,3,135,791,..,..,..,..,..,..,..,..,791,..,169,..,..,..,..,..,..,..,169,..,139,71,29,24,13,4,0,0,283,..,19,12,7,9,15,14,4,3,72,..,12,14,8,10,3,10,0,0,50,..,18,42,19,25,23,23,9,0,156,..,14,31,48,80,153,184,94,44,646,16,6,16,9,5,15,12,4,0,81,801,394,386,529,614,692,740,404,115,4682,..,4,105,245,304,362,392,204,32,1647,..,21,155,186,131,89,79,16,4,674,..,9,37,94,156,59,30,22,21,416,700,..,..,..,..,..,..,..,..,700,..,189,..,..,..,..,..,..,..,189,..,83,41,20,21,12,7,0,0,174,..,9,4,4,6,20,26,14,7,86,..,19,12,12,3,4,3,4,0,53
2006,..,4,163,338,340,360,402,275,79,1968,..,67,208,98,95,73,32,10,0,584,..,0,5,27,26,23,8,4,3,91,1059,..,..,..,..,..,..,..,..,1059,..,224,..,..,..,..,..,..,..,224,..,249,117,48,35,10,5,0,0,466,..,34,16,10,5,18,12,6,7,106,..,21,52,15,19,6,0,0,0,113,..,47,126,37,35,33,19,4,0,313,..,35,100,86,117,154,133,101,26,759,11,0,18,16,9,10,6,7,0,79,1075,688,800,677,684,687,624,414,117,5769,..,3,222,366,348,375,420,213,36,1983,..,91,214,89,105,60,33,0,0,595,..,19,92,96,131,54,24,22,12,448,969,..,..,..,..,..,..,..,..,969,..,255,..,..,..,..,..,..,..,255,..,166,60,14,17,8,0,0,0,262,..,19,26,10,11,24,22,16,7,131,..,15,20,7,0,5,0,0,0,46
2007,..,13,275,593,708,819,879,577,120,3978,..,84,316,155,184,159,107,35,5,1048,..,0,12,34,47,32,11,7,8,161,1794,..,..,..,..,..,..,..,..,1794,..,413,..,..,..,..,..,..,..,413,..,399,180,64,52,28,5,0,0,731,..,46,30,6,18,23,29,20,7,166,..,33,31,12,13,9,6,4,0,112,..,40,69,22,19,36,40,13,4,235,..,41,99,87,143,206,232,149,70,1029,25,32,27,14,26,13,23,12,0,177,1822,1105,1040,985,1210,1322,1335,815,213,9848,..,11,379,656,784,878,852,452,63,4076,..,132,318,183,154,151,93,17,8,1065,..,27,129,190,227,87,44,44,25,764,1761,..,..,..,..,..,..,..,..,1761,..,462,..,..,..,..,..,..,..,462,..,248,96,26,31,18,5,0,0,422,..,31,13,5,17,30,50,27,11,189,..,39,14,0,0,0,4,3,0,75
2008,..,111,4748,10052,9745,9286,9176,5059,1222,49405,..,974,4982,2808,2019,1306,680,238,24,13021,..,21,143,451,762,524,196,109,76,2287,25448,..,..,..,..,..,..,..,..,25448,..,6374,..,..,..,..,..,..,..,6374,..,5047,2817,977,652,274,57,0,0,9822,..,548,539,193,211,264,220,84,69,2131,..,430,693,141,120,61,50,11,0,1518,..,1696,2482,536,368,379,283,82,19,5845,..,389,1526,1508,1999,2458,2150,1257,644,11931,266,463,447,240,219,191,173,75,27,2096,25711,16062,18374,16909,16104,14740,12970,6921,2081,129873,..,212,6350,10804,10005,9468,8617,3921,601,49978,..,1407,5261,2782,1973,1236,526,154,8,13342,..,201,1252,2439,3049,1596,634,444,298,9917,24145,..,..,..,..,..,..,..,..,24145,..,6659,..,..,..,..,..,..,..,6659,..,3281,1775,472,305,230,44,0,0,6105,..,517,419,132,187,436,441,323,182,2649,..,427,420,85,63,41,23,3,4,1071
2009,..,4,247,999,1086,1004,766,405,54,4561,..,32,213,193,205,144,62,18,0,864,..,0,4,13,47,46,13,6,4,139,2359,..,..,..,..,..,..,..,..,2359,..,739,..,..,..,..,..,..,..,739,..,430,205,49,39,12,0,0,0,724,..,27,26,8,5,21,19,4,5,119,..,11,13,3,9,10,3,3,0,58,..,17,19,6,11,21,13,9,5,101,..,9,42,58,84,116,130,81,26,552,16,43,23,8,21,15,12,6,3,146,2376,1297,796,1345,1506,1380,1023,542,88,10348,..,7,331,1114,1147,965,734,279,25,4601,..,35,223,230,197,121,47,10,0,864,..,9,48,128,197,91,37,25,9,540,2196,..,..,..,..,..,..,..,..,2196,..,699,..,..,..,..,..,..,..,699,..,271,146,24,22,7,7,0,0,472,..,11,12,3,8,26,38,31,22,158,..,16,12,6,9,7,0,0,0,61
