SUA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
2000,199120,195952,395075,29988,31691,61676,4207,4485,8689,63326,65878,129206,2509,2618,5129,1120,1184,2306,1015,969,1983,488,524,1015,632,630,1256,303,294,595,6,3,6,73604,76582,150189,4936,5135,10072,1745,1423,3169,110275,114827,225106,32772,28801,61569,342172,339582,681756
2001,6076,6239,12317,1406,1561,2970,75,86,158,2755,2954,5705,38,51,85,25,29,51,28,29,54,11,13,22,13,14,28,5,5,14,0,0,0,2949,3180,6124,228,253,479,63,62,127,4639,5069,9704,506,542,1051,11216,11852,23068
2002,3665,4088,7750,1049,1162,2209,119,128,245,1239,1416,2653,54,84,137,17,15,32,37,36,75,17,14,26,12,7,25,8,5,14,0,0,0,1507,1704,3209,139,151,284,62,43,106,2756,3061,5813,569,656,1220,6987,7801,14786
2003,25670,27896,53567,3475,3743,7220,454,567,1027,15229,16861,32090,379,406,786,186,224,408,150,165,322,93,116,208,101,83,183,56,59,115,0,0,0,16648,18491,35142,1319,1317,2638,437,389,826,21877,23943,45821,2977,3088,6058,50522,54926,105446
2004,24862,26415,51280,3316,3633,6949,492,617,1109,12550,14135,26687,360,392,746,171,203,377,151,162,311,73,82,158,97,103,196,68,85,158,0,0,0,13963,15778,29744,1012,1177,2194,342,405,744,18634,20990,39629,2846,3091,5941,46354,50502,96851
2005,2635,2991,5624,575,616,1191,70,56,123,973,1148,2120,22,37,61,16,18,33,28,24,46,6,4,15,9,17,28,4,5,10,0,0,0,1124,1317,2441,62,108,168,26,21,41,1788,2056,3845,915,502,1417,5338,5547,10885
2006,3410,3598,7005,1005,1017,2017,20,44,68,731,820,1554,36,35,66,17,19,38,12,10,22,11,4,18,16,15,25,0,0,0,0,0,0,837,945,1787,221,195,419,37,31,75,2102,2190,4292,394,373,768,5902,6167,12062
2007,5493,5964,11455,1248,1389,2639,374,452,835,1973,2129,4106,67,86,154,22,26,46,37,43,76,12,12,25,20,29,49,9,10,12,0,0,0,2517,2789,5302,166,195,358,61,63,125,3994,4431,8424,762,749,1508,10252,11142,21393
2008,67742,72179,139914,11161,11898,23061,1181,1325,2502,35955,39715,75669,785,954,1739,349,373,718,404,399,807,271,302,573,191,238,430,139,167,305,0,0,0,39278,43472,82749,4893,4524,9413,945,872,1816,56273,60758,117038,8251,7485,15741,132268,140424,272695
2009,6499,6571,13073,735,786,1522,58,64,126,2298,2303,4602,40,57,98,8,14,25,22,27,52,10,10,19,14,15,28,9,5,15,0,0,0,2467,2503,4967,121,154,273,50,40,90,3372,3478,6852,482,503,990,10356,10551,20913
