SUA_CODE_2021,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
2000,21999,813,46,22861,80,14,5,0,97,21,0,23,121,12,0,134,179,34,9,6,221,8,9,13,236,18,0,252,254,50,9,6,319,33,8,36,356,31,0,390,18612,2573,586,367,22143,162,53,213,22362,847,46,23247,3744,616,176,173,4704,80,21,105,4808,760,14,5583,34,5,0,22,62,3,0,3,67,17,131,208,22390,3200,762,563,26911,244,75,320,27231,1617,188,29036,4605,539,113,42,5298,47,15,60,5360,227,8,5595,6786,995,158,85,8033,41,27,62,8095,326,10,8422,417,77,91,13,596,5,0,5,602,32,0,634,78,21,0,135,234,0,0,4,237,19,3,266,11895,1632,364,271,14156,94,40,135,14294,607,25,14919,60,8,0,0,72,8,0,7,80,11,0,100,102,18,3,6,134,12,5,11,148,17,0,162,158,28,9,5,201,14,9,25,223,29,0,259,12054,1658,369,276,14360,115,49,160,14518,632,23,15181,1739,334,80,81
2001,979,36,3,1022,12,4,4,0,15,3,0,3,17,0,0,17,20,3,0,0,22,0,0,0,24,0,0,23,28,3,4,0,36,0,0,0,40,0,0,41,869,87,35,20,1011,9,0,9,1020,44,3,1066,198,23,0,10,232,0,0,0,229,15,0,247,0,3,0,3,6,0,0,0,6,0,9,9,1064,114,39,34,1247,14,0,14,1258,55,5,1324,220,28,6,4,261,0,0,0,261,10,0,266,243,26,9,8,276,0,0,0,276,5,0,279,14,0,0,0,23,0,0,0,23,0,0,23,10,0,0,10,16,0,0,0,16,0,0,21,486,53,13,17,570,0,0,0,570,16,0,586,11,0,0,0,14,0,0,0,11,0,0,11,15,0,0,0,16,0,0,0,16,0,0,16,20,0,0,0,28,0,0,0,28,0,0,28,508,53,14,18,597,0,0,0,595,16,0,611,94,13,9,5
2002,420,19,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,7,0,3,0,0,3,0,0,0,3,0,0,7,351,53,9,11,427,5,0,5,432,25,0,459,66,22,3,4,93,0,0,0,101,12,0,113,4,0,0,0,4,0,0,0,4,0,0,4,424,77,9,9,524,8,0,8,530,39,0,568,92,9,0,5,105,0,0,0,105,9,0,112,110,21,0,0,130,0,0,0,129,12,0,145,5,0,7,0,9,0,0,0,9,0,0,9,0,0,0,4,4,0,0,0,4,0,0,4,201,31,3,4,249,0,0,3,248,15,0,268,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,205,36,3,4,254,0,0,3,253,15,0,272,34,11,0,0
2003,3778,124,8,3908,26,0,0,0,28,0,0,0,28,3,0,33,56,8,0,7,67,4,0,7,77,3,0,82,84,9,0,6,95,4,0,7,102,3,0,112,3285,432,75,33,3816,43,20,66,3884,128,8,4020,662,108,13,7,794,19,0,23,817,126,0,950,4,0,0,4,0,0,5,5,8,6,14,22,3943,545,88,46,4621,61,25,88,4712,265,20,4990,770,101,12,3,882,6,0,6,894,46,0,940,1103,142,23,3,1272,9,0,8,1283,45,0,1326,60,5,0,0,66,0,0,0,68,0,0,67,6,0,0,9,14,0,0,0,14,0,5,19,1937,248,39,16,2231,18,0,20,2252,95,3,2356,12,0,0,0,12,0,0,3,20,0,0,20,34,3,0,0,32,0,0,0,30,0,0,38,43,0,0,0,51,0,0,4,49,0,0,54,1975,247,39,17,2279,21,0,27,2308,92,6,2403,300,56,13,3
2004,3411,118,3,3538,13,5,0,0,16,4,0,4,23,0,0,23,41,9,5,0,56,3,0,3,54,0,0,54,56,10,5,0,70,5,0,5,74,0,0,79,2934,420,66,36,3454,36,3,39,3492,117,3,3612,610,105,26,13,759,15,0,15,779,133,0,910,5,0,0,0,3,0,0,0,3,0,17,26,3549,536,93,49,4223,51,6,55,4275,249,17,4542,636,83,16,3,738,11,7,16,749,33,0,791,958,113,23,8,1106,8,0,4,1112,29,3,1148,32,8,6,0,41,3,0,3,48,8,0,54,7,0,0,11,18,0,0,0,18,4,0,23,1640,195,43,21,1902,22,0,25,1928,77,3,2012,12,0,0,0,14,0,0,0,14,0,0,14,18,5,0,0,16,0,0,0,22,0,0,18,23,7,0,0,29,0,0,0,34,0,0,36,1665,201,42,21,1932,21,0,28,1960,79,3,2042,271,50,7,4
2005,269,17,0,283,5,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,6,0,0,0,6,0,0,6,3,0,0,0,4,0,0,0,4,0,0,4,190,69,11,4,270,3,0,3,280,17,0,291,50,9,5,0,61,0,0,0,61,9,0,69,3,0,0,0,6,0,0,0,6,0,0,6,247,78,10,4,336,3,0,3,343,24,0,366,24,11,0,0,38,0,0,0,40,5,0,46,70,32,0,0,106,0,0,4,107,7,0,111,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,5,5,0,0,0,5,0,0,5,102,44,0,0,154,0,0,3,154,9,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,4,0,0,4,102,43,0,0,153,0,0,3,158,9,0,169,22,0,0,0
2006,400,4,0,406,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,7,3,0,0,0,3,0,0,0,3,0,0,7,353,39,4,4,406,0,0,0,406,4,0,414,62,5,0,3,72,0,0,0,72,14,0,83,0,0,0,0,0,0,0,0,0,0,0,0,412,49,4,10,473,0,0,0,481,19,0,497,80,13,0,0,92,0,0,0,92,4,0,102,135,14,0,0,150,0,0,0,150,4,0,155,11,0,0,3,16,0,0,0,16,0,0,16,3,0,0,0,3,0,0,0,3,0,0,3,232,24,0,0,259,0,0,0,259,8,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,24,0,0,260,0,0,0,260,8,0,272,21,5,3,3
2007,729,19,7,749,0,0,0,0,0,0,0,0,0,4,0,4,7,0,0,0,11,0,0,0,11,0,0,13,11,0,0,0,7,0,0,0,7,3,0,16,614,83,24,10,728,9,3,14,741,20,7,762,89,19,0,0,103,0,3,3,105,10,0,121,3,0,0,0,3,0,0,0,3,0,0,8,709,97,24,12,835,9,6,14,851,33,7,886,170,16,4,0,191,4,0,4,193,4,0,200,222,23,5,5,249,0,4,4,255,3,0,262,9,0,0,0,15,0,0,0,15,0,0,15,0,0,0,0,5,0,0,0,5,0,0,6,406,40,9,0,462,4,4,5,465,10,0,481,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,0,3,0,0,3,7,0,0,0,7,0,0,0,3,0,0,10,410,40,9,0,467,6,4,5,474,11,0,489,50,3,0,6
2008,10560,314,18,10897,50,9,0,0,64,4,0,4,70,0,0,74,171,27,0,6,209,13,8,12,224,6,0,226,226,42,0,6,270,15,8,25,291,6,0,298,9098,1292,260,86,10736,90,27,115,10853,317,22,11196,1704,274,48,53,2078,23,16,41,2118,253,3,2375,6,3,0,6,11,0,0,0,11,0,31,46,10817,1566,308,139,12827,109,47,159,12987,578,57,13616,1897,302,42,10,2255,24,8,31,2285,102,0,2392,2909,397,68,20,3402,14,6,24,3425,93,4,3519,126,18,23,3,174,0,0,0,172,8,0,177,21,3,0,23,49,0,0,0,49,0,8,57,4963,721,134,55,5872,41,14,54,5934,206,13,6146,27,11,3,0,40,6,0,6,40,3,0,49,81,6,0,0,87,5,0,5,90,5,0,96,109,16,4,0,126,7,0,7,137,11,0,142,5068,739,141,62,6003,50,14,65,6063,213,13,6295,743,175,14,11
2009,1201,33,5,1235,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,18,0,0,0,20,0,0,20,22,0,0,0,23,0,0,0,22,0,0,22,1060,110,27,15,1207,12,0,13,1220,33,5,1252,169,16,3,3,192,3,0,0,194,3,0,204,0,0,0,0,0,0,0,0,0,0,0,0,1233,130,34,14,1404,18,3,17,1422,38,5,1458,257,30,5,0,284,4,0,4,291,5,0,299,335,40,5,6,386,4,0,4,389,3,0,398,13,0,0,0,16,0,0,0,16,0,0,16,3,0,0,4,8,0,0,0,8,0,0,8,607,69,10,10,694,7,0,7,700,17,0,717,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,5,6,0,0,10,9,0,0,0,9,0,0,5,9,0,0,10,615,69,10,10,701,11,0,10,714,16,0,725,82,14,0,0
