SUA_CODE_2021,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
2000,27,4,0,28,30,5,0,0,34,4,0,3,38,4,0,45,2613,337,109,64,3116,29,8,39,3157,166,9,3328,287,46,17,8,357,3,3,8,374,128,6,504,5,0,0,0,3,0,0,0,3,0,11,11,2904,379,125,72,3484,29,19,46,3535,297,19,3847,399,49,6,3,454,3,0,3,458,32,0,488,374,78,10,8,473,0,0,0,469,33,0,503,32,3,8,0,48,0,0,0,48,3,0,48,0,0,0,8,12,0,0,0,12,5,0,19,811,131,28,19,988,4,0,4,991,69,0,1061,4,0,0,0,5,0,0,0,13,0,0,10,4,0,0,0,4,0,0,0,8,0,0,6,5,0,0,0,16,0,4,4,16,3,0,14,819,133,30,20,999,4,4,5,1006,71,0,1078,109,17,0,3,140,0,0,6,141,47,0,185,0,0,0,0,0,0,0,0,0,0,0,3,927,151,37,20
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,10,5,0,179,0,0,0,181,7,0,188,11,6,0,0,19,0,0,0,15,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,171,12,5,4,198,0,0,0,199,11,6,216,34,4,0,0,32,0,0,0,31,0,0,31,36,5,0,0,39,0,0,0,39,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,3,0,0,72,0,0,0,71,5,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,4,0,0,71,0,0,0,73,5,0,75,13,0,0,0,11,0,0,0,8,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,71,8,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9,0,4,52,0,0,0,52,0,0,56,6,0,0,0,7,0,0,0,7,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,41,7,0,4,55,0,0,0,55,5,0,64,3,0,0,0,3,0,0,0,3,0,0,7,3,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,14,0,0,0,14,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,15,0,0,0,15,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
2003,3,0,0,3,6,0,0,0,6,0,0,4,9,0,0,9,549,59,14,0,627,9,0,11,635,31,0,664,74,3,3,0,87,0,0,0,87,7,0,97,0,0,0,0,0,0,0,0,0,0,0,0,626,65,16,7,713,9,0,11,718,37,0,762,77,15,5,0,94,0,0,0,94,3,0,97,91,13,0,0,102,0,4,4,102,6,0,112,10,0,0,0,10,0,0,0,10,0,0,10,3,0,0,6,3,0,0,0,3,0,0,3,176,29,9,6,205,0,4,4,214,12,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,29,9,6,211,0,4,4,213,12,0,226,23,0,0,0,26,0,0,0,26,16,0,43,0,0,0,0,0,0,0,0,0,0,0,0,200,30,9,6
2004,10,0,0,10,5,3,0,0,6,4,0,4,11,0,0,11,469,69,18,4,560,9,0,8,568,30,0,597,62,19,9,0,89,0,0,0,89,39,0,123,0,0,0,0,0,0,0,0,0,0,0,0,529,84,22,8,645,9,0,8,658,71,0,729,83,8,0,0,89,0,0,0,94,9,0,104,81,30,3,0,121,0,0,3,120,8,0,124,5,0,0,0,11,0,0,0,11,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,177,38,7,0,221,4,0,8,223,18,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,7,0,0,6,174,38,7,0,223,5,0,8,225,23,0,246,20,6,0,0,29,0,0,0,29,15,0,42,0,0,0,0,0,0,0,0,0,0,0,0,198,39,7,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,5,0,4,40,0,0,0,40,3,0,45,3,0,0,0,4,0,0,0,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,35,5,0,0,46,0,0,0,46,9,0,52,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,17,0,0,61,0,0,0,61,0,0,62,6,0,0,0,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,52,18,0,0,69,0,0,0,69,3,0,73,7,0,0,0,7,0,0,0,7,0,0,7,8,0,0,0,9,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0
2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,7,3,0,129,0,0,0,134,5,0,133,4,0,0,0,4,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,121,7,3,0,135,0,0,0,135,3,0,136,12,0,0,0,13,0,0,0,13,0,0,13,12,5,0,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,4,0,32,0,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,4,0,32,0,0,0,32,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,4,0
2008,25,0,0,25,26,0,0,0,29,3,0,8,41,4,0,39,1665,251,44,9,1969,27,5,39,2001,129,6,2134,247,39,7,4,306,3,3,5,312,88,0,394,4,0,0,0,4,0,0,0,4,0,0,5,1909,293,50,14,2276,33,12,41,2315,212,4,2535,314,44,4,3,366,3,0,3,370,28,0,396,359,60,17,0,440,3,0,6,451,25,0,470,22,4,3,0,29,0,0,0,32,0,0,38,0,0,0,0,4,0,0,0,4,0,0,9,693,117,32,5,840,13,0,14,857,55,3,912,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0,10,0,4,0,0,4,0,0,0,4,0,0,11,694,116,32,5,845,13,3,14,861,57,3,916,106,18,8,4,138,3,0,3,141,48,0,185,4,0,0,0,4,0,0,0,4,0,0,4,801,134,36,10
2009,4,0,0,4,6,0,0,0,5,0,0,0,4,0,0,4,218,25,8,3,264,5,0,9,268,16,0,283,25,7,3,0,33,0,0,0,35,4,0,41,0,0,0,0,0,0,0,0,0,0,4,4,248,38,7,3,297,5,0,8,301,18,6,323,37,8,0,0,48,0,0,0,50,5,0,53,35,3,0,0,41,0,0,0,41,0,0,42,0,0,4,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,75,13,4,0,97,0,0,0,98,8,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,13,4,0,97,0,0,0,98,8,0,102,3,0,0,0,3,0,0,0,3,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,81,13,4,0
