SUA_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
2000,50,860,1120,1323,1498,1543,572,94,7058,20,281,624,819,1031,1155,282,25,4236,703,3753,4423,4303,4198,4480,1564,258,23682,519,2155,3252,3969,4419,4554,1821,314,21003,5083,13026,13320,15210,16986,12532,5278,1145,82585,554,494,422,328,364,286,104,20,2566,169,354,480,611,862,937,411,88,3913,5812,13870,14218,16146,18203,13761,5799,1257,89068,43,114,142,148,191,269,167,46,1117,3590,3417,3946,4657,5484,5661,3868,1511,32132,10736,24444,27723,31380,35023,31421,14076,3497,178290,98,1716,2055,2025,2029,1440,330,37,9731,184,1329,1952,2231,2259,1698,411,46,10107,1449,7788,8765,7846,6908,5666,1962,407,40781,1157,4384,5616,6818,7360,5614,2078,482,33507,3273,7448,7450,7959,7830,3931,913,176,38978,656,720,847,797,999,627,165,40,4854,291,476,685,999,1218,1041,408,121,5235,4225,8640,8982,9751,10045,5603,1485,337,49066,57,155,161,202,282,392,268,97,1608,3256,3076,3628,4165,5403,6111,4756,2681,33085,10417,27095,31160,33032,34293,26517,11281,4084,177879,150,2575
2001,0,62,80,55,44,28,9,0,283,0,16,27,19,20,33,3,0,118,45,242,227,140,91,79,35,6,871,31,155,192,155,117,113,46,9,815,207,681,597,488,393,295,117,26,2798,26,24,16,10,4,4,0,0,82,9,10,23,22,16,15,8,3,115,240,710,642,517,418,317,129,26,3000,0,7,12,0,7,4,4,4,34,67,92,83,85,73,63,54,15,528,389,1283,1254,976,762,642,277,61,5646,6,140,126,67,38,13,10,0,400,17,82,95,83,36,29,3,0,356,97,407,387,259,123,94,45,9,1425,79,270,304,244,177,114,55,14,1253,128,392,331,259,226,94,19,4,1450,21,28,36,26,28,17,7,0,165,14,19,38,38,39,35,13,0,195,159,436,407,322,291,146,34,6,1807,0,14,5,10,8,0,4,4,49,85,91,85,84,85,111,93,30,668,448,1449,1403,1073,767,518,247,67,5969,6,201
2002,0,26,28,19,11,15,12,0,113,0,3,8,14,11,24,9,0,71,11,94,68,78,68,70,35,4,409,12,51,72,72,73,83,53,16,429,111,300,254,274,272,251,144,40,1648,11,13,15,3,6,8,0,0,53,3,5,10,11,24,15,11,3,84,129,319,279,284,297,275,152,45,1785,4,8,5,4,5,10,4,0,35,68,65,61,70,86,83,85,58,565,215,562,527,540,548,556,348,114,3412,5,48,38,30,29,18,3,0,166,0,34,36,39,43,30,7,0,193,30,170,141,120,112,95,62,15,747,19,119,121,151,129,126,72,23,756,95,236,182,191,149,92,28,0,967,15,22,22,16,22,17,4,0,120,0,6,19,16,21,12,14,4,104,112,266,219,226,189,121,47,3,1192,4,5,3,0,3,4,13,3,36,59,79,69,76,104,129,130,106,760,228,721,632,640,610,529,336,161,3860,8,76
2003,37,479,493,407,301,243,115,23,2093,4,115,192,206,201,203,58,8,987,310,1402,1342,1009,665,596,236,42,5605,135,568,654,705,539,537,213,48,3399,933,2367,1831,1691,1639,1128,631,175,10383,116,119,64,52,39,25,11,4,445,30,69,78,76,94,86,50,14,486,1084,2557,1971,1819,1772,1234,690,193,11315,14,30,28,29,24,29,25,10,185,425,462,373,407,380,414,349,196,3000,2004,5609,5048,4585,3887,3254,1680,514,26589,46,633,635,478,382,238,66,5,2488,35,335,450,419,351,279,81,20,1978,459,2109,2013,1428,913,736,292,72,8022,286,875,962,917,883,630,287,87,4927,723,1493,1349,1179,915,517,88,39,6309,139,159,123,109,81,85,15,10,716,49,88,96,142,149,130,67,24,746,916,1741,1571,1428,1144,733,166,66,7761,21,26,29,33,32,44,33,16,230,446,474,392,407,423,551,560,421,3681,2208,6201,6055,5112,4130,3214,1477,694,29089,85,1112
2004,30,282,309,244,207,208,89,13,1379,7,99,163,164,160,149,32,5,775,239,1156,1014,755,522,476,188,50,4388,110,473,575,537,564,523,250,47,3088,750,2219,1864,1754,1635,1206,656,202,10285,108,89,71,54,36,37,6,0,404,34,61,70,73,83,104,44,18,484,893,2373,2011,1876,1747,1340,706,224,11172,3,30,18,26,20,34,19,13,172,355,452,370,396,384,375,360,227,2912,1639,4863,4460,3996,3601,3102,1646,575,23883,65,544,407,299,231,146,40,3,1748,48,346,424,363,291,229,56,10,1771,435,1842,1701,1176,818,622,236,76,6927,256,828,846,863,760,623,271,86,4531,668,1464,1227,1138,963,480,133,25,6103,123,126,131,99,130,92,17,0,718,64,73,101,147,162,127,55,24,756,856,1665,1461,1384,1250,693,208,52,7579,3,34,19,27,35,28,26,15,191,366,470,417,387,467,536,594,464,3706,2035,5743,5283,4505,3857,2878,1441,703,26449,92,829
2005,0,25,66,65,59,76,38,4,333,0,6,26,30,45,28,12,0,153,6,70,151,150,100,129,73,10,692,3,27,62,76,84,82,56,9,401,41,127,110,135,181,141,70,24,834,10,8,9,3,4,0,0,0,35,0,6,0,10,15,11,9,3,57,50,145,122,145,197,154,78,26,919,0,0,0,6,0,7,0,0,16,49,50,53,61,46,71,63,69,461,116,320,487,533,531,552,325,115,2974,4,41,97,100,93,87,42,0,469,0,24,61,76,68,67,27,3,329,13,116,212,211,175,173,86,10,995,9,60,70,92,127,119,70,8,552,36,77,79,85,74,52,13,9,416,5,7,3,5,13,12,5,0,53,5,0,3,12,19,13,12,4,69,41,84,90,105,109,78,29,12,540,4,4,0,3,0,8,5,0,24,29,23,33,66,59,105,123,148,593,87,355,566,658,624,635,374,191,3494,0,67
2006,0,13,17,18,10,11,9,0,74,0,7,10,10,10,14,4,0,51,4,86,57,45,41,60,20,8,322,8,46,47,56,53,50,16,8,294,113,301,253,211,215,156,82,19,1346,8,19,9,3,7,0,0,0,50,3,12,8,3,15,6,3,0,56,121,334,274,217,234,162,86,23,1458,0,9,8,4,0,6,5,0,31,30,58,52,46,38,58,56,35,374,171,548,469,408,391,354,196,73,2597,0,27,18,22,13,19,7,0,105,3,24,15,16,13,17,10,0,101,22,146,128,82,64,65,39,11,559,14,98,83,93,103,87,40,8,519,99,204,185,151,142,63,18,8,871,17,15,11,12,7,11,0,0,75,10,17,9,17,15,21,0,0,81,122,231,201,181,162,93,23,5,1030,0,8,3,0,3,0,3,5,17,30,45,55,45,54,94,89,43,462,200,578,501,443,412,372,202,81,2790,0,39
2007,0,41,32,29,23,10,8,0,146,0,10,20,16,14,23,6,0,94,18,155,158,123,101,83,31,7,678,13,55,101,101,108,107,43,5,535,186,471,400,490,470,403,193,48,2661,9,9,12,10,7,8,3,0,62,3,11,13,22,17,25,8,3,105,191,491,433,522,495,433,206,46,2824,6,0,3,6,3,8,4,5,32,82,89,64,109,109,136,130,63,788,315,835,812,906,858,806,435,132,5102,10,72,55,41,25,12,0,0,219,4,55,60,62,54,27,10,0,276,72,299,315,209,157,117,38,17,1220,34,155,167,212,184,123,70,20,966,132,255,249,277,225,139,25,4,1301,19,28,14,20,14,8,3,0,110,8,13,17,34,42,27,10,0,157,162,298,281,325,280,178,38,3,1567,0,3,6,6,5,12,17,0,60,64,80,74,84,145,174,192,148,954,350,967,963,943,850,636,368,185,5260,6,110
2008,178,1887,1377,1035,801,656,294,40,6271,16,363,469,428,453,415,127,13,2287,1085,4292,4031,2861,2057,1793,656,166,16941,587,1706,1968,1970,1611,1590,733,160,10336,2012,5597,4995,4598,4402,3354,1669,537,27165,232,204,180,111,97,67,28,5,921,81,161,202,226,235,275,154,35,1369,2320,5965,5382,4941,4729,3696,1853,575,29456,49,72,111,66,71,87,79,41,570,1061,1270,1020,1019,971,1007,857,456,7668,5300,15558,14359,12324,10685,9245,4606,1449,73530,107,2067,1809,1162,800,487,140,7,6574,114,1031,1222,1072,832,656,172,20,5125,1519,6424,5841,3881,2688,2078,771,170,23376,769,2481,2765,2858,2476,1917,892,241,14406,1699,3312,3103,2871,2491,1225,344,93,15126,261,222,275,252,211,186,55,14,1475,163,232,292,378,403,381,170,71,2089,2120,3764,3670,3500,3107,1790,564,171,18692,39,74,71,81,104,128,128,34,659,952,1088,1091,973,1035,1433,1411,971,8946,5625,16931,16472,13526,11043,8496,4070,1618,77777,282,3953
2009,4,39,98,109,104,63,28,0,450,5,11,48,56,62,49,7,0,237,40,160,292,281,236,127,72,12,1228,31,81,173,201,164,179,65,8,902,126,336,491,507,435,267,137,16,2323,12,5,8,9,5,9,7,0,59,6,11,24,22,35,17,7,0,131,149,351,520,542,482,297,149,20,2513,5,7,3,9,5,9,7,0,44,72,37,62,87,91,66,52,34,501,304,682,1200,1281,1142,798,383,84,5871,8,96,148,136,105,51,12,0,549,3,44,123,149,102,58,15,7,495,71,285,555,424,241,171,58,9,1809,44,127,242,255,231,145,69,8,1116,64,135,206,214,159,78,23,3,884,9,14,25,13,20,12,4,0,100,12,13,20,41,40,40,16,5,185,84,159,252,272,227,136,36,13,1171,0,4,3,10,8,19,22,3,70,66,43,73,112,78,106,71,63,611,277,738,1398,1352,990,688,286,91,5821,9,136
