SUA_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
2000,5887,6082,5375,3096,922,228,26589,1402,4338,5011,6009,6595,4175,978,130,28640,373,1078,1335,1119,1063,743,238,86,6038,1139,2929,2500,2194,1759,1170,424,80,12197,33,25,16,17,28,26,14,3,162,89,279,443,541,467,353,116,53,2342,3287,3128,3761,4087,4763,5050,3997,2405,30481,10417,27095,31160,33032,34293,26517,11281,4084,177879,267,903,1259,1516,1375,1326,448,81,7168,239,691,979,841,803,544,98,9,4203,2332,6945,7502,9180,10850,9607,4286,897,51605,1527,4462,4135,4064,4218,3125,1305,332,23166,1419,3412,4131,4356,4070,2202,781,188,20564,1602,6032,5988,6559,8385,6455,2431,652,38097,853,4233,5135,5418,6315,7633,3114,520,33228,1411,5874,8462,9105,8621,6081,1929,385,41866,1917,5621,6389,7794,8508,6174,1652,257,38308,722,1738,2071,1782,1620,1297,442,118,9779,1596,4059,3737,3433,2904,1860,687,128,18390,56,75,44,44,39,38,17,3,324,189,590,968,1176,1133,863,342,108,5363,7032,6905,8089,9133,10474,10736,7832,3901,64107,21153,51549,58884,64408
2001,335,221,163,75,30,8,1159,87,255,234,234,180,102,23,7,1131,23,81,42,33,20,8,4,0,215,64,136,121,53,37,23,13,0,445,0,4,0,0,0,0,0,0,7,0,12,20,12,10,9,0,0,67,76,102,95,83,70,83,69,28,611,448,1449,1403,1073,767,518,247,67,5969,21,62,63,49,28,30,12,3,273,12,105,118,55,26,21,7,0,333,80,337,358,360,317,252,102,25,1832,100,316,223,116,70,64,28,8,929,12,55,70,53,25,18,8,5,250,83,238,208,185,150,107,42,8,1018,61,303,263,218,149,161,68,16,1242,69,418,539,353,278,153,51,11,1886,114,351,320,300,222,131,41,13,1484,43,128,78,62,30,19,12,0,365,72,176,164,73,59,34,25,0,603,5,3,3,0,0,0,0,0,15,9,41,47,40,23,20,10,0,184,149,209,206,180,158,153,121,42,1218,836,2728,2662,2049
2002,128,96,81,62,29,7,567,43,101,109,135,112,79,18,4,607,8,25,22,20,17,7,10,0,109,24,98,65,47,35,27,21,0,307,0,0,0,0,3,0,0,0,7,0,7,11,5,0,6,4,0,37,59,83,69,77,86,105,116,107,709,228,721,632,640,610,529,336,161,3860,4,31,15,10,20,17,5,0,99,10,21,15,14,12,13,0,0,86,53,146,120,156,178,183,103,37,981,30,89,86,86,50,73,40,12,465,22,46,43,48,36,26,20,0,240,44,188,148,150,198,137,80,26,975,20,106,88,105,101,138,85,13,664,40,181,196,156,139,114,54,20,911,47,133,150,172,149,108,29,6,796,13,43,30,31,29,11,19,4,179,26,131,97,73,59,47,27,6,470,3,4,3,3,3,0,3,0,17,9,12,21,15,9,12,14,6,91,126,153,135,159,172,190,198,157,1304,449,1283,1158,1182
2003,1311,998,743,399,113,28,4848,346,1148,1151,1101,843,544,142,24,5297,146,326,290,209,130,95,31,15,1251,218,535,418,313,195,143,51,17,1893,5,9,10,5,4,11,3,0,38,29,65,106,95,39,54,25,11,420,448,495,397,400,352,438,461,374,3366,2208,6201,6055,5112,4130,3214,1477,694,29089,95,274,274,251,181,125,49,13,1260,122,434,487,228,153,81,17,0,1530,362,1231,1071,1103,1050,878,464,127,6291,344,918,668,449,439,277,153,52,3295,113,257,253,215,159,107,59,12,1173,507,1722,1403,1248,1204,894,399,123,7507,194,1120,1116,1003,908,1080,507,136,6061,420,1638,2101,1798,1344,817,259,53,8437,482,1608,1522,1504,1148,839,228,50,7384,288,608,513,342,235,186,63,22,2255,315,786,676,507,333,230,82,28,2952,17,21,10,10,6,11,8,0,71,44,166,202,193,93,110,49,14,876,900,1021,820,842,760,835,823,574,6577,4214,11809,11106,9704
2004,1000,867,634,335,112,49,4062,325,1034,1038,944,809,479,121,19,4769,90,234,178,130,77,69,25,14,815,238,536,376,264,180,113,59,9,1782,10,6,8,7,3,0,0,0,41,14,47,70,72,49,28,13,9,294,356,464,416,386,387,406,509,420,3352,2035,5743,5283,4505,3857,2878,1441,703,26449,59,209,200,171,124,120,63,12,959,57,282,324,181,126,74,18,0,1068,347,1190,977,1007,1102,937,505,152,6220,244,776,617,515,421,332,151,57,3123,95,246,226,240,197,129,65,22,1208,556,1848,1428,1151,1169,875,348,122,7500,228,961,1004,857,798,895,449,100,5287,368,1365,1659,1456,1115,725,232,72,6993,465,1389,1381,1301,1084,702,203,37,6560,166,420,307,214,134,135,50,25,1446,296,811,630,428,295,196,96,18,2774,16,16,12,12,8,5,0,0,67,27,115,157,154,105,77,38,11,677,751,978,819,818,770,786,873,647,6449,3673,10608,9745,8505
2005,63,74,69,48,25,4,337,11,71,118,150,138,137,55,6,695,9,35,81,73,63,56,12,0,336,11,31,29,18,19,11,9,7,124,0,0,0,0,0,0,0,0,4,0,14,24,18,15,14,4,0,89,27,23,32,59,45,84,106,147,528,87,355,566,658,624,635,374,191,3494,0,9,34,37,31,30,28,0,176,0,7,29,27,21,11,11,0,95,15,67,79,103,120,145,71,16,615,12,58,49,60,63,43,15,7,306,4,23,39,48,34,19,11,0,169,17,68,108,132,174,124,63,17,702,5,61,108,131,126,209,139,15,792,21,64,108,115,124,95,55,13,591,15,101,188,219,211,218,93,7,1051,16,65,136,134,117,98,22,5,583,15,46,41,32,28,21,10,7,201,0,0,0,0,0,0,0,0,9,0,19,36,37,27,19,9,0,149,76,83,105,127,95,158,169,219,1037,205,673,1047,1191
2006,94,78,69,37,9,0,412,36,103,114,122,113,72,15,0,575,0,22,10,17,4,3,3,0,66,31,81,56,34,23,25,10,6,262,0,0,0,0,0,0,0,0,4,3,3,7,5,0,0,4,0,25,29,50,51,41,47,82,69,43,418,200,578,501,443,412,372,202,81,2790,0,27,22,14,11,5,3,0,81,7,20,17,10,8,4,0,0,58,42,144,134,107,111,115,50,19,728,38,91,66,38,61,30,23,6,349,14,39,42,26,22,20,10,6,181,21,124,96,98,99,82,55,18,581,26,87,79,63,84,127,58,19,535,45,157,145,135,114,68,10,6,682,52,128,134,162,141,89,20,3,719,8,41,25,20,7,4,3,5,113,46,125,98,64,39,44,17,3,428,0,4,3,0,0,3,0,0,7,9,16,8,20,7,9,10,0,74,62,128,108,98,97,134,132,84,842,366,1125,972,848
2007,213,187,128,83,29,10,823,57,159,163,181,164,105,26,4,861,13,29,24,13,7,13,0,6,106,43,138,90,88,72,51,20,6,501,0,0,0,0,0,0,0,0,9,0,3,8,8,16,4,3,0,39,63,89,70,82,103,147,155,131,840,350,967,963,943,850,636,368,185,5260,7,17,38,31,13,17,10,4,133,9,34,16,16,9,3,0,0,93,75,232,241,270,298,295,143,22,1591,53,165,121,122,122,95,41,16,734,17,63,89,87,60,39,18,9,377,87,256,224,212,226,156,75,22,1262,43,175,188,191,167,132,85,15,998,42,212,296,294,224,179,65,13,1327,72,207,208,232,204,133,41,3,1106,28,42,39,26,15,10,13,5,169,59,198,144,139,114,80,30,7,764,0,0,0,3,0,0,0,0,15,0,16,15,30,31,16,9,0,119,155,191,145,197,220,280,280,195,1668,663,1805,1773,1853
2008,3544,2849,1942,1173,407,125,13342,999,2906,2863,2710,2213,1351,377,63,13488,417,1023,945,591,378,223,96,28,3698,558,1319,1109,817,561,389,201,39,4997,15,21,11,3,5,11,5,3,75,54,194,265,243,188,124,34,17,1118,949,1121,1114,944,877,1137,1156,818,8124,5625,16931,16472,13526,11043,8496,4070,1618,77777,465,926,892,765,588,482,209,35,4367,269,986,1000,580,358,207,37,3,3437,1013,3583,3012,3297,3292,3051,1548,480,19275,955,3387,2357,1691,1267,833,444,143,11084,232,545,649,562,419,283,165,46,2906,1224,4970,3939,3207,3014,2211,901,312,19782,532,2648,2872,2373,2473,2790,1323,286,15292,1067,4653,5987,4844,3569,2462,894,216,23695,1427,4107,3936,3691,3036,1999,634,115,18945,755,1658,1553,974,564,406,146,38,6100,755,2051,1757,1258,858,569,281,73,7592,42,44,18,14,14,12,8,3,157,106,406,560,508,389,282,110,45,2396,2080,2537,2300,2095,1886,2149,1976,1273,16292,10920,32491,30831,25856
2009,316,297,185,110,47,10,1108,47,140,213,230,166,109,24,4,927,23,37,85,54,28,18,9,0,259,32,85,81,60,43,25,13,8,331,0,0,0,0,0,0,0,0,0,3,9,27,22,19,9,4,0,104,68,39,75,101,65,80,56,55,546,277,738,1398,1352,990,688,286,91,5821,13,41,88,80,79,47,30,3,379,0,22,69,70,29,21,3,0,222,66,192,362,421,384,309,143,26,1909,55,178,215,175,141,70,31,3,874,24,31,63,72,54,17,10,6,272,45,156,271,295,213,140,60,7,1187,29,156,268,255,272,250,96,12,1345,28,179,523,519,390,220,98,19,1976,66,193,294,324,233,158,47,4,1324,54,75,124,80,52,36,14,3,434,41,92,107,89,76,36,11,8,458,0,0,0,0,0,3,0,0,10,14,22,44,58,49,22,11,0,227,140,78,157,199,159,147,115,86,1086,578,1422,2595,2631
