SUA_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
2000,958,1562,3913,4179,5134,6216,4572,1764,270,28578,36,96,371,513,497,423,91,11,0,2025,633,1178,2760,3069,3865,3698,961,109,6,16277,20,86,511,701,906,948,183,10,0,3374,1774,3000,6254,5680,5747,4994,1275,101,4,28820,213,291,687,915,1150,1193,391,61,0,4900,1898,1142,1432,1476,1673,1660,690,107,4,10096,1944,905,1206,928,1012,1029,458,75,3,7560,112,338,1114,1583,2329,2911,1096,119,6,9610,36,62,191,222,290,262,90,21,0,1170,13,58,215,394,518,371,152,39,3,1755,27,72,158,245,325,322,184,32,3,1365,82,263,815,1233,1434,1363,876,162,7,6228,104,233,628,795,883,980,354,43,6,4026,153,437,1543,1945,2577,2398,633,44,0,9735,127,247,897,1298,1405,1457,603,38,0,6073,108,292,1046,1145,1511,1919,728,66,0,6814,177,162,376,413,521,523,208,36,0,2410,402,610,1152,1122,1328,1325,503,67,0,6505,489,596,1297,1304,1716,1651,761,312,58,8193
2001,4,4,26,23,25,20,8,4,0,110,0,3,8,16,20,13,5,0,0,67,14,22,92,105,150,98,19,0,0,504,4,5,31,36,32,25,5,0,0,135,78,209,478,375,247,152,37,0,0,1571,7,8,44,58,54,48,11,0,0,217,63,73,82,85,72,48,14,0,0,431,100,54,36,25,7,11,3,0,0,233,6,26,157,202,154,136,45,0,0,728,0,5,25,25,17,23,0,0,0,86,0,10,26,53,22,13,8,0,0,128,5,3,17,22,18,9,4,0,0,82,7,10,85,81,51,43,18,0,0,301,0,11,38,31,35,17,5,3,0,140,4,14,99,110,130,74,9,0,0,440,12,19,70,44,53,25,12,0,0,238,4,12,33,37,40,33,0,5,0,168,7,5,19,18,15,10,3,4,0,91,10,23,73,60,52,40,16,0,0,276,21,31,65,75,63,47,17,3,0,324
2002,3,13,36,27,30,31,23,15,0,175,0,0,0,7,8,8,0,0,0,21,14,47,88,64,80,68,21,4,0,396,0,0,19,11,23,11,0,0,0,73,49,62,145,113,99,85,25,0,0,576,5,10,25,29,29,23,9,3,0,134,54,44,59,53,59,40,19,0,0,331,73,24,37,24,8,20,4,0,0,191,0,6,28,17,49,45,24,3,0,173,0,4,9,3,3,3,4,0,0,27,0,4,5,8,7,9,4,0,0,28,0,0,3,8,4,5,8,0,0,27,0,3,18,17,21,20,14,0,0,103,5,3,23,19,17,15,8,3,0,87,3,0,19,47,33,37,10,0,0,164,0,12,29,30,28,22,15,0,0,130,0,5,45,45,54,59,11,5,0,226,0,3,6,3,4,0,0,0,0,29,9,24,41,24,29,41,10,0,0,171,9,16,33,21,38,23,15,3,0,165
2003,24,45,130,91,99,86,49,18,0,549,7,21,103,85,77,38,8,0,0,343,87,187,558,580,724,535,107,6,0,2789,0,16,96,98,88,87,13,0,0,390,279,645,1264,903,622,551,121,5,0,4384,25,55,140,140,172,137,39,7,0,709,326,393,526,321,344,253,96,9,0,2270,568,316,329,216,138,93,38,9,0,1697,13,66,271,278,286,301,113,8,0,1332,14,25,97,108,96,50,15,3,0,414,0,22,86,134,128,59,27,3,0,467,3,19,71,71,64,66,26,3,0,318,16,94,407,425,325,211,79,14,0,1566,16,73,158,123,122,130,41,0,0,676,13,49,346,452,445,333,60,3,3,1708,43,94,368,406,368,306,101,8,0,1693,26,180,556,482,536,395,113,10,0,2296,49,62,127,88,74,58,28,4,0,486,39,116,227,189,177,156,47,7,0,950,63,115,265,176,205,183,44,11,6,1075
2004,16,45,113,112,110,98,63,18,0,576,11,62,246,199,152,87,7,0,0,764,86,268,738,620,566,505,102,4,0,2903,0,21,90,103,97,103,15,0,0,427,234,509,1026,795,624,494,107,15,0,3814,12,49,106,113,150,131,30,8,0,605,348,341,411,326,293,230,95,5,0,2051,530,247,286,177,124,88,36,6,0,1494,19,53,197,212,271,308,114,14,0,1191,6,31,81,60,64,30,14,0,0,276,6,52,178,241,181,91,22,5,0,780,7,24,41,50,50,43,17,3,0,239,9,62,253,245,223,138,77,8,0,1022,21,39,114,125,123,101,43,3,0,572,3,77,280,367,412,329,89,3,0,1560,24,90,286,273,246,227,67,0,0,1212,18,127,513,455,442,343,128,11,0,2030,40,60,67,41,56,38,21,9,0,323,40,92,238,190,170,159,60,4,0,945,43,94,241,210,185,162,38,16,5,986
2005,0,0,3,9,10,10,4,4,0,41,0,0,4,0,0,0,3,0,0,13,4,20,50,53,73,70,17,4,0,301,0,0,5,9,7,7,0,0,0,25,14,31,74,49,70,58,24,0,0,323,0,0,10,3,15,3,3,4,0,43,45,21,19,27,26,31,12,0,0,186,19,17,20,19,16,8,3,0,0,105,0,6,8,9,20,26,9,0,0,87,0,0,3,8,13,3,4,0,0,29,0,0,0,8,13,11,0,0,0,30,0,0,0,3,7,7,5,6,0,24,0,3,24,54,43,33,21,5,0,182,0,0,6,10,8,10,0,0,0,51,0,0,28,59,51,52,14,0,0,198,0,4,17,37,59,31,14,0,0,165,4,4,14,42,48,50,12,0,0,176,3,4,16,12,16,12,6,0,0,68,3,3,9,16,21,25,6,0,0,80,4,5,14,19,12,20,9,0,0,87
2006,14,20,66,39,35,27,26,3,0,225,0,0,3,8,3,11,3,0,0,23,39,87,232,174,148,110,21,0,0,816,0,3,11,14,13,13,6,0,0,52,32,61,119,78,71,56,15,0,4,438,3,0,10,12,15,20,8,0,0,68,31,24,50,43,34,40,21,0,0,230,49,15,37,17,15,14,7,0,0,150,0,8,15,34,50,45,9,3,0,177,6,4,8,3,0,8,0,0,0,34,0,0,11,6,7,11,0,0,0,38,0,0,7,0,6,5,3,0,0,17,0,4,14,13,19,10,5,0,0,61,3,7,18,19,26,24,10,3,0,109,0,6,14,24,22,32,3,5,0,106,6,6,15,23,13,14,9,0,0,83,6,5,16,19,50,27,13,0,0,126,6,3,4,0,3,3,5,0,0,26,10,24,32,27,19,25,9,0,0,136,11,5,31,24,33,12,13,0,0,133
2007,3,12,48,42,54,51,38,9,4,269,0,0,5,7,8,4,0,0,0,24,25,37,121,140,174,146,28,6,0,672,0,0,18,14,22,25,0,0,0,83,87,125,257,196,196,162,36,0,0,1060,8,9,22,36,35,49,8,3,0,173,77,48,77,56,73,66,24,4,4,428,120,48,65,80,57,70,23,3,0,471,6,0,25,21,58,85,31,6,0,236,8,3,3,0,3,3,3,0,0,22,0,0,5,13,20,17,3,0,0,64,0,5,5,7,17,13,9,0,0,48,0,4,31,30,45,19,17,8,0,156,3,6,16,16,23,28,18,0,0,120,3,6,30,67,64,50,21,0,0,251,8,11,47,30,44,34,16,0,0,189,5,22,59,58,59,58,19,0,0,282,7,8,18,20,17,16,11,0,0,92,16,13,32,36,42,58,19,0,0,217,12,19,44,36,47,48,14,5,0,230
2008,38,76,167,184,199,182,113,44,8,1012,3,12,66,52,76,60,20,0,0,291,147,428,1304,1290,1497,1133,256,26,3,6075,8,41,268,305,303,246,33,3,0,1193,667,1756,4043,3196,2393,1582,348,43,4,14031,56,165,410,563,645,524,125,18,0,2500,896,1138,1359,1016,884,676,240,34,0,6246,1320,775,959,524,330,242,112,12,0,4268,67,210,865,883,896,990,330,32,0,4279,23,56,157,216,191,102,32,3,0,778,0,87,407,562,467,257,77,10,0,1875,10,57,170,189,173,155,61,16,0,839,27,279,1103,1157,1045,690,372,53,7,4725,63,167,379,405,399,366,144,16,0,1940,17,155,915,1212,1209,836,200,23,3,4566,85,212,925,1123,878,767,242,19,0,4248,51,342,1235,1173,1038,866,267,31,0,5002,131,162,290,218,196,133,55,8,0,1208,98,239,523,475,454,381,116,31,0,2308,117,318,731,670,656,457,151,40,6,3150
2009,4,10,16,15,20,10,6,11,0,84,0,0,3,7,10,3,0,0,0,23,11,21,36,89,138,96,27,4,0,429,0,3,11,26,26,21,0,0,0,92,86,156,256,348,274,196,34,4,0,1348,8,10,15,31,70,45,13,5,0,192,78,44,35,35,65,61,6,9,0,334,93,50,15,16,16,18,4,0,0,214,10,7,46,134,156,148,33,5,0,533,3,0,9,29,32,17,0,0,0,94,0,4,11,59,49,37,11,5,0,174,3,0,9,23,21,10,3,0,0,73,4,17,42,112,128,108,53,12,0,472,4,12,14,48,36,29,10,5,0,158,4,13,68,108,152,103,23,0,0,471,6,5,40,64,66,70,20,4,0,280,7,13,24,34,51,38,21,0,0,197,13,13,22,21,15,24,9,0,0,118,10,15,27,37,45,43,17,5,0,200,20,15,35,57,61,32,6,7,0,233
