SUA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
2000,725,1873,1344,864,1922,2392,615,1411,216,11364,863,1763,1091,717,1877,2247,522,1412,2922,13419,19298,49769,38195,27188,50880,60299,17398,47109,7655,317796
2001,34,77,73,31,112,94,23,53,4,501,24,40,34,25,96,125,17,61,103,518,624,1622,1230,907,2416,2730,762,1544,260,12099
2002,10,43,41,33,63,61,13,31,4,289,15,30,37,23,56,34,13,32,49,278,334,1014,879,658,1312,1142,340,648,146,6475
2003,117,307,242,142,366,331,91,187,25,1804,97,197,130,88,304,287,85,165,319,1677,2928,8239,6536,4612,10540,10148,3014,5473,691,52182
2004,107,333,235,125,363,339,79,173,5,1760,65,190,148,87,291,293,54,153,295,1582,2641,7443,5838,4412,10296,8947,2581,4955,639,47758
2005,8,26,24,22,21,26,7,12,0,156,7,31,14,19,17,23,8,17,19,160,250,895,721,516,655,803,216,435,55,4557
2006,15,42,18,11,42,43,14,30,7,227,17,27,16,14,40,29,5,21,51,215,337,960,665,470,1229,1116,383,649,113,5923
2007,21,88,70,34,72,71,25,44,11,438,21,48,33,18,57,60,18,29,70,354,653,1550,1262,896,1955,1909,571,1185,184,10162
2008,372,914,708,348,894,864,196,409,47,4759,224,624,446,336,838,1019,206,512,861,5071,7949,22998,17451,11705,26841,28531,7847,14574,2008,139894
2009,24,73,54,26,52,67,20,67,8,391,13,56,42,28,58,84,18,47,52,400,610,1772,1217,897,1827,2390,735,1540,185,11174
2010,15,48,37,22,80,87,23,32,3,360,10,32,19,21,48,41,5,26,53,252,406,1154,886,770,1701,1667,464,806,136,7987
2011,6578,13482,11977,6268,16857,14976,3930,6844,824,81735,4083,12130,10342,6370,24916,23560,4618,9648,19421,115081,116672,336221,278885,183264,517239,535588,135293,253264,39242,2395663
2012,57,132,101,62,207,172,26,85,12,862,68,123,95,64,203,160,47,79,302,1145,1153,3158,2597,1928,5322,4583,1258,2807,633,23438
2013,16,61,45,23,84,88,12,33,3,374,19,36,27,15,64,83,19,44,90,400,510,1354,1087,777,1808,1671,499,834,231,8776
2014,7,30,23,26,31,47,9,14,0,187,14,39,12,4,23,27,3,12,41,172,292,854,570,395,852,997,236,491,87,4769
2015,8,46,46,14,45,50,10,16,7,238,10,21,13,17,34,45,10,16,52,220,336,1029,814,534,1240,1359,391,750,118,6565
2016,53,157,114,71,249,194,60,96,7,1014,40,121,89,46,182,190,52,81,238,1031,1120,3296,2559,2038,5076,4782,1426,2433,475,23209
2017,20,23,23,16,51,44,12,27,0,204,6,26,15,11,55,40,10,16,53,243,246,731,591,422,1099,1149,290,605,96,5241
2018,59,105,90,46,141,139,36,57,8,671,33,74,59,35,125,107,32,77,138,686,1029,2702,2227,1563,3925,3353,1153,1856,329,18132
2019,24,51,33,22,81,85,22,31,0,343,15,37,33,18,76,71,16,33,63,348,479,1362,1076,891,1946,1682,459,900,135,8934
2020,59,144,110,73,179,188,44,113,9,926,39,93,55,36,129,151,49,79,153,786,1092,3040,2309,1702,3725,3759,1089,2624,360,19700
2021,37,113,94,52,126,124,28,58,3,637,26,76,50,24,92,109,24,61,108,563,972,2920,2136,1530,3488,3427,1025,1740,259,17499
