SUA_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
2000,23,10,14,42,11,22,34,81,263,5,349,10,22,8,43,5,4,11,51,81,0,136,12,73,14,97,21,23,39,142,200,0,342,23,161,34,213,28,36,63,276,380,4,660,51,249,47,342,60,54,115,447,795,7,1254,108,647,120,875,55,89,140,1016,1098,6,2121,230,995,114,1344,48,58,106,1450,1060,10,2522,477,924,106,1511,41,44,81,1593,1560,21,3171,733,853,109,1695,39,45,84,1779,1262,23,3056,720,693,106,1521,16,21,44,1564,868,9,2441,662,417,58,1142,12,12,28,1174,439,10,1619,618,276,68,962,10,4,14,971,343,3,1316,1018,352,79,1451,9,10,20,1469,391,7,1869,371,157,24,556,0,3,7,559,170,4,735,267,52,23,350,0,0,0,351,56,6,413,106,29,10,140,0,0,0,140,32,0,177,287,74,13,380,7,0,7,387,98,4,492,678,498,106,1286,22,22,40,1326,716,69,2103,49,40
2001,0,0,4,4,0,0,0,8,21,0,27,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,3,0,4,13,0,23,0,0,0,0,0,0,0,7,12,0,18,0,10,0,13,3,4,5,14,31,0,45,8,21,7,34,4,5,9,41,38,0,82,11,28,3,43,0,3,10,48,53,0,104,16,37,9,61,0,0,0,64,58,0,124,31,37,4,71,6,0,5,79,46,0,127,38,25,0,62,0,0,0,62,34,0,97,41,26,0,67,5,0,3,74,23,0,95,43,7,0,57,0,0,0,57,19,0,82,63,21,0,88,3,0,3,90,20,0,110,39,0,0,43,0,0,0,43,13,0,53,28,5,0,33,0,0,0,36,4,0,37,9,6,0,13,0,0,0,13,0,0,17,17,5,3,24,0,0,0,24,6,0,26,21,18,3,44,0,0,0,42,13,3,61,0,0
2002,0,0,0,0,0,0,0,0,15,0,11,0,3,0,3,0,0,0,5,0,0,3,0,5,0,5,0,0,0,5,8,0,16,0,5,0,3,0,0,5,4,8,0,20,0,3,0,7,0,0,4,6,10,0,23,5,9,3,19,0,3,3,20,36,0,60,7,36,3,48,3,0,7,50,49,0,98,9,30,3,47,0,0,0,48,57,0,105,19,38,4,64,3,0,4,65,31,0,92,26,23,4,51,0,0,4,54,22,0,80,21,12,9,40,0,0,0,40,13,0,54,23,3,0,30,0,0,0,35,7,0,37,27,12,0,39,0,0,0,39,10,0,48,12,4,4,18,0,0,0,18,0,0,19,8,0,0,4,0,0,0,4,4,0,10,8,0,0,9,0,0,0,9,0,0,9,6,0,0,6,0,0,0,6,3,0,10,17,5,0,25,0,0,5,31,17,3,48,0,0
2003,0,0,0,7,9,0,3,7,63,0,66,0,4,0,4,6,0,6,11,11,0,25,0,8,3,16,3,7,13,29,26,0,56,0,25,4,30,8,5,18,47,65,0,116,4,55,10,64,11,15,26,86,166,3,259,20,122,25,173,27,32,53,227,279,3,508,42,217,18,275,22,17,40,314,263,5,580,99,248,26,378,7,14,22,398,334,3,732,173,256,25,451,15,8,23,476,255,0,726,191,182,26,397,9,9,13,417,179,0,600,184,103,22,306,4,4,8,316,98,0,411,152,79,9,244,0,3,4,245,55,3,298,229,96,17,344,3,0,6,345,90,0,435,116,29,4,148,0,0,0,153,32,0,183,62,17,5,81,0,0,0,87,18,0,98,32,4,0,37,0,0,0,37,5,0,44,57,7,5,72,0,0,0,73,14,0,85,138,78,12,222,4,5,8,230,120,9,359,3,4
2004,0,0,0,6,5,0,7,5,35,0,41,0,0,0,0,0,0,0,5,12,0,16,0,5,3,10,0,6,9,14,31,0,47,0,17,10,27,4,8,19,42,84,0,121,3,46,9,60,11,18,25,83,173,4,257,9,123,21,155,19,20,40,194,236,0,430,44,190,27,261,7,18,17,285,214,7,506,98,239,25,368,7,8,16,380,299,0,676,175,210,24,407,0,6,9,414,252,0,666,186,164,12,363,6,3,4,368,193,3,562,192,100,18,314,4,4,3,324,96,3,421,159,64,12,240,0,0,0,242,55,0,302,276,99,9,389,4,0,4,392,87,0,480,89,28,4,126,3,0,3,133,29,0,165,72,16,6,92,0,0,0,93,15,0,108,21,7,5,33,0,0,0,33,11,0,46,35,6,0,47,0,0,0,47,14,0,60,94,74,13,181,12,0,11,194,96,0,290,5,4
2005,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,0,6,0,6,0,6,0,0,0,4,7,0,10,0,5,0,5,0,0,0,5,21,0,28,0,17,0,25,0,0,0,25,18,0,43,0,34,3,40,0,0,0,40,20,0,61,10,25,9,42,0,0,0,42,39,0,77,12,21,0,32,0,0,0,37,18,0,55,15,23,0,44,0,0,0,44,25,0,64,20,18,0,38,0,0,0,38,3,0,43,16,7,0,25,0,0,0,25,0,0,27,20,10,7,35,0,0,0,35,7,0,34,6,7,0,14,0,0,0,14,3,0,18,6,3,0,10,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,4,8,0,0,8,0,0,0,8,4,0,9,18,18,0,34,0,0,0,35,8,0,51,0,0
2006,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,6,0,6,0,0,0,6,16,0,16,0,0,0,7,0,0,0,6,11,0,11,0,13,5,17,0,0,0,17,29,0,43,5,24,5,29,0,0,0,29,23,0,52,12,27,5,41,0,0,0,47,27,0,65,26,32,3,58,0,4,4,59,24,0,86,16,13,3,29,0,0,0,29,12,0,45,19,12,5,32,0,0,0,36,7,0,42,7,9,0,19,0,0,0,19,10,0,25,18,18,0,36,0,0,0,41,4,0,46,14,6,3,25,0,0,0,25,6,0,28,4,3,0,8,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,7,0,0,7,11,10,0,18,0,0,0,20,15,0,33,0,0
2007,0,0,0,0,0,0,0,0,17,0,19,0,0,0,0,0,0,0,0,3,0,4,0,3,3,3,0,0,0,3,6,0,11,0,9,5,10,0,3,4,16,15,0,29,0,10,0,10,0,0,0,11,25,0,36,5,16,9,33,4,4,9,35,47,0,84,14,32,3,48,0,4,4,54,42,0,96,12,35,4,52,6,0,5,61,51,0,106,28,30,0,62,0,0,3,60,32,0,95,34,24,5,65,0,0,0,65,27,0,93,26,16,5,45,0,0,0,45,17,0,65,24,19,0,43,0,0,0,43,13,0,58,40,18,3,60,0,0,0,62,16,0,76,19,9,0,22,0,0,0,22,3,0,30,14,4,4,16,0,0,0,16,0,0,16,5,0,0,5,0,0,0,5,0,0,5,0,4,0,9,0,0,0,9,3,0,12,27,23,0,45,0,0,0,50,25,0,69,0,3
2008,3,7,4,15,9,9,21,35,116,0,151,4,9,6,21,6,4,8,25,47,0,75,0,26,4,38,8,4,14,47,87,4,139,3,35,10,47,10,17,25,70,136,0,206,8,116,19,146,21,21,45,193,298,0,495,20,269,51,339,29,50,82,417,478,3,902,78,366,55,506,24,32,61,566,431,4,1000,214,473,53,744,16,25,43,784,591,8,1379,348,471,50,872,19,17,35,900,502,6,1413,425,382,40,849,13,14,30,879,399,5,1278,399,273,36,707,6,5,10,715,225,0,944,355,170,27,552,6,0,5,556,146,0,703,686,235,36,960,5,5,6,965,227,3,1200,295,101,12,407,6,0,12,412,93,0,508,214,51,8,274,0,0,4,278,32,0,306,80,27,0,113,0,0,0,113,18,0,128,191,54,12,265,5,0,5,267,51,0,318,320,209,52,575,11,11,21,598,247,32,873,21,9
2009,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,7,0,5,0,5,0,0,0,3,4,0,8,0,4,3,8,0,5,5,9,16,0,30,7,18,3,22,0,6,4,28,15,0,40,5,12,0,18,0,4,5,17,10,0,32,7,32,0,39,0,0,0,39,19,0,61,16,19,3,37,0,0,0,37,12,0,53,20,19,5,50,0,0,0,50,13,0,61,27,25,0,54,0,0,0,54,14,0,75,19,11,0,30,0,0,0,38,10,0,41,47,21,4,70,0,5,5,73,9,0,83,19,3,0,29,0,0,0,29,5,0,33,21,5,0,24,0,0,0,24,3,0,26,5,3,0,7,0,0,0,7,0,0,7,16,3,4,30,0,0,0,30,3,0,30,29,20,7,53,0,0,0,53,13,5,69,0,0
