SUA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
2000,52,141,3,3,6,149,225,245,616,6443,6532,1104,14082,385,451,839,14918,10042,434,25393
2001,0,0,0,0,0,6,4,3,12,371,259,40,669,25,25,44,714,413,7,1136
2002,0,0,0,0,0,0,7,9,16,182,197,32,408,8,17,25,435,312,16,762
2003,4,12,6,0,6,23,39,41,99,1507,1538,217,3265,126,116,245,3512,2100,69,5686
2004,9,12,0,0,0,16,34,33,76,1469,1401,203,3080,78,91,173,3253,1965,53,5278
2005,0,0,0,0,0,0,3,0,6,137,193,25,350,5,6,5,356,196,7,553
2006,0,0,0,0,0,0,5,4,8,135,167,32,336,4,5,5,342,190,9,543
2007,3,4,0,0,0,6,6,6,16,253,246,50,548,14,11,32,573,345,14,933
2008,17,46,0,0,3,48,69,63,180,3658,3293,500,7444,199,225,420,7870,4204,132,12202
2009,0,0,0,0,0,0,0,10,9,248,206,28,478,7,11,12,499,173,12,682
2010,4,4,0,0,0,4,5,8,10,197,206,34,438,8,13,23,458,296,7,764
2011,286,673,22,19,44,710,962,1155,2830,58594,41489,6950,107033,3514,3661,7170,114202,74943,2215,191358
2012,8,21,0,0,0,21,33,19,77,762,564,110,1429,47,60,104,1536,984,47,2568
2013,0,3,0,0,0,8,15,16,28,249,262,44,560,30,31,63,622,519,25,1171
2014,0,4,0,0,0,4,5,6,12,133,133,21,283,13,15,27,314,232,11,554
2015,0,4,0,0,0,4,3,4,10,189,199,30,416,17,16,35,450,300,8,763
2016,6,9,0,4,4,10,27,33,68,671,617,101,1388,47,56,97,1486,1022,56,2564
2017,0,4,0,0,0,4,0,3,6,139,130,25,293,10,7,15,308,184,4,499
2018,0,14,0,0,0,11,24,22,57,564,579,86,1229,75,57,128,1357,939,42,2338
2019,0,0,0,0,0,0,6,3,11,272,283,38,589,25,18,41,632,387,9,1028
2020,3,8,0,0,0,8,9,10,23,489,518,78,1084,36,31,68,1158,638,19,1813
2021,0,4,0,0,0,4,11,7,18,469,505,83,1062,20,27,52,1113,521,24,1655
