SUA_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
2000,365,84,2638,729,98,1741,379,3018,246,9304,968,509,4383,877,264,876,944,2579,240,11640,4022,2788,8368,1667,700,1098,2755,4575,581,26567,6798,3686,7546,1505,994,1062,3210,3757,602,29174,8770,4112,7622,1888,1285,1388,4609,4373,771,34823,9386,4004,6688,1832,1418,1452,5413,4661,791,35642,5669,1964,1744,529,632,635,1680,1578,363,14799,1978,290,165,43,82,106,132,211,193,3202,270,12,9,4,0,9,3,31,53,388,38227,17454,39165,9069,5479,8368,19149,24798,3833,165532,175,82,384,2376,376,3632,105,1615,222,8954,466,1194,801,2953,1243,1631,201,1318,173,9979,2343,6917,1776,4930,3765,2025,328,2307,390,24775,4020,8004,1646,4636,5264,2037,303,2283,429,28625,5572,7964,1713,6031,6984,2803,497,3139,455,35151,5118,6901,1407,5545,6822,2703,484,3580,481,33041,2804,1911,307,1166,1918,654,99,950,259,10074,768,132,24,61,218,52,8,132,120,1513,73,8,0,0,17,0,4,7,46,151,21340,33101,8047,27691,26618,15528,2019,15327,2583,152261
2001,3,9,89,21,7,51,19,120,9,329,10,26,230,36,21,60,62,73,17,540,114,186,559,97,90,55,191,169,32,1497,237,204,369,82,98,69,234,145,27,1463,239,143,283,86,82,62,220,107,31,1258,155,101,188,65,58,39,184,93,12,903,46,33,53,7,23,7,55,21,5,255,7,0,0,3,0,3,5,7,3,27,0,0,0,0,0,0,0,0,0,0,820,713,1776,394,389,344,963,742,131,6266,0,11,14,76,16,170,8,40,9,340,26,77,31,147,100,113,10,32,4,561,114,393,101,255,276,116,33,62,22,1378,128,380,76,221,331,81,17,49,22,1315,146,298,54,209,335,96,30,52,22,1244,52,140,26,172,243,61,21,67,5,798,13,26,4,31,64,18,4,25,0,179,0,6,0,0,4,6,0,4,3,20,0,0,0,0,0,0,0,0,0,0,494,1336,313,1116,1373,661,131,333,88,5835
2002,4,3,60,8,9,70,10,69,4,229,20,9,98,15,5,29,30,68,10,281,77,91,191,34,26,43,69,139,15,682,83,83,142,46,20,36,64,82,11,566,104,88,123,43,26,49,84,96,12,628,90,69,120,40,36,42,87,88,12,573,49,30,36,7,20,18,39,22,6,230,17,7,5,0,0,7,4,0,6,41,4,0,0,0,0,0,0,0,0,3,437,378,779,192,141,295,381,572,68,3233,0,6,11,59,9,93,0,31,5,212,8,23,25,98,34,42,4,35,6,278,48,185,29,135,104,66,8,70,9,654,45,166,27,130,115,50,5,57,12,599,53,144,34,161,145,68,3,58,14,681,56,133,25,111,126,52,11,92,5,621,17,23,3,38,45,9,4,29,4,173,10,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,236,684,149,727,587,387,38,375,63,3239
2003,45,27,368,169,30,382,62,499,28,1617,134,191,856,307,100,324,158,457,49,2579,601,1199,1709,514,376,384,532,678,114,6115,928,1303,1183,342,346,239,463,496,66,5364,1034,1029,932,384,332,272,523,484,88,5083,683,728,805,250,240,231,552,495,78,4055,188,260,167,70,78,81,154,140,24,1162,38,32,10,8,7,16,3,15,13,144,3,0,0,0,0,0,0,0,8,15,3656,4776,6036,2038,1515,1920,2453,3259,463,26116,26,27,50,400,91,855,13,235,25,1725,127,359,142,872,386,522,26,191,36,2675,402,1980,329,1175,936,516,53,304,60,5752,551,1984,261,924,1097,360,23,279,61,5539,584,1522,213,902,1197,369,54,408,61,5316,392,1019,139,752,1006,336,61,351,41,4096,93,230,22,141,201,67,18,96,22,888,12,15,0,9,4,5,0,6,13,66,0,0,0,0,4,0,0,0,4,14,2179,7139,1164,5175,4927,3039,251,1874,317,26067
2004,27,17,297,119,23,338,73,550,22,1466,97,205,679,262,118,256,187,484,56,2341,467,1094,1521,450,268,306,503,778,109,5499,801,1007,1112,341,252,237,464,622,89,4920,816,851,863,363,289,229,551,489,91,4546,601,588,704,280,273,189,553,461,59,3711,198,225,165,82,69,69,150,152,27,1141,29,18,18,8,8,9,14,22,13,138,3,3,0,0,0,0,0,0,4,12,3048,4015,5361,1901,1298,1641,2498,3553,470,23776,21,12,52,337,91,815,14,241,21,1601,94,394,155,714,335,443,33,223,31,2427,354,1968,313,1047,760,431,51,393,59,5380,507,1728,227,867,912,307,56,344,48,4987,522,1290,180,822,1085,363,74,360,54,4754,304,936,110,759,907,316,74,433,50,3890,84,225,22,145,212,67,13,83,16,865,8,7,0,5,16,8,0,11,9,70,0,0,0,0,0,0,0,0,4,7,1905,6561,1056,4691,4317,2745,327,2091,282,23978
2005,5,0,20,12,6,28,5,35,3,112,6,10,44,3,3,10,13,35,0,124,34,61,94,23,15,11,27,39,3,316,73,171,85,40,19,15,21,34,8,465,84,155,107,42,24,14,34,50,6,517,68,109,92,55,28,22,39,55,5,467,37,55,23,8,9,7,21,20,0,177,7,9,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,5,311,566,471,189,114,115,157,268,30,2209,0,0,5,28,4,56,0,25,4,121,3,10,8,29,8,18,0,5,0,85,27,108,24,70,57,14,9,31,4,331,82,211,24,66,53,26,6,35,10,506,81,250,24,87,79,27,0,29,8,596,54,179,24,87,87,41,3,46,4,535,15,66,6,16,36,11,0,8,0,170,8,3,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,268,827,113,381,334,194,12,177,41,2349
2006,6,5,52,9,3,37,11,96,4,219,21,9,90,17,3,20,33,91,6,283,56,59,194,22,18,33,70,227,19,712,73,52,135,27,24,28,87,146,12,585,86,49,95,34,28,12,122,122,16,569,71,33,91,22,32,29,119,87,6,490,33,23,26,3,10,5,32,31,12,178,10,6,0,0,0,0,0,3,3,25,0,0,4,0,0,0,0,0,0,5,369,242,683,130,120,171,463,803,72,3057,5,0,4,36,8,116,0,56,6,231,12,22,16,63,30,58,7,59,3,263,33,109,46,128,54,51,3,158,7,595,50,117,35,128,81,35,6,94,7,542,53,82,38,147,107,53,3,89,12,587,38,74,24,127,100,43,11,83,7,499,22,21,4,32,21,17,0,20,4,140,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,3,3,212,437,161,660,405,370,24,552,48,2868
2007,4,3,116,41,4,96,12,107,3,391,20,22,182,44,12,35,20,68,11,398,116,125,328,64,26,48,72,138,19,935,180,137,274,67,28,37,67,107,12,913,243,126,227,64,38,56,157,141,12,1058,195,102,188,60,38,59,191,140,26,1008,85,48,47,17,15,26,45,41,4,332,11,8,0,0,0,4,10,11,0,46,4,0,0,0,0,3,0,0,0,5,853,573,1360,355,155,355,579,757,93,5083,0,7,11,113,14,174,0,38,9,366,15,69,30,127,43,85,0,25,7,403,74,299,69,194,124,75,4,61,8,919,123,300,48,167,178,76,7,66,4,978,147,238,48,215,270,119,12,93,15,1167,98,182,37,195,229,107,7,113,14,984,23,36,9,43,59,32,7,28,5,245,3,4,0,4,4,3,0,3,5,24,0,0,0,0,0,0,0,0,0,6,487,1141,260,1058,922,672,45,430,74,5081
2008,42,43,800,396,67,907,158,1348,54,3811,273,584,2024,742,329,842,578,1170,136,6682,1553,3355,4682,1346,820,884,1503,1836,293,16282,2880,3526,3595,1067,823,674,1214,1357,286,15421,2842,2802,2923,992,768,594,1457,1250,294,13924,1847,1998,2063,715,651,533,1516,1094,212,10637,581,806,477,164,220,209,402,358,87,3305,128,99,48,19,24,26,31,45,32,456,11,10,4,0,5,0,0,3,4,41,10165,13218,16616,5448,3710,4678,6861,8461,1398,70550,56,37,134,1090,160,2054,71,525,47,4178,301,933,436,2167,771,1340,184,502,83,6718,1382,5898,964,2945,2242,1134,224,701,201,15686,1873,5460,772,2289,2716,950,195,700,237,15184,1752,4055,624,2449,3031,1073,219,895,208,14309,1061,2570,389,1972,2478,913,196,929,113,10620,240,611,75,359,628,202,30,255,49,2441,33,35,3,16,39,3,3,34,16,194,4,0,0,0,0,0,0,3,10,24,6697,19602,3407,13280,12067,7669,1119,4546,959,69346
2009,5,7,97,55,0,71,7,125,9,373,16,24,163,48,17,36,31,68,8,409,82,114,276,72,31,22,71,55,11,733,290,301,339,62,82,37,90,80,20,1297,387,292,331,96,68,57,106,75,20,1432,283,246,221,51,70,46,106,70,23,1111,52,95,51,20,22,8,33,19,7,306,26,12,4,0,0,3,3,3,3,61,0,0,0,0,0,0,0,0,0,3,1150,1089,1487,400,283,279,438,508,98,5725,4,8,18,99,18,170,0,53,3,370,19,43,18,111,54,70,8,28,10,357,65,274,46,113,144,47,3,22,7,713,194,539,77,166,279,54,15,23,18,1357,190,477,51,194,353,92,7,54,25,1452,119,280,38,129,267,59,5,35,13,952,22,74,9,15,80,17,4,9,0,235,5,0,3,4,0,4,0,3,0,18,0,0,0,0,0,0,0,0,0,0,616,1698,262,837,1192,515,42,226,66,5453
