SUA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
2000,539,166,3021,3096,479,5374,487,4630,471,18258,1434,1697,5187,3836,1506,2512,1147,3896,410,21621,6367,9704,10139,6600,4469,3124,3086,6881,973,51341,10818,11689,9192,6147,6259,3096,3516,6046,1037,57797,14343,12083,9331,7917,8270,4184,5110,7509,1226,69971,14504,10904,8090,7372,8239,4159,5896,8245,1277,68687,8476,3875,2054,1697,2553,1287,1780,2533,625,24868,2745,421,185,99,304,157,142,351,312,4717,346,13,9,3,19,9,7,37,98,543,59567,50552,47213,36759,32097,23900,21170,40123,6416,317796
2001,4,14,104,100,25,222,23,166,11,667,35,108,263,188,125,173,78,105,20,1099,233,577,664,353,366,171,220,232,53,2875,372,589,448,303,429,145,247,192,51,2781,388,444,337,290,420,160,247,166,52,2499,205,242,215,240,306,103,211,162,18,1702,55,60,55,32,87,27,58,48,8,429,8,5,0,3,4,4,5,4,3,46,0,0,0,0,0,0,0,0,0,5,1310,2040,2084,1507,1760,1004,1091,1073,218,12099
2002,7,8,71,68,10,167,7,104,7,448,29,35,117,109,42,73,33,106,17,557,119,271,229,167,129,114,75,212,23,1332,124,249,166,178,136,88,69,132,23,1162,155,226,161,203,176,120,92,162,29,1310,148,200,140,150,163,93,96,182,20,1197,68,57,40,45,65,30,39,49,9,399,21,6,5,0,0,7,4,4,13,58,4,0,0,0,0,0,0,0,6,3,677,1056,929,918,725,678,415,940,131,6475
2003,77,53,421,569,122,1237,82,741,45,3337,263,551,992,1178,488,846,185,648,82,5253,999,3175,2045,1690,1318,905,581,982,177,11867,1484,3281,1441,1264,1444,599,488,773,124,10900,1622,2551,1146,1290,1526,643,574,892,150,10399,1070,1744,942,1003,1246,566,614,842,116,8151,277,493,192,209,279,150,170,235,43,2053,53,48,11,10,12,18,3,17,19,208,3,0,0,4,5,0,0,0,11,24,5841,11915,7193,7213,6437,4962,2706,5140,780,52182
2004,46,28,353,454,115,1156,96,781,44,3068,195,599,829,980,454,699,222,710,85,4768,825,3063,1840,1494,1031,736,556,1175,168,10880,1311,2739,1333,1204,1164,544,523,964,140,9904,1336,2142,1044,1189,1371,595,623,852,149,9300,907,1519,814,1036,1181,505,627,895,106,7600,280,454,189,226,286,134,162,238,41,2009,37,28,18,8,26,22,15,33,18,201,4,3,0,0,0,3,0,0,8,21,4956,10576,6415,6590,5622,4383,2827,5641,758,47758
2005,4,0,23,43,8,86,5,62,3,234,4,15,49,40,17,22,13,41,3,207,58,171,118,91,71,25,32,69,6,643,157,381,111,98,76,36,27,68,15,969,172,398,132,127,104,44,36,81,21,1112,123,285,116,143,112,60,41,101,10,997,53,122,33,20,49,19,22,22,4,345,11,10,0,0,7,3,0,0,0,32,0,0,0,0,0,0,0,0,0,3,574,1392,582,564,448,306,166,447,72,4557
2006,16,3,50,45,6,155,11,153,11,445,31,28,102,81,33,76,39,147,10,548,91,172,242,149,77,87,78,386,27,1306,125,171,170,155,104,62,89,240,19,1124,139,136,133,181,137,68,123,211,24,1156,110,114,111,153,133,65,125,171,12,990,53,41,32,34,33,24,32,46,13,317,9,5,0,0,3,0,0,3,0,31,3,0,0,0,0,0,0,0,3,10,574,677,849,798,521,537,493,1350,119,5923
2007,6,12,127,152,17,269,13,145,14,754,34,93,204,167,55,119,22,93,8,793,190,427,399,257,148,125,75,198,28,1851,306,436,330,230,207,116,75,178,19,1892,384,369,273,277,306,177,168,239,28,2222,287,280,230,256,272,166,205,252,39,1986,107,84,62,66,70,56,52,70,12,578,17,12,0,7,4,5,10,16,4,70,5,0,0,0,0,6,0,0,0,10,1337,1711,1621,1421,1074,1038,621,1189,164,10162
2008,97,82,929,1484,227,2957,232,1875,100,7988,572,1515,2459,2916,1099,2185,762,1672,226,13405,2935,9256,5648,4295,3060,2015,1722,2537,499,31966,4755,8983,4366,3351,3536,1625,1406,2060,524,30607,4595,6851,3552,3446,3796,1667,1676,2145,502,28231,2906,4572,2452,2684,3128,1448,1715,2025,318,21250,819,1415,553,523,850,409,430,617,132,5745,164,135,52,36,65,38,31,77,47,646,17,12,3,0,9,4,0,6,12,58,16864,32821,20021,18728,15775,12346,7981,13007,2357,139894
2009,9,10,116,151,20,241,10,182,8,743,34,70,181,157,68,104,38,97,16,761,154,381,319,187,171,66,72,79,16,1442,478,833,418,228,358,94,102,107,36,2659,581,777,387,289,415,149,111,129,41,2882,407,523,262,180,335,106,111,108,30,2065,79,165,64,35,102,22,38,32,8,540,29,12,9,8,0,4,3,4,0,74,0,0,0,0,0,0,0,0,5,3,1770,2784,1748,1234,1474,787,482,736,162,11174
