UCL_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
UCL201001,137,28,29,28,130138,130354,2881,151,87,63,155546,158734,102477,3722,4729,255,258406,369594,217320,9612,16167,576,98384,342049,183998,12996,27359,1476,59116,284946,156394,10854,31662,3484,34266,236664,123482,6883,21977,7089,14904,174337,72344,2707,9087,10869,4900,99909,21569,569,1817,11309,1384,36647,880601,47515,112926,35162,757038,1833238,206,24,21,21,123650,123919,7049,424,246,48,143429,151199,138744,6245,7760,449,222435,375628,222009,13683,23493,1659,87793,348635,183820,16502,41393,4637,53940,300286,151260,12452,46367,12624,29758,252467,114084,7178,34780,28933,13524,198500,54059,2288,14527,44486,4766,120121,10755,382,3398,42375,1944,58840,881981,59174,171990,135219,681230,1929594,337,55,53,48,253780,254272,9929,581,336,114,298971,309933,241221,9970,12487,701,480835,745220,439328,23295,39659,2231,186175,690688,367816,29495,68751,6117,113054,585234,307655,23301,78030,16108,64031,489125,237570,14061,56761,36018,28425,372835,126403,4991,23612,55357,9665,220034,32321,943,5216,53685,3322,95489,1762580,106685,284910,170382,1438269,3762827
UCL203001,0,0,0,0,3222,3228,54,6,0,8,3285,3349,1777,103,92,6,5374,7352,3387,261,336,8,2151,6143,3256,380,737,39,1526,5936,3337,318,896,107,1006,5659,3302,232,762,219,458,4969,1899,79,329,386,152,2844,536,15,47,346,39,982,17546,1401,3199,1116,17196,40461,7,0,0,0,3121,3123,130,16,6,0,3342,3487,2255,169,130,18,4907,7475,3686,417,568,42,2190,6906,3297,522,1155,123,1540,6641,3325,431,1456,330,895,6448,3164,281,1289,848,376,5957,1492,64,438,1392,151,3538,317,10,88,1326,69,1807,17676,1912,5138,4073,16579,45383,8,3,0,0,6338,6351,182,21,3,3,6628,6842,4030,276,221,20,10278,14830,7072,674,903,49,4337,13043,6558,905,1895,162,3069,12584,6666,750,2355,433,1898,12102,6460,510,2052,1068,826,10924,3388,145,769,1777,303,6377,852,23,134,1670,106,2790,35226,3313,8336,5185,33778,85845
UCL203002,0,0,0,0,2888,2893,57,6,4,4,3065,3136,1758,125,83,10,4656,6635,3248,265,307,12,2004,5839,3128,336,672,40,1401,5580,3220,308,965,118,870,5475,3386,231,758,239,439,5046,1988,79,278,370,134,2852,601,9,51,365,40,1063,17385,1364,3115,1159,15497,38526,0,0,0,0,2919,2927,104,12,0,8,3112,3240,2288,195,141,17,4526,7170,3459,401,510,39,2050,6455,3124,408,1126,125,1411,6195,3407,401,1458,342,770,6383,3136,239,1200,829,346,5740,1609,65,413,1168,146,3398,320,15,95,1217,68,1714,17451,1733,4947,3741,15348,43222,6,0,0,3,5806,5816,165,21,6,9,6176,6374,4045,324,223,30,9185,13806,6707,664,820,45,4061,12295,6250,738,1797,169,2815,11773,6631,711,2422,456,1640,11857,6521,470,1951,1066,778,10787,3592,145,691,1542,284,6256,925,26,149,1582,101,2780,34839,3093,8059,4897,30852,81745
UCL203003,11,4,0,0,5200,5213,91,3,4,6,6500,6608,3738,150,156,7,10246,14297,6515,401,637,35,3639,11230,5823,572,1234,55,2600,10283,5621,527,1500,161,1572,9378,5302,316,1186,392,657,7853,3151,114,448,548,210,4465,935,36,71,605,57,1698,31187,2125,5235,1802,30680,71028,8,5,3,0,5042,5058,209,16,4,0,6289,6521,4703,306,232,13,9071,14331,6723,642,890,88,3720,12067,5871,791,1817,219,2446,11140,5751,620,2372,574,1295,10613,4961,345,1938,1378,558,9185,2476,93,764,2158,202,5689,492,17,143,2157,76,2885,31197,2834,8157,6590,28700,77486,12,9,3,6,10243,10274,298,21,12,4,12790,13129,8447,454,388,22,19313,28627,13247,1044,1526,117,7360,23294,11697,1357,3049,271,5046,21426,11377,1147,3872,735,2867,19990,10263,658,3125,1770,1212,17033,5624,207,1214,2706,408,10156,1426,55,210,2755,132,4583,62393,4958,13396,8393,59378,148516
UCL211001,0,0,0,0,1310,1309,23,0,0,0,1174,1200,700,53,48,0,1763,2573,1205,111,178,5,747,2251,1196,119,333,17,524,2191,1247,110,381,46,310,2094,1266,88,304,98,128,1888,648,24,106,109,39,929,157,0,18,75,4,267,6452,520,1368,352,6004,14699,3,0,0,0,1112,1118,42,6,0,0,970,1025,896,87,62,3,1565,2615,1309,186,215,21,776,2506,1212,161,469,54,465,2361,1300,151,518,112,273,2355,1167,104,405,326,95,2096,503,30,174,417,26,1150,67,0,17,309,7,407,6503,724,1862,1247,5300,15638,3,0,0,0,2426,2429,65,8,3,0,2147,2227,1600,142,110,9,3330,5187,2511,299,389,25,1525,4754,2412,282,799,67,994,4553,2548,259,901,162,584,4453,2435,195,711,420,225,3985,1156,55,276,531,70,2082,224,0,37,386,17,671,12953,1240,3234,1596,11308,30334
UCL211002,0,0,0,0,2232,2233,65,0,0,4,2305,2380,2297,104,128,4,3613,6143,3885,259,323,7,1616,6085,2328,261,525,24,942,4081,1897,187,518,78,396,3078,1660,154,372,161,161,2503,683,51,152,120,50,1050,113,3,17,81,5,219,12924,1028,2039,478,11314,27777,5,0,0,0,2178,2184,166,20,0,0,2114,2302,3330,227,169,14,3157,6895,3613,370,466,51,1538,6040,2086,354,721,102,851,4120,1792,252,767,243,309,3365,1491,143,565,521,90,2807,430,37,161,463,12,1097,61,4,36,259,12,371,12961,1403,2885,1650,10268,29181,5,0,0,0,4410,4422,229,18,0,4,4423,4676,5625,334,300,20,6768,13038,7493,633,789,61,3155,12129,4412,613,1250,128,1794,8198,3686,442,1287,321,708,6435,3150,303,938,677,249,5308,1106,89,309,580,61,2153,176,3,55,339,16,591,25885,2432,4925,2128,21583,56958
UCL212001,0,0,0,0,594,594,9,0,0,0,582,588,503,33,23,0,1015,1575,903,64,89,5,425,1482,747,78,171,5,282,1281,668,68,168,24,138,1068,689,44,144,59,45,977,323,11,53,61,18,471,75,0,5,39,7,129,3918,283,650,197,3111,8156,0,0,0,0,594,599,18,0,0,0,581,599,658,55,24,3,942,1678,898,104,116,11,402,1531,771,109,223,19,259,1373,707,75,248,76,136,1237,642,43,203,175,38,1097,235,18,85,255,19,616,41,3,30,206,8,277,3965,410,928,733,2969,9006,0,0,0,0,1190,1195,25,4,0,0,1164,1187,1161,89,43,3,1953,3250,1804,166,206,13,828,3016,1517,187,391,24,540,2657,1375,143,415,95,274,2301,1330,83,350,233,84,2073,561,30,137,318,36,1080,115,3,31,246,10,404,7883,692,1574,929,6079,17165
UCL212002,0,0,0,0,402,402,9,0,0,0,349,351,191,13,5,0,570,776,345,34,39,0,230,650,405,66,116,0,210,800,527,42,146,13,141,867,542,33,148,41,62,824,363,18,58,82,21,534,99,0,12,72,0,190,2464,209,526,209,1982,5388,0,0,0,0,363,360,6,3,0,0,376,386,247,27,15,4,530,828,373,52,59,4,250,745,459,76,140,9,202,884,560,50,180,70,129,1000,495,51,187,164,45,943,299,11,87,208,17,612,60,7,14,240,5,322,2499,271,692,700,1924,6077,0,0,0,0,760,764,14,7,0,0,725,741,434,41,21,4,1094,1603,720,84,105,8,480,1393,862,140,258,11,410,1686,1083,95,329,82,277,1863,1038,83,333,205,102,1762,654,26,141,286,36,1150,158,5,32,308,13,512,4967,477,1208,903,3902,11469
UCL212003,0,0,0,0,1043,1043,24,0,0,0,1076,1101,734,33,34,0,1780,2586,1027,111,124,5,724,1986,1084,125,223,17,521,1977,1155,129,360,42,307,1999,1132,67,295,80,167,1742,699,39,126,126,56,1048,218,4,16,123,18,373,6077,515,1172,392,5692,13854,0,0,0,0,964,971,62,4,0,0,994,1060,902,80,51,7,1672,2709,1110,174,167,15,759,2221,1099,209,409,50,471,2235,1117,144,536,132,276,2206,1125,80,391,313,89,2000,536,18,146,542,32,1273,113,3,33,484,8,645,6060,716,1736,1544,5269,15322,0,0,0,0,2010,2008,89,9,0,0,2067,2162,1640,112,88,6,3453,5296,2139,282,291,17,1480,4211,2184,335,625,67,990,4211,2271,278,900,173,587,4210,2256,151,688,393,259,3740,1232,57,270,672,88,2323,331,7,48,603,27,1016,12139,1226,2909,1937,10958,29176
UCL212004,0,0,0,0,624,627,0,0,0,0,404,405,238,7,11,0,590,850,940,32,64,0,352,1385,961,51,110,11,226,1355,959,36,169,20,136,1318,1151,30,137,54,71,1447,488,11,56,81,11,650,122,0,10,59,10,207,4869,167,566,222,2415,8242,0,0,0,0,587,584,4,0,0,0,397,400,368,13,7,0,585,975,1010,55,91,4,393,1555,1004,82,224,27,258,1593,983,78,300,62,192,1619,1090,28,250,143,100,1613,388,10,104,194,22,727,70,3,17,223,8,315,4909,271,996,654,2538,9372,0,0,0,0,1207,1212,3,0,0,0,803,807,607,17,14,0,1175,1822,1949,85,155,8,745,2938,1965,134,334,34,485,2950,1941,115,473,79,329,2930,2245,60,393,195,170,3066,885,20,163,269,34,1374,186,3,25,280,12,519,9776,441,1566,874,4954,17618
