UCL_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
UCL201001,73044,139561,106805,704892,7841,1032156,1145,2154,1206,22735,382,27623,378051,5604,10954,8940,2000,405539,25362,3858,2088,7994,259,39563,28196,9867,6191,21002,272,65519,266609,115193,85575,660803,8763,1136942,68261,1656,6492,1374,233,78020,15500,2368,1778,7180,130,26953,40765,12510,8830,64819,833,127753,98583,15804,8359,43589,1020,167350,11300,2311,1347,4233,134,19322,241337,4385,3148,2358,493,251720,63605,29321,20260,258741,1969,373902,143570,34425,16396,109758,1774,305926,18122,214,756,226,51,19368,29919,6779,3170,6248,236,46353,30069,4092,2326,7769,252,44509,30333,7214,4284,19280,347,61452,15161,2128,1583,1056,152,20075,17108,5705,4230,2309,145,29489,29296,5030,3885,10880,252,49337,17612,1564,1673,2767,139,23754,16991,1433,652,271,203,19556,62624,28164,21575,204334,1590,318286,19779,2038,1275,2315,198,25606,15765,2599,2104,925,66,21470,17830,1435,1231,2910,118,23527,40260,2754,1943,2126,152,47240,108478,1867,3574,1758,525,116202,8163,2361,1694,8880,65,21163,728378,48551,40632,55795,4942,878302,39609,2405,1878,12131,188843,244869,2331856,296213,218046,1521511,217917,4585537
UCL203001,479,3166,2202,34945,446,41242,18,74,47,1730,22,1896,1309,52,96,397,10,1857,236,58,26,186,0,518,907,455,284,1254,17,2913,3959,2910,2091,34489,457,43908,679,27,121,26,14,866,137,38,24,269,0,474,618,291,221,3437,29,4596,202,66,26,273,0,564,115,35,11,72,0,236,1772,64,29,58,4,1926,991,770,519,13452,97,15831,489,302,104,1890,23,2810,78,3,12,8,0,102,27,25,3,50,0,105,43,4,0,40,0,89,157,86,35,311,7,598,98,57,30,50,0,237,213,146,88,93,7,547,239,85,51,253,5,634,133,11,22,54,0,221,45,7,13,0,0,65,1116,899,570,10510,89,13188,98,31,8,36,0,174,140,42,24,28,4,230,128,16,18,88,0,249,122,23,22,27,0,193,173,6,14,6,0,201,154,70,44,363,4,641,4167,650,522,1413,44,6802,178,31,26,795,4763,5793,15724,5938,4120,73751,5807,105348
UCL203002,408,2592,1732,35378,421,40528,3,77,30,2148,45,2288,845,61,68,545,13,1527,79,32,17,95,0,229,432,246,152,677,8,1510,2925,2519,1737,35379,466,43024,679,20,128,30,0,854,83,39,25,246,0,406,430,261,153,3541,31,4422,136,62,15,195,6,415,61,29,17,59,0,169,1241,54,23,44,0,1368,641,601,344,12110,110,13808,417,291,107,2333,17,3165,79,8,6,4,0,93,28,14,5,32,0,75,20,7,3,15,0,48,82,63,21,151,4,323,104,36,30,56,0,224,139,109,82,99,0,425,122,51,23,170,4,366,79,12,11,54,0,157,21,23,0,5,0,56,803,632,457,9923,76,11886,48,14,9,32,0,103,139,36,17,24,3,227,103,15,17,96,6,237,146,23,8,13,0,194,144,9,26,4,0,179,116,74,35,349,6,576,4580,503,353,1255,59,6749,210,36,27,942,4741,5959,12907,4923,3229,73817,5765,100649
UCL203003,1325,6224,4607,49572,667,62387,37,108,76,2166,33,2419,2928,98,164,396,9,3600,2315,349,188,840,30,3729,1801,684,433,1816,24,4750,8956,5602,4032,46846,652,66089,1610,63,296,75,24,2063,292,78,55,371,6,804,1758,692,421,5020,58,7954,751,218,90,604,10,1678,433,99,59,229,0,819,3920,96,58,71,13,4167,2261,1471,987,17792,137,22656,2930,887,369,4161,53,8403,190,5,18,13,0,218,149,47,25,92,9,313,1034,159,83,311,9,1596,340,133,81,471,7,1034,312,104,56,53,7,539,446,261,203,123,4,1036,1021,230,162,613,9,2026,349,61,58,120,8,594,77,29,11,9,0,124,2560,1591,1168,14682,117,20122,893,107,52,137,12,1199,358,90,62,66,3,578,514,93,81,174,10,878,395,47,29,47,6,525,635,25,44,9,0,717,345,159,106,565,7,1189,13525,1424,1123,2449,148,18678,606,65,64,991,7775,9507,46328,12223,8701,103511,9472,180239
UCL211001,181,1169,856,13427,132,15761,3,35,23,1211,17,1290,208,6,12,83,0,314,176,22,23,54,4,277,264,123,64,296,0,749,1309,1045,779,11775,132,15040,290,13,63,15,0,376,45,15,5,95,0,158,463,192,134,1802,25,2623,40,9,9,75,3,136,71,18,7,35,0,128,436,18,3,17,0,478,267,229,128,3690,25,4341,206,134,61,773,9,1177,30,0,0,0,0,30,24,0,5,36,0,66,12,0,4,9,0,27,37,23,17,75,0,149,66,11,19,18,0,111,69,42,49,43,0,210,128,24,16,104,0,280,30,3,6,23,0,64,9,3,5,3,0,20,406,234,208,2999,22,3869,72,13,6,32,0,121,39,13,3,9,0,69,38,4,3,38,0,88,47,3,4,9,0,56,176,5,12,3,0,198,74,24,7,104,0,202,1719,219,182,509,25,2653,90,15,10,314,1703,2132,5842,2085,1538,26353,2025,37839
UCL211002,1696,2278,1514,14093,214,19794,35,77,40,1116,6,1276,1062,39,57,85,11,1252,418,67,58,152,6,695,329,114,72,240,7,755,3930,1727,1308,11671,204,18843,2403,36,191,25,11,2672,130,19,10,74,3,238,630,186,136,1054,15,2022,388,138,70,298,5,902,129,31,14,61,0,237,5019,87,34,31,13,5179,652,348,225,3122,38,4385,947,393,197,1301,20,2854,83,0,8,0,0,92,218,46,15,47,0,325,400,75,36,109,5,621,1543,425,273,1276,30,3547,549,59,76,26,4,713,366,105,78,56,3,612,333,73,45,218,5,674,65,11,9,33,0,117,1564,72,36,11,8,1693,875,371,287,2654,18,4217,478,65,27,68,6,647,106,13,12,5,9,155,345,24,10,53,7,443,369,24,0,13,0,411,724,21,55,17,3,824,102,30,12,113,0,260,15687,742,493,768,97,17785,857,39,39,282,4740,5957,36246,4545,3186,27008,5360,76346
UCL212001,187,904,621,6702,60,8466,3,24,13,290,4,340,125,12,12,31,0,178,100,27,15,65,3,209,182,73,42,186,3,476,1287,758,594,5769,82,8487,116,14,25,0,0,155,25,12,0,31,0,75,198,78,59,547,5,885,90,27,11,97,0,220,56,11,6,28,0,102,519,24,8,18,0,569,290,151,126,2003,17,2588,261,116,58,493,3,926,17,3,0,0,0,18,20,8,0,18,0,43,31,6,4,9,0,57,265,116,63,320,9,776,59,10,10,5,0,79,85,39,46,20,0,185,119,32,20,90,0,260,16,0,0,14,0,39,51,11,4,0,0,68,395,188,140,1689,22,2432,56,14,12,16,3,102,44,6,8,9,0,65,56,7,7,12,0,79,33,8,0,0,0,39,50,0,8,0,0,59,50,14,13,49,0,125,1275,193,126,280,15,1891,54,12,12,148,730,954,4938,1625,1170,13046,919,21692
UCL212002,57,324,263,5096,89,5830,0,13,11,558,6,598,60,4,5,24,0,88,8,4,6,10,0,29,47,25,17,58,3,154,469,313,240,4780,83,5881,130,0,16,7,0,147,22,4,6,17,0,57,59,28,29,427,3,552,25,10,3,8,0,38,10,3,3,9,0,32,98,3,0,5,0,101,108,57,35,1421,13,1638,84,39,20,274,4,420,11,0,0,0,0,11,0,0,0,7,0,7,0,0,0,0,0,3,18,12,5,29,0,65,45,8,6,0,0,63,20,15,13,18,0,64,23,5,9,20,0,52,4,0,0,3,0,10,0,0,0,0,0,0,138,86,53,1244,10,1527,11,0,0,0,0,9,10,5,4,0,0,17,7,0,0,19,0,37,40,5,4,6,0,45,26,3,0,0,0,29,16,3,5,35,0,58,301,45,34,115,5,494,20,7,0,113,721,859,1520,607,463,10266,906,13764
UCL212003,298,785,504,10537,167,12288,19,85,21,1705,38,1864,910,3,12,53,8,995,116,22,14,76,3,234,110,45,21,114,3,295,1118,711,462,10192,165,12648,316,5,39,5,0,371,33,5,0,74,0,112,194,86,50,1362,18,1705,201,44,16,181,3,448,42,9,3,39,0,101,453,11,6,0,0,471,166,137,66,2619,27,3013,848,237,121,1280,25,2508,56,0,3,0,0,64,5,6,0,4,0,10,13,0,0,3,0,20,19,15,6,42,0,76,52,13,11,13,0,94,73,35,26,22,0,152,48,22,7,61,0,141,21,5,0,9,0,33,75,13,13,0,6,107,225,144,124,2558,19,3063,24,3,0,0,0,30,50,3,0,0,0,59,33,4,6,24,0,63,30,9,3,9,0,43,326,0,3,3,8,337,30,17,18,76,0,140,3043,274,139,406,33,3896,175,19,7,284,2354,2841,7920,1638,1000,22303,2795,35652
UCL212004,96,936,650,7288,99,9062,0,5,9,122,5,146,79,18,21,56,0,178,39,10,5,28,0,76,230,90,61,184,4,574,1358,799,581,6775,114,9622,25,0,5,0,0,26,34,12,9,57,0,116,196,67,57,661,10,986,57,27,7,56,0,143,29,8,9,25,0,70,38,10,0,10,0,56,291,236,136,3031,29,3717,216,83,44,407,10,755,0,0,0,0,0,4,4,0,0,21,0,24,12,6,0,9,0,29,83,26,16,62,0,187,18,16,9,12,0,47,55,34,26,20,0,132,67,22,11,47,3,147,15,4,0,7,0,27,4,0,0,3,0,3,349,245,150,2258,24,3033,16,0,0,7,0,20,53,19,16,6,0,94,24,4,0,21,0,50,3,3,0,4,0,15,7,4,3,3,0,21,70,22,20,95,4,210,493,176,149,340,4,1158,22,10,8,169,899,1109,3116,1635,1139,15014,1129,22035
