UCL_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
UCL201001,114,948,1198,2626,1095,779,590,183,46,7567,58,641,1226,4289,2753,1792,1226,607,124,12714,121,1226,3234,14466,5180,4137,3009,1306,373,33047,45,164,265,2339,370,223,252,62,8,3727,85,663,1166,2680,398,135,99,30,6,5256,23,176,273,2470,1974,2150,963,632,109,8760,320,1196,1198,3236,1382,999,653,267,48,9300,138,1107,2980,11215,8441,8785,4682,1376,497,39233,0,42,74,470,337,331,270,177,67,1755,9,57,267,1028,479,274,109,36,3,2261,571,4363,6885,30915,13597,12006,9878,6407,2421,87055,4982,10744,11886,33852,11907,9706,7638,5690,2883,99281,137937,284607,289091,711643,284946,236664,174337,99909,36647,2255791,69,825,1898,4964,1378,693,287,97,26,10237,121026,221887,192061,350585,168521,132712,94213,53202,26574,1360789,20,305,347,2769,484,261,134,18,0,4339,6,11,70,1415,765,1044,602,302,99,4311,19,92,207,2019,325,157,74,28,9,2927,33,202,751,3373,1713,1421,916,350,121,8869,56,271,294,2224,779,463,252,101,34,4468
UCL203001,0,4,3,13,5,3,6,0,0,34,4,10,15,43,19,26,15,3,0,129,0,0,11,87,12,6,8,0,0,133,0,0,3,6,4,0,0,0,0,17,0,4,15,4,10,0,0,0,0,40,0,0,0,4,0,0,3,0,0,11,0,20,14,50,19,15,21,7,0,146,0,9,9,22,13,4,3,0,0,63,0,0,0,8,3,3,10,4,5,38,0,5,0,10,5,0,3,0,0,31,0,25,52,171,69,72,64,49,20,527,120,341,331,653,307,293,282,203,100,2626,3074,6904,6580,13496,5936,5659,4969,2844,982,50442,0,0,0,0,0,0,0,0,0,3,2880,5930,5752,11432,5574,5414,4752,2700,1387,45825,0,3,3,28,4,0,3,0,0,46,0,0,0,0,0,3,0,0,0,10,0,5,0,19,5,0,0,0,0,25,0,0,4,3,3,0,0,0,0,14,0,5,3,25,11,10,8,0,0,69
UCL203002,0,0,3,9,0,4,4,0,0,25,0,10,15,34,29,13,11,4,0,124,0,13,20,57,22,14,4,4,0,135,0,3,3,21,4,0,0,0,0,29,10,94,161,79,6,7,0,0,0,343,0,0,0,0,4,0,3,0,0,11,0,3,11,15,15,8,16,5,0,72,0,9,3,18,6,7,0,0,0,44,0,0,0,3,7,7,4,0,0,27,0,0,0,18,10,0,0,0,0,35,8,23,34,93,41,55,44,32,5,339,118,312,272,661,291,301,251,191,101,2493,3038,6665,6030,12473,5580,5475,5046,2852,1063,48224,0,5,12,19,5,0,0,0,0,39,2826,5608,5376,10917,5241,5411,4905,2773,1423,44488,0,4,3,20,0,4,0,0,0,28,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,16,0,3,0,10,4,0,0,0,0,19,0,5,0,27,15,0,3,4,0,53
UCL203003,0,9,18,27,13,14,18,0,0,98,0,18,32,100,56,43,36,7,5,295,6,13,74,256,32,12,24,10,0,422,0,5,0,21,0,0,0,0,0,23,3,61,103,68,5,3,4,0,0,240,0,5,0,15,19,14,6,8,0,72,0,18,24,84,51,32,19,11,0,246,0,8,38,93,35,28,21,4,0,229,0,0,5,19,21,12,18,19,4,89,0,0,16,46,18,11,3,0,0,91,14,116,157,506,189,253,282,250,103,1870,182,466,611,1277,524,475,399,282,110,4327,5540,10729,11822,25527,10283,9378,7853,4465,1698,87298,0,16,56,108,43,13,9,3,0,240,4938,8980,9608,19177,8617,7932,6285,3543,1834,70905,0,7,3,54,3,5,0,0,0,74,0,0,5,52,35,66,39,30,8,229,0,4,0,44,5,6,0,0,0,63,0,0,0,16,6,8,3,0,0,40,5,11,10,94,33,12,10,4,0,176
UCL211001,0,0,0,0,0,0,0,0,0,7,0,6,14,9,9,9,0,0,0,41,0,0,0,16,13,0,0,0,0,28,0,0,0,3,0,0,0,0,0,6,0,0,3,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,7,13,8,4,11,0,0,35,3,21,11,51,4,0,0,0,0,91,0,0,0,3,6,3,9,3,0,22,0,4,3,3,8,0,4,0,0,17,5,50,75,96,58,44,46,43,18,434,45,142,120,260,109,111,105,60,22,982,1152,2607,2510,4817,2191,2094,1888,929,267,18454,0,0,0,0,0,0,0,0,0,0,1152,2237,1883,4151,1949,1977,1651,823,282,16103,0,0,0,6,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,6,0,0,0,4,0,0,0,0,0,4,0,3,0,8,0,0,0,0,0,10,0,0,0,4,3,3,0,0,0,11
UCL211002,0,7,4,6,11,4,3,0,0,46,0,6,18,29,11,7,3,3,0,77,0,19,23,134,55,25,13,5,0,273,0,0,0,3,4,0,0,0,0,9,0,15,24,27,9,0,0,0,0,78,0,0,5,16,12,14,8,6,0,62,0,9,10,21,15,4,6,0,0,68,0,12,7,108,41,42,16,4,0,228,0,0,0,6,5,7,3,0,0,17,0,8,4,24,8,5,4,0,0,54,16,158,297,759,289,204,160,74,20,1982,216,456,311,794,285,215,128,84,21,2506,3562,6209,4616,12229,4081,3078,2503,1050,219,37551,0,6,5,24,0,0,0,0,0,39,3165,4807,2951,6235,2372,1883,1498,514,189,23606,0,30,13,155,13,5,5,0,0,218,0,0,0,31,21,20,9,3,0,82,0,0,0,8,5,3,0,0,0,17,0,0,0,16,6,3,0,0,0,24,0,0,0,18,4,3,0,0,0,31
UCL212001,0,10,0,3,0,0,0,0,0,11,0,0,0,12,9,0,4,0,0,33,0,0,4,18,5,4,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,6,4,5,0,0,0,21,0,0,0,8,3,0,5,0,0,15,0,0,0,4,4,0,7,0,3,18,0,0,5,11,0,0,0,0,0,17,3,8,6,47,33,21,22,25,9,179,30,52,39,114,59,40,56,27,7,423,782,1589,1189,3056,1281,1068,977,471,129,10526,0,0,0,0,0,0,0,0,0,0,689,1308,1067,2475,1096,911,756,411,193,8911,0,0,0,9,0,0,0,0,0,10,0,0,0,3,0,3,0,0,0,5,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,12
UCL212002,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,3,0,0,0,12,0,0,0,25,0,0,0,0,0,29,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,3,0,11,3,8,0,3,0,36,16,48,36,100,61,47,63,48,22,439,349,818,759,1427,800,867,824,534,190,6552,0,0,0,0,0,0,0,0,0,0,329,695,692,1250,770,846,779,476,245,6084,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6
UCL212003,0,0,0,4,0,0,0,0,0,5,0,4,13,11,9,3,4,0,0,43,0,0,0,18,7,6,4,3,0,35,5,0,0,22,0,0,0,0,0,33,0,4,9,28,7,0,0,0,0,46,0,0,8,21,25,24,22,16,3,115,0,0,0,7,5,0,0,0,0,22,0,9,14,51,21,37,14,8,0,150,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,0,0,0,0,16,3,17,33,133,39,47,35,21,4,333,63,170,168,346,162,166,133,103,48,1366,1067,2208,2143,4577,1977,1999,1742,1048,373,17129,0,6,34,44,14,7,6,0,0,107,969,1829,1671,3314,1698,1732,1561,948,461,14183,0,0,5,7,0,0,0,0,0,12,0,0,0,7,0,3,0,0,0,4,0,0,0,4,0,0,0,0,0,4,0,0,0,11,3,3,3,0,0,25,0,0,0,4,9,0,4,0,0,19
UCL212004,0,4,0,3,3,0,3,0,0,11,0,3,0,13,5,4,0,3,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,8,6,7,0,3,3,0,0,35,0,0,0,0,0,0,0,0,0,4,0,3,0,0,8,3,7,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,4,35,15,12,17,12,0,95,12,55,37,96,70,78,95,61,18,535,581,1655,1036,2236,1355,1318,1447,650,207,10477,0,0,0,0,0,0,0,0,0,0,564,1479,906,2141,1302,1317,1257,520,216,9704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,26
