UCL_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
UCL201001,71,279,672,3606,2020,1865,4015,3649,1501,17681,28,426,882,2176,2497,6330,10626,15211,6228,44391,222,1576,2318,9564,3131,3692,2904,641,200,24262,2067,13575,24127,147941,20621,11977,8511,3549,1119,233490,95,573,2990,9569,2665,1192,1289,470,125,18974,87,1423,2180,11523,2765,1512,823,339,92,20740,59,2214,2920,9612,4434,3055,1567,664,176,24704,53,543,546,6609,1757,1562,1444,973,479,13975,26,344,616,4637,2377,7732,15355,15542,9611,56229,113,552,810,3771,1801,643,430,128,63,8319,88,657,1548,8248,2475,964,398,168,31,14582,105,371,704,4789,3867,3943,2741,1164,300,17972,266,2605,6566,24113,7455,6889,6142,2161,489,56679,0,16,51,397,582,2035,5235,3915,1299,13525,12,115,700,3904,1422,2181,1797,877,388,11392,19,409,1835,6006,1759,909,508,216,94,11760,45,315,4922,11964,625,262,125,27,0,18290,32,215,339,1243,856,1040,2879,2494,1194,10290,875,6818,9898,30662,12129,9349,5000,1939,542,77217,11,107,261,2995,2690,3854,4758,2202,665,17551
UCL203001,0,6,9,34,20,29,108,60,20,296,0,0,0,0,0,0,23,25,8,60,0,10,13,24,13,8,8,0,0,69,17,87,311,1174,142,43,39,18,0,1827,0,5,13,37,17,0,8,4,3,90,0,0,9,35,12,0,3,4,0,72,0,8,3,23,14,3,0,0,0,51,5,3,12,46,33,13,26,17,18,164,0,4,0,14,9,17,53,25,29,156,0,3,7,38,21,7,3,0,7,83,0,4,7,37,7,6,0,0,0,63,0,0,0,8,0,5,0,0,0,14,0,19,25,90,38,36,24,9,3,244,0,0,0,0,3,8,28,17,6,62,0,0,0,26,3,4,3,0,0,35,0,0,0,7,8,0,0,0,0,16,0,6,61,143,4,0,0,0,0,212,0,4,6,13,12,26,164,171,58,453,5,43,68,271,159,169,125,47,16,918,0,0,0,3,3,3,0,0,0,15
UCL203002,0,4,7,19,17,29,58,40,10,185,0,0,0,6,0,12,9,12,9,55,0,6,10,15,4,4,9,0,0,53,8,91,122,794,91,36,32,12,3,1202,0,0,6,27,25,14,0,4,0,81,0,12,11,19,9,4,0,0,0,56,0,0,0,10,0,4,5,3,0,25,0,5,0,32,13,18,21,13,4,106,0,0,0,9,0,24,44,27,13,120,0,4,5,16,5,6,0,0,0,30,5,7,5,47,3,8,0,0,0,68,0,0,4,10,0,3,3,0,0,19,0,15,33,122,49,28,30,5,4,274,0,0,0,0,0,0,22,9,0,30,0,0,3,21,4,4,0,3,0,38,4,8,65,410,136,77,46,21,4,769,0,3,13,108,6,0,0,0,0,127,0,0,5,9,8,9,78,66,20,193,4,46,55,191,142,145,84,42,8,711,0,0,0,0,0,0,4,0,0,9
UCL203003,4,13,19,88,67,56,282,191,118,839,0,5,10,12,22,37,75,100,51,305,0,34,41,67,19,23,26,0,0,207,36,183,667,3187,175,76,77,30,10,4438,0,13,32,115,45,10,19,5,0,239,6,47,80,231,47,38,13,4,5,471,0,36,37,86,43,27,10,4,0,246,0,33,19,167,63,55,49,37,20,442,0,3,18,76,39,150,329,330,229,1173,0,10,12,60,33,13,0,0,0,134,0,13,17,112,17,6,3,0,0,168,4,4,5,16,8,29,18,7,0,89,0,38,70,240,75,81,45,17,3,578,0,0,0,6,5,19,59,34,6,123,0,7,23,49,18,6,0,0,0,109,4,13,68,270,93,55,33,10,3,544,0,7,42,273,4,0,0,0,0,325,0,17,10,31,20,59,316,248,119,831,18,91,162,662,349,290,179,69,19,1846,0,4,0,58,68,138,196,112,49,620
UCL211001,0,4,9,18,15,28,118,61,16,266,0,0,0,0,3,0,4,0,0,17,0,0,0,5,8,0,0,0,0,17,4,29,34,275,30,13,15,4,0,397,0,0,0,11,4,0,0,0,0,18,0,0,0,16,4,4,0,0,0,23,0,0,0,4,0,0,0,0,0,8,0,4,0,16,7,6,4,4,0,43,0,0,0,3,0,5,17,15,9,53,0,0,0,3,3,0,4,0,0,5,0,0,0,16,3,0,0,0,0,22,0,7,0,5,3,5,0,0,0,16,0,7,3,21,13,4,6,5,0,52,0,0,0,0,0,0,9,3,0,11,0,0,0,6,4,0,0,0,0,15,0,0,0,3,3,0,0,0,0,13,0,24,32,47,3,0,0,0,0,106,0,0,0,3,8,4,41,47,11,118,4,22,31,89,77,66,53,20,5,366,0,0,0,0,0,0,3,0,0,6
UCL211002,0,0,6,30,7,26,100,48,10,230,0,0,0,7,18,24,28,36,7,122,0,4,3,13,3,8,3,0,0,42,43,302,428,4312,281,194,146,41,4,5748,0,9,6,75,31,14,6,0,0,135,0,6,5,39,8,4,4,3,0,72,0,26,29,81,25,12,7,3,0,176,0,7,3,23,11,12,25,19,0,100,0,4,9,20,25,71,86,49,14,273,0,0,3,15,5,0,3,0,0,34,0,3,9,30,16,8,6,5,0,76,0,0,5,41,23,20,12,7,0,112,0,83,20,103,34,24,17,8,0,291,0,11,21,57,53,112,282,147,21,701,0,3,6,72,14,11,9,4,0,123,8,23,90,349,74,23,9,4,0,580,0,6,25,105,0,0,0,0,0,138,0,0,3,5,15,14,54,37,8,128,58,435,386,737,263,200,91,23,7,2190,0,0,6,56,42,40,60,7,4,223
UCL212001,0,0,0,6,7,13,42,18,13,104,0,0,0,6,0,6,10,16,0,33,0,0,0,6,3,0,0,0,0,9,8,39,56,492,12,25,21,3,0,665,0,0,0,6,0,0,0,0,0,15,0,0,0,3,5,7,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,0,0,12,11,9,6,4,0,47,0,0,0,4,8,20,18,19,6,71,0,0,3,3,0,0,0,0,0,11,0,0,0,7,3,0,0,0,0,7,0,0,0,0,3,0,0,0,0,4,0,4,4,11,5,3,0,0,0,22,0,0,3,8,10,19,28,14,4,91,0,0,0,7,4,4,0,0,0,16,0,3,0,6,3,0,0,0,0,17,0,0,0,3,0,0,0,0,0,5,0,0,3,5,15,10,34,12,11,92,4,18,18,107,68,40,34,12,0,304,0,0,0,4,0,6,0,0,0,9
UCL212002,0,0,0,4,0,0,6,6,6,26,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,5,0,0,0,11,0,10,6,64,0,0,4,0,4,89,0,0,0,0,5,0,0,0,0,6,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,8,5,0,4,0,0,29,0,0,0,3,0,4,7,10,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,0,0,0,0,0,29,0,0,0,3,0,0,9,7,6,27,0,6,10,44,25,31,23,6,0,140,0,0,0,0,0,0,0,0,0,5
UCL212003,0,0,0,15,7,4,30,17,4,82,0,0,0,0,0,12,23,41,18,97,0,3,8,36,0,11,5,0,0,63,3,42,42,339,55,17,12,6,0,521,0,5,0,20,9,5,0,0,0,38,0,3,3,15,3,0,0,0,0,22,0,10,0,12,12,6,0,0,0,48,0,11,0,9,0,0,3,3,3,30,0,0,0,21,4,32,93,106,82,338,0,0,0,17,0,0,0,0,0,17,0,0,6,35,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,7,35,112,569,126,31,3,3,0,884,0,0,0,0,0,0,0,3,5,3,0,0,0,10,0,0,0,0,0,18,0,5,3,16,0,0,0,0,0,25,0,0,10,56,0,0,0,0,0,67,0,0,0,3,0,5,21,16,10,52,3,32,28,97,67,39,27,20,4,316,0,0,0,6,0,0,0,0,0,8
UCL212004,0,0,0,17,8,8,40,24,12,100,0,0,0,0,0,4,3,0,0,7,0,4,7,0,0,0,0,0,0,11,0,4,0,11,0,3,9,3,0,32,3,0,0,5,4,0,3,0,4,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,12,19,9,11,5,0,64,0,0,0,13,14,9,17,8,10,68,0,4,0,6,4,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,6,0,0,0,15,0,0,0,0,0,8,22,4,0,34,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,10,43,20,11,111,0,5,4,72,42,27,34,15,3,195,0,0,0,0,0,0,0,0,0,0
