UCL_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
UCL201001,..,3340,9923,2448,2509,2364,2411,1184,690,1003,25868,..,4445,19379,6559,6848,6588,6444,2329,908,1574,55077,..,47,246,254,388,790,1449,864,761,468,5264,..,9,20,21,26,48,144,88,92,51,495,..,4495,19641,6828,7260,7430,8033,3280,1773,2096,60830,..,0,45,12,15,18,24,10,19,121,267,..,7836,29615,9286,9785,9806,10471,4475,2477,3219,86966,8623,13225,6143,1106,1287,1672,2209,1028,392,757,36451,7961,22163,22775,8016,9492,12558,16578,6541,707,1525,108323,189,192,575,469,720,1159,1410,502,191,186,5594,12,30,25,12,11,11,24,8,0,24,165,8160,22384,23375,8492,10223,13732,18019,7056,903,1736,114083,15,26,36,10,12,22,36,11,0,358,529,16796,35633,29561,9619,11524,15418,20262,8093,1301,2858,151064,21633,10479,15814,4395,4930,5489,5911,1925,712,1371,72670,25091,44260,62198,17972,20161,23406,23728,6483,1640,2789,227721,578,2463,5613,1859,2241,2662,2970,919,275,597,20178,31,52,77,20,23,41,40,15,0,56,362,25706,46773
UCL203001,..,45,138,21,17,41,29,22,10,21,350,..,28,106,37,32,34,38,16,7,13,310,..,0,0,0,0,0,0,7,6,9,18,..,0,0,0,0,0,0,0,0,0,3,..,28,110,40,32,34,37,21,10,17,336,..,0,0,0,0,0,0,0,0,0,0,..,74,248,61,49,82,69,46,24,41,689,86,127,64,9,3,11,17,13,0,15,351,32,153,104,39,55,95,136,87,3,8,710,0,0,3,0,0,0,5,0,0,8,20,0,0,0,0,0,0,0,0,0,0,4,32,153,111,47,55,95,140,93,3,11,736,0,0,0,0,0,0,0,0,0,4,4,120,285,174,53,61,106,162,103,6,32,1090,213,96,141,29,41,41,29,13,5,13,612,58,213,446,142,144,182,201,41,13,19,1458,0,8,5,9,15,10,10,0,0,5,60,0,0,0,0,0,0,0,0,0,0,3,61,225
UCL203002,..,32,69,28,25,18,23,15,11,6,225,..,57,131,67,53,62,39,23,4,7,450,..,3,3,5,9,17,13,9,0,0,69,..,0,0,0,0,0,0,0,0,0,6,..,58,140,70,63,86,59,34,9,7,521,..,0,0,0,0,0,0,0,0,0,0,..,88,207,104,91,105,80,44,19,14,747,67,108,38,13,14,14,10,5,6,10,266,24,231,187,61,59,58,51,23,5,17,710,0,8,15,9,21,24,6,0,7,3,85,0,0,0,0,0,0,0,0,0,0,0,24,233,200,68,81,82,58,23,5,17,794,0,4,0,0,0,0,0,0,0,0,4,92,343,236,75,91,99,70,29,7,26,1059,134,63,79,27,18,24,19,9,3,10,392,45,263,360,125,122,144,115,43,7,13,1242,7,71,72,16,16,24,24,9,0,4,242,0,0,0,0,0,0,0,0,0,0,7,49,333
UCL203003,..,97,335,58,52,56,71,31,13,27,733,..,93,346,128,133,124,121,58,20,26,1044,..,0,8,5,9,16,28,16,9,17,111,..,0,0,0,0,0,0,4,0,0,12,..,93,356,133,141,144,158,77,28,40,1158,..,0,0,0,0,0,0,0,0,4,10,..,189,689,193,194,201,231,107,40,67,1897,183,359,170,34,20,35,73,43,8,18,945,88,394,506,150,161,227,393,186,14,46,2166,3,0,17,13,25,25,22,14,7,5,130,0,0,0,0,0,0,3,0,0,6,9,87,399,522,163,185,253,422,197,21,52,2304,0,0,0,0,0,0,0,0,0,4,10,277,755,692,199,203,297,497,241,25,79,3258,466,244,374,86,97,108,154,58,9,49,1646,242,606,1391,449,533,671,741,205,28,55,4909,7,40,102,27,37,22,41,13,6,5,294,0,0,5,0,0,0,0,0,0,6,7,250,648
UCL211001,..,19,37,4,11,10,4,5,9,3,91,..,9,50,34,33,51,38,10,9,6,233,..,0,0,0,6,18,24,0,0,0,42,..,0,0,0,0,0,0,0,0,0,0,..,11,50,37,33,64,51,10,11,4,281,..,0,0,0,0,0,0,0,0,0,0,..,30,89,40,43,73,58,21,17,13,375,16,50,26,3,0,6,0,0,0,5,106,0,40,62,23,24,35,29,8,0,4,230,0,0,0,0,4,18,12,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,37,59,23,25,56,41,13,0,4,264,0,0,0,0,0,0,0,0,0,0,0,20,92,87,27,28,54,44,10,0,10,375,55,26,35,4,0,9,10,0,4,10,154,22,71,115,42,51,32,44,7,10,5,392,0,0,11,4,6,22,10,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,29,71
UCL211002,..,61,278,70,67,48,46,18,9,24,622,..,135,523,163,139,115,114,15,17,48,1256,..,0,4,3,14,10,17,19,11,12,96,..,0,6,0,0,0,0,3,0,0,12,..,135,531,161,152,134,136,35,29,61,1366,..,0,0,0,0,0,0,0,0,3,6,..,197,813,234,222,178,180,54,43,88,1994,128,258,143,25,21,17,17,9,6,16,637,148,569,459,116,91,125,180,56,12,22,1782,0,5,10,3,11,9,19,3,3,3,64,0,0,0,0,0,0,0,0,0,0,4,155,573,467,126,98,137,198,62,18,28,1849,0,4,0,0,0,0,0,0,0,3,12,287,839,610,148,119,158,213,66,25,46,2497,306,201,190,42,35,25,18,13,4,36,865,426,1202,1315,315,274,299,271,62,39,47,4259,7,57,120,32,24,36,42,7,5,4,330,0,3,7,0,0,0,0,0,0,0,7,431,1262
UCL212001,..,13,22,9,8,8,0,0,0,4,65,..,6,42,11,5,0,13,0,6,0,94,..,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,6,42,11,5,3,15,0,6,7,98,..,0,0,0,0,0,0,0,0,0,0,..,22,65,17,15,9,20,5,6,11,164,15,42,14,3,0,0,0,0,0,0,80,11,18,15,9,11,14,15,16,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,15,9,11,14,15,16,0,0,104,0,0,0,0,0,0,0,0,0,0,0,24,57,35,11,15,9,15,15,0,6,179,49,27,45,4,10,8,3,3,5,0,149,22,54,140,49,32,38,27,3,6,5,378,0,0,7,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,17,54
UCL212002,..,3,19,0,0,6,5,0,0,0,41,..,0,5,0,10,6,14,0,0,0,37,..,0,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,5,0,0,0,0,..,0,5,0,10,6,16,3,0,0,45,..,0,0,0,0,0,0,0,0,0,0,..,3,21,5,5,15,18,9,0,0,88,5,9,0,0,0,0,0,0,0,0,17,0,5,5,3,4,0,9,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,4,0,9,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,10,12,7,3,4,0,9,0,0,0,47,19,9,15,4,3,0,5,3,0,0,62,3,11,40,19,13,21,23,4,0,3,140,0,0,5,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,16
UCL212003,..,3,28,4,8,8,11,0,0,9,89,..,15,61,20,19,48,52,14,0,3,238,..,0,0,3,0,6,3,6,6,6,31,..,0,0,0,0,0,0,4,0,0,4,..,15,61,27,23,55,52,27,6,12,276,..,0,0,0,0,0,0,0,0,0,0,..,17,89,30,35,61,64,25,12,26,359,17,32,19,3,0,0,7,3,0,6,79,13,54,68,23,34,62,59,17,0,0,333,5,3,6,0,17,19,25,7,0,0,91,0,0,0,0,0,0,0,0,0,0,4,15,60,75,24,50,81,80,30,0,5,425,0,0,0,0,0,0,0,0,0,0,0,29,87,89,30,52,83,90,30,0,7,504,46,38,42,17,20,8,20,3,0,9,197,48,102,203,109,101,109,125,44,5,21,863,16,11,38,40,60,53,78,28,0,7,338,0,0,0,0,0,0,0,0,0,3,7,63,111
UCL212004,..,22,39,18,7,8,11,7,0,8,120,..,0,4,0,0,0,0,0,3,0,14,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,4,0,0,0,0,0,4,0,15,..,0,0,0,0,0,0,0,0,0,0,..,24,46,12,7,8,10,7,4,10,132,15,31,12,4,0,0,0,0,0,3,70,4,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,15,41,12,4,0,0,3,0,0,3,78,22,17,30,7,11,4,3,3,7,0,101,7,6,28,9,5,9,4,3,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,6
