UCL_CODE_2021,A55_64_UOLSE_VWW_17,A55_64_UOLSE_VWW_18,A55_64_UOLSE_VWW_19,A55_64_UOLSE_VWW_20,A55_64_UOLSE_VWW_21,A55_64_UOLSE_VWW_YNS,A55_64_UOLSE_VWW_T,A55_64_UOLSE_NWNAA_B_05,A55_64_UOLSE_NWNAA_05_10,A55_64_UOLSE_NWNAA_11_15,A55_64_UOLSE_NWNAA_16,A55_64_UOLSE_NWNAA_17,A55_64_UOLSE_NWNAA_18,A55_64_UOLSE_NWNAA_19,A55_64_UOLSE_NWNAA_20,A55_64_UOLSE_NWNAA_21,A55_64_UOLSE_NWNAA_YNS,A55_64_UOLSE_NWNAA_T,A55_64_UOLSE_PinE_NS_B_05,A55_64_UOLSE_PinE_NS_05_10,A55_64_UOLSE_PinE_NS_11_15,A55_64_UOLSE_PinE_NS_16,A55_64_UOLSE_PinE_NS_17,A55_64_UOLSE_PinE_NS_18,A55_64_UOLSE_PinE_NS_19,A55_64_UOLSE_PinE_NS_20,A55_64_UOLSE_PinE_NS_21,A55_64_UOLSE_PinE_NS_YNS,A55_64_UOLSE_PinE_NS_T,A55_64_UOLSE_T_B_05,A55_64_UOLSE_T_05_10,A55_64_UOLSE_T_11_15,A55_64_UOLSE_T_16,A55_64_UOLSE_T_17,A55_64_UOLSE_T_18,A55_64_UOLSE_T_19,A55_64_UOLSE_T_20,A55_64_UOLSE_T_21,A55_64_UOLSE_T_YNS,A55_64_UOLSE_T_T,A55_64_L_PinE_NS_B_05,A55_64_L_PinE_NS_05_10,A55_64_L_PinE_NS_11_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_17,A55_64_L_PinE_NS_18,A55_64_L_PinE_NS_19,A55_64_L_PinE_NS_20,A55_64_L_PinE_NS_21,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B_05,A55_64_T_05_10,A55_64_T_11_15,A55_64_T_16,A55_64_T_17,A55_64_T_18,A55_64_T_19,A55_64_T_20,A55_64_T_21,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B_05,A65_74_SEO_05_10,A65_74_SEO_11_15,A65_74_SEO_16,A65_74_SEO_17,A65_74_SEO_18,A65_74_SEO_19,A65_74_SEO_20,A65_74_SEO_21,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_UOLSE_VWW_B_05,A65_74_UOLSE_VWW_05_10,A65_74_UOLSE_VWW_11_15,A65_74_UOLSE_VWW_16,A65_74_UOLSE_VWW_17,A65_74_UOLSE_VWW_18,A65_74_UOLSE_VWW_19,A65_74_UOLSE_VWW_20,A65_74_UOLSE_VWW_21,A65_74_UOLSE_VWW_YNS,A65_74_UOLSE_VWW_T,A65_74_UOLSE_NWNAA_B_05,A65_74_UOLSE_NWNAA_05_10,A65_74_UOLSE_NWNAA_11_15,A65_74_UOLSE_NWNAA_16,A65_74_UOLSE_NWNAA_17,A65_74_UOLSE_NWNAA_18,A65_74_UOLSE_NWNAA_19,A65_74_UOLSE_NWNAA_20,A65_74_UOLSE_NWNAA_21,A65_74_UOLSE_NWNAA_YNS,A65_74_UOLSE_NWNAA_T,A65_74_UOLSE_PinE_NS_B_05,A65_74_UOLSE_PinE_NS_05_10,A65_74_UOLSE_PinE_NS_11_15,A65_74_UOLSE_PinE_NS_16,A65_74_UOLSE_PinE_NS_17,A65_74_UOLSE_PinE_NS_18,A65_74_UOLSE_PinE_NS_19,A65_74_UOLSE_PinE_NS_20,A65_74_UOLSE_PinE_NS_21,A65_74_UOLSE_PinE_NS_YNS,A65_74_UOLSE_PinE_NS_T,A65_74_UOLSE_T_B_05,A65_74_UOLSE_T_05_10,A65_74_UOLSE_T_06,A65_74_UOLSE_T_16,A65_74_UOLSE_T_17,A65_74_UOLSE_T_18,A65_74_UOLSE_T_19,A65_74_UOLSE_T_20,A65_74_UOLSE_T_21,A65_74_UOLSE_T_YNS,A65_74_UOLSE_T_T,A65_74_L_PinE_NS_B_05,A65_74_L_PinE_NS_05_10,A65_74_L_PinE_NS_11_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_17,A65_74_L_PinE_NS_18,A65_74_L_PinE_NS_19,A65_74_L_PinE_NS_20,A65_74_L_PinE_NS_21,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B_05,A65_74_T_05_10,A65_74_T_11_15,A65_74_T_16,A65_74_T_17,A65_74_T_18,A65_74_T_19,A65_74_T_20,A65_74_T_21,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B_05,A75_84_SEO_05_10,A75_84_SEO_11_15,A75_84_SEO_16,A75_84_SEO_17,A75_84_SEO_18,A75_84_SEO_19,A75_84_SEO_20,A75_84_SEO_21,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_UOLSE_VWW_B_05,A75_84_UOLSE_VWW_05_10,A75_84_UOLSE_VWW_11_15,A75_84_UOLSE_VWW_16,A75_84_UOLSE_VWW_17,A75_84_UOLSE_VWW_18,A75_84_UOLSE_VWW_19,A75_84_UOLSE_VWW_20,A75_84_UOLSE_VWW_21,A75_84_UOLSE_VWW_YNS,A75_84_UOLSE_VWW_T,A75_84_UOLSE_NWNAA_B_05,A75_84_UOLSE_NWNAA_05_10,A75_84_UOLSE_NWNAA_11_15,A75_84_UOLSE_NWNAA_16,A75_84_UOLSE_NWNAA_17,A75_84_UOLSE_NWNAA_18,A75_84_UOLSE_NWNAA_19,A75_84_UOLSE_NWNAA_20,A75_84_UOLSE_NWNAA_21,A75_84_UOLSE_NWNAA_YNS,A75_84_UOLSE_NWNAA_T,A75_84_UOLSE_PinE_NS_B_05,A75_84_UOLSE_PinE_NS_05_10,A75_84_UOLSE_PinE_NS_11_15,A75_84_UOLSE_PinE_NS_16,A75_84_UOLSE_PinE_NS_17,A75_84_UOLSE_PinE_NS_18,A75_84_UOLSE_PinE_NS_19,A75_84_UOLSE_PinE_NS_20,A75_84_UOLSE_PinE_NS_21,A75_84_UOLSE_PinE_NS_YNS,A75_84_UOLSE_PinE_NS_T,A75_84_UOLSE_T_B_05,A75_84_UOLSE_T_05_10,A75_84_UOLSE_T_11_15,A75_84_UOLSE_T_16,A75_84_UOLSE_T_17,A75_84_UOLSE_T_18,A75_84_UOLSE_T_19,A75_84_UOLSE_T_20,A75_84_UOLSE_T_21,A75_84_UOLSE_T_YNS,A75_84_UOLSE_T_T,A75_84_L_PinE_NS_B_05,A75_84_L_PinE_NS_05_10,A75_84_L_PinE_NS_11_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_17,A75_84_L_PinE_NS_18
UCL201001,459,410,645,519,104,1377,94309,21843,4650,5296,1309,1160,1163,2839,1347,176,1169,40954,185,36,18,5,5,4,11,13,0,50,331,101417,12160,8714,1855,1622,1575,3496,1872,278,2599,135591,101,13,11,4,8,0,0,3,0,217,362,169415,16581,10483,2090,1876,1805,3746,2046,346,4080,212457,64626,1058,674,119,104,104,176,93,40,1283,68267,66078,1589,1302,291,234,248,705,464,69,1321,72301,24419,3382,4466,1083,877,887,2473,1115,115,982,39809,271,4,26,4,4,3,16,5,0,82,405,90764,4983,5793,1376,1118,1145,3190,1589,188,2382,112523,139,7,8,0,0,0,4,0,0,278,435,155530,6054,6469,1494,1224,1244,3368,1679,229,3945,181228,38132,558,301,58,41,45,76,48,13,1264,40542,38977,561,407,77,49,68,175,95,23,1062,41483,24321,1651,1267,293,234,168,599,255,27,963,29778,262,4,9,0,0,0,3,0,0,103,382,63558,2216,1681,364,288,234,774,351,44,2131,71638,161,6,0,0,0,0
UCL203001,0,0,6,3,0,8,279,15,26,16,0,0,3,14,3,0,0,91,0,0,0,0,0,0,0,0,0,0,0,216,58,34,0,5,5,20,8,0,12,366,0,0,0,0,0,0,0,0,0,0,0,1127,116,55,4,3,9,28,14,0,39,1385,1309,22,12,0,5,0,0,6,0,28,1377,205,12,5,0,0,0,4,5,3,4,236,21,10,24,3,3,9,9,7,0,0,91,4,0,0,0,0,0,0,0,0,0,3,233,29,24,7,3,9,19,9,3,4,327,0,0,0,0,0,0,0,0,0,5,6,1544,46,33,7,4,9,19,18,3,33,1706,823,7,6,0,0,0,0,0,0,44,871,151,0,0,0,0,0,0,0,0,8,162,20,4,7,0,0,0,0,0,0,3,40,0,0,0,0,0,0,0,0,0,0,3,179,10,7,0,0,0,4,0,3,11,204,0,0,0,0,0,0
UCL203002,3,3,7,0,0,0,226,12,36,46,5,7,12,17,3,0,5,147,0,0,0,0,0,0,0,0,0,0,3,163,76,64,10,9,17,23,3,0,8,374,0,0,0,0,0,0,0,0,0,3,3,866,135,85,14,11,20,27,3,0,30,1191,859,12,4,0,0,0,0,0,0,18,899,120,9,3,3,0,0,3,0,0,4,145,18,16,25,3,4,4,7,0,0,3,90,0,0,0,0,0,0,0,0,0,3,5,138,32,26,6,4,9,18,4,0,3,242,0,0,0,0,0,0,0,0,0,7,7,997,45,32,5,4,8,18,4,0,31,1146,547,5,4,0,0,0,0,0,0,22,587,96,0,3,0,0,0,0,0,0,8,106,18,8,15,3,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,3,113,8,15,3,0,0,4,0,0,11,156,3,0,0,0,0,0
UCL203003,9,9,23,0,0,23,1205,190,58,68,12,17,21,25,6,0,14,409,3,0,0,0,0,0,0,0,0,0,6,1163,170,113,24,24,25,50,7,0,36,1618,3,0,0,0,0,0,0,0,0,5,8,3418,307,160,30,27,36,58,19,3,106,4164,2716,23,19,0,4,3,4,10,0,71,2848,1099,21,15,9,7,6,12,6,6,27,1196,310,30,38,9,7,7,37,13,0,7,465,6,0,0,0,0,0,0,0,0,3,3,1416,54,55,16,9,12,46,19,6,40,1664,3,0,0,0,0,0,0,0,0,5,13,4137,79,66,18,13,15,48,24,3,120,4530,1730,12,6,0,0,0,4,0,0,56,1815,887,3,0,0,0,0,0,0,0,17,921,432,15,10,9,5,0,0,0,0,14,494,5,0,0,0,0,0,0,0,0,3,12,1330,20,10,9,4,0,4,3,0,40,1419,10,0,0,0,0,0
UCL211001,0,5,0,0,0,0,99,9,10,4,0,3,0,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,86,20,8,0,4,3,3,0,0,0,136,0,0,0,0,0,0,0,0,0,0,3,425,56,28,0,10,3,9,0,0,4,536,511,3,0,0,0,0,0,0,0,13,530,104,0,0,0,0,0,0,0,0,9,114,14,7,11,0,0,3,5,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,113,7,10,0,0,3,3,0,0,9,147,0,0,0,0,0,0,0,0,0,4,4,629,12,15,0,0,3,8,3,0,20,678,315,8,4,0,0,0,0,0,0,19,341,89,3,0,0,0,0,0,0,0,0,100,20,5,3,0,0,0,0,0,0,0,33,5,0,0,0,0,0,0,0,0,0,5,113,9,8,0,0,0,0,0,0,0,132,0,0,0,0,0,0
UCL211002,9,11,12,14,0,15,981,154,66,67,23,19,15,46,20,0,12,421,4,0,0,0,0,0,0,0,0,0,7,836,218,136,40,30,27,65,33,0,29,1406,0,0,0,0,0,0,0,0,0,0,0,1775,273,164,49,32,29,61,33,0,57,2465,1035,12,7,0,4,0,0,0,0,26,1087,634,33,31,4,6,3,19,11,0,18,762,156,26,51,14,12,4,36,14,0,12,325,0,0,0,0,0,0,0,0,0,0,5,796,65,77,17,13,15,53,24,0,37,1099,0,0,0,0,0,0,0,0,0,0,7,1829,73,84,21,19,15,56,29,0,68,2191,486,5,5,0,5,0,0,0,0,18,517,264,6,15,0,0,3,0,5,0,10,298,138,19,10,0,5,3,12,0,0,8,190,0,0,0,0,0,0,0,0,0,0,0,401,24,28,0,5,6,12,3,0,18,495,4,0,0,0,0,0
UCL212001,0,0,0,0,0,0,110,6,3,0,0,0,0,3,6,0,4,25,0,0,0,0,0,0,0,0,0,0,0,88,16,10,0,0,0,7,6,0,4,135,0,0,0,0,0,0,0,0,0,0,3,410,41,15,0,0,3,12,6,0,7,497,387,6,10,0,0,0,0,0,0,13,405,75,5,0,0,0,0,0,0,0,6,85,15,0,8,0,0,4,6,3,0,0,36,0,0,0,0,0,0,0,0,0,0,0,84,5,8,0,0,4,8,3,0,6,119,0,0,0,0,0,0,0,0,0,0,0,474,10,17,4,0,4,8,8,0,18,527,221,5,0,0,0,3,0,0,0,5,237,46,0,0,0,0,0,0,0,0,4,57,15,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,3,65,0,5,0,0,0,0,0,0,3,74,0,0,0,0,0,0
UCL212002,0,0,0,0,0,0,20,5,0,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,8,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,123,13,4,0,0,0,8,0,0,0,153,146,5,3,0,0,0,0,0,0,9,163,7,0,0,0,0,4,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,6,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,156,4,3,0,0,4,9,0,5,13,186,109,3,0,0,0,0,0,0,0,4,118,11,0,0,0,0,0,0,0,0,5,14,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,5,15,3,0,0,0,0,0
UCL212003,0,0,7,0,0,6,193,63,17,33,7,7,22,15,9,0,14,191,3,0,0,0,0,0,0,0,0,0,6,211,39,41,15,9,22,18,9,0,23,393,0,0,0,0,0,0,0,0,0,9,6,438,50,56,15,9,22,19,9,0,43,670,258,5,6,0,0,0,0,0,0,8,282,140,4,6,0,0,0,0,3,0,7,159,82,9,5,0,0,0,4,10,0,3,123,3,0,0,0,0,0,0,0,0,0,0,219,15,13,5,0,0,9,9,0,14,283,7,0,0,0,0,0,0,0,0,0,7,487,15,21,5,0,0,9,9,0,19,568,198,0,0,0,0,0,0,0,0,14,213,132,0,0,0,0,0,0,0,0,8,139,74,0,0,0,0,0,0,0,0,8,81,0,0,0,0,0,0,0,0,0,4,3,207,0,0,0,0,0,0,0,0,19,228,0,0,0,0,0,0
UCL212004,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,351,15,6,0,3,0,0,0,0,11,395,425,0,0,0,0,0,4,0,0,19,450,31,0,0,0,0,0,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,3,40,0,0,0,0,0,0,0,0,0,0,0,458,0,4,0,0,0,4,0,0,22,493,239,0,7,0,0,0,5,0,0,20,266,18,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
