UCL_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
UCL201001,2309,19,60708,3859,29093,1947,32,31068,22,34942,94,3442,3575,3,7026,3,7118,10,25,4,16,38,0,51,3954,32556,5526,47,38136,23,42115,12,26,0,0,33,24,66,62352,34859,5565,54,40479,59,102892,31495,1166,20,3,1182,6,32682,2159,19209,1351,11,20574,9,22742,64,2493,2787,0,5283,6,5346,4,9,6,0,16,0,19,2230,21713,4141,21,25871,12,28107,3,10,0,0,8,10,25,33728,22885,4163,20,27064,26,60821,15837,550,6,0,552,3,16394,1082,10778,930,9,11713,4,12800,31,1655,1979,0,3633,0,3661,0,13,0,6,14,0,19,1117,12440,2909,11,15357,6,16483,3,10,8,0,16,16,30,16951,12998,2920,11,15929,25,32909,430114,22413,327,36,22778,276,453172,38127,295508,15519,281,311314,297,349733,825,29191,23023,76,52292,44,53167,72,292,43,91,430,9,510,39031,324998,38592,451,364035,353,403414,454,651,73,17,740,582,1780,469590,348068,38985,506,387558,1212,858360
UCL203001,14,0,1823,40,134,10,0,140,0,181,0,11,0,0,8,0,9,0,0,0,0,0,0,0,42,143,10,0,154,0,193,0,0,0,0,0,0,0,1849,160,11,0,171,0,2020,622,8,0,0,8,0,624,9,37,4,0,41,0,54,0,0,6,0,3,0,3,0,0,0,0,0,0,0,9,39,9,0,43,0,57,0,0,0,0,0,0,0,630,47,7,0,51,0,683,197,6,0,0,6,0,204,3,35,0,0,32,0,36,0,0,3,0,4,0,4,0,0,0,0,0,0,0,3,37,4,0,38,0,37,0,0,0,0,0,0,0,201,38,4,0,37,0,240,14020,204,10,0,215,5,14244,387,1482,49,3,1532,0,1922,9,83,21,0,105,0,107,4,0,0,4,4,0,8,396,1564,65,3,1644,0,2040,6,6,0,0,6,16,30,14426,1772,77,3,1858,23,16311
UCL203002,3,0,1751,31,96,8,0,109,0,138,0,15,71,0,86,0,86,0,0,0,0,0,0,0,31,119,76,0,199,0,223,0,0,0,0,0,0,0,1777,125,76,0,201,0,1975,574,0,0,0,0,0,574,15,34,3,0,40,0,53,0,11,45,0,57,0,59,0,0,0,0,0,0,0,18,49,46,0,98,0,111,0,0,0,0,0,0,0,587,51,46,0,97,0,685,236,0,0,0,0,0,238,4,21,0,0,21,0,27,0,5,16,0,20,0,20,0,0,0,0,0,0,0,4,19,16,0,42,0,43,0,0,0,0,0,0,0,241,17,16,0,40,0,286,13600,142,9,0,155,6,13753,294,1199,102,0,1304,3,1602,11,166,380,0,549,0,555,0,0,0,0,0,0,0,302,1364,486,0,1851,3,2158,9,7,0,0,7,14,30,13902,1516,494,0,2009,32,15940
UCL203003,48,4,2803,82,336,16,0,351,0,430,0,35,84,0,122,0,122,0,0,0,0,0,0,0,82,375,98,0,471,0,552,0,0,0,0,0,0,0,2834,420,98,0,520,8,3355,1167,22,0,0,23,0,1189,42,194,12,0,205,0,251,5,34,52,0,85,0,87,0,0,0,0,0,0,0,47,222,67,0,289,0,339,0,0,0,0,0,0,0,1208,239,67,0,310,0,1521,504,8,0,0,8,0,513,24,92,4,0,96,0,121,0,8,26,0,28,0,28,0,0,0,0,0,0,0,24,101,33,0,130,0,150,0,0,0,0,0,0,0,527,105,33,0,133,0,658,22731,545,5,3,557,21,23309,881,3672,171,0,3842,3,4729,17,374,492,0,868,0,879,7,3,0,4,6,0,9,898,4050,658,4,4719,3,5617,12,5,0,0,5,20,40,23639,4608,672,6,5277,47,28968
UCL211001,10,0,685,15,52,3,0,51,0,65,0,11,5,0,14,0,14,0,0,0,0,0,0,0,15,61,10,0,70,0,88,0,0,0,0,0,0,0,688,66,10,0,79,0,769,131,0,0,0,0,0,132,3,4,0,0,4,0,9,0,5,14,0,22,0,22,0,0,0,0,0,0,0,3,8,14,0,28,0,27,0,0,0,0,0,0,0,133,10,14,0,23,0,166,40,0,0,0,0,0,41,0,7,0,0,7,0,3,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,3,5,0,7,0,10,0,0,0,0,0,0,0,44,7,5,0,12,0,57,5041,74,0,0,74,0,5115,147,488,14,0,503,0,654,0,82,107,0,183,0,185,0,0,0,0,0,0,0,150,566,117,0,689,0,838,14,0,0,0,0,4,19,5207,638,117,0,765,4,5970
UCL211002,43,0,771,49,462,38,4,502,0,548,3,75,59,0,136,0,133,0,0,0,0,0,0,3,55,535,93,4,631,0,683,0,0,0,0,0,0,0,775,579,93,4,674,0,1450,242,8,0,0,8,0,246,16,238,14,4,252,0,269,0,48,39,0,89,0,92,0,0,0,0,0,0,0,18,291,53,4,344,0,360,0,0,0,0,0,0,0,257,300,53,4,355,0,611,108,3,0,0,3,0,119,14,123,7,0,130,0,143,0,13,22,0,40,0,40,0,0,0,0,0,0,0,14,140,35,0,173,0,188,0,0,0,0,0,0,0,125,146,35,0,177,0,301,6598,466,12,3,475,15,7093,573,6625,271,19,6913,11,7496,22,713,533,9,1250,0,1275,4,14,0,3,20,0,23,594,7350,805,25,8184,11,8793,5,11,0,0,13,16,28,7198,7824,825,30,8674,38,15911
UCL212001,9,0,389,7,20,0,0,24,0,26,0,0,3,0,4,0,4,0,0,0,0,0,0,0,7,27,3,0,27,0,32,0,0,0,0,0,0,0,382,33,8,0,36,0,418,165,5,0,0,5,0,165,5,7,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,14,0,14,0,0,0,0,0,0,0,167,10,0,0,11,0,178,53,0,0,0,0,0,59,0,10,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,9,0,0,0,0,0,0,0,59,12,0,0,12,0,68,3328,77,0,0,77,5,3415,93,473,7,5,481,0,572,0,12,14,0,25,0,25,0,0,0,0,0,0,0,93,483,20,5,501,0,594,5,0,0,0,0,0,5,3431,556,17,5,581,4,4017
UCL212002,4,0,251,7,8,0,0,8,0,11,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,12,0,0,8,0,21,0,0,0,0,0,0,0,250,13,0,0,19,0,267,69,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,71,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,13,1604,32,5,0,33,0,1638,49,124,7,0,134,0,178,0,14,5,0,18,0,18,4,0,0,0,0,0,4,50,140,9,0,148,0,205,0,0,0,0,0,0,0,1660,170,11,0,188,0,1841
UCL212003,7,0,457,12,63,13,0,78,0,86,0,12,22,0,32,0,36,0,0,0,0,0,0,0,15,77,30,0,107,0,122,0,0,0,0,0,0,0,466,82,30,0,111,5,587,123,6,0,0,6,0,124,0,15,0,0,12,0,18,0,12,14,0,18,0,18,0,0,0,0,0,0,0,0,18,11,0,37,0,34,0,0,0,0,0,0,0,122,29,11,0,43,0,166,34,0,0,0,0,0,31,0,3,0,0,6,0,6,0,4,8,0,15,0,15,0,0,0,0,0,0,0,0,8,7,0,12,0,12,0,0,0,0,0,0,0,34,11,7,0,17,0,51,3560,100,0,0,105,4,3668,124,667,71,0,738,4,870,4,111,141,0,256,0,259,0,0,0,7,7,0,7,130,774,218,7,993,5,1131,7,7,0,0,7,11,22,3695,881,219,7,1101,18,4817
UCL212004,6,0,519,5,7,0,0,7,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,7,0,11,0,0,0,0,0,0,0,522,16,0,0,13,0,533,195,0,0,0,0,0,195,0,8,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,13,0,0,0,0,0,0,0,192,11,0,0,11,0,205,71,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,78,4131,51,0,0,53,15,4196,82,95,4,0,100,0,185,0,0,0,0,0,0,0,4,0,0,0,0,0,4,90,95,4,0,100,0,189,6,0,0,0,0,7,11,4225,144,4,5,154,19,4396
