UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL201001,52093,47587,99680,130633,121613,252249,35345,34363,69707,21572,22494,44069,187847,178728,366571,85043,78252,163303,31676,32468,64142,31597,32522,64121,148527,143449,291975,11603,10038,21637,11705,15504,27213,13495,6116,19607,18747,26463,45212,223,166,387,55764,58286,114056,65887,79009,144892,25462,31061,56528,7724,9253,16980,20683,33531,54212,286,316,601,120043,153173,273215,176104,211741,387849,11011,10551,21567,13795,20128,33919,270,265,539,25074,30946,56020,108277,103957,212228,697920,716398,1414322
UCL203001,1216,1132,2347,2679,2470,5151,1237,1236,2474,505,537,1041,4432,4240,8671,1623,1691,3318,1121,1047,2161,721,809,1531,3471,3542,7014,178,178,349,153,223,376,362,217,574,438,591,1025,0,6,8,1126,1209,2333,795,1248,2048,366,617,985,107,173,284,466,893,1359,6,7,11,1740,2945,4684,2870,4155,7028,138,124,263,211,365,576,6,11,18,355,498,854,2726,2782,5516,15065,16359,31428
UCL203002,1116,1076,2196,2747,2536,5277,1241,1153,2388,343,339,677,4325,4025,8354,1994,1908,3899,823,848,1670,405,435,841,3226,3199,6420,198,267,470,171,307,475,375,227,602,383,561,945,8,9,9,1132,1374,2508,557,1023,1577,223,378,602,90,128,215,287,677,965,6,0,6,1156,2211,3364,2299,3588,5882,154,147,301,202,317,518,3,0,11,356,463,821,2631,2783,5413,13949,15136,29092
UCL203003,2150,1926,4078,4543,4298,8842,1682,1688,3369,827,792,1626,7060,6782,13846,2778,2492,5268,1299,1626,2923,1384,1241,2626,5463,5362,10825,344,402,746,334,547,883,660,390,1053,766,960,1729,14,3,20,2126,2302,4429,2079,2771,4852,983,1099,2081,269,422,688,736,1428,2165,10,13,20,4080,5722,9802,6217,8031,14245,303,308,610,416,639,1055,10,5,16,731,952,1677,4426,4423,8849,26047,27480,53524
UCL211001,431,457,887,1021,1033,2055,479,414,897,195,205,403,1694,1659,3355,705,713,1413,393,384,771,188,175,363,1287,1269,2551,159,118,280,102,156,261,232,132,361,180,310,486,7,4,6,676,711,1389,71,189,262,53,133,185,25,54,81,139,254,390,0,0,0,282,633,911,964,1347,2313,88,36,126,75,118,196,0,4,4,162,159,325,990,957,1942,5532,5844,11381
UCL211002,1069,1119,2190,2795,2558,5349,764,852,1617,502,565,1065,4067,3982,8044,1670,1706,3372,440,517,954,344,366,710,2455,2588,5044,169,125,291,150,241,395,226,127,355,263,493,751,7,3,4,807,995,1802,409,621,1030,177,359,540,78,88,167,161,357,516,3,4,6,828,1425,2255,1640,2417,4064,211,242,456,220,406,626,0,8,9,432,662,1094,2598,2627,5225,12271,13395,25664
UCL212001,273,287,555,823,708,1530,129,116,248,142,122,268,1099,952,2050,368,365,732,140,128,270,164,213,380,677,712,1392,28,40,76,39,50,87,90,40,133,85,119,208,0,0,0,246,255,501,108,198,300,28,114,140,16,37,50,57,145,205,0,0,0,214,485,698,454,742,1197,49,44,93,40,77,121,0,5,5,90,118,211,417,435,858,3010,3249,6264
UCL212002,121,128,249,329,316,648,161,142,300,47,37,82,541,494,1030,189,182,368,155,196,355,49,57,104,394,440,831,18,20,31,18,32,50,59,51,106,45,92,143,0,0,0,138,192,327,32,55,91,8,30,41,5,7,13,29,68,92,0,0,0,67,169,240,205,359,563,11,12,23,17,41,61,0,3,3,33,53,87,445,480,924,1740,1946,3683
UCL212003,397,369,763,968,942,1907,248,290,539,154,147,300,1370,1379,2751,758,719,1479,181,232,415,86,87,172,1036,1035,2072,75,91,164,58,103,160,130,91,221,141,252,390,3,4,5,408,530,940,72,156,230,34,98,136,17,32,49,77,170,244,0,3,3,204,467,667,617,995,1612,61,53,115,88,137,224,5,4,14,153,196,345,1381,1384,2769,4955,5356,10312
UCL212004,252,251,504,805,749,1548,268,261,531,54,45,101,1124,1053,2178,265,259,526,305,352,661,208,162,374,789,768,1556,19,22,41,20,33,49,87,29,124,71,100,171,3,0,6,202,183,382,128,190,317,38,70,109,23,30,45,80,171,254,0,4,4,270,460,728,469,643,1114,11,14,27,18,46,73,0,5,5,31,61,96,486,555,1046,3151,3343,6493
UCL212005,576,510,1088,1561,1380,2944,523,543,1063,115,125,241,2207,2055,4257,856,853,1712,639,589,1230,225,208,436,1725,1654,3380,65,132,194,62,162,225,202,155,357,189,329,522,9,4,17,529,780,1310,136,260,400,72,153,225,27,65,92,120,238,365,0,3,3,364,726,1088,893,1514,2412,78,74,155,126,189,310,6,6,7,208,267,479,1828,1803,3633,7440,7804,15247
