UCL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL201001,1107,1575,6284,9268,11737,18397,34461,43729,25129,151678,282,1364,6027,6986,8098,10003,9887,9401,5820,57872,9575,15423,41684,32325,24900,21425,21121,19577,14508,200545,95684,309211,744495,690019,584618,488571,372361,219829,95415,3600207
UCL203001,69,91,174,179,224,378,857,1032,718,3724,4,21,55,36,70,51,57,30,19,342,311,407,812,629,660,608,701,707,518,5352,2580,6826,14826,13035,12579,12093,10925,6377,2791,82040
UCL203002,59,54,217,252,271,415,919,1085,696,3960,9,26,108,111,133,118,82,36,24,653,278,316,780,629,641,642,680,730,608,5307,2435,6364,13792,12283,11771,11853,10787,6250,2776,78304
UCL203003,98,101,284,351,463,737,1506,1949,1285,6776,14,41,169,213,214,198,191,186,131,1359,460,763,1521,1163,1056,973,1077,1060,755,8831,4274,13090,28610,23279,21409,19985,17027,10154,4583,142405
UCL211001,18,26,64,70,91,164,292,335,202,1249,3,8,24,31,50,31,39,15,10,212,128,116,281,255,217,204,274,224,126,1812,1057,2213,5183,4749,4547,4453,3987,2082,671,28931
UCL211002,48,73,246,276,295,383,676,495,156,2642,6,24,127,179,168,148,106,86,26,865,323,343,966,850,603,440,385,269,87,4268,1888,4659,13025,12113,8184,6431,5304,2149,588,54346
UCL212001,4,12,25,27,44,82,184,212,138,738,4,0,6,8,11,13,15,11,3,80,47,35,129,104,94,108,123,103,39,778,482,1187,3246,3009,2654,2301,2073,1082,404,16445
UCL212002,11,8,28,27,39,75,166,216,121,695,0,4,3,8,6,17,10,5,4,60,38,42,108,82,113,103,119,140,130,880,296,740,1603,1392,1686,1862,1762,1148,512,10995
UCL212003,30,27,105,124,158,242,474,568,359,2082,4,31,93,89,79,94,60,59,34,554,158,167,457,370,352,332,337,294,199,2670,913,2160,5292,4208,4208,4194,3742,2323,1016,28045
UCL212004,6,0,12,11,10,21,72,93,71,293,5,0,3,7,3,0,0,4,0,28,44,43,70,123,123,150,208,142,139,1056,412,804,1822,2938,2948,2929,3066,1374,517,16803
UCL212005,21,35,173,237,205,284,566,618,366,2502,3,24,109,160,181,122,87,81,41,801,194,238,566,482,413,425,416,436,356,3525,1168,2949,6912,6109,5836,5638,4928,3143,1352,38037
UCL212006,19,6,52,40,52,95,252,269,185,966,4,4,18,12,19,18,21,19,15,126,77,82,237,205,197,175,144,147,72,1331,930,2283,5422,5139,5187,4730,3407,1625,644,29375
UCL212007,0,0,12,8,12,18,44,81,73,248,0,6,6,0,9,0,0,0,0,22,49,35,98,139,135,106,148,104,109,920,388,985,2322,3697,3264,2501,2385,1085,414,17034
UCL212008,25,10,41,44,63,135,254,356,227,1162,0,7,9,13,14,13,19,16,10,103,81,89,223,200,176,221,219,259,187,1653,672,1510,3850,3442,3182,3432,2997,1772,724,21582
UCL212009,20,16,46,64,64,107,321,457,284,1385,0,4,31,26,12,25,13,5,3,131,121,90,251,276,221,214,251,268,204,1885,798,1726,4250,3901,4070,4254,3790,2258,1045,26091
UCL213001,10,14,37,24,32,75,148,239,111,687,0,5,4,4,4,7,7,8,3,48,48,51,108,113,116,144,152,168,146,1048,328,730,1625,1360,1499,1704,1863,1367,543,11018
