UCL_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
UCL201001,317,334,749,1155,1767,2583,3629,4149,3081,17766,286,231,477,891,2352,4878,7841,7178,3480,27626,6394,36690,49298,37589,33930,27561,17542,10843,8017,227857,82,139,272,623,1387,2278,3759,4668,3915,17113,11588,15238,25313,26720,30242,32620,28420,19303,12701,202152,337868,192439,258170,237203,181779,125425,72387,28787,8485,1442542,27696,19023,25687,22057,19278,15663,12101,8303,5790,155596,400163,275116,375628,348635,300286,252467,198500,120121,58840,2329751,516,2119,7432,15461,34456,63713,84838,69877,34884,313289,47264,45901,61719,56402,46627,37959,32067,19325,7489,354757,746,985,2725,5750,12579,22495,32056,25261,10548,113157,58,54,104,140,361,1012,3644,10969,14950,31282,1177,2605,6307,15468,27791,45165,54379,37810,13972,204677,1387,1157,2073,4071,11036,25799,42323,40551,23214,151612,856,700,1436,2323,3623,5683,8249,8783,5507,37163,658,539,1019,1780,4376,9348,14920,13981,6455,53075,13444,54854,76816,62344,56558,45852,28954,17052,11077,366957,263,259,529,1213,2928,5576,9279,10432,6887,37362,29724,27921,40388,45320,52191,58166,49898,32286,19063,354960,679970,410410,532236,481793,363950,248707,137753,54858,15146,2924830
UCL203001,7,12,21,32,34,89,121,113,76,502,10,9,25,49,158,261,438,357,154,1457,305,1382,1842,1490,1339,1082,754,320,197,8717,7,3,7,19,64,89,139,145,120,590,441,534,843,765,891,941,859,478,318,6080,7320,3776,3956,3664,3200,2698,1811,762,247,27435,815,570,564,476,471,403,364,260,176,4108,9522,6612,7475,6906,6641,6448,5957,3538,1807,54908,18,89,340,602,1255,2204,3219,2402,1055,11197,1865,1636,1989,1732,1401,1310,1218,733,274,12157,16,30,77,184,348,728,1129,819,337,3664,5,10,0,0,10,37,116,280,375,828,37,102,187,394,690,1168,1548,1052,368,5547,42,43,80,118,351,822,1470,1338,705,4965,25,22,41,57,75,156,242,218,140,978,15,21,48,94,266,469,783,667,263,2622,702,2144,2871,2363,2194,1858,1276,543,271,14227,8,15,21,39,110,208,332,309,204,1247,1042,920,1282,1269,1466,1620,1426,835,465,10336,14547,8091,8645,7370,6386,5160,3377,1350,400,55320
UCL203002,7,16,16,25,60,85,128,138,97,577,17,14,16,49,105,239,326,266,117,1153,284,1333,1741,1356,1218,1108,668,355,227,8291,5,7,14,19,47,89,141,142,105,561,403,468,694,716,822,866,812,437,306,5523,7133,3616,3914,3474,2997,2546,1697,682,217,26281,846,485,523,477,444,446,344,298,251,4119,9202,6167,7170,6455,6195,6383,5740,3398,1714,52426,23,83,269,619,1242,2459,3392,2498,1086,11668,1553,1334,1742,1475,1251,1313,1226,702,252,10856,22,29,58,135,316,675,1042,889,349,3516,0,0,7,6,12,36,134,273,374,843,39,70,196,329,625,1038,1473,932,353,5051,48,34,72,122,273,754,1407,1264,771,4746,24,25,39,50,98,163,270,291,181,1137,25,30,38,82,171,427,599,526,220,2110,618,2013,2627,2174,1983,1776,1127,575,325,13217,11,13,18,39,83,185,306,325,198,1182,1013,807,1099,1132,1342,1489,1401,756,449,9474,14290,7661,8168,7022,6079,4923,3286,1279,364,53073
UCL203003,11,21,54,57,85,146,211,216,198,995,17,8,32,53,162,379,532,454,236,1875,484,2240,2740,2123,1869,1617,1016,551,459,13105,5,10,21,28,90,111,213,258,196,937,605,795,1236,1208,1273,1501,1309,811,654,9405,12299,7041,8749,7039,5983,4741,3077,1364,393,50682,1233,934,932,810,775,663,604,385,231,6563,15456,11585,14331,12067,11140,10613,9185,5689,2885,92940,32,132,402,715,1628,3196,4283,3346,1721,15453,2449,2515,3041,2663,2212,1985,1775,940,382,17964,31,50,115,243,525,1015,1540,1202,536,5254,4,0,8,6,23,53,226,575,747,1635,51,147,310,540,1102,1914,2407,1653,635,8750,61,48,93,166,515,1204,2101,1966,1231,7390,28,43,82,101,158,276,399,435,295,1813,40,24,48,99,278,666,1021,827,425,3429,998,3359,4158,3415,3113,2658,1715,858,625,20895,12,14,40,54,176,288,538,535,350,2000,1502,1442,1911,1912,2133,2523,2236,1364,922,15945,24716,15206,18849,14353,11987,9141,5797,2525,730,103302
UCL211001,0,0,13,12,27,37,68,54,35,238,8,6,15,26,64,111,139,112,28,510,150,449,570,540,490,426,266,96,30,3018,0,3,3,11,21,35,47,52,26,207,188,157,267,290,304,339,314,165,102,2130,2828,1235,1449,1313,1124,939,632,243,67,9826,353,180,183,176,167,156,129,78,39,1464,3754,2144,2615,2506,2361,2355,2096,1150,407,19388,15,20,126,229,449,899,1150,773,255,3915,643,538,629,625,541,515,435,228,65,4222,6,13,23,61,110,266,395,303,74,1248,0,4,0,7,0,17,55,78,75,231,10,29,73,142,260,468,613,354,90,2038,24,24,32,47,137,322,571,455,182,1796,9,4,16,24,50,69,129,100,49,452,24,7,19,44,89,197,273,204,65,920,301,710,886,875,808,707,469,181,55,4985,0,7,7,20,31,71,118,118,43,416,464,301,419,471,532,590,546,298,150,3778,5577,2945,3143,2652,2293,1844,1201,441,115,20206
UCL211002,11,11,13,30,41,49,95,68,26,348,5,3,21,29,100,166,233,112,43,711,198,707,943,854,757,571,370,127,72,4587,0,8,6,15,36,60,70,57,25,285,330,230,444,516,481,515,413,181,99,3216,7599,2870,4461,3641,1940,1244,727,201,40,22717,1013,460,612,560,374,252,204,82,30,3592,9612,4483,6895,6040,4120,3365,2807,1097,371,38794,10,43,200,443,754,1194,1631,779,221,5284,1368,877,1405,1230,870,725,604,247,45,7368,22,5,53,109,190,318,514,252,59,1518,0,3,3,0,7,22,56,111,104,315,24,44,192,498,700,981,1145,493,103,4186,31,16,53,114,242,460,796,463,157,2330,34,11,28,63,79,115,185,146,47,697,22,12,36,62,169,290,430,242,65,1323,419,1085,1466,1332,1201,912,603,227,95,7343,3,3,11,34,83,122,188,143,47,634,823,467,720,859,838,907,752,315,142,5818,14933,6092,8758,7690,4177,2521,1429,413,70,46070
UCL212001,0,0,6,8,8,24,24,27,25,124,3,0,0,12,28,56,103,68,31,298,61,224,324,274,245,194,128,71,52,1578,0,0,0,0,16,25,42,33,19,138,97,83,137,170,184,177,149,95,85,1175,1690,737,994,837,713,532,319,111,29,5961,182,87,110,100,89,75,67,42,16,765,2162,1194,1678,1531,1373,1237,1097,616,277,11169,0,16,51,136,256,425,579,413,202,2081,393,249,413,390,289,215,220,121,38,2329,11,3,17,34,65,112,210,159,53,662,0,0,0,0,4,3,37,76,61,188,9,11,40,97,148,219,340,207,51,1120,7,11,10,22,68,138,293,231,105,879,4,3,12,12,16,29,48,51,37,206,10,4,8,14,49,89,190,130,44,533,132,326,479,436,408,294,228,107,67,2482,0,3,6,11,23,49,83,75,28,274,256,157,214,269,289,277,269,169,109,2006,3453,1586,2079,1803,1448,1030,605,206,45,12254
UCL212002,0,0,0,0,16,14,25,30,10,89,0,0,0,5,12,35,66,53,13,185,32,131,156,138,150,131,89,53,31,908,0,0,4,0,6,22,28,36,10,104,48,54,70,71,97,125,106,75,59,705,860,459,485,406,454,450,321,133,40,3602,98,59,64,60,82,84,82,61,78,668,1126,753,828,745,884,1000,943,612,322,7203,0,4,44,70,148,322,469,412,195,1671,201,162,187,174,165,182,164,112,31,1381,3,8,10,16,40,97,167,146,58,541,0,0,0,0,0,6,14,53,57,136,3,13,37,45,85,150,240,177,50,801,7,3,6,11,41,112,238,218,101,728,0,0,4,0,17,27,45,59,25,180,3,6,0,7,18,63,117,105,33,355,70,202,236,202,247,204,161,102,47,1485,0,0,4,0,11,32,62,68,21,198,105,106,110,119,146,201,220,123,78,1205,1724,975,979,808,920,893,573,253,71,7199
UCL212003,0,3,8,9,20,37,65,77,43,259,0,4,4,14,43,86,121,103,39,417,79,308,442,355,403,346,231,118,48,2325,0,0,4,9,19,32,45,53,35,202,118,104,161,177,271,290,240,155,93,1608,2423,1274,1675,1285,1116,887,658,278,96,9703,383,210,267,233,206,183,176,112,102,1867,3201,2029,2709,2221,2235,2206,2000,1273,645,18526,8,21,80,150,365,716,1020,789,329,3483,550,451,513,441,462,431,392,234,73,3541,12,6,14,41,99,214,335,264,103,1089,0,0,0,5,13,12,36,98,105,269,7,31,78,125,269,455,574,405,122,2057,17,12,23,30,144,306,480,478,223,1706,5,4,10,16,36,74,111,132,79,470,8,9,12,22,65,154,237,219,63,791,149,493,715,565,623,574,386,200,70,3775,0,5,7,14,43,80,101,124,61,432,273,209,271,298,422,505,421,251,133,2785,4791,2717,3474,2535,2193,1802,1229,531,164,19433
UCL212004,0,0,0,5,9,13,23,33,13,92,0,0,4,5,6,31,69,51,27,194,56,158,180,224,214,172,141,52,65,1257,0,0,0,9,9,14,23,18,14,92,50,62,79,106,128,188,189,89,67,958,1828,638,610,986,1023,810,624,192,38,6737,136,75,59,95,83,113,116,61,36,783,2181,990,975,1555,1593,1619,1613,727,315,11553,0,7,35,89,176,442,746,445,176,2109,314,191,195,341,252,278,292,153,38,2059,3,3,3,29,75,166,304,173,72,839,0,0,0,0,0,11,24,51,71,146,10,9,15,34,65,133,239,167,45,712,6,6,4,8,45,157,329,242,123,921,3,3,0,14,23,19,47,58,22,192,4,0,6,12,7,54,115,101,46,345,103,238,267,349,358,278,233,96,87,2015,0,3,3,9,13,33,68,58,36,215,110,108,125,156,213,292,331,151,102,1582,3649,1400,1193,1939,1890,1500,1175,343,80,13175
