UCL_CODE_2021,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
UCL201001,318,3854,33,4201,119819,6334,130354,1638,3146,56,4846,144171,9720,158734,56728,5673,807,63208,280994,25394,369594,170977,3837,2268,177081,145837,19128,342049,105784,3768,1327,110873,160377,13699,284946,19383,12473,309,32165,194070,10433,236664,3175,23565,159,26901,139431,8004,174337,548,6136,34,6716,86743,6449,99909,58,307,7,369,32506,3769,36647,358611,62752,5006,426367,1303946,102928,1833238,416,6445,41,6901,111250,5768,123919,4111,6300,200,10608,132590,7994,151199,96393,10843,2473,109711,244522,21390,375628,205313,7238,5395,217946,114512,16179,348635,104574,10079,2289,116946,171322,12019,300286,10076,37304,615,47996,194707,9757,252467,2696,41224,328,44244,145336,8917,198500,625,7144,79,7851,104285,7989,120121,102,340,8,457,51261,7121,58840,424308,126911,11431,562658,1269792,97146,1929594,728,10294,77,11103,231068,12105,254272,5751,9446,253,15454,276756,17721,309933,153122,16513,3282,172917,525521,46786,745220,376289,11073,7665,395034,260346,35307,690688,210357,13839,3618,227820,331700,25718,585234,29453,49778,924,80155,388782,20188,489125,5869,64788,489,71146,284764,16917,372835,1176,13277,116,14565,191029,14440,220034,166,649,11,830
UCL203001,8,111,0,121,2913,198,3228,122,98,4,220,2909,228,3349,1792,166,46,2004,4913,436,7352,3396,107,82,3588,2231,324,6143,2013,160,48,2219,3398,320,5936,347,459,3,814,4555,288,5659,51,577,6,633,4062,275,4969,13,125,4,138,2462,246,2844,0,4,0,4,837,145,982,7745,1803,186,9735,28280,2452,40461,22,208,0,231,2686,205,3123,259,212,24,491,2775,214,3487,2647,353,155,3157,3903,419,7475,4225,189,197,4616,1968,316,6906,2025,421,67,2508,3841,298,6641,155,1203,17,1378,4799,267,6448,53,1039,4,1093,4580,281,5957,12,163,0,175,3075,288,3538,0,8,0,11,1508,291,1807,9395,3793,467,13654,29144,2582,45383,30,319,0,350,5604,406,6351,380,311,24,716,5685,446,6842,4438,522,200,5164,8813,853,14830,7621,303,283,8208,4198,637,13043,4038,581,113,4725,7241,615,12584,503,1663,26,2185,9355,557,12102,107,1607,4,1721,8646,556,10924,19,290,3,317,5530,535,6377,0,11,0,14
UCL203002,6,130,4,136,2580,172,2893,116,105,3,222,2727,181,3136,1861,165,61,2079,4136,424,6635,3223,107,67,3398,2116,324,5839,1792,147,27,1966,3303,317,5580,305,479,8,787,4388,301,5475,53,615,0,662,4117,268,5046,11,133,0,142,2504,204,2852,0,8,0,8,925,129,1063,7355,1880,166,9405,26806,2314,38526,21,220,0,237,2507,176,2927,246,207,10,462,2633,153,3240,2780,297,167,3245,3537,390,7170,3941,182,166,4290,1829,334,6455,1786,418,70,2272,3625,296,6195,174,1272,8,1458,4628,292,6383,38,1058,5,1106,4385,255,5740,12,186,0,196,2932,270,3398,0,9,0,13,1428,277,1714,9001,3846,427,13275,27498,2443,43222,28,345,4,379,5087,349,5816,355,314,12,684,5362,332,6374,4643,462,219,5328,7671,810,13806,7165,288,233,7687,3948,662,12295,3578,566,94,4233,6925,613,11773,475,1751,15,2247,9018,597,11857,91,1672,8,1771,8498,520,10787,19,314,3,339,5439,477,6256,0,23,0,19
UCL203003,14,201,0,211,4714,293,5213,105,163,6,267,5889,447,6608,2910,290,48,3246,10179,871,14297,6156,177,136,6472,4174,580,11230,3685,224,47,3955,5824,509,10283,570,702,8,1277,7652,450,9378,73,1075,6,1156,6296,407,7853,12,262,0,274,3894,292,4465,0,15,0,15,1517,169,1698,13525,3096,245,16871,50144,4012,71028,23,307,0,330,4453,277,5058,291,336,18,647,5526,357,6521,4384,600,208,5194,8402,738,14331,7370,354,288,8006,3481,584,12067,3591,605,107,4313,6332,495,11140,291,1984,25,2297,7919,398,10613,73,1897,6,1975,6737,472,9185,21,323,0,348,4911,436,5689,3,14,0,19,2571,299,2885,16043,6423,652,23115,50318,4045,77486,40,503,0,544,9169,562,10274,394,494,27,911,11413,804,13129,7292,889,263,8441,18577,1611,28627,13527,530,421,14480,7654,1160,23294,7280,828,157,8257,12158,1007,21426,857,2685,27,3573,15574,850,19990,147,2976,6,3130,13032,874,17033,33,583,0,621,8803,729,10156,3,24,0,30
UCL211001,9,45,0,50,1178,77,1309,68,33,0,98,1032,71,1200,782,73,32,883,1511,170,2573,1178,39,34,1248,867,135,2251,655,69,16,744,1335,111,2191,128,165,3,294,1686,111,2094,22,191,0,215,1572,103,1888,3,30,0,34,829,69,929,0,3,0,3,244,16,267,2836,653,88,3575,10258,865,14699,12,95,0,108,945,71,1118,108,66,9,182,784,55,1025,1165,103,77,1340,1129,150,2615,1473,76,78,1628,745,133,2506,632,200,28,860,1406,93,2361,54,468,7,525,1749,89,2355,9,330,0,342,1652,102,2096,4,58,0,62,1015,80,1150,0,5,0,5,360,45,407,3457,1391,206,5047,9785,800,15638,22,142,0,165,2123,144,2429,166,104,9,279,1820,126,2227,1949,171,112,2230,2641,316,5187,2644,111,115,2879,1613,266,4754,1284,275,50,1606,2738,208,4553,182,628,8,821,3428,197,4453,34,521,0,555,3224,204,3985,10,91,0,96,1842,141,2082,0,5,0,5
UCL211002,15,86,0,96,1950,187,2233,102,85,9,196,1974,206,2380,1835,164,37,2036,3581,523,6143,3062,88,55,3203,2423,456,6085,1153,106,22,1288,2494,299,4081,191,242,7,439,2419,213,3078,45,249,0,289,2084,131,2503,3,35,0,45,920,86,1050,0,0,0,0,193,21,219,6413,1050,140,7600,18043,2137,27777,18,204,0,222,1762,202,2184,290,140,18,450,1664,180,2302,3222,238,96,3554,2814,532,6895,3470,163,105,3738,1848,461,6040,978,319,36,1328,2496,291,4120,98,621,0,720,2447,192,3365,34,450,7,484,2172,141,2807,0,45,3,51,947,102,1097,0,0,0,0,338,38,371,8110,2182,260,10555,16477,2142,29181,35,282,0,317,3713,389,4422,392,231,23,649,3637,392,4676,5056,404,132,5594,6394,1058,13038,6526,255,163,6944,4272,917,12129,2134,422,56,2617,4988,594,8198,287,861,16,1160,4868,409,6435,78,695,4,776,4257,275,5308,9,87,5,96,1866,192,2153,0,0,0,0
UCL212001,0,28,0,32,544,25,594,9,22,0,31,536,21,588,476,30,8,513,983,72,1575,862,24,11,895,513,74,1482,417,37,7,457,771,50,1281,63,79,0,141,871,44,1068,11,136,0,149,773,57,977,0,12,0,12,421,31,471,0,0,0,0,118,9,129,1830,375,31,2241,5539,381,8156,3,39,0,41,518,33,599,33,43,0,74,507,22,599,695,66,26,793,819,71,1678,1014,40,43,1101,365,65,1531,428,81,12,516,813,46,1373,22,256,6,286,891,56,1237,3,222,0,236,813,46,1097,0,14,0,21,545,53,616,0,4,0,4,258,20,277,2203,770,89,3062,5536,406,9006,3,71,0,72,1063,61,1195,39,64,0,106,1043,39,1187,1170,96,34,1303,1801,142,3250,1876,65,52,1994,882,131,3016,845,116,18,977,1587,97,2657,86,339,10,433,1769,105,2301,18,366,3,382,1588,108,2073,0,32,0,31,967,76,1080,0,4,0,4
UCL212002,4,7,0,16,364,22,402,16,8,0,26,305,27,351,203,27,3,234,479,64,776,343,14,6,366,241,40,650,225,30,11,262,472,63,800,34,67,0,104,720,46,867,4,77,0,81,696,48,824,0,20,0,20,467,46,534,0,0,0,0,161,30,190,841,241,21,1104,3901,387,5388,0,29,0,31,307,27,360,39,17,4,59,307,16,386,328,47,12,388,388,48,828,443,25,21,488,217,41,745,237,64,4,306,526,55,884,20,154,4,179,763,53,1000,10,126,0,133,759,47,943,0,21,0,21,521,68,612,0,4,0,4,233,85,322,1073,495,51,1618,4023,438,6077,3,37,0,38,670,48,764,58,26,4,89,609,44,741,533,76,19,625,865,117,1603,791,42,28,855,456,83,1393,458,94,17,570,998,116,1686,54,225,7,283,1481,97,1863,15,205,0,216,1456,96,1762,0,40,0,40,993,117,1150,0,4,0,4
UCL212003,0,49,0,46,883,107,1043,53,22,0,82,927,96,1101,608,59,18,683,1665,238,2586,891,30,35,955,849,180,1986,498,50,10,553,1252,172,1977,80,141,0,226,1615,161,1999,16,139,0,158,1447,137,1742,4,35,0,35,926,86,1048,0,0,0,0,319,53,373,2150,528,63,2738,9883,1232,13854,8,92,0,90,786,85,971,90,78,5,171,805,82,1060,972,99,55,1130,1343,237,2709,1212,52,57,1320,711,191,2221,513,150,15,672,1409,155,2235,48,364,8,416,1664,119,2206,11,275,0,285,1580,138,2000,0,47,0,53,1116,106,1273,0,0,0,0,562,86,645,2858,1153,136,4149,9974,1198,15322,10,134,0,145,1673,197,2008,147,101,5,255,1730,179,2162,1574,160,76,1811,3009,480,5296,2104,88,87,2274,1566,368,4211,1008,192,23,1222,2657,330,4211,129,505,11,640,3280,290,4210,31,410,0,440,3026,273,3740,9,87,0,94,2037,190,2323,0,7,0,7
UCL212004,4,20,0,21,561,45,627,3,11,0,15,374,19,405,206,22,3,233,580,35,850,949,11,16,983,353,58,1385,644,24,6,675,629,51,1355,101,129,3,233,1016,70,1318,14,234,0,251,1112,86,1447,0,43,0,43,557,56,650,0,0,0,0,185,20,207,1928,495,30,2456,5354,432,8242,0,27,0,29,508,50,584,4,21,0,30,349,20,400,338,39,10,396,534,45,975,1100,36,44,1183,311,61,1555,700,46,19,763,763,68,1593,38,319,0,361,1182,74,1619,7,386,0,400,1121,97,1613,3,47,0,49,629,48,727,0,0,0,3,266,42,315,2200,933,77,3208,5674,489,9372,5,50,0,51,1065,92,1212,6,32,0,41,727,43,807,551,67,15,629,1117,76,1822,2051,48,59,2163,661,115,2938,1340,72,23,1441,1390,120,2950,138,451,7,595,2196,140,2930,24,621,0,649,2236,178,3066,3,90,0,89,1182,100,1374,0,0,0,3
