UCL_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL201001,1136091,1198194,2334286,94852,98249,193097,22267,23067,45332,543001,558055,1101053,14215,15152,29368,7009,7321,14324,8652,8550,17202,3021,3196,6213,2306,2231,4536,3021,3188,6208,24,17,45,603500,620777,1224278,162959,167242,330193,13786,11923,25711,875103,898178,1773284,106654,102882,209535,2117846,2199252,4317101
UCL203001,23644,25923,49563,3273,3553,6824,442,554,998,14505,16152,30661,374,404,776,176,217,393,147,163,307,93,112,207,89,82,171,56,57,109,0,0,0,15885,17735,33622,1290,1294,2587,423,373,793,20870,22962,43824,2862,2968,5832,47371,51851,99220
UCL203002,24160,25744,49898,3253,3579,6833,482,610,1095,12295,13888,26188,354,389,743,166,196,366,151,162,311,71,81,150,94,97,188,68,85,158,0,0,0,13690,15517,29208,1002,1170,2175,329,401,730,18282,20667,38951,2752,3002,5752,45185,49414,94602
UCL203003,41380,44516,85896,5447,5802,11248,810,891,1702,23386,26006,49396,513,648,1160,249,275,526,268,268,535,191,213,405,126,144,274,85,101,180,0,0,0,25629,28553,54180,3992,3500,7490,653,588,1243,35723,38443,74162,4657,4767,9426,81759,87724,169480
UCL211001,8713,9353,18064,1376,1463,2839,1251,1267,2512,3465,3782,7239,451,383,833,81,65,142,100,90,188,43,38,84,98,89,188,68,64,133,0,0,0,5555,5776,11325,455,476,929,178,133,308,7555,7847,15399,1041,980,2014,17306,18176,35477
UCL211002,15453,15723,31171,1563,1753,3312,574,554,1126,11243,11842,23088,250,266,512,130,121,257,103,91,196,81,87,167,52,41,99,41,31,70,0,0,0,12481,13039,25520,1690,1953,3647,267,248,521,16002,16984,32987,2536,2646,5178,33990,35351,69350
UCL212001,5114,5372,10489,1315,1461,2782,71,88,151,2442,2611,5051,32,49,83,26,29,55,22,23,45,11,13,22,11,14,21,5,5,14,0,0,0,2612,2832,5445,205,236,443,58,62,114,4195,4591,8786,432,477,911,9749,10440,20190
UCL212002,3384,3706,7087,834,925,1759,237,285,525,1025,1155,2179,36,46,84,13,14,25,23,26,47,6,12,14,17,18,34,4,9,9,0,0,0,1364,1555,2919,124,150,273,38,41,81,2360,2672,5033,461,475,937,6207,6853,13061
UCL212003,8024,8751,16776,1593,1807,3403,474,550,1023,2972,3288,6260,152,190,338,258,287,543,47,69,122,11,19,34,42,42,88,20,14,31,0,0,0,3982,4466,8443,882,885,1762,148,119,267,6605,7273,13875,1429,1453,2881,16057,17475,33531
UCL212004,5100,5597,10699,1252,1364,2614,73,104,180,2601,2905,5509,41,60,94,22,20,47,28,29,54,16,20,37,18,33,45,4,12,24,0,0,0,2808,3182,5982,172,200,370,47,61,111,4280,4798,9080,519,571,1092,9902,10970,20871
