UCL_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
UCL201001,27323,627,234,863,28186,4601,120,32909,207424,26005,3782,977,238191,4228,1069,5294,243491,12792,373,256647,243840,41017,4498,1635,290990,3409,915,4322,295309,11393,416,307123,31959,4546,3980,313,40794,419,100,521,41313,1406,72,42792,2758,419,116,3132,6419,115,34,154,6570,458,587,7620,485982,71990,12372,6063,576396,8167,2120,10288,586683,26049,1454,614188,6283,1250,165,149,7848,1083,129,1209,9059,689,25,9768,10190,2084,228,248,12755,949,475,1420,14175,981,56,15212,16469,3334,392,401,20603,2031,603,2631,23235,1668,76,24984,502452,75327,12765,6458,596999,10198,2723,12919,609923,27717,1529,639168,130319,29915,4498,4162,168897,5809,1598,7408,176299,35771,889,212962,1174,355,31,1621,3189,54,4,61,3249,273,2708,6230,633940,105603,17296,12244,769082,16073,4319,20390,789475,63767,5130,858360
UCL203001,220,0,4,4,218,24,0,240,3465,470,68,9,4010,45,19,62,4079,224,0,4301,6002,820,117,29,6973,54,39,87,7059,218,5,7283,772,82,80,16,955,12,0,7,963,31,4,997,54,0,0,37,92,0,0,0,92,9,9,113,10297,1377,265,94,12028,106,55,162,12188,481,23,12692,63,5,0,5,76,15,5,16,95,9,0,104,158,28,0,5,192,10,3,21,205,5,0,216,220,34,0,6,266,31,9,35,300,12,0,319,10511,1407,265,105,12295,134,66,196,12490,494,22,13011,2148,409,76,37,2677,86,8,98,2767,461,5,3238,7,5,0,3,12,0,5,5,12,4,43,57,12669,1826,345,147,14981,216,78,295,15274,964,69,16311
UCL203002,246,5,0,8,253,35,0,286,3437,490,86,5,4019,46,17,64,4083,217,5,4304,5723,846,121,48,6733,39,12,53,6781,208,10,7001,684,103,100,13,896,13,0,20,908,34,0,944,53,0,0,47,98,0,0,0,103,25,5,126,9897,1441,301,109,11745,103,29,129,11879,479,17,12375,47,5,0,0,55,8,0,8,66,6,0,72,135,24,4,3,172,13,0,13,185,10,0,193,182,30,4,3,228,25,0,25,249,14,0,263,10076,1475,308,111,11967,128,29,152,12128,494,17,12635,2100,402,98,32,2630,66,11,76,2707,515,0,3227,14,0,0,3,25,0,0,0,25,5,47,74,12195,1879,410,148,14628,191,35,229,14855,1011,68,15940
UCL203003,576,9,0,11,582,74,4,658,5817,913,110,30,6877,86,25,106,6984,368,13,7364,10857,1450,213,39,12565,100,18,117,12681,374,21,13074,1394,191,173,8,1774,12,0,19,1792,42,0,1831,85,14,0,90,191,5,0,4,201,3,16,214,18160,2572,503,174,21408,207,44,246,21654,781,42,22484,97,39,8,0,140,11,0,16,154,16,0,168,352,47,3,12,417,26,9,35,453,16,0,469,449,84,13,12,553,37,13,48,605,33,0,635,18607,2657,515,180,21963,242,53,297,22259,819,43,23121,3826,737,102,82,4745,90,33,124,4870,855,14,5746,27,4,0,15,46,0,0,0,46,0,58,107,22469,3393,619,277,26754,332,89,422,27178,1680,117,28968
UCL211001,39,0,4,4,45,10,0,57,1548,164,40,12,1762,13,7,25,1784,83,4,1869,2052,228,25,9,2316,22,6,24,2343,89,0,2428,238,23,39,3,308,0,0,3,304,14,0,323,37,6,0,26,70,0,0,0,74,4,8,88,3873,418,99,50,4452,39,10,57,4508,186,14,4709,32,21,0,0,53,10,0,10,67,4,0,73,50,5,0,0,56,3,8,11,66,4,0,68,84,27,0,0,109,15,8,22,129,8,0,144,3960,442,105,50,4563,53,19,76,4637,200,14,4853,714,114,32,12,866,20,6,31,898,192,0,1088,9,0,0,4,11,0,0,0,11,3,19,36,4687,556,135,65,5441,76,27,104,5545,396,31,5970
UCL211002,240,9,0,9,249,53,0,301,2869,384,60,17,3338,74,42,114,3449,232,3,3689,3025,711,103,38,3872,79,22,102,3978,250,6,4234,466,68,50,10,603,7,0,7,612,39,3,655,60,8,0,68,135,0,0,0,135,19,22,178,6424,1175,219,135,7952,165,60,219,8176,543,37,8756,171,49,0,5,236,45,3,45,278,37,4,323,262,82,25,7,369,31,9,43,409,12,0,427,435,134,25,13,602,77,12,90,695,55,4,753,6861,1302,239,146,8549,238,69,310,8866,598,40,9506,3637,951,142,169,4905,197,48,243,5143,1042,21,6210,40,15,0,55,108,0,0,0,108,6,86,195,10538,2276,381,369,13559,437,119,558,14117,1645,145,15911
UCL212001,58,0,0,0,60,9,0,68,970,109,28,14,1126,10,3,13,1141,69,0,1211,1342,133,33,7,1523,0,0,7,1528,27,0,1556,188,18,30,6,243,8,0,8,246,6,0,254,23,0,5,29,52,0,0,0,52,5,4,66,2534,258,99,55,2948,17,5,28,2973,106,4,3087,27,4,5,4,43,3,0,3,44,0,0,44,62,11,0,0,72,0,0,0,74,0,0,77,90,10,5,4,110,4,0,4,118,0,0,123,2621,277,100,61,3062,30,5,29,3090,108,4,3209,603,66,13,17,700,4,4,6,708,70,0,787,4,3,0,6,10,0,0,0,10,0,10,26,3226,344,117,92,3777,28,9,40,3812,180,26,4017
UCL212002,13,0,0,0,13,0,0,13,453,69,13,0,536,6,0,6,539,8,5,551,698,82,25,9,808,0,0,0,807,33,4,843,69,16,5,0,91,0,0,0,89,0,0,93,8,0,0,7,16,0,0,0,16,0,5,18,1226,169,42,10,1447,7,0,7,1452,41,6,1503,0,0,0,0,3,0,0,0,3,3,0,10,17,3,0,0,21,4,0,4,23,0,0,21,22,3,0,3,28,4,0,4,29,9,0,36,1243,170,42,14,1470,11,0,11,1484,48,6,1538,223,35,3,15,276,0,3,3,281,16,5,297,3,0,0,0,5,0,0,0,5,0,0,3,1469,207,46,30,1749,17,3,18,1768,67,10,1841
UCL212003,40,0,0,0,44,6,0,51,1189,172,19,4,1383,13,6,19,1399,64,4,1463,1290,230,33,14,1568,29,5,31,1599,72,12,1687,163,34,24,3,220,0,0,0,220,16,0,236,11,8,0,25,40,0,0,0,40,10,0,56,2654,434,72,48,3208,39,15,51,3260,165,12,3443,16,4,0,0,16,29,0,29,44,8,0,52,28,5,4,8,38,8,0,10,50,14,0,61,41,7,4,8,58,37,0,41,94,25,0,114,2692,442,80,52,3266,70,21,90,3359,191,12,3555,670,152,18,35,883,24,7,32,914,278,7,1201,17,3,0,7,24,0,0,0,24,6,30,62,3383,596,92,98,4171,99,28,124,4291,474,49,4817
UCL212004,68,3,0,3,69,5,0,78,934,182,26,3,1151,7,6,9,1156,77,0,1243,1905,280,33,20,2237,16,7,20,2257,37,3,2303,175,29,34,4,236,0,0,0,236,5,0,244,21,0,0,26,48,0,0,0,48,0,0,48,3045,492,88,49,3675,21,10,27,3710,123,3,3829,12,0,0,0,12,0,0,0,17,0,0,17,32,10,0,0,41,0,0,0,41,0,0,39,45,10,0,0,49,0,0,0,50,0,0,55,3088,500,88,49,3733,22,10,33,3764,123,3,3885,365,59,16,23,459,5,0,3,469,33,0,501,0,0,0,0,0,0,0,0,0,0,9,9,3453,558,105,74,4189,27,10,36,4227,160,9,4396
