UCL_CODE_2021,M_PGrad_Deg_15_24,M_PGrad_Deg_25_34,M_PGrad_Deg_35_44,M_PGrad_Deg_45_54,M_PGrad_Deg_55_64,M_PGrad_Deg_65_74,M_PGrad_Deg_75_84,M_PGrad_Deg_85ov,M_PGrad_Deg_Total,M_GradDip_and_GradCert_15_24,M_GradDip_and_GradCert_25_34,M_GradDip_and_GradCert_35_44,M_GradDip_and_GradCert_45_54,M_GradDip_and_GradCert_55_64,M_GradDip_and_GradCert_65_74,M_GradDip_and_GradCert_75_84,M_GradDip_and_GradCert_85ov,M_GradDip_and_GradCert_Total,M_BachDeg_15_24,M_BachDeg_25_34,M_BachDeg_35_44,M_BachDeg_45_54,M_BachDeg_55_64,M_BachDeg_65_74,M_BachDeg_75_84,M_BachDeg_85ov,M_BachDeg_Total,M_AdvDip_and_Dip_15_24,M_AdvDip_and_Dip_25_34,M_AdvDip_and_Dip_35_44,M_AdvDip_and_Dip_45_54,M_AdvDip_and_Dip_55_64,M_AdvDip_and_Dip_65_74,M_AdvDip_and_Dip_75_84,M_AdvDip_and_Dip_85ov,M_AdvDip_and_Dip_Total,M_Cert_III_IV_15_24,M_Cert_III_IV_25_34,M_Cert_III_IV_35_44,M_Cert_III_IV_45_54,M_Cert_III_IV_55_64,M_Cert_III_IV_65_74,M_Cert_III_IV_75_84,M_Cert_III_IV_85ov,M_Cert_III_IV_Total,M_Cert_I_II_15_24,M_Cert_I_II_25_34,M_Cert_I_II_35_44,M_Cert_I_II_45_54,M_Cert_I_II_55_64,M_Cert_I_II_65_74,M_Cert_I_II_75_84,M_Cert_I_II_85ov,M_Cert_I_II_Total,M_Cert_Levl_nfd_15_24,M_Cert_Levl_nfd_25_34,M_Cert_Levl_nfd_35_44,M_Cert_Levl_nfd_45_54,M_Cert_Levl_nfd_55_64,M_Cert_Levl_nfd_65_74,M_Cert_Levl_nfd_75_84,M_Cert_Levl_nfd_85ov,M_Cert_Levl_nfd_Total,M_Cert_Lev_Tot_15_24,M_Cert_Lev_Tot_25_34,M_Cert_Lev_Tot_35_44,M_Cert_Lev_Tot_45_54,M_Cert_Lev_Tot_55_64,M_Cert_Lev_Tot_65_74,M_Cert_Lev_Tot_75_84,M_Cert_Lev_Tot_85ov,M_Cert_Lev_Tot_Total,M_Lev_Edu_IDes_15_24,M_Lev_Edu_IDes_25_34,M_Lev_Edu_IDes_35_44,M_Lev_Edu_IDes_45_54,M_Lev_Edu_IDes_55_64,M_Lev_Edu_IDes_65_74,M_Lev_Edu_IDes_75_84,M_Lev_Edu_IDes_85ov,M_Lev_Edu_IDes_Total,M_Lev_Edu_NS_15_24,M_Lev_Edu_NS_25_34,M_Lev_Edu_NS_35_44,M_Lev_Edu_NS_45_54,M_Lev_Edu_NS_55_64,M_Lev_Edu_NS_65_74,M_Lev_Edu_NS_75_84,M_Lev_Edu_NS_85ov,M_Lev_Edu_NS_Total,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Total,F_PGrad_Deg_15_24,F_PGrad_Deg_25_34,F_PGrad_Deg_35_44,F_PGrad_Deg_45_54,F_PGrad_Deg_55_64,F_PGrad_Deg_65_74,F_PGrad_Deg_75_84,F_PGrad_Deg_85ov,F_PGrad_Deg_Total,F_GradDip_and_GradCert_15_24,F_GradDip_and_GradCert_25_34,F_GradDip_and_GradCert_35_44,F_GradDip_and_GradCert_45_54,F_GradDip_and_GradCert_55_64,F_GradDip_and_GradCert_65_74,F_GradDip_and_GradCert_75_84,F_GradDip_and_GradCert_85ov,F_GradDip_and_GradCert_Total,F_BachDeg_15_24,F_BachDeg_25_34,F_BachDeg_35_44,F_BachDeg_45_54,F_BachDeg_55_64,F_BachDeg_65_74,F_BachDeg_75_84,F_BachDeg_85ov,F_BachDeg_Total,F_AdvDip_and_Dip_15_24,F_AdvDip_and_Dip_25_34,F_AdvDip_and_Dip_35_44,F_AdvDip_and_Dip_45_54,F_AdvDip_and_Dip_55_64,F_AdvDip_and_Dip_65_74,F_AdvDip_and_Dip_75_84,F_AdvDip_and_Dip_85ov,F_AdvDip_and_Dip_Total,F_Cert_III_IV_15_24,F_Cert_III_IV_25_34,F_Cert_III_IV_35_44,F_Cert_III_IV_45_54,F_Cert_III_IV_55_64,F_Cert_III_IV_65_74,F_Cert_III_IV_75_84,F_Cert_III_IV_85ov,F_Cert_III_IV_Total,F_Cert_I_II_15_24,F_Cert_I_II_25_34,F_Cert_I_II_35_44,F_Cert_I_II_45_54,F_Cert_I_II_55_64,F_Cert_I_II_65_74,F_Cert_I_II_75_84,F_Cert_I_II_85ov,F_Cert_I_II_Total,F_Cert_Levl_nfd_15_24,F_Cert_Levl_nfd_25_34,F_Cert_Levl_nfd_35_44,F_Cert_Levl_nfd_45_54,F_Cert_Levl_nfd_55_64,F_Cert_Levl_nfd_65_74,F_Cert_Levl_nfd_75_84,F_Cert_Levl_nfd_85ov,F_Cert_Levl_nfd_Total,F_Cert_Lev_Tot_15_24,F_Cert_Lev_Tot_25_34,F_Cert_Lev_Tot_35_44,F_Cert_Lev_Tot_45_54,F_Cert_Lev_Tot_55_64,F_Cert_Lev_Tot_65_74,F_Cert_Lev_Tot_75_84,F_Cert_Lev_Tot_85ov,F_Cert_Lev_Tot_Total,F_Lev_Edu_IDes_15_24,F_Lev_Edu_IDes_25_34,F_Lev_Edu_IDes_35_44,F_Lev_Edu_IDes_45_54,F_Lev_Edu_IDes_55_64,F_Lev_Edu_IDes_65_74,F_Lev_Edu_IDes_75_84,F_Lev_Edu_IDes_85ov,F_Lev_Edu_IDes_Total,F_Lev_Edu_NS_15_24,F_Lev_Edu_NS_25_34,F_Lev_Edu_NS_35_44,F_Lev_Edu_NS_45_54,F_Lev_Edu_NS_55_64,F_Lev_Edu_NS_65_74,F_Lev_Edu_NS_75_84,F_Lev_Edu_NS_85ov,F_Lev_Edu_NS_Total,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Total,P_PGrad_Deg_15_24,P_PGrad_Deg_25_34
UCL201001,3207,49776,50702,28622,18908,11736,4972,917,168838,551,6545,9213,8617,7132,5072,1499,262,38885,27364,106818,94462,61758,40650,26679,10802,2957,371483,12180,35595,39058,30861,22981,16528,8139,2288,167626,23972,61081,53468,53851,47730,30653,17689,5552,293991,3059,2802,2190,1705,1304,746,293,60,12155,1498,3184,4149,4424,4151,3139,1619,477,22639,28531,67060,59808,59979,53188,34539,19598,6096,328793,868,2373,2572,1696,1486,1349,916,360,11624,15704,25887,20517,16050,13248,11366,9623,5538,117934,88409,294048,276333,207579,157583,107274,55546,18407,1205173,3993,61690,55460,27929,15888,8387,2476,471,176303,1798,15246,18297,16771,12297,7508,2297,361,74576,36833,135297,113347,73392,42816,26295,10148,2876,441008,13918,40985,45239,42617,31507,19917,8713,2877,205774,16425,33828,31809,31029,24218,11356,3777,1291,153735,2926,3102,3257,3176,2946,1893,615,134,18053,2027,3779,5128,7270,7116,5016,2612,1037,33992,21375,40710,40201,41477,34288,18268,7004,2466,205775,823,2256,2329,1774,1801,1890,1254,575,12706,14054,23634,19287,15394,14132,15162,14547,11393,127614,92803,319809,294163,219349,152725,97434,46432,21028,1243749,7209,111465
UCL203001,37,471,477,375,273,215,107,17,1979,4,115,188,196,192,186,56,8,942,297,1363,1273,920,621,548,230,42,5289,127,559,606,647,507,491,198,48,3187,884,2231,1664,1526,1486,1044,595,174,9598,113,117,67,51,38,22,10,4,433,30,61,74,70,89,75,42,15,458,1032,2412,1806,1650,1608,1140,646,188,10487,14,30,24,31,27,30,25,10,175,417,448,353,385,354,391,341,191,2891,1928,5394,4732,4205,3577,3013,1603,508,24953,46,618,601,446,348,226,64,5,2359,35,322,419,391,336,267,75,20,1864,441,2025,1901,1304,842,676,286,75,7538,283,837,892,850,824,590,280,87,4636,681,1421,1265,1112,856,491,84,39,5952,124,152,118,102,76,80,15,10,671,46,86,95,133,133,125,63,24,697,854,1664,1478,1351,1065,689,164,66,7324,21,30,26,32,33,42,30,17,227,440,461,370,389,400,521,545,418,3536,2115,5954,5686,4754,3842,3006,1433,682,27487,85,1095
UCL203002,28,284,305,241,205,201,88,13,1353,7,99,163,164,152,137,32,5,760,232,1145,989,734,506,457,185,50,4303,110,468,565,524,549,507,246,46,3020,731,2177,1813,1677,1578,1167,644,203,9996,108,92,66,49,35,32,9,0,389,34,61,75,71,79,95,42,15,465,877,2330,1959,1794,1687,1293,695,218,10850,3,30,18,26,22,34,19,13,167,345,441,351,377,369,359,348,225,2817,1605,4799,4350,3863,3493,2988,1613,562,23270,65,539,405,293,230,145,40,3,1716,48,347,416,355,278,223,56,10,1729,436,1823,1660,1141,791,608,236,76,6770,245,821,819,850,730,606,268,81,4432,662,1451,1207,1103,934,469,133,25,5987,120,124,132,97,123,90,17,0,704,61,72,102,139,162,121,55,24,735,848,1651,1443,1338,1220,682,205,52,7432,3,33,19,29,33,29,26,15,190,352,458,399,372,448,517,593,462,3608,1997,5674,5160,4369,3736,2805,1426,703,25866,96,823
UCL203003,167,1629,939,655,455,295,148,14,4303,16,279,293,253,247,193,63,9,1358,880,3178,2497,1633,1115,863,294,92,10558,455,1239,1252,1114,868,774,357,88,6142,1371,3705,2825,2589,2486,1829,948,331,16085,154,148,123,67,58,33,10,0,598,54,109,125,128,142,129,79,21,781,1578,3960,3072,2787,2688,1987,1044,356,17468,42,59,73,48,40,49,50,22,375,770,938,662,644,597,562,484,255,4902,3897,11281,8792,7131,6004,4722,2441,836,45104,90,1621,1146,665,426,220,66,4,4228,86,693,730,625,431,304,83,14,2956,1148,4511,3475,2178,1470,1077,390,103,14356,564,1721,1652,1650,1382,984,440,141,8540,1241,2318,1887,1785,1531,716,193,66,9729,188,175,173,156,125,114,32,5,969,114,157,198,226,230,204,89,39,1258,1542,2653,2259,2165,1885,1028,313,112,11955,31,56,42,44,63,63,73,22,404,681,825,713,628,610,802,847,552,5661,4140,12072,10020,7958,6268,4482,2217,943,48097,248,3250
UCL211001,5,58,86,77,50,40,12,0,322,0,17,44,55,49,39,17,0,225,28,306,256,219,149,130,53,10,1144,43,181,258,240,234,210,63,6,1237,422,1000,833,691,619,458,200,60,4281,47,43,26,21,13,10,0,0,161,24,28,25,41,22,33,20,0,206,492,1069,887,751,653,507,227,61,4643,8,5,7,11,14,10,6,0,63,165,174,144,130,131,151,111,43,1054,733,1811,1687,1480,1273,1093,489,126,8692,8,124,132,92,64,35,7,0,459,13,120,124,105,73,60,14,0,514,72,536,523,349,233,178,50,8,1956,102,353,374,347,306,196,94,9,1783,336,682,559,504,424,191,48,9,2751,41,60,58,43,36,29,6,0,276,25,39,36,63,81,53,20,7,321,402,776,654,612,541,276,73,12,3342,5,8,9,11,14,15,9,3,68,120,151,155,142,123,188,184,70,1147,718,2064,1976,1654,1364,946,435,114,9268,12,181
UCL211002,12,295,478,132,56,33,11,0,1014,5,32,71,38,28,34,9,0,214,143,741,995,378,165,126,46,3,2603,131,783,728,327,227,148,50,9,2391,646,1634,1350,1038,825,608,243,39,6385,79,94,50,49,34,5,0,0,318,20,72,101,66,59,49,12,0,381,742,1801,1504,1150,921,663,257,40,7080,6,29,55,16,18,9,3,5,143,386,556,499,341,271,196,119,31,2407,1424,4234,4323,2381,1675,1211,501,93,15845,22,550,400,96,49,23,5,0,1157,34,213,204,96,48,39,0,0,651,217,1367,1150,459,220,149,18,7,3589,201,913,924,491,300,161,50,13,3050,416,1245,1022,736,478,214,33,5,4150,71,100,112,76,48,32,5,6,453,60,115,111,106,85,62,13,4,551,544,1464,1249,920,613,303,53,12,5153,5,39,47,20,9,21,8,0,161,394,619,523,362,274,265,164,60,2673,1424,5170,4501,2450,1521,968,303,91,16431,33,848
UCL212001,0,63,75,51,36,27,6,0,253,0,16,27,18,10,31,3,0,100,40,213,203,121,74,74,33,7,762,29,141,174,130,91,96,40,7,715,181,614,495,395,319,256,111,23,2409,21,18,18,5,4,3,0,0,77,9,10,24,22,17,14,8,3,98,210,644,537,427,342,279,116,29,2585,0,7,15,0,8,4,4,4,31,51,78,74,71,66,55,49,14,455,335,1167,1095,816,635,561,250,55,4905,6,126,113,60,39,13,5,0,373,19,77,82,69,38,27,3,0,317,87,376,345,223,110,85,36,7,1263,69,256,272,216,152,100,52,14,1127,114,350,291,231,201,85,18,6,1295,18,29,34,19,25,14,7,0,147,12,18,31,32,37,28,13,0,168,137,398,363,283,263,133,31,7,1610,0,14,5,8,11,0,5,4,45,71,85,68,70,78,93,89,30,579,386,1333,1248,921,680,453,231,64,5309,7,189
UCL212002,0,29,23,16,6,8,0,0,87,0,5,12,8,7,10,7,0,59,16,99,88,74,66,54,17,6,416,10,40,61,57,59,57,32,4,317,122,303,231,278,274,207,104,39,1564,7,11,12,6,9,0,0,0,42,3,8,8,9,6,11,5,0,60,129,324,249,292,286,223,109,36,1663,0,0,3,4,3,5,4,4,20,51,65,41,73,60,73,68,33,468,205,561,478,537,494,431,238,83,3027,9,51,38,33,13,9,0,0,147,0,35,35,38,37,20,7,0,169,52,193,161,130,92,74,27,13,739,27,108,93,111,120,83,37,14,590,91,170,159,168,149,83,24,4,846,10,24,10,14,9,3,5,0,78,8,14,13,17,29,12,4,0,92,113,200,187,199,182,100,24,4,1015,5,0,6,4,4,9,10,0,29,46,55,46,55,90,99,113,105,606,253,637,562,563,540,379,220,131,3290,9,76
UCL212003,3,80,94,42,42,32,12,3,310,0,29,27,43,25,34,10,4,166,36,326,234,178,137,74,39,6,1035,44,161,175,171,172,122,49,8,897,281,748,520,510,446,355,162,47,3066,45,57,22,17,13,6,5,0,163,20,21,28,37,24,27,11,3,185,351,824,583,564,478,390,175,46,3411,4,9,13,16,10,12,12,3,66,199,247,204,202,193,188,154,79,1469,637,1679,1316,1211,1064,846,447,148,7358,12,120,101,61,45,14,5,0,356,6,91,81,89,70,27,9,0,370,111,596,417,302,201,140,50,16,1838,90,279,280,280,253,195,73,12,1452,234,552,380,371,295,144,37,6,2016,45,59,50,43,35,25,9,0,265,26,31,39,64,51,33,11,0,256,303,646,472,474,381,199,55,9,2538,5,19,17,5,3,11,11,6,80,187,261,225,189,197,239,198,155,1644,717,2006,1580,1402,1149,818,396,203,8278,16,199
UCL212004,0,49,98,83,105,98,36,8,479,0,10,43,54,52,70,15,0,260,33,222,382,326,250,259,80,18,1575,19,89,173,173,163,197,84,14,910,94,292,405,371,337,301,115,44,1966,7,3,13,9,5,6,3,0,51,9,8,16,22,18,34,16,0,118,112,303,428,399,366,337,136,45,2131,0,5,12,5,7,4,5,3,45,70,35,63,61,80,99,84,45,546,241,718,1206,1107,1023,1063,449,138,5946,0,111,168,127,114,67,22,0,615,0,62,131,122,121,86,18,0,547,54,351,549,460,361,278,92,19,2153,35,131,224,259,245,254,98,16,1271,68,122,197,201,158,91,24,3,872,16,9,20,17,12,19,6,0,94,6,13,7,22,30,38,19,6,143,83,145,229,243,197,150,46,11,1107,0,3,9,9,5,15,16,5,58,71,40,78,80,104,167,99,124,757,253,837,1382,1299,1152,1016,390,170,6508,5,160
