UCL_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
UCL201001,79367,57377,34254,16977,5938,2142,283172,13875,50302,48354,41097,29479,16669,5396,1171,206339,8626,24139,17110,10038,5477,2878,1301,461,70039,7414,18291,15974,11659,7260,4454,1942,523,67518,409,281,205,174,175,217,106,50,1618,1734,5275,6208,5068,3116,1947,797,298,24449,14027,24407,19838,14980,12310,12200,11905,10203,119861,92803,319809,294163,219349,152725,97434,46432,21028,1243749,10572,23428,20255,16361,12171,8004,3557,855,95200,8860,38566,47953,21510,10344,3737,526,50,131539,14278,63179,59746,52079,48385,34820,19444,6365,298290,11101,35273,26605,21285,14688,8682,4814,1465,123911,2383,6903,6515,5241,3719,1893,769,231,27662,16952,69224,51636,38931,30507,20590,9636,3594,241064,6944,36729,34066,31790,29661,25770,11912,2976,179849,28714,130165,141827,103060,64388,35412,13387,4040,521006,21128,75009,69619,59098,42987,26774,9511,2153,306275,14940,41851,30070,17284,9493,5063,2255,723,121676,11035,30625,27849,18178,11505,6505,2954,774,109423,845,692,474,327,321,352,190,76,3266,3003,9725,11520,9363,6151,3869,1715,596,45931,30465,52489,42360,32439,25990,23241,21303,15544,243824,181214,613862,570492,426932
UCL203001,1214,929,695,368,113,28,4543,329,1103,1095,1055,799,522,140,24,5050,138,322,284,199,121,93,31,18,1192,214,516,386,294,178,143,51,17,1794,5,9,10,5,4,11,3,0,38,22,65,94,87,38,54,21,11,390,435,479,374,376,330,419,452,373,3237,2115,5954,5686,4754,3842,3006,1433,682,27487,92,272,258,240,157,115,43,13,1181,118,426,469,210,144,77,17,0,1468,345,1168,980,1005,951,797,439,126,5800,329,859,598,395,396,262,149,52,3027,104,244,232,183,140,94,55,11,1059,490,1643,1321,1133,1107,819,382,125,7014,189,1078,1026,925,855,1013,489,130,5706,404,1580,1965,1664,1265,762,248,53,7939,473,1547,1454,1431,1078,793,225,50,7056,276,596,495,321,223,167,68,21,2164,304,758,630,480,307,221,79,28,2806,17,21,10,10,6,11,8,0,71,36,167,189,181,85,104,43,15,820,878,992,775,795,712,791,803,570,6320,4044,11351,10417,8963
UCL203002,972,847,609,331,112,49,3968,318,1024,1021,918,793,469,114,19,4680,90,234,173,133,72,69,25,14,805,234,528,367,252,179,116,59,9,1738,10,6,7,7,3,0,0,0,37,14,45,66,72,47,25,13,9,287,344,457,401,370,367,397,507,420,3258,1997,5674,5160,4369,3736,2805,1426,703,25866,59,204,198,165,121,109,63,7,933,57,279,323,177,122,74,20,0,1061,346,1170,957,961,1066,904,501,156,6048,234,761,591,488,411,325,148,56,3014,95,240,207,230,183,119,63,22,1165,546,1829,1405,1124,1139,853,340,116,7361,225,949,980,830,779,853,434,96,5148,360,1356,1614,1421,1073,716,230,72,6833,454,1373,1362,1264,1059,681,206,37,6432,163,416,308,216,133,135,47,25,1433,298,802,612,414,291,190,96,18,2719,16,16,9,12,8,5,0,0,63,27,113,152,146,101,73,38,11,663,724,964,785,782,736,758,861,641,6256,3604,10469,9506,8232
UCL203003,2150,1647,1138,609,207,72,8160,754,2091,1783,1688,1324,747,208,37,8630,291,701,564,339,199,109,49,14,2269,417,932,657,482,330,231,99,20,3162,14,13,10,4,3,3,4,0,53,36,135,166,125,99,59,19,9,653,697,842,728,605,527,642,707,466,5221,4140,12072,10020,7958,6268,4482,2217,943,48097,369,693,549,430,317,234,102,24,2715,213,800,686,340,197,109,17,6,2365,753,2682,1827,1947,1879,1614,856,303,11858,698,2326,1289,891,686,408,235,87,6632,156,338,329,275,185,120,84,18,1510,917,3579,2419,1867,1673,1170,479,181,12287,356,1788,1649,1352,1332,1321,664,167,8642,791,3342,3737,2791,2013,1215,431,122,14438,1076,2959,2470,2274,1801,1094,340,66,12073,543,1144,947,561,294,216,79,18,3814,551,1471,1074,746,521,332,151,44,4894,34,33,20,6,10,7,8,0,113,69,306,334,288,205,149,58,22,1431,1507,1885,1485,1314,1156,1214,1159,715,10442,8037,23357,18815,15094
UCL211001,452,402,313,151,44,7,1864,135,404,399,347,306,149,36,0,1780,30,69,47,33,22,21,7,6,229,107,221,174,122,68,58,24,3,782,11,7,5,0,0,3,0,0,30,3,14,21,19,14,7,10,0,88,135,154,152,133,109,144,146,68,1047,718,2064,1976,1654,1364,946,435,114,9268,14,41,64,62,36,32,9,0,260,14,76,89,53,41,24,9,0,313,175,552,504,455,433,366,148,43,2670,124,281,191,149,139,124,46,10,1065,28,93,79,81,61,55,17,5,413,124,508,416,356,328,241,110,18,2102,70,326,331,283,250,262,102,11,1628,153,605,711,658,530,291,94,21,3055,201,541,513,460,390,208,66,5,2381,67,121,90,54,37,32,14,4,412,147,326,281,183,113,93,41,0,1190,23,13,5,0,3,3,0,0,49,19,43,52,67,36,21,15,6,250,306,353,330,277,248,295,261,106,2171,1455,3879,3658,3131
UCL211002,982,531,313,161,42,3,3195,210,961,857,570,381,195,20,5,3191,45,149,90,35,26,7,5,0,363,177,479,395,168,94,54,10,0,1387,8,7,3,6,5,5,0,0,35,11,93,108,36,13,26,3,0,282,401,629,545,351,236,230,147,59,2590,1424,5170,4501,2450,1521,968,303,91,16431,58,200,207,108,41,38,7,0,667,74,510,639,143,55,31,3,0,1459,277,1050,1060,785,670,503,213,39,4589,259,568,398,229,157,112,40,0,1770,28,107,142,62,30,18,7,0,390,203,893,640,382,252,175,46,13,2611,148,624,613,353,220,166,43,6,2186,271,1654,1746,869,508,286,80,11,5410,325,1274,1181,750,498,254,40,7,4338,89,284,174,63,39,26,5,0,683,247,800,698,269,148,87,26,5,2272,15,18,8,7,8,6,0,0,49,31,173,227,69,46,46,15,3,612,815,1252,1105,744,518,431,268,87,5225,2846,9407,8829,4835
UCL212001,295,188,139,70,30,8,1018,73,233,210,215,172,86,21,6,1017,25,76,38,29,20,11,4,0,199,58,125,107,44,29,21,13,0,397,0,4,0,0,0,0,0,0,7,0,13,16,10,10,3,0,0,59,60,90,77,66,67,73,71,28,531,386,1333,1248,921,680,453,231,64,5309,15,60,58,35,26,27,12,0,227,10,90,110,46,23,16,7,0,305,71,307,309,295,250,213,94,23,1559,99,287,178,89,49,62,22,8,796,11,53,56,49,24,11,6,5,210,73,224,194,163,130,97,35,8,918,52,280,234,188,132,149,57,17,1112,62,380,480,303,237,136,44,11,1661,93,324,289,268,204,110,40,9,1338,40,115,63,50,27,17,5,0,328,61,159,151,65,51,37,25,0,545,5,3,3,0,0,0,0,0,15,8,29,41,32,23,15,10,0,156,116,182,174,146,138,130,113,42,1046,718,2499,2343,1738
UCL212002,123,89,79,39,14,6,462,46,112,107,124,116,73,14,4,599,6,26,14,9,3,8,0,0,73,31,91,49,55,46,24,11,0,308,0,0,0,0,0,0,0,0,4,0,3,0,6,3,4,0,0,24,47,60,44,55,67,80,88,98,540,253,637,562,563,540,379,220,131,3290,9,16,27,18,4,12,0,4,86,8,29,10,12,4,0,0,0,72,52,162,149,154,174,158,73,21,948,28,86,56,62,61,46,20,10,374,6,41,44,38,33,19,15,4,207,61,176,124,119,140,98,42,12,783,33,107,100,116,111,82,61,11,616,30,136,173,150,130,89,34,4,749,53,143,133,159,136,95,25,3,752,15,36,24,16,9,14,0,0,119,48,133,90,91,71,40,23,4,496,0,0,0,0,0,0,0,0,5,0,13,3,14,17,5,0,0,66,97,138,94,134,139,150,164,136,1049,463,1201,1041,1095
UCL212003,318,274,209,96,27,3,1387,145,361,287,321,252,125,29,4,1516,18,65,57,30,22,11,4,0,208,89,188,137,107,65,49,18,5,659,4,13,6,0,0,4,0,0,28,13,16,18,7,10,5,0,0,76,188,274,223,187,186,204,150,146,1563,717,2006,1580,1402,1149,818,396,203,8278,9,67,57,44,51,20,7,4,266,11,75,56,27,13,3,0,0,190,142,383,277,253,260,258,127,35,1728,58,175,130,106,109,69,40,9,697,21,116,124,114,73,41,11,0,504,96,477,298,251,262,218,94,35,1745,58,304,276,268,205,186,100,17,1415,152,570,504,454,339,192,56,9,2280,206,513,394,421,327,167,42,3,2067,35,115,81,52,36,27,12,5,352,132,277,201,192,121,78,39,5,1034,5,25,10,4,4,3,0,0,53,23,47,41,32,29,23,10,0,200,404,542,454,417,373,386,308,222,3100,1355,3684,2898,2613
UCL212004,273,243,155,128,43,15,1009,37,144,241,222,186,148,31,8,1018,27,66,88,63,29,17,14,4,309,29,62,84,61,36,40,15,3,326,0,0,0,0,0,0,0,0,0,0,8,27,41,17,18,4,0,124,71,42,82,86,88,127,74,104,684,253,837,1382,1299,1152,1016,390,170,6508,11,33,64,86,76,57,24,4,359,9,23,54,49,30,21,3,0,188,25,121,186,230,248,299,125,33,1258,39,196,263,187,114,93,38,9,936,10,36,78,77,56,38,12,11,323,33,283,368,347,350,253,108,29,1773,29,136,310,246,359,413,161,30,1687,42,200,469,434,341,308,103,23,1922,65,221,331,318,277,225,65,12,1510,43,107,138,103,50,40,19,5,501,39,97,126,105,57,57,23,3,497,0,0,0,0,0,0,0,0,7,4,10,56,59,46,34,15,3,226,142,87,151,164,173,227,160,149,1264,493,1554,2589,2404
