UCL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL201001,310307,204701,101983,39436,2448922
UCL203001,7419,6018,3039,1193,52433
UCL203002,7223,5789,3043,1265,49136
UCL203003,12274,9208,4654,1781,93207
UCL211001,2637,2039,922,241,17955
UCL211002,3193,2173,805,181,32277
UCL212001,1315,1008,477,119,10216
UCL212002,1032,809,460,218,6316
UCL212003,2218,1666,844,351,15631
UCL212004,2175,2080,845,314,12454
UCL212005,3030,2230,1243,573,21755
UCL212006,2859,1792,764,250,18763
UCL212007,1894,1612,680,253,12955
UCL212008,2039,1507,833,313,13424
UCL212009,2565,1913,1000,425,16105
UCL213001,954,941,635,265,6286
UCL213002,1046,1089,657,300,6005
UCL213003,764,701,378,152,5185
UCL213004,969,918,458,115,6876
UCL213005,1373,1359,669,179,8210
UCL213006,843,526,316,128,5489
UCL213007,1101,866,441,187,7407
UCL213008,921,726,305,82,7565
UCL213009,907,667,426,145,6147
UCL213010,1177,1024,536,204,7083
UCL213011,979,748,415,240,6047
UCL213012,843,721,319,110,4643
UCL213013,1008,865,462,210,6831
UCL213014,645,475,293,130,4665
UCL213015,770,392,137,23,6513
UCL213016,1456,1232,757,332,9463
UCL213017,1460,1176,654,211,9616
UCL213018,590,712,435,150,3828
UCL214001,523,425,233,84,3049
UCL214002,316,240,131,65,2907
UCL214003,847,772,505,200,4761
UCL214004,297,323,184,79,2133
UCL214005,74,87,30,14,463
UCL214006,677,788,402,164,3586
UCL214007,243,123,33,4,2582
UCL214008,716,656,360,182,4460
UCL214009,814,594,354,139,4456
UCL214010,603,712,367,105,3280
UCL214011,558,442,254,84,4072
UCL214012,430,370,213,123,2605
UCL214013,393,362,227,101,2606
UCL214014,551,714,368,96,3121
UCL214015,369,403,253,73,2558
UCL214016,530,593,365,109,3241
UCL214017,672,924,527,167,3422
UCL214018,1095,1252,555,165,5025
UCL214019,474,346,179,75,2644
UCL214020,401,392,237,116,2523
UCL214021,319,295,125,79,2492
UCL214022,646,688,395,138,3792
UCL215001,271,232,85,22,980
UCL215002,215,230,108,40,1206
UCL215003,412,487,217,56,2051
UCL215004,153,159,66,22,818
UCL215005,80,109,41,20,492
UCL215006,217,157,78,30,1288
UCL215007,284,273,163,52,1494
UCL215008,168,91,17,0,993
UCL215009,73,75,30,5,371
