UCL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL201001,21701,71524,18517,15379,2387,180879,50696,21085,109639,43437,42462,6607,273922,3598,1439,12395,5048,5527,591,28602,5369,1647,12833,11339,26096,1504,58783,9912,1685,22954,10540,16980,9100,71176,284922,88550,643071,263818,369826,47763,1697942
UCL203001,625,2026,487,631,41,4710,1051,742,2778,1318,1849,181,7916,51,22,200,92,176,17,559,63,32,157,211,702,25,1178,50,13,173,134,389,129,883,3442,2054,9781,5295,12292,841,33697
UCL203002,551,1634,396,547,49,3691,998,728,2765,1408,1899,188,7993,25,22,125,77,140,15,396,56,34,169,223,821,20,1318,42,22,129,107,434,126,853,2442,1917,8677,5013,12658,893,31597
UCL203003,948,3405,966,895,81,7983,1714,1120,5149,2226,3189,310,13701,84,38,313,160,249,22,872,114,54,327,416,1233,55,2204,167,34,439,281,724,275,1920,7036,3401,19894,10261,20630,1622,62842
UCL211001,184,481,211,301,12,1359,218,203,802,532,841,57,2647,7,5,20,11,45,0,83,10,3,37,78,362,14,501,15,9,42,48,208,49,376,639,574,2432,2145,5750,322,11862
UCL211002,231,670,329,361,32,1889,276,197,1029,781,978,110,3375,8,3,52,53,102,12,225,40,7,94,128,553,24,841,59,8,144,146,396,166,928,1701,667,4770,3976,8286,808,20210
UCL212001,142,397,121,157,11,962,97,73,327,245,264,24,1029,8,0,21,23,46,3,99,13,3,39,56,211,4,326,7,0,33,34,134,51,260,511,326,1617,1334,3140,204,7127
UCL212002,54,202,39,73,9,427,82,71,275,163,299,39,933,0,0,20,18,27,0,67,6,3,20,26,128,6,192,0,3,12,15,61,16,100,212,174,918,613,1903,134,3954
UCL212003,159,516,161,212,16,1184,219,149,698,434,619,60,2174,4,6,20,21,37,0,91,8,7,31,66,256,10,370,13,3,41,44,153,72,331,567,443,2328,1686,4166,394,9588
UCL212004,166,530,132,124,16,1186,238,200,600,260,230,44,1570,15,4,58,25,36,9,146,15,13,54,53,110,4,256,23,8,63,45,71,24,239,835,571,2710,1378,2231,223,7947
UCL212005,273,635,213,299,19,1646,416,240,1071,700,886,104,3413,5,0,19,17,46,0,90,12,17,54,114,414,12,617,19,9,60,74,234,86,486,1016,719,3198,2473,5589,516,13514
UCL212006,213,661,230,281,26,1667,175,182,660,395,514,52,1990,10,11,64,44,61,6,189,16,6,64,101,332,13,525,18,8,64,56,233,60,435,871,657,3210,2551,5590,353,13239
UCL212007,167,583,114,89,11,1238,232,189,656,215,181,26,1499,30,16,87,40,48,8,216,9,8,64,76,127,10,299,16,11,109,41,74,38,290,1038,610,3339,1441,2328,202,8963
UCL212008,102,366,100,139,9,873,243,141,717,364,491,52,2016,4,0,22,15,34,3,83,12,4,27,64,236,4,349,5,5,23,29,137,25,225,599,375,2021,1426,3913,240,8581
UCL212009,164,577,138,216,20,1331,300,237,870,484,699,60,2649,8,3,30,26,52,3,129,8,4,38,63,277,12,406,7,6,34,38,146,46,283,763,579,2736,1714,4344,319,10456
UCL213001,42,136,66,88,9,394,82,49,220,178,267,18,819,0,4,8,5,15,0,36,0,5,16,22,120,3,168,6,3,3,24,66,24,125,198,142,684,610,1660,136,3431
UCL213002,82,159,36,33,0,469,127,75,225,109,116,15,664,20,19,55,16,8,3,114,13,3,29,20,56,0,117,16,8,28,10,18,11,93,514,294,983,477,826,75,3170
UCL213003,39,149,37,74,0,331,43,31,140,142,254,18,630,0,0,10,6,14,0,27,3,0,3,20,128,0,153,0,0,0,8,50,29,85,142,102,595,518,1762,133,3251
UCL213004,71,227,77,114,12,576,57,53,218,180,298,21,828,3,4,15,17,20,0,57,5,0,12,27,174,4,223,8,6,26,20,87,27,159,201,178,842,759,2267,124,4380
UCL213005,84,226,78,88,6,566,78,92,326,236,364,20,1114,3,4,18,14,21,0,55,0,0,24,51,162,8,251,8,4,29,24,74,20,156,298,250,1110,938,2307,119,5022
UCL213006,99,253,61,64,6,579,74,68,232,99,99,14,593,3,5,23,6,8,0,51,4,8,14,29,82,0,141,4,0,17,12,50,14,109,340,296,1175,726,1358,88,3990
UCL213007,72,256,63,97,9,552,108,78,362,283,382,26,1230,0,0,11,10,21,0,44,10,4,22,30,171,5,247,0,0,17,17,64,26,125,304,214,1075,877,2319,152,4946
UCL213008,74,262,105,106,5,654,71,89,271,192,294,22,948,4,3,11,16,25,4,54,13,4,17,34,131,0,207,10,5,28,16,78,27,159,361,254,1372,1054,2310,148,5500
UCL213009,53,168,73,110,6,469,61,70,308,192,286,26,940,0,5,15,11,22,0,49,5,8,23,51,153,0,241,0,0,16,22,53,19,117,201,189,980,785,1948,111,4208
UCL213010,41,104,64,103,11,357,35,30,156,183,354,33,796,0,0,3,11,19,0,35,4,0,10,18,142,0,175,0,0,11,14,92,35,147,116,107,530,590,2158,147,3646
UCL213011,24,77,38,64,7,231,29,20,145,124,235,31,584,3,0,6,4,8,4,22,5,0,13,11,82,3,107,0,0,21,13,66,25,130,110,73,457,417,1463,149,2682
UCL213012,37,153,38,69,10,329,38,43,159,130,199,21,587,0,0,12,3,20,0,37,0,0,14,21,80,3,120,0,0,8,7,47,11,77,106,104,506,421,1394,113,2633
