UCL_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
UCL201001,191,576,1482,1419,1411,1090,468,183,11,6834,13,79,501,763,772,588,148,24,5,2884,1762,6169,20867,24865,26355,20947,4921,526,45,106462,119,703,3621,4928,3589,2434,511,48,8,15968,6086,19448,50324,40262,31699,20038,4778,504,30,173168,645,2592,8297,10614,10942,8040,2118,284,34,43576,10281,17329,23697,18418,14245,9830,3206,456,25,97490,15032,13288,16862,10735,6497,4692,1264,159,14,68546,914,5890,20227,20755,17054,14528,3952,316,10,83635,418,1698,6256,8224,5655,3005,617,88,5,25966,171,3287,15328,19568,12816,6197,1598,286,49,59302,205,1149,4575,4872,3815,2609,1089,278,29,18623,571,6966,35046,37319,24782,14946,5902,1121,52,126703,779,3599,9957,8330,7448,5703,1878,273,10,37987,543,3601,14815,15834,13787,10318,2816,336,18,62068,1774,4618,14490,13951,11267,9220,3229,355,17,58924,786,4874,19242,17171,14238,11312,4239,596,36,72495,2062,2961,5804,4443,3200,2015,780,129,5,21411,993,3593,9449,8602,8203,6435,2069,347,21,39710,1724,6132,17886,15835,12691,9054,2575,522,107,66528
UCL203001,22,32,119,84,81,74,35,18,0,476,8,18,97,80,72,35,6,0,0,313,83,183,543,548,668,493,97,7,0,2618,0,14,90,90,81,82,13,0,0,362,257,601,1182,794,534,489,108,7,0,3972,21,53,140,125,156,131,32,7,0,660,309,370,502,309,316,236,95,9,0,2153,531,300,330,211,130,94,30,9,0,1622,12,63,257,263,267,278,104,8,0,1238,14,26,93,107,95,49,9,3,0,393,0,22,87,126,122,62,25,8,0,442,3,17,68,69,58,65,26,3,0,303,13,90,406,404,296,193,66,14,0,1473,15,69,155,121,115,125,39,3,0,648,6,49,338,427,411,297,61,3,3,1593,43,87,353,382,338,296,93,6,0,1595,28,176,541,454,493,360,100,10,0,2168,45,55,116,78,69,52,23,4,0,443,36,112,209,166,151,135,42,5,0,866,58,111,252,169,186,173,39,13,6,1000
UCL203002,18,45,117,107,107,89,62,18,0,556,11,58,237,196,144,86,7,0,0,747,83,264,733,605,551,493,96,4,0,2835,0,21,90,97,95,96,15,0,0,422,221,502,1012,769,588,477,110,15,0,3686,12,52,103,109,142,128,26,5,0,584,332,332,403,315,282,219,89,7,0,1987,515,242,286,175,125,88,36,6,0,1465,19,53,194,209,259,297,112,14,0,1159,6,31,81,60,60,30,14,0,0,275,6,52,178,234,180,85,22,5,0,765,4,22,38,50,52,46,17,3,0,234,9,58,244,243,220,134,77,8,0,1000,21,39,109,125,119,106,39,3,0,558,3,73,269,358,401,322,85,3,0,1513,19,88,284,271,236,210,67,0,0,1177,18,124,516,452,437,339,117,12,0,2009,37,56,67,41,55,34,18,9,0,318,35,90,236,185,163,157,58,4,0,924,41,91,240,205,180,157,41,13,5,966
UCL203003,21,51,100,112,112,74,42,10,3,521,0,9,41,32,43,35,12,0,0,170,78,302,984,850,948,744,147,16,0,4064,10,18,204,191,181,154,18,0,0,774,391,1127,2653,1774,1290,883,188,22,5,8334,35,134,301,345,377,290,69,10,0,1554,547,804,1018,693,551,408,152,16,0,4193,745,550,779,334,189,150,52,8,0,2813,34,173,649,559,519,586,190,16,0,2725,20,47,107,140,113,50,17,0,0,491,0,69,297,335,266,134,39,6,0,1148,0,38,132,109,91,91,32,6,0,508,12,211,794,706,559,352,179,31,8,2844,41,120,286,251,246,200,81,7,0,1226,13,114,632,711,659,463,113,18,0,2713,52,164,680,711,550,470,131,10,0,2770,24,266,945,789,678,537,164,22,0,3430,90,128,197,109,107,60,26,5,0,722,54,162,359,288,266,228,55,16,0,1429,79,236,518,402,404,273,93,27,0,2026
UCL211001,6,12,27,16,31,18,5,6,0,130,0,0,6,16,5,4,0,0,0,23,39,120,331,343,293,225,47,0,0,1398,0,4,13,19,30,18,8,0,0,93,107,204,437,283,219,175,45,0,0,1477,13,17,49,69,65,50,11,0,0,282,142,110,200,152,124,86,27,9,0,852,170,82,76,60,39,28,3,0,0,473,5,25,126,120,161,171,61,6,0,678,4,0,16,15,14,7,0,0,0,62,0,5,13,19,23,22,6,0,0,93,0,5,15,12,15,7,5,0,0,64,4,19,70,79,69,43,28,4,0,312,10,12,47,48,43,47,17,8,0,235,92,154,267,218,222,155,27,4,0,1134,13,16,78,82,88,72,22,8,0,379,3,21,129,115,137,109,25,3,0,558,18,14,9,10,19,8,4,0,0,72,17,43,83,81,53,58,22,0,0,366,25,43,87,81,76,56,18,3,0,390
UCL211002,4,13,28,35,18,8,5,4,0,112,0,0,17,18,25,12,0,0,0,74,36,111,356,465,360,236,50,4,0,1622,6,13,87,88,65,52,7,0,0,311,142,459,1037,692,478,266,42,4,0,3121,8,37,158,193,149,101,29,0,0,664,115,239,384,327,194,106,36,0,0,1397,250,119,174,119,54,32,15,0,0,760,25,120,823,903,511,378,81,0,0,2846,3,11,51,96,24,13,5,0,0,204,0,23,105,163,71,19,0,0,0,376,0,21,70,62,27,22,0,0,0,209,3,36,185,269,89,40,24,0,0,652,10,58,130,167,107,78,12,4,0,568,3,42,249,314,195,134,38,0,0,972,12,39,114,149,100,61,28,0,0,498,4,41,186,225,134,82,14,3,0,692,15,17,49,47,36,12,11,0,0,185,35,83,220,160,134,79,34,0,0,750,32,111,328,323,199,108,24,0,0,1134
UCL212001,0,0,21,17,19,14,3,0,0,77,0,4,8,16,20,11,3,0,0,60,11,20,87,94,126,93,12,0,0,448,4,10,24,32,22,23,5,0,0,119,71,190,437,304,198,129,31,0,0,1353,7,5,38,52,36,45,11,0,0,190,56,65,78,77,61,38,14,0,0,380,91,43,30,15,7,12,3,0,0,203,6,17,135,182,127,115,38,0,0,620,0,5,15,16,17,14,0,0,0,76,0,7,22,45,22,12,8,0,0,113,0,3,17,13,15,10,4,0,0,66,3,7,75,76,48,37,17,0,0,264,3,10,33,24,30,16,6,3,0,117,4,10,91,99,114,60,12,0,0,388,12,12,68,40,41,23,12,0,0,208,4,11,32,38,34,30,0,5,0,146,7,4,19,17,18,10,7,0,0,81,10,23,71,53,40,31,12,0,0,238,19,24,59,74,51,41,13,3,0,288
UCL212002,0,12,24,22,24,24,14,9,4,131,0,0,3,6,3,6,0,0,0,16,12,21,81,85,102,93,22,4,0,425,0,0,7,4,14,17,0,0,0,49,41,73,140,106,105,103,24,0,0,601,0,9,22,22,15,21,7,0,0,95,42,36,56,35,49,52,16,0,4,301,67,31,47,47,31,37,14,0,0,278,3,3,18,15,37,54,14,0,0,141,0,0,3,0,0,0,0,0,0,11,0,0,3,11,10,8,3,0,0,36,0,5,5,5,4,11,7,0,0,32,0,4,22,24,29,10,9,0,0,95,5,4,9,13,21,15,10,0,0,79,3,5,17,40,30,28,10,0,0,141,10,15,31,18,22,24,7,0,0,128,4,13,42,49,42,31,18,0,0,188,5,3,14,11,4,3,5,0,0,57,9,8,25,19,25,41,13,0,0,142,4,11,26,22,27,32,3,5,0,135
UCL212003,26,62,251,187,157,113,37,7,3,835,0,14,28,31,21,27,0,0,0,115,29,61,128,120,126,108,32,0,0,606,0,5,33,28,40,41,7,0,0,151,73,143,248,199,144,135,20,0,0,969,6,23,64,50,60,63,14,0,0,284,128,102,187,102,108,103,30,0,0,764,94,87,126,70,65,41,23,3,0,502,11,28,85,83,98,122,40,3,0,468,0,12,9,7,20,8,10,0,0,65,3,5,29,21,28,17,0,0,0,104,3,7,17,13,17,16,3,3,0,81,6,22,78,73,56,38,29,5,0,300,10,20,75,55,53,61,9,0,0,285,0,22,105,81,117,87,29,3,0,449,0,16,85,83,67,56,18,0,0,335,3,25,147,114,115,98,26,4,0,531,14,13,13,14,19,16,0,0,0,77,15,39,80,56,31,45,19,6,0,281,20,37,130,73,87,61,12,9,0,435
UCL212004,0,4,15,6,7,11,16,4,0,68,0,0,3,4,4,5,0,0,0,20,21,15,29,68,84,67,11,0,0,294,0,0,8,21,19,17,6,0,0,68,54,89,231,311,251,130,36,7,0,1105,5,3,13,44,38,45,10,0,0,156,67,55,53,42,68,50,19,0,0,358,127,41,44,41,32,18,16,3,0,320,4,0,18,40,46,68,25,0,0,202,0,0,8,12,19,10,6,0,0,59,0,3,23,54,56,24,9,4,0,177,0,6,14,25,23,12,3,0,0,83,5,15,58,116,126,89,51,6,0,466,3,9,8,34,31,35,14,4,0,138,0,6,41,105,118,76,17,3,0,363,11,17,52,115,82,100,24,3,0,400,0,18,65,91,100,88,28,0,0,392,10,7,18,36,14,17,4,5,0,106,4,3,14,29,29,23,14,0,0,114,11,9,32,47,52,30,14,3,0,195
