UCL_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
UCL201001,45054,108558,298729,286936,230484,162999,48162,6822,532,1188278,95,325,1079,1071,1099,731,227,62,0,4692,5,23,175,293,277,97,19,3,0,892,2146,3133,9986,12044,12589,8383,1662,147,7,50097,30,320,1999,2765,1712,753,112,7,0,7700,321,2017,7991,7793,6295,3928,938,108,0,29406,287,1573,5554,6732,6465,3882,860,91,5,25453,14941,22623,25946,19329,18590,12821,3020,271,12,117561,20155,15264,15333,8775,7097,4465,919,88,3,72093,323,1905,6059,6360,5965,3814,723,47,5,25195,536,1402,4690,4572,3100,1455,335,40,6,16132,165,2788,14442,16962,11003,5059,1048,87,5,51566,238,1461,5225,4350,3686,2224,738,131,14,18057,547,7423,32362,27613,18524,9845,2914,326,20,99573,477,3242,10251,8423,7739,5076,1356,119,7,36694,354,3163,14632,16632,14856,9687,1937,181,7,61439,2777,9361,33680,34589,32785,23043,5264,398,12,141900,2380,19778,64230,55428,49666,37418,9364,612,23,238881,2020,3008,5057,4161,3231,1814,539,83,8,19913,1076,3700,10155,8740,7634,4890,1191,111,7,37510
UCL203001,1502,2442,5882,5000,4643,3715,1038,126,11,24351,0,23,18,31,25,16,15,8,0,137,0,0,11,13,9,5,0,0,0,44,92,79,144,181,210,154,28,0,0,901,0,4,29,28,41,18,3,0,0,132,13,39,103,133,119,79,18,0,0,504,20,15,52,46,56,36,8,0,0,224,450,482,597,409,433,392,87,6,0,2848,660,425,318,247,172,152,34,0,0,2009,4,31,97,83,71,75,19,0,0,384,11,32,82,62,71,25,11,0,0,293,4,31,95,98,108,65,7,0,0,404,12,22,83,62,53,40,17,0,0,284,8,90,321,321,235,138,32,3,0,1152,19,67,175,146,161,120,34,4,0,716,7,87,335,449,405,230,49,8,0,1563,77,209,828,919,903,647,134,8,0,3731,100,675,1770,1594,1519,1338,236,11,0,7251,50,75,90,100,78,49,15,0,0,459,30,110,219,146,142,103,24,3,3,788
UCL203002,1412,2300,5432,4806,4397,3598,1097,130,12,23182,3,10,48,38,19,27,19,8,0,167,0,13,41,17,17,13,4,0,0,104,79,117,250,227,206,146,33,0,0,1059,0,24,32,38,44,19,9,0,0,158,15,59,125,104,130,94,20,4,0,542,5,14,42,45,41,47,8,0,0,195,494,405,509,377,442,366,72,13,0,2678,627,344,312,226,193,155,36,0,0,1899,0,17,54,52,71,73,18,0,0,286,8,28,48,29,33,24,10,0,0,173,8,47,184,274,225,116,20,0,0,868,4,27,62,41,52,32,5,4,0,234,13,83,264,238,207,125,43,5,0,979,23,66,170,142,172,170,34,4,0,782,10,68,287,382,346,252,59,3,0,1396,62,192,654,739,685,496,104,3,0,2945,100,683,1850,1546,1443,1345,283,3,0,7254,31,58,64,68,61,45,11,0,0,343,28,75,202,164,134,139,33,3,0,779
UCL203003,2256,4717,11675,9438,8145,6176,1789,242,22,44470,18,24,38,34,35,34,9,5,0,198,0,0,4,3,4,3,3,0,0,15,112,155,291,283,302,223,48,4,0,1421,0,18,115,96,69,25,5,0,0,329,16,111,283,242,185,124,46,3,0,1016,18,48,140,142,136,89,19,0,0,595,820,1034,1189,854,814,608,143,4,0,5465,1066,858,648,335,298,230,55,9,0,3494,19,59,155,136,122,109,24,0,0,619,28,34,81,86,57,36,9,0,0,331,4,53,422,448,336,137,29,0,0,1422,6,48,150,111,104,77,25,0,0,518,20,193,755,578,460,280,83,8,0,2380,20,104,299,279,278,227,59,5,0,1277,9,118,680,672,683,436,83,10,0,2696,81,406,1489,1501,1361,992,198,9,0,6043,132,1148,3422,2644,2495,2169,465,24,0,12498,72,115,175,103,91,52,20,4,0,633,63,202,415,301,241,193,44,8,0,1456
UCL211001,675,920,2094,1842,1731,1364,402,49,3,9085,0,3,5,11,13,10,0,3,0,45,0,0,0,0,0,0,0,0,0,3,21,25,91,100,85,66,9,0,0,397,0,5,6,7,4,3,0,0,0,22,4,20,49,65,49,39,14,0,0,239,5,8,18,16,24,21,0,0,0,94,220,167,191,188,200,142,39,3,0,1145,204,92,118,75,80,46,6,0,0,632,0,6,27,28,41,47,10,0,0,163,6,8,18,16,7,6,0,0,0,53,3,16,46,40,41,31,9,0,0,177,4,11,20,21,19,20,3,0,0,92,6,20,62,90,48,48,10,6,0,286,12,15,66,71,72,60,11,0,0,310,10,59,161,174,199,131,23,0,0,757,18,67,282,311,262,169,32,0,0,1153,60,185,616,544,563,468,89,5,0,2533,18,15,15,13,7,12,0,0,0,76,9,30,101,67,50,40,12,6,0,318
UCL211002,704,1586,4745,4807,2969,1835,460,30,3,17145,0,8,12,28,16,11,0,0,0,70,0,0,0,0,10,3,0,0,0,13,17,45,142,179,123,75,11,0,0,597,0,6,21,31,19,15,6,0,0,99,0,39,156,106,88,54,8,0,0,450,7,13,72,76,50,45,4,0,0,271,241,291,482,342,310,229,44,0,0,1933,333,188,200,132,89,51,10,0,0,999,11,82,270,206,161,88,16,0,0,840,6,12,33,28,14,5,0,0,0,102,3,36,187,165,79,36,10,0,0,516,3,34,78,51,24,21,4,0,0,206,0,50,207,167,81,32,16,0,0,558,9,69,163,164,132,65,16,0,0,621,5,37,204,231,173,106,38,4,0,784,32,124,479,501,315,175,42,0,0,1678,24,211,981,901,637,386,75,0,0,3219,25,23,47,48,28,21,4,0,0,199,22,55,129,110,61,39,17,0,0,418
UCL212001,287,468,1362,1272,1059,762,205,21,0,5441,0,13,7,12,4,14,0,0,0,48,0,0,0,6,0,7,0,0,0,6,23,11,21,36,33,26,6,0,0,153,0,0,11,10,9,0,0,0,0,32,4,16,65,49,32,29,5,0,0,197,0,3,12,20,17,10,0,0,0,68,68,99,113,82,98,69,14,0,0,545,134,57,54,41,24,19,9,0,0,332,3,15,53,45,44,38,8,0,0,201,0,0,7,7,8,5,0,0,0,32,0,9,44,39,44,13,7,0,0,147,0,12,22,15,13,5,4,0,0,71,6,18,90,86,51,22,11,4,0,286,4,11,38,28,39,25,4,0,0,144,0,18,103,108,115,76,17,0,0,445,21,65,229,219,212,122,13,0,0,878,7,86,264,259,217,202,37,0,0,1075,17,11,22,17,6,6,0,0,0,78,9,25,48,50,43,12,8,0,0,198
UCL212002,213,265,613,544,611,610,197,23,7,3082,0,7,10,6,7,3,6,0,0,36,0,0,0,0,0,0,0,0,0,0,23,16,20,43,34,26,14,0,0,171,0,0,4,0,3,0,0,0,0,9,0,0,15,13,22,24,0,0,0,74,0,0,4,8,8,9,0,0,0,30,51,58,81,57,81,72,25,0,0,412,69,47,63,44,56,46,6,0,0,336,0,6,0,4,11,8,3,0,0,39,0,3,4,4,3,0,0,0,0,12,3,8,4,6,11,10,5,0,0,48,0,0,4,8,11,7,0,0,0,35,4,4,32,31,27,21,4,3,0,124,0,6,22,27,19,17,0,0,0,87,3,4,18,35,32,24,6,0,0,128,8,28,66,70,87,71,16,0,0,340,11,85,208,152,206,223,53,4,0,939,12,12,11,13,10,7,7,0,0,71,6,11,37,25,21,25,4,0,0,130
UCL212003,429,730,1919,1464,1439,1257,369,32,4,7649,5,24,147,81,69,39,12,0,0,383,0,0,3,0,0,7,0,0,0,11,12,16,54,50,43,41,3,0,0,233,0,8,7,12,15,10,5,0,0,53,0,12,31,34,22,23,3,0,0,131,0,13,36,32,22,28,4,0,0,133,199,126,158,149,164,157,32,0,0,977,156,99,127,105,84,76,21,0,0,663,7,12,32,26,27,36,8,0,0,140,4,4,9,11,11,6,0,0,0,41,0,7,30,32,29,18,3,0,0,119,0,15,14,18,29,7,8,0,0,93,7,33,97,61,60,30,10,4,0,304,5,35,85,72,76,74,15,0,0,358,0,18,87,106,91,94,9,3,0,411,11,66,214,244,244,172,39,0,0,992,20,189,530,403,467,359,93,0,0,2068,5,5,12,14,19,10,0,0,0,62,5,28,73,47,35,25,12,0,0,235
UCL212004,326,312,734,1252,1197,920,316,43,0,5099,0,0,8,4,3,5,3,0,0,26,0,0,0,3,0,0,0,0,0,4,28,13,19,32,39,20,9,0,0,165,0,0,9,3,4,10,0,0,0,21,0,3,37,46,27,23,15,0,0,153,0,4,18,14,19,17,4,0,0,67,98,64,70,91,96,81,18,4,0,525,143,68,51,50,45,30,7,3,0,399,6,5,5,16,26,19,7,0,0,79,0,0,7,15,15,0,4,0,0,45,0,3,34,70,46,15,4,0,0,177,0,3,12,18,28,15,4,5,0,83,0,18,73,109,99,65,29,4,0,393,3,4,17,26,42,34,10,0,0,142,5,3,48,118,113,80,13,0,0,389,8,29,118,245,258,187,42,0,0,883,17,57,225,326,374,313,53,3,0,1368,9,11,10,25,24,18,6,0,0,101,17,23,40,62,31,20,7,0,0,202
