UCL_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
UCL201001,1370,4091,11881,10373,8305,5157,1488,333,89,43091,50244,106584,280750,257009,220606,144537,34658,3225,232,1097849,286,897,2560,2490,2517,1820,696,242,12,11526,13,97,679,1055,1049,682,166,22,3,3774,3906,9305,30857,36913,38943,29331,6584,676,48,156556,146,1028,5623,7696,5305,3187,625,46,8,23666,6410,21466,58316,48058,37993,23969,5717,611,33,202578,934,4168,13849,17353,17406,11923,2983,373,41,69030,25220,39950,49646,37748,32841,22653,6229,726,33,215049,35187,28554,32199,19511,13590,9160,2183,244,18,140638,1232,7789,26291,27116,23025,18337,4672,364,10,108830,956,3101,10949,12804,8756,4460,952,123,4,42097,338,6077,29763,36532,23823,11260,2649,372,57,110864,440,2608,9799,9229,7497,4833,1827,406,44,36675,1115,14383,67413,64933,43306,24791,8815,1443,68,226276,1258,6845,20214,16755,15189,10776,3233,395,13,74683,894,6763,29446,32465,28640,20005,4751,520,26,123509,4551,13980,48170,48540,44053,32258,8494,755,37,200824,3164,24651,83477,72596,63904,48726,13601,1203,60,311384,4081,5966,10862,8612,6429,3833,1314,208,17,41323
UCL203001,30,62,125,104,113,93,26,11,9,573,1579,2564,5500,5169,4920,3786,803,64,11,24399,28,59,144,118,108,90,48,21,0,608,8,21,108,91,81,41,6,0,0,358,174,264,685,731,875,653,124,6,0,3516,3,16,119,120,120,96,14,0,0,494,269,637,1287,928,657,572,130,7,0,4477,37,64,185,165,208,170,45,7,0,886,758,854,1096,716,746,632,178,20,0,5006,1194,718,647,454,300,243,69,3,0,3634,14,93,360,341,340,351,121,7,0,1627,23,63,179,169,164,73,21,3,0,689,5,50,175,224,231,119,38,3,0,847,8,44,150,123,117,100,38,9,0,591,15,176,725,723,529,330,101,19,0,2623,35,132,330,263,278,245,70,5,0,1363,19,136,672,877,813,523,105,5,3,3155,117,298,1186,1296,1243,948,228,15,0,5327,132,850,2313,2050,2021,1696,339,17,0,9422,92,130,203,178,144,105,40,4,0,903
UCL203002,40,58,122,116,101,101,26,11,4,577,1554,2381,5317,4869,4615,3770,844,66,7,23433,22,52,161,139,124,115,79,25,0,725,11,70,277,213,162,97,13,0,0,851,162,385,981,829,752,640,128,7,0,3891,7,37,125,140,133,119,17,0,0,581,242,558,1129,874,715,564,126,14,0,4231,20,61,142,157,182,172,38,10,0,779,823,737,912,696,725,581,167,16,5,4661,1140,592,592,399,317,243,72,7,0,3364,25,70,247,260,329,372,129,17,0,1449,12,61,128,91,89,53,21,0,0,456,14,97,362,509,401,204,40,11,0,1633,6,49,104,94,101,79,27,8,0,467,25,148,508,482,428,258,122,9,0,1977,36,111,278,265,295,268,72,6,0,1339,12,136,551,734,741,575,144,6,0,2911,84,277,941,1008,928,711,175,10,0,4127,116,809,2362,1997,1882,1684,402,12,0,9261,65,114,136,112,116,83,32,7,0,661
UCL203003,50,131,318,251,221,172,51,16,7,1213,2549,4870,11071,9115,8285,6207,1417,106,9,43621,40,77,138,143,148,105,52,16,3,724,0,13,45,32,47,41,16,0,0,191,194,455,1278,1128,1248,970,190,17,0,5490,10,40,315,288,249,174,23,0,0,1098,404,1239,2940,2016,1477,1008,229,26,3,9343,59,178,444,494,509,376,86,9,0,2149,1366,1839,2203,1552,1365,1018,293,20,0,9657,1812,1410,1428,675,485,379,104,12,0,6306,49,233,803,693,637,696,214,18,0,3350,45,81,190,233,175,87,22,0,0,822,5,117,715,780,604,269,69,6,0,2568,6,89,281,225,189,168,48,9,0,1020,33,404,1549,1288,1020,632,264,38,8,5221,62,224,581,528,527,427,143,12,0,2507,21,230,1315,1376,1343,900,189,32,0,5410,137,575,2172,2213,1912,1462,332,15,0,8813,163,1416,4368,3436,3171,2706,629,46,0,15929,169,242,363,218,196,114,46,7,0,1360
UCL211001,15,23,68,56,42,45,6,3,0,260,621,764,1954,1894,1802,1400,292,27,4,8754,9,10,38,22,41,30,9,10,3,177,0,0,6,16,8,4,0,0,0,25,60,143,422,443,375,285,61,0,0,1793,0,11,17,29,35,19,8,0,0,119,112,228,487,351,266,210,61,0,0,1716,12,24,70,87,93,69,16,0,0,375,354,278,399,344,327,227,68,7,0,2003,379,184,199,138,125,71,15,0,0,1101,5,34,154,149,198,219,77,9,0,840,3,11,32,30,19,6,6,0,0,111,6,15,58,63,59,52,14,0,0,273,4,14,35,24,33,28,8,0,0,155,10,38,128,167,114,96,41,7,0,603,21,30,115,119,110,110,27,11,0,549,102,211,425,392,422,283,49,0,0,1892,33,87,362,390,350,247,55,8,0,1532,68,204,749,665,701,582,118,10,0,3091,32,28,27,18,27,14,4,0,0,149
UCL211002,24,71,169,149,94,57,10,9,0,578,770,1379,4038,3615,2487,1523,326,19,0,14160,4,14,40,62,30,22,3,4,0,178,0,0,21,21,30,10,4,0,0,90,53,156,499,647,482,314,65,4,0,2225,6,15,111,120,86,63,7,0,0,408,144,500,1186,800,562,322,52,0,0,3574,19,49,235,266,190,139,34,3,0,932,358,529,866,671,498,335,77,4,0,3333,580,314,374,243,141,83,24,0,0,1758,31,204,1091,1108,672,468,98,0,0,3679,8,22,84,123,37,23,6,0,0,307,0,57,291,327,146,55,11,0,0,891,3,56,145,114,56,42,4,0,0,418,9,86,393,435,175,76,38,0,0,1208,19,123,298,328,238,145,37,4,0,1190,9,73,453,539,361,235,76,4,5,1755,45,161,594,650,410,240,72,0,0,2178,30,253,1164,1130,770,466,85,3,0,3909,36,45,92,99,68,34,11,0,0,383
UCL212001,13,16,41,30,41,15,5,0,0,159,294,488,1255,1143,1053,711,153,14,0,5116,0,16,26,28,22,27,3,0,0,126,0,4,8,14,16,15,3,0,0,66,34,30,110,129,157,120,19,0,0,599,4,10,38,39,31,23,7,0,0,151,65,203,501,353,230,150,39,3,0,1547,4,12,57,74,59,52,11,0,0,257,122,163,193,154,162,110,33,3,0,927,225,97,91,61,29,24,9,0,0,540,8,28,180,228,174,158,47,0,0,827,0,7,23,28,31,18,0,0,0,114,0,11,67,82,61,22,11,0,0,257,0,13,38,26,31,21,8,0,0,143,3,29,167,158,96,61,30,3,0,548,4,21,76,52,69,38,9,3,0,271,3,26,197,213,231,136,29,0,0,837,28,72,293,256,253,155,26,0,0,1082,6,103,299,295,249,229,41,3,0,1217,15,18,38,30,25,19,7,0,0,156
UCL212002,8,6,13,13,20,10,6,0,0,73,197,289,614,558,673,602,154,14,3,3106,0,16,33,27,37,23,17,9,5,169,0,0,3,6,3,6,0,0,0,16,40,36,106,129,135,118,30,4,0,599,0,0,14,6,14,17,6,0,0,56,47,77,155,120,125,129,26,0,0,674,0,14,25,28,26,26,7,0,0,128,93,96,133,96,124,119,42,0,4,708,135,75,106,89,90,88,25,0,0,617,5,8,18,19,48,64,16,0,0,184,0,3,6,4,3,0,0,0,0,22,3,8,9,18,28,13,8,0,0,87,0,5,12,10,15,15,9,4,0,72,4,12,48,54,53,32,13,4,0,221,9,11,37,39,36,29,16,0,0,167,7,12,38,76,67,52,19,0,0,268,16,32,96,91,111,100,25,0,0,470,8,94,252,199,244,254,66,4,0,1129,22,17,29,20,18,12,8,0,0,130
UCL212003,18,41,60,46,55,34,6,9,0,269,456,745,1822,1535,1565,1245,294,19,0,7677,25,88,398,272,228,150,48,5,3,1228,0,14,31,33,24,27,0,0,0,133,38,78,184,170,172,147,39,0,0,839,0,10,38,41,56,47,12,0,0,198,75,154,274,234,163,164,32,0,0,1102,6,34,96,85,84,93,23,3,0,416,326,230,345,254,277,260,55,0,0,1739,247,185,248,176,145,116,42,3,0,1167,13,45,115,111,125,158,45,6,0,609,4,15,18,13,26,17,12,0,0,105,3,15,62,52,55,33,3,0,0,222,3,21,33,31,49,22,16,3,0,173,15,47,176,128,117,69,40,3,0,604,14,49,158,129,130,139,26,0,0,642,0,44,192,186,210,181,42,4,0,859,17,80,300,324,315,229,56,0,0,1326,25,213,684,516,577,456,120,0,0,2599,16,13,20,23,35,20,4,0,0,137
UCL212004,12,8,28,34,26,21,7,9,3,131,346,321,815,1298,1324,976,231,25,3,5350,3,4,19,12,10,16,16,0,0,88,0,0,3,10,3,5,0,0,0,23,49,33,46,105,120,86,19,0,0,456,0,0,9,27,28,22,6,0,0,89,54,99,262,355,283,152,50,7,0,1262,3,7,25,56,55,61,13,0,0,223,163,119,128,140,165,133,40,3,0,877,266,108,100,92,79,54,19,5,0,716,7,10,21,52,71,82,24,0,0,280,0,0,15,32,27,20,8,0,0,102,0,8,61,121,106,42,19,4,0,353,0,8,20,45,48,25,6,4,0,167,9,29,132,225,229,154,75,10,0,858,5,11,25,64,70,69,28,3,0,279,9,15,83,230,234,154,29,3,0,756,14,43,167,358,343,286,64,6,0,1281,23,78,284,417,472,404,81,4,0,1761,23,21,23,55,37,37,8,5,0,208
UCL212005,17,29,81,90,57,51,19,5,7,360,675,960,2404,2169,2092,1701,440,21,5,10469,16,72,307,268,220,159,45,19,0,1095,0,4,3,14,7,5,0,0,0,31,75,153,392,425,446,379,70,3,0,1937,4,17,107,91,103,75,14,0,0,408,105,247,502,337,359,273,61,7,0,1885,16,42,102,89,107,84,21,0,0,474,410,304,411,377,348,305,68,11,0,2235,430,196,252,179,151,117,38,5,0,1371,5,44,164,150,188,188,69,16,0,827,10,19,43,37,25,22,3,0,0,163,8,30,45,67,79,47,18,0,0,285,3,20,44,49,40,24,16,6,0,196,19,60,241,172,162,137,64,8,0,860,7,53,174,154,133,105,43,5,0,675,12,61,196,193,231,185,41,8,0,918,48,125,452,438,373,338,95,5,0,1870,58,309,984,914,844,716,203,14,0,4027,31,24,35,25,25,19,3,4,0,176
UCL212006,16,22,50,69,55,29,16,0,0,265,529,848,2118,2063,2075,1539,330,22,3,9527,4,13,16,22,19,20,3,3,0,105,0,0,4,13,15,11,0,0,0,49,43,77,208,277,323,259,47,3,0,1229,0,9,64,44,65,41,12,0,0,240,135,316,792,554,460,261,66,4,0,2583,16,20,107,138,141,112,21,0,0,551,255,292,346,292,332,293,57,8,0,1868,404,209,135,116,87,74,21,0,0,1035,19,127,325,369,440,388,71,0,0,1738,9,17,54,50,66,31,3,0,0,233,0,37,128,170,174,99,21,3,0,615,7,21,70,52,62,36,13,4,0,255,4,47,270,266,207,153,42,3,0,1001,18,41,112,124,121,103,22,0,0,526,8,75,297,364,413,287,78,0,0,1529,43,96,486,465,405,315,78,9,0,1901,22,172,562,503,509,477,115,9,0,2369,38,33,56,63,54,29,7,0,0,283
