UCL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL201001,2071,7293,19598,17350,15837,11325,3258,456,33,77220,3096,10223,29770,26214,20996,14210,4063,855,205,109617,95299,215141,579478,543945,451095,307531,82816,10048,767,2286127
UCL203001,66,219,433,315,294,246,69,6,3,1656,86,172,375,272,303,264,61,30,8,1571,3084,5002,11381,10166,9564,7502,1849,191,23,48758
UCL203002,69,163,440,352,296,289,91,10,0,1704,80,146,355,326,275,252,66,26,4,1546,2962,4679,10749,9669,9017,7373,1947,196,21,46618
UCL203003,116,365,771,584,502,418,98,26,0,2891,127,365,835,653,620,445,143,43,8,3239,4809,9587,22751,18550,16431,12384,3207,348,28,88098
UCL211001,30,75,185,151,106,98,32,3,0,686,40,63,156,130,124,99,23,7,0,651,1295,1687,4053,3736,3524,2763,692,82,7,17840
UCL211002,54,135,350,271,190,120,47,0,0,1168,59,183,494,475,299,165,36,6,0,1717,1479,2967,8785,8422,5458,3359,792,48,4,31303
UCL212001,19,49,115,106,85,42,16,3,0,440,35,40,98,97,89,61,18,6,0,450,584,945,2613,2420,2111,1471,367,35,0,10556
UCL212002,16,24,62,43,49,67,13,0,0,276,11,18,42,32,51,41,8,5,0,208,415,552,1226,1103,1285,1216,352,37,6,6191
UCL212003,18,69,156,101,68,73,28,0,0,521,37,75,193,118,139,104,19,8,0,706,885,1471,3737,2997,3005,2501,662,51,11,15321
UCL212004,18,25,53,91,60,50,15,0,0,313,19,15,61,78,77,53,20,12,7,329,673,638,1550,2546,2525,1894,548,70,4,10444
UCL212005,37,98,212,172,193,139,53,6,0,917,41,85,235,231,171,126,41,8,8,946,1334,1958,4901,4370,4195,3446,975,106,19,21306
UCL212006,31,69,181,155,150,105,26,6,0,726,33,63,158,181,162,90,34,0,3,728,1082,1732,4375,4220,4201,3167,726,65,4,19571
UCL212007,11,41,62,95,92,57,9,3,0,364,20,29,74,123,99,47,11,0,0,393,651,802,1982,3204,2771,1657,458,36,0,11561
UCL212008,30,51,136,106,81,62,16,0,0,479,17,35,96,74,94,64,20,8,0,403,885,1104,3034,2756,2477,1984,488,51,0,12775
UCL212009,36,66,149,104,99,67,32,8,0,561,30,52,120,94,115,71,20,11,0,513,1172,1357,3433,3107,3229,2840,733,93,0,15954
UCL213001,6,39,54,34,50,46,15,0,0,241,12,21,47,34,55,38,21,8,6,241,370,506,1184,991,1077,990,333,46,3,5496
UCL213002,4,7,22,34,34,27,12,4,0,143,17,9,16,32,20,35,13,0,0,144,222,198,603,899,1031,906,315,32,3,4207
UCL213003,6,27,56,41,36,34,17,0,0,216,21,11,39,36,50,29,20,0,3,210,426,535,1277,1087,1092,944,302,32,10,5707
UCL213004,9,36,82,53,54,51,15,7,0,310,11,26,55,56,63,47,6,3,0,266,367,574,1622,1292,1257,1047,285,43,0,6482
UCL213005,11,35,85,67,51,43,20,4,0,316,9,16,43,70,49,41,12,0,0,236,437,560,1384,1563,1518,1384,375,29,0,7255
UCL213006,13,23,23,51,43,32,5,0,0,190,8,9,22,45,46,28,9,3,0,166,415,388,787,1501,1406,861,175,22,0,5546
UCL213007,23,38,89,70,57,46,19,6,0,342,10,21,65,49,35,42,15,11,0,243,472,686,1750,1444,1423,1336,403,84,6,7613
UCL213008,13,20,77,58,59,37,8,0,0,273,14,24,89,59,56,34,6,0,0,280,492,660,1971,1925,1732,1052,243,8,0,8091
UCL213009,10,32,80,72,58,34,7,0,0,299,11,11,48,40,47,26,11,3,0,195,392,531,1297,1343,1313,989,205,24,0,6094
UCL213010,12,36,60,41,38,47,8,3,0,252,12,24,75,41,44,40,20,5,0,273,341,548,1331,1035,1114,1045,275,26,9,5720
UCL213011,11,24,55,21,30,22,3,0,0,163,12,25,51,42,55,43,12,3,0,246,269,476,1017,821,944,812,213,17,0,4566
UCL213012,13,20,33,36,34,27,17,0,0,176,13,17,22,28,33,18,21,6,3,155,313,349,735,800,973,892,265,30,5,4361
UCL213013,4,17,63,45,36,34,10,5,0,213,12,23,50,34,31,27,10,3,0,194,377,520,1363,1215,1199,1026,274,39,3,6021
UCL213014,9,27,60,42,23,27,11,0,0,195,7,23,59,64,37,29,6,7,0,231,308,517,1259,1022,826,852,256,32,3,5076
UCL213015,9,19,83,82,57,36,8,3,0,299,14,36,123,102,61,43,6,0,0,382,395,614,1876,1809,1371,910,199,9,0,7176
UCL213016,23,33,84,66,66,45,21,0,0,337,33,41,60,52,81,60,23,6,0,348,659,720,1800,1739,1835,1571,465,46,5,8842
UCL213017,20,42,86,71,86,83,30,0,0,424,18,22,78,59,56,42,10,3,0,293,507,814,2075,1791,1756,1433,407,53,4,8831
UCL213018,9,10,34,26,18,13,8,0,0,121,4,5,16,20,16,23,5,4,0,86,232,249,590,620,740,668,212,29,0,3352
UCL214001,6,0,26,22,18,23,4,0,0,104,9,15,23,9,14,20,6,0,0,97,193,297,709,500,577,554,176,17,0,3027
UCL214002,9,12,26,36,26,16,3,0,0,119,4,4,24,30,30,16,3,0,0,121,200,217,701,817,699,337,83,7,0,3060
UCL214003,5,18,20,20,21,26,12,0,0,125,12,14,44,26,41,32,20,10,0,200,237,324,758,656,752,842,289,38,4,3899
UCL214004,4,12,27,15,13,12,4,5,0,86,10,6,19,14,15,19,9,7,0,98,137,172,468,428,429,384,115,22,0,2150
UCL214005,0,4,3,7,7,0,0,0,0,22,0,0,3,4,5,0,4,0,0,13,28,37,75,80,110,90,23,0,0,442
UCL214006,0,6,18,16,18,14,3,0,0,83,10,4,14,14,18,18,11,4,3,94,113,139,416,469,521,542,189,27,5,2426
UCL214007,3,14,51,21,18,8,0,0,0,118,7,14,29,23,18,18,0,0,0,116,75,222,1069,676,388,295,51,4,0,2782
UCL214008,8,20,24,29,43,42,15,0,0,176,19,9,33,19,25,27,17,9,7,162,274,382,849,748,818,843,276,49,6,4249
UCL214009,6,20,39,36,45,37,7,0,0,194,12,12,30,25,31,43,10,3,0,160,242,280,751,775,845,835,207,27,3,3969
UCL214010,4,4,4,14,23,15,8,0,0,68,0,3,11,18,14,21,9,0,0,80,135,134,359,515,506,518,176,23,0,2363
UCL214011,5,14,36,38,27,19,15,0,0,154,3,17,44,37,35,27,6,0,0,176,259,383,849,803,883,620,156,21,4,3972
UCL214012,10,10,24,18,19,31,13,0,0,121,10,10,17,23,14,9,6,3,3,103,133,211,458,457,518,494,159,14,3,2453
UCL214013,3,8,14,20,17,10,0,0,0,75,0,3,12,14,14,8,4,0,0,60,122,154,398,506,602,379,122,16,5,2307
UCL214014,3,6,8,12,19,11,4,0,0,70,10,3,11,10,19,17,8,4,0,86,139,145,322,389,421,441,172,16,4,2050
UCL214015,3,11,32,25,26,17,5,0,0,119,6,7,16,21,11,17,14,0,0,81,164,176,432,522,443,422,157,13,0,2342
UCL214016,11,11,23,13,13,18,9,0,0,94,7,11,20,20,30,25,10,6,0,131,164,225,535,418,541,536,169,22,5,2606
UCL214017,0,3,9,3,10,14,8,0,0,51,3,5,7,14,18,17,11,3,0,84,96,125,217,330,430,530,267,49,5,2038
UCL214018,0,8,28,22,28,35,13,0,0,132,9,6,12,18,34,34,12,0,0,121,114,201,468,543,733,858,302,30,0,3254
UCL214019,4,6,17,9,21,22,6,4,0,90,6,4,20,15,13,11,7,0,0,82,134,218,500,397,502,480,143,15,0,2389
UCL214020,0,13,11,3,9,8,8,0,0,50,3,8,19,16,12,14,0,4,0,75,123,244,517,389,446,438,133,19,0,2305
UCL214021,6,15,25,24,23,17,5,0,0,118,3,14,25,27,37,18,6,0,0,136,166,264,509,518,596,361,100,17,0,2519
UCL214022,3,8,30,29,44,32,8,0,0,157,10,10,22,13,28,23,12,0,0,119,238,259,566,594,643,597,158,16,3,3077
UCL215001,0,0,0,3,3,3,0,3,0,15,0,0,0,5,7,5,0,0,0,25,32,32,72,79,158,213,84,8,0,679
UCL215002,4,3,14,0,9,0,3,0,0,41,0,5,4,9,13,11,0,0,0,45,51,69,159,204,221,207,72,8,0,985
