UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL201001,6202,12802,11400,5990,15964,14045,3686,6380,756,77220,3856,11558,9921,6057,23805,22459,4396,9117,18458,109617,110713,321094,266467,174756,494055,512156,129008,240901,36970,2286127
UCL203001,112,284,224,135,352,298,75,156,19,1656,91,187,118,79,292,265,82,150,297,1571,2736,7690,6117,4341,10024,9475,2798,4928,650,48758
UCL203002,105,318,225,122,356,326,82,173,10,1704,65,188,141,83,286,283,54,152,287,1546,2558,7239,5691,4320,10125,8744,2506,4812,617,46618
UCL203003,208,537,433,212,583,552,116,228,28,2891,134,419,272,196,589,625,122,310,571,3239,4804,14535,10967,7348,17660,17921,4883,8734,1257,88098
UCL211001,47,105,87,39,147,139,39,69,8,686,21,79,51,34,138,114,34,41,145,651,853,2396,1942,1598,3926,3825,1139,1839,311,17840
UCL211002,86,155,153,63,293,244,62,99,15,1168,65,160,126,111,399,329,57,100,371,1717,1625,3952,3423,2448,7912,6708,1598,2858,785,31303
UCL212001,28,64,64,29,100,82,22,44,0,440,19,34,27,19,81,111,16,55,90,450,556,1407,1080,802,2142,2388,655,1312,218,10556
UCL212002,9,58,43,16,53,49,4,27,5,276,13,28,15,10,40,31,8,17,47,208,390,908,787,544,1284,1167,329,665,116,6191
UCL212003,39,79,61,41,136,96,20,39,11,521,39,73,67,47,127,96,27,42,188,706,718,2053,1727,1301,3700,2993,836,1601,393,15321
UCL212004,35,78,51,19,47,44,12,22,5,313,19,49,41,32,36,63,15,23,48,329,707,1802,1436,947,1601,2065,566,1140,171,10444
UCL212005,51,147,103,63,230,183,50,76,4,917,34,112,83,39,175,168,46,75,221,946,1030,3046,2349,1891,4722,4369,1313,2154,435,21306
UCL212006,67,117,80,49,134,145,50,80,13,726,23,84,43,41,154,153,27,82,113,728,1120,2572,2089,1527,4288,4374,1282,2065,255,19571
