UCL_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
UCL201001,116,123,83,318,241,209,452,772,4359,49,5178,40,198,44,287,73,94,163,455,943,8,1403,61,507,107,669,157,202,361,1029,1790,19,2844,79,827,137,1043,226,280,506,1549,2475,24,4056,151,1289,243,1681,271,350,621,2303,4375,40,6721,391,2738,458,3586,324,468,797,4379,5727,44,10158,1139,4098,579,5817,293,381,671,6491,5974,50,12515,2557,4684,545,7788,300,295,602,8390,8377,85,16851,4678,5019,614,10316,234,238,472,10789,7787,67,18640,5609,4398,556,10562,244,207,452,11016,6413,50,17479,5434,3135,434,9002,153,135,292,9288,4222,27,13539,5228,2330,347,7901,114,97,211,8112,3392,22,11528,10527,3500,653,14679,186,132,314,14996,4871,34,19902,4615,1550,281,6445,96,67,164,6610,2541,19,9165,3956,997,204,5154,51,28,77,5236,1080,10,6326,1512,437,86,2028,22,17,42,2070,639,4,2712,5131,963,184,6279,73,28,101,6380,1301,18,7689,4233,2256,670,7154,212,176,384,7542,3768,440,11755,206,144
UCL203001,0,0,0,7,9,0,3,7,54,0,67,0,4,0,4,6,0,6,11,11,0,25,0,8,3,16,3,7,13,29,29,0,56,0,25,4,30,11,5,16,44,65,0,109,4,53,10,61,11,15,26,86,163,3,253,16,124,22,165,24,32,53,221,276,3,499,42,207,18,272,22,13,39,308,258,5,568,96,246,25,370,7,14,22,393,327,3,720,162,245,25,441,15,8,23,457,246,0,708,185,178,26,391,9,9,13,405,176,0,584,176,98,22,297,4,4,8,305,95,0,398,146,77,4,230,0,0,6,233,47,3,290,222,94,17,332,3,0,6,333,86,0,418,108,25,5,139,0,0,0,140,27,0,170,60,17,5,78,0,0,0,81,11,0,95,32,4,0,40,0,0,0,40,5,0,41,53,7,5,68,0,0,0,71,12,0,81,129,73,12,212,4,5,5,218,111,9,341,3,3
UCL203002,0,0,0,6,5,0,7,5,31,0,44,0,0,0,0,0,0,0,5,12,0,16,0,5,3,10,0,6,9,14,31,0,47,0,17,10,27,4,8,19,42,84,0,121,3,46,9,60,11,18,25,83,168,4,251,9,124,21,151,19,15,40,189,234,0,418,44,190,27,265,7,18,17,282,212,7,503,98,233,25,360,7,8,16,378,297,0,669,175,206,24,403,0,6,9,411,245,0,661,188,164,15,362,6,3,4,369,195,3,560,196,103,18,311,4,4,3,315,96,3,415,159,70,12,241,0,0,0,240,55,0,298,270,103,9,387,4,0,4,390,91,0,480,89,30,4,126,3,0,3,131,29,0,163,69,16,6,91,0,0,0,93,15,0,111,21,7,5,33,0,0,0,33,9,0,41,35,5,0,41,0,0,0,41,14,0,60,95,73,13,178,12,0,11,184,93,0,284,5,4
UCL203003,5,4,3,7,3,4,11,20,88,0,105,0,9,6,13,3,0,4,18,37,0,53,0,22,5,22,4,4,11,34,56,0,94,0,22,9,35,10,13,20,56,101,0,153,7,73,11,96,23,19,40,136,226,0,365,13,185,31,227,26,34,61,293,372,0,660,51,252,41,341,19,34,48,392,334,3,727,146,311,33,492,9,20,31,519,434,5,967,224,316,33,574,8,14,23,594,373,7,972,299,237,23,561,12,9,21,578,311,4,894,241,179,17,434,3,5,8,446,163,0,605,235,113,14,363,6,0,5,368,111,0,478,433,150,23,612,4,0,8,616,161,3,778,188,60,12,263,5,0,5,272,60,0,332,139,35,6,177,0,0,4,179,22,0,203,46,19,0,65,0,0,0,65,10,0,74,121,26,16,156,0,0,0,159,38,0,195,196,125,36,354,9,8,18,372,168,18,563,11,7
UCL211001,0,0,0,0,0,0,8,3,17,0,22,0,0,0,0,0,0,0,0,6,0,5,0,0,6,4,0,0,0,9,12,0,18,0,12,0,14,0,0,3,21,41,0,61,0,15,3,21,8,5,12,33,79,0,110,8,36,8,55,5,6,8,58,118,0,175,19,85,13,114,4,8,12,129,77,0,210,56,91,0,150,10,0,15,160,114,3,269,86,81,3,175,3,6,0,174,91,0,273,88,56,3,153,0,7,10,158,72,0,228,68,29,7,105,0,0,0,104,35,0,136,64,24,3,86,0,0,0,95,27,0,120,93,35,18,140,0,0,0,140,30,0,174,36,7,7,49,0,0,0,49,13,0,61,25,4,0,34,0,0,0,34,8,0,37,4,0,0,6,0,0,0,6,0,0,7,23,0,0,23,0,0,0,23,4,0,30,39,34,4,77,0,0,0,76,38,0,119,3,8
UCL211002,4,3,6,12,5,10,16,26,68,0,97,0,5,0,5,3,0,3,6,19,0,27,0,8,0,9,7,7,16,24,40,0,65,0,15,9,20,4,4,6,30,79,0,109,3,29,5,35,12,14,29,67,168,3,233,13,78,20,108,12,23,36,149,258,0,404,25,108,21,153,15,28,40,195,242,0,440,87,135,26,245,13,13,22,265,249,3,513,148,105,15,267,15,15,28,292,197,0,494,142,90,17,239,14,4,20,257,164,0,422,101,50,7,158,6,3,9,165,94,0,267,94,38,5,143,3,4,10,154,60,0,213,165,65,8,234,4,4,7,246,87,0,333,73,18,5,98,4,0,5,102,41,0,144,44,19,0,61,0,0,0,65,21,0,80,20,5,5,27,0,3,3,30,0,0,31,17,11,3,31,0,0,0,31,11,0,44,51,38,20,107,8,0,11,116,81,4,204,4,8
UCL212001,0,0,4,4,0,0,0,8,10,0,19,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,3,0,4,14,0,20,0,0,0,0,0,0,0,7,12,0,19,0,9,0,14,3,0,3,15,33,0,48,8,18,8,28,4,5,9,36,40,0,74,11,24,3,36,0,3,10,45,52,0,97,16,37,5,60,0,0,0,59,59,0,120,31,36,0,73,4,0,5,77,45,0,122,33,25,0,60,0,0,0,60,27,0,90,38,19,0,59,0,0,0,65,20,0,85,41,14,0,55,0,0,0,55,20,0,78,58,21,0,84,3,0,3,84,14,0,98,33,0,0,39,0,0,0,39,10,0,48,30,5,0,32,0,0,0,32,4,0,32,9,6,0,13,0,0,0,13,0,0,17,15,5,3,22,0,0,0,22,3,0,25,21,15,3,37,0,0,0,38,11,3,55,0,0
UCL212002,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,3,0,4,0,0,5,3,0,0,0,3,6,0,10,0,5,0,8,0,3,3,9,15,0,26,0,6,0,6,0,0,0,9,23,0,30,8,15,5,23,0,4,3,28,43,0,71,12,28,5,39,0,4,6,45,36,0,81,10,25,4,45,0,0,0,45,39,0,80,24,23,0,42,0,0,3,42,26,0,70,23,16,5,50,0,0,0,50,19,0,67,21,16,0,39,0,0,0,39,9,0,46,14,10,0,25,0,0,0,25,13,0,35,25,16,6,46,0,0,0,46,13,0,52,11,0,0,17,0,0,0,17,4,0,19,10,6,0,15,0,0,0,15,0,0,14,4,0,0,5,0,0,0,5,0,0,5,0,3,0,7,0,0,0,7,4,0,12,15,17,3,36,0,0,0,35,10,0,43,0,0
UCL212003,0,0,5,4,0,0,0,4,19,0,23,0,0,0,5,0,0,0,5,3,0,5,0,4,0,4,0,0,3,7,21,0,34,0,7,0,9,0,5,6,18,42,0,56,0,14,0,13,6,6,13,23,69,0,95,8,39,9,52,0,10,18,71,102,0,169,20,68,17,104,3,4,10,111,88,0,197,33,68,8,108,0,12,9,123,88,3,207,83,71,10,168,3,3,7,171,95,0,276,81,59,6,145,4,0,5,152,53,0,202,79,32,5,111,0,0,0,111,39,3,152,55,20,4,75,0,0,0,82,24,0,99,95,24,3,121,0,0,0,122,31,0,154,31,14,0,40,0,0,0,40,12,0,53,20,0,0,24,0,0,0,24,4,0,30,3,0,0,3,0,0,0,3,4,0,4,12,3,0,14,0,0,0,22,7,0,26,50,21,3,78,0,0,3,84,36,9,123,4,3
UCL212004,0,0,0,0,0,0,0,9,3,0,6,0,0,0,0,0,0,0,6,4,0,4,0,0,0,4,0,0,0,5,3,0,6,0,4,0,0,0,4,4,4,5,0,8,0,11,0,7,0,0,0,10,13,0,17,0,18,3,25,3,0,0,25,23,0,47,0,20,4,24,0,3,0,29,21,0,48,8,30,4,40,0,0,0,46,31,0,76,18,33,0,53,0,0,4,55,22,0,78,19,34,0,56,0,0,0,57,17,0,73,16,20,0,39,0,0,0,39,8,0,49,13,6,4,27,0,0,0,27,5,0,32,61,15,0,77,0,0,0,74,13,0,93,11,6,0,20,0,0,0,20,3,0,26,15,3,0,21,0,0,0,21,0,0,21,9,0,0,9,0,0,0,9,0,0,11,18,6,0,27,0,0,0,27,4,0,28,35,24,5,68,0,3,0,72,12,0,88,0,0
