UCL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
UCL201001,266,615,21,19,39,659,893,1104,2648,55665,39186,6487,101337,3307,3429,6729,108070,70919,2108,181096
UCL203001,4,17,6,0,6,19,35,45,94,1441,1503,215,3156,126,121,242,3397,2044,69,5512
UCL203002,9,12,0,0,0,16,34,33,76,1466,1388,204,3056,78,90,168,3224,1938,57,5221
UCL203003,11,28,0,0,3,32,50,43,124,2352,2145,331,4826,143,169,311,5138,3101,94,8333
UCL211001,7,17,0,0,0,17,9,13,37,614,519,87,1216,39,36,79,1292,788,17,2097
UCL211002,7,22,4,0,4,25,34,23,83,982,815,184,1979,128,143,263,2248,1914,41,4201
UCL212001,0,0,0,0,0,6,4,3,12,352,241,38,624,17,21,42,669,380,7,1055
UCL212002,0,0,0,0,0,5,6,7,12,179,185,38,399,12,14,22,421,279,4,699
UCL212003,3,14,0,0,0,14,27,16,56,570,453,78,1099,26,47,78,1176,759,34,1970
UCL212004,0,0,0,0,0,0,9,6,12,239,243,32,513,11,10,23,539,186,5,732
UCL212005,6,10,0,4,4,13,17,26,58,635,601,94,1331,41,51,95,1427,972,53,2448
UCL212006,4,7,0,0,0,7,10,8,22,664,426,89,1179,29,26,54,1235,583,16,1832
UCL212007,0,0,0,0,0,0,0,5,8,259,197,18,477,10,10,21,498,149,10,644
UCL212008,0,6,0,0,0,6,9,13,23,421,389,55,859,36,30,64,929,457,19,1405
UCL212009,0,4,0,0,0,4,11,7,18,435,490,79,1000,21,27,48,1049,491,24,1562
UCL213001,0,0,0,0,0,0,7,9,16,167,183,28,378,8,17,22,408,302,17,722
UCL213002,0,0,0,0,0,0,3,0,6,136,173,19,326,5,0,9,338,177,7,526
UCL213003,0,0,0,0,0,0,5,4,8,134,170,28,335,4,5,5,339,190,9,542
UCL213004,0,3,0,0,0,3,0,3,10,157,196,35,389,16,19,29,426,245,6,676
UCL213005,3,4,0,0,0,4,3,4,14,205,224,35,469,8,10,22,492,235,8,733
UCL213006,0,0,0,0,0,0,0,4,3,150,111,16,274,0,7,8,280,71,14,368
UCL213007,4,4,0,0,0,4,5,8,10,184,204,34,428,8,13,23,448,297,7,752
UCL213008,0,3,0,0,0,3,0,3,7,256,185,32,477,10,11,20,495,184,4,693
UCL213009,0,0,0,0,0,0,0,3,5,190,170,26,385,6,12,15,405,157,3,563
UCL213010,0,5,0,0,0,3,15,10,32,187,215,33,433,27,30,59,493,448,20,966
UCL213011,0,6,0,0,0,4,18,13,34,129,186,33,344,37,27,64,410,466,22,899
UCL213012,0,4,0,0,0,4,5,6,10,121,130,15,276,13,15,27,299,221,11,534
UCL213013,0,4,0,0,0,4,3,0,9,179,189,31,394,19,16,36,427,275,9,715
UCL213014,0,4,0,0,0,4,0,3,6,137,129,25,290,10,7,15,305,181,4,493
UCL213015,0,3,0,0,0,3,5,5,12,224,154,30,410,11,23,32,438,269,10,716
