UCL_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
UCL201001,654,1205,7650,5732,1612,10997,2286,14108,828,45054,4583,14450,25935,12047,8554,14396,9531,16427,2632,108558,32334,84711,62403,19356,22914,17171,26131,26570,7142,298729,57645,83995,49506,13106,20507,13146,24116,18615,6299,286936,52648,54841,40355,10549,15888,10981,22532,17950,4739,230484,32970,35314,28763,7635,11929,7859,20184,15267,3069,162999,8829,13222,6930,2024,3656,2727,5059,4684,1025,48162,1460,2211,705,197,453,490,333,683,292,6822,120,140,36,17,35,37,11,47,89,532,191244,290088,222284,70650,85545,77811,110183,114359,26109,1188278,657,1555,1138,11789,3092,24760,583,5972,700,50244,4830,20388,5089,25708,16754,22786,2181,6928,1926,106584,28315,112326,13817,40269,44359,19869,4236,12312,5243,280750,38647,94430,10837,33217,46504,14732,3602,10319,4720,257009,33360,63845,8823,30501,48808,15103,4338,12272,3558,220606,16239,37346,5262,20897,37466,11201,3180,10903,2034,144537,3375,9491,1086,4255,9820,2688,560,2752,626,34658,365,833,75,256,859,250,38,311,230,3225,20,51,3,4,36,11,0,5,86,232,125821,340270,46143,166903,207705,111400,18714,61773,19122,1097849
UCL203001,41,21,340,155,28,358,62,466,28,1502,132,186,803,288,97,299,151,432,45,2442,580,1173,1628,506,367,375,497,649,115,5882,849,1232,1078,326,333,228,434,463,64,5000,915,950,834,361,305,262,477,454,75,4643,601,662,731,234,224,214,511,463,68,3715,164,228,151,63,71,76,136,126,23,1038,33,29,8,9,7,16,3,11,13,126,4,0,0,0,0,0,0,0,8,11,3312,4487,5574,1942,1434,1827,2273,3070,437,24351,27,30,41,368,81,788,13,221,22,1579,128,348,125,840,372,506,27,189,32,2564,387,1893,309,1126,886,498,52,285,60,5500,509,1852,243,880,1016,334,23,270,55,5169,529,1390,200,848,1094,352,53,392,58,4920,356,946,123,702,922,319,54,327,40,3786,75,208,20,132,185,66,14,91,21,803,9,15,0,9,4,5,0,5,11,64,0,0,0,0,0,0,0,0,4,11,2010,6677,1064,4903,4553,2876,239,1774,294,24399
UCL203002,22,11,286,112,23,327,77,529,22,1412,94,199,666,258,116,253,186,468,53,2300,462,1091,1498,447,265,303,493,770,106,5432,778,982,1083,332,249,230,449,616,87,4806,779,836,826,353,284,225,529,476,87,4397,580,567,678,279,268,186,536,448,61,3598,193,225,156,71,64,60,147,145,27,1097,24,18,18,5,8,9,15,21,13,130,3,3,0,0,0,0,0,0,4,12,2947,3937,5207,1862,1284,1601,2426,3468,457,23182,21,12,52,330,87,789,14,233,21,1554,95,384,148,706,327,435,33,223,31,2381,354,1942,310,1036,755,427,47,393,57,5317,493,1690,219,848,887,300,49,335,47,4869,497,1254,176,798,1052,357,72,353,55,4615,287,905,113,733,884,305,74,424,46,3770,84,219,20,141,212,67,13,83,16,844,8,7,0,0,19,8,0,11,9,66,0,0,0,0,0,0,0,0,4,7,1839,6417,1041,4588,4211,2678,317,2062,278,23433
UCL203003,19,29,450,245,38,565,94,784,35,2256,194,443,1324,544,256,593,434,816,113,4717,1064,2515,3118,970,609,674,1136,1373,214,11675,1646,2200,2082,642,546,442,814,877,187,9438,1560,1655,1602,579,477,343,955,805,176,8145,975,1101,1199,405,384,305,963,714,124,6176,283,404,272,97,110,109,249,226,40,1789,56,48,30,11,13,19,22,30,21,242,4,9,4,0,5,0,0,0,0,22,5800,8396,10084,3494,2440,3049,4668,5631,908,44470,34,28,85,618,93,1276,47,335,25,2549,221,693,306,1570,550,956,144,372,55,4870,946,4122,673,2091,1597,795,174,537,139,11071,1054,3206,456,1429,1617,576,138,482,157,9115,926,2258,353,1544,1727,622,137,598,113,8285,550,1455,233,1225,1378,526,128,645,68,6207,123,345,39,225,346,120,26,180,21,1417,16,21,3,10,17,0,0,27,13,106,0,0,0,0,0,0,0,0,7,9,3859,12126,2151,8717,7325,4875,795,3184,590,43621
UCL211001,10,11,226,51,12,153,32,177,15,675,32,35,431,78,25,70,97,131,15,920,189,264,676,177,71,101,269,297,44,2094,291,287,459,121,83,79,248,235,42,1842,307,248,329,131,96,94,289,199,30,1731,223,174,243,93,93,65,256,187,31,1364,68,54,55,24,28,18,85,70,3,402,14,10,5,4,4,5,3,7,0,49,0,0,0,0,0,4,0,0,0,3,1129,1082,2419,682,410,589,1278,1311,187,9085,9,10,22,125,44,305,0,85,14,621,32,77,57,266,94,149,23,49,14,764,117,601,108,465,312,156,34,130,30,1954,212,543,98,385,329,129,28,135,26,1894,179,423,68,311,426,176,28,158,25,1802,110,245,54,279,362,140,27,178,11,1400,16,61,9,50,74,36,7,37,3,292,0,0,0,0,6,0,0,9,6,27,0,0,0,0,0,0,0,0,0,4,678,1959,416,1897,1657,1094,150,776,132,8754
UCL211002,8,8,208,35,21,147,40,230,15,704,66,72,546,90,77,132,246,305,44,1586,311,471,1209,318,353,248,1051,652,140,4745,476,667,954,363,354,177,1168,533,120,4807,349,252,585,206,240,107,765,393,81,2969,186,140,364,125,137,67,521,246,51,1835,49,48,76,36,39,31,102,64,19,460,3,6,3,3,3,0,3,3,0,30,0,0,0,0,0,0,0,0,3,3,1442,1669,3945,1174,1221,911,3903,2428,467,17145,9,8,17,109,40,447,24,97,15,770,72,135,71,310,257,305,86,114,35,1379,293,894,201,943,775,397,180,256,101,4038,317,741,162,858,793,283,136,270,55,3615,198,346,94,592,574,232,138,261,48,2487,107,167,52,348,417,185,61,159,20,1523,21,33,10,74,92,31,12,50,6,326,0,0,0,0,7,0,0,4,4,19,0,0,0,0,0,0,0,0,0,0,1014,2328,598,3231,2952,1885,652,1212,289,14160
UCL212001,3,4,81,23,7,50,19,105,9,287,6,29,210,28,21,48,51,59,10,468,103,173,515,95,91,46,164,159,29,1362,201,191,314,79,87,58,204,122,26,1272,209,127,232,69,72,55,180,90,26,1059,122,91,153,51,48,33,160,90,14,762,27,25,43,9,22,7,50,16,5,205,9,0,0,0,0,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,677,639,1553,347,353,295,832,650,111,5441,0,8,12,59,16,151,8,35,4,294,24,68,26,130,84,109,13,26,4,488,101,362,95,235,252,105,24,61,17,1255,114,347,69,192,271,71,17,45,19,1143,127,252,46,180,273,82,23,52,19,1053,39,135,22,159,215,52,21,59,3,711,10,22,5,26,58,14,4,16,0,153,0,4,0,0,4,6,0,0,3,14,0,0,0,0,0,0,0,0,0,0,422,1197,279,987,1172,578,114,302,71,5116
UCL212002,0,3,60,24,3,56,7,60,0,213,10,11,120,22,7,23,13,57,6,265,69,87,207,45,20,33,48,93,13,613,95,87,149,38,18,20,48,77,5,544,129,77,121,43,20,34,103,86,6,611,112,57,113,37,23,41,111,93,18,610,45,27,31,17,7,13,22,29,5,197,7,0,0,0,0,0,6,5,0,23,4,0,0,0,0,4,0,0,0,7,466,356,798,231,106,223,356,498,49,3082,0,6,6,57,7,88,0,25,3,197,10,53,18,86,30,63,0,14,0,289,45,198,48,135,72,58,0,49,10,614,72,157,34,105,85,52,6,46,7,558,74,134,31,145,141,66,5,69,6,673,62,106,21,134,133,64,4,69,6,602,9,26,3,30,34,19,3,19,5,154,0,4,0,0,6,0,0,3,5,14,0,0,0,0,0,0,0,0,0,3,266,690,160,693,507,419,28,303,46,3106
UCL212003,11,9,108,19,5,110,18,141,0,429,39,46,254,59,15,89,64,139,16,730,190,306,448,172,65,122,201,357,54,1919,246,234,299,98,58,68,159,260,34,1464,306,220,245,97,78,72,170,202,46,1439,232,165,198,80,65,74,228,180,30,1257,90,64,47,13,30,19,56,43,0,369,3,9,3,0,0,9,6,5,3,32,5,0,0,0,0,0,0,0,0,4,1125,1047,1612,536,327,572,898,1327,204,7649,4,3,7,70,18,266,4,71,5,456,31,104,47,205,115,127,15,85,28,745,141,567,98,364,236,140,11,233,31,1822,179,420,81,263,255,124,22,169,28,1535,172,359,63,295,306,156,11,172,29,1565,110,235,42,241,290,128,18,170,11,1245,25,66,13,51,67,28,0,34,6,294,0,0,0,0,7,0,0,4,9,19,0,0,0,0,0,0,0,0,0,0,666,1752,348,1492,1284,969,72,936,153,7677
UCL212004,0,3,67,45,0,78,10,110,5,326,16,23,103,37,15,44,21,46,5,312,95,171,252,63,37,30,28,49,12,734,287,331,325,80,60,49,37,67,16,1252,280,299,255,92,64,51,57,76,25,1197,206,243,161,62,51,51,68,64,13,920,61,106,42,14,33,23,14,27,9,316,15,16,5,0,3,0,0,6,3,43,0,0,0,0,0,0,0,0,0,0,960,1197,1207,400,257,332,230,434,76,5099,4,0,9,114,17,152,0,40,9,346,12,41,25,112,38,64,4,19,3,321,95,351,60,133,96,52,4,18,9,815,170,552,67,177,228,54,4,24,15,1298,204,482,62,163,257,86,10,36,19,1324,122,321,30,145,226,77,10,44,15,976,22,71,8,32,68,15,0,10,3,231,0,3,0,0,8,3,0,3,4,25,0,0,0,0,0,0,0,0,3,3,643,1827,259,877,938,507,36,202,73,5350
