UCL_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL201001,25216,23513,48727,6265,8492,14756,282,116,399,8980,11411,20392,2759,2553,5305,615773,428664,1044434,29728,42503,72232,9521,202,9730,4948,568,5518,12451,5466,17916,6137,3716,9857,21398,24618,46013,743455,551828,1295289,4740,5833,10573,7,3,9,2614,3253,5869,4376,2744,7121,608,1294,1900,1146,662,1808,13493,13795,27283,17,0,20,634,817,1453,491,416,907,493,1033,1529,252,316,566,1885,2581,4468,7005,4712,11717,22385,21090,43475,3985,4917,8905,290,373,667,402,238,644,4683,5531,10214,316866,356490,673355,95642,158980,254626,5241,3929,9166,1188278,1097849,2286127
UCL203001,92,45,138,115,162,278,12,0,15,3,0,3,76,82,160,15977,13999,29979,1116,1259,2370,169,8,178,73,14,84,234,64,300,87,42,129,567,621,1189,18530,16288,34819,3,9,11,0,0,0,10,8,21,35,15,45,0,0,3,13,0,12,64,27,89,0,0,0,0,0,0,6,4,8,9,24,27,5,16,21,24,42,65,165,110,278,252,178,427,17,17,34,7,10,11,8,0,9,36,26,54,3356,4082,7439,2055,3707,5770,126,118,242,24351,24399,48758
UCL203002,44,29,68,143,188,335,6,4,14,7,0,5,32,31,59,15858,13917,29774,1050,1224,2271,233,4,236,117,17,133,215,94,310,79,51,132,545,547,1095,18324,16106,34434,7,0,7,0,0,0,0,0,3,9,5,12,4,4,4,10,0,11,22,16,38,0,0,0,0,0,0,8,10,14,21,29,54,8,9,14,36,48,82,144,101,245,206,161,364,3,7,10,8,9,13,6,4,7,18,15,37,2586,3526,6111,1930,3540,5470,116,86,199,23182,23433,46618
UCL203003,313,180,497,320,551,869,18,4,17,4,0,6,138,130,271,28445,23143,51586,1680,2028,3704,292,5,294,174,24,199,485,164,648,176,97,278,864,1046,1914,32907,27376,60281,23,35,57,0,0,0,14,8,28,87,47,133,9,11,19,31,9,43,162,112,274,5,0,5,0,0,0,17,21,41,32,48,77,24,25,55,79,88,171,282,166,446,514,367,888,39,43,82,23,21,41,12,7,23,73,68,141,7099,8873,15970,3661,6758,10416,215,181,396,44470,43621,88098
UCL211001,0,0,0,24,25,53,8,0,11,4,4,3,17,13,31,6705,5912,12615,421,442,856,72,0,79,53,5,60,104,23,128,55,13,68,295,154,445,7756,6601,14362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,3,0,3,7,0,3,3,4,9,11,73,36,105,74,46,121,0,0,0,0,5,5,4,0,4,4,5,6,580,912,1487,621,1147,1763,50,49,96,9085,8754,17840
UCL211002,298,271,574,38,76,108,0,0,0,0,0,3,39,31,67,11840,7459,19305,715,786,1498,282,10,290,48,4,50,20,9,28,107,58,166,72,110,189,13473,8811,22277,36,68,105,0,0,0,15,21,35,71,60,127,11,21,35,17,8,24,147,177,325,0,0,0,0,0,0,6,3,10,10,16,23,5,4,6,23,21,44,139,74,213,305,268,573,58,68,132,3,3,4,0,0,6,66,81,142,1879,2841,4720,1331,2094,3420,97,68,167,17145,14160,31303
UCL212001,93,64,160,4,14,17,0,4,4,0,0,0,0,5,5,3639,2676,6312,238,182,421,69,0,66,12,0,19,18,0,17,15,13,29,61,87,142,4158,3042,7202,10,3,15,0,0,0,9,7,13,15,13,31,4,6,13,0,0,3,37,30,70,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,5,15,25,17,43,67,53,125,10,11,20,0,0,0,3,0,0,12,15,23,741,1209,1949,442,775,1214,25,18,45,5441,5116,10556
UCL212002,0,0,0,8,4,11,0,0,0,0,0,0,3,10,10,2198,1942,4143,160,178,339,26,0,26,17,5,17,58,16,75,12,8,24,95,139,236,2582,2298,4883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,4,24,14,37,30,16,41,0,0,0,0,0,0,0,0,0,0,0,0,174,320,494,266,454,719,26,16,46,3082,3106,6191
UCL212003,5,3,6,25,27,52,0,0,0,0,0,0,16,19,31,5626,4979,10601,545,720,1260,67,0,72,42,14,54,56,37,88,26,24,45,213,233,446,6608,6051,12660,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,0,4,5,4,3,0,3,7,8,17,61,29,92,67,40,111,0,0,0,0,5,6,0,0,0,4,5,6,441,712,1153,453,810,1263,75,54,130,7649,7677,15321
UCL212004,12,8,17,11,21,31,4,0,4,0,0,0,5,3,6,2958,2589,5542,134,173,306,46,0,46,12,5,15,48,26,76,16,8,24,88,116,202,3335,2952,6285,0,0,0,0,0,0,0,0,0,11,9,15,0,0,0,0,0,0,14,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,19,17,39,36,25,59,8,3,11,0,0,0,0,0,0,8,3,11,1224,1460,2683,447,871,1324,48,42,86,5099,5350,10444
