POW_LGA_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
LGA20110,59,16,0,462,412,87,64,18,7,582,389,73,92,22,6,583,431,72,77,32,14,615,359,67,92,37,11,569,180,43,68,27,8,328,48,14,38,23,6,130,20,7,15,23,7,75,3839,511,621,214,80,5264
LGA20260,38,18,3,506,412,35,30,16,5,501,496,49,45,16,0,605,418,51,55,20,4,538,331,51,69,26,10,485,146,36,42,25,3,257,46,21,32,28,6,131,15,11,23,29,0,77,4158,343,426,222,61,5211
LGA20570,316,70,24,5356,4684,472,369,53,38,5614,4517,480,324,67,43,5423,4083,430,338,72,45,4967,3143,320,318,83,46,3911,1168,190,186,48,22,1607,332,103,78,50,16,577,78,40,48,46,17,227,46843,3271,2890,604,372,53983
LGA20660,398,57,22,4721,3839,520,408,52,19,4841,3819,523,398,43,17,4800,3286,480,343,62,15,4180,2637,364,308,50,34,3395,1218,247,196,42,9,1713,331,140,105,28,6,615,114,79,60,24,9,284,39533,3639,3297,488,215,47174
LGA20740,148,22,20,1189,995,148,182,17,16,1357,971,162,195,43,28,1403,974,138,187,41,24,1363,809,138,185,44,31,1196,305,93,142,48,11,591,82,43,69,32,14,238,29,31,56,33,13,159,9422,1081,1574,338,217,12622
LGA20830,164,38,12,1723,1422,220,213,48,30,1929,1494,219,220,46,21,1993,1320,212,214,48,21,1816,1078,139,244,74,23,1553,455,123,182,72,19,842,120,60,105,64,11,363,57,32,102,88,22,293,15170,1597,1971,586,218,19545
LGA20910,333,47,19,3043,2260,711,432,76,15,3504,2330,721,471,86,17,3611,2068,702,402,78,20,3271,1474,479,387,84,22,2446,696,349,232,66,4,1351,296,224,132,50,3,711,95,141,82,53,12,381,24314,4522,3239,632,168,32884
LGA21010,36,7,4,502,453,33,50,7,4,549,535,61,61,17,5,672,568,74,64,21,10,733,462,54,83,36,14,642,189,31,86,37,3,354,72,24,55,34,0,180,23,6,31,35,10,111,4743,378,578,215,85,6003
LGA21110,492,133,29,8000,6260,1124,557,152,21,8114,5926,1205,599,153,35,7924,4817,1021,564,105,32,6541,3515,788,521,128,23,4972,1661,531,400,78,17,2685,640,325,253,73,6,1301,257,193,155,85,11,707,64178,7535,5060,1169,281,78222
LGA21180,417,77,53,8305,7211,730,432,89,53,8518,6716,663,443,76,42,7938,5669,563,380,71,41,6723,4110,459,310,60,41,4981,1579,251,131,49,30,2048,400,123,57,24,9,613,128,63,29,16,7,253,68062,5120,3699,757,459,78096
LGA21270,20,8,0,198,167,31,27,18,4,248,191,50,33,31,0,309,196,58,30,25,4,316,166,43,57,39,13,318,90,15,43,26,9,182,20,16,21,24,0,89,3,6,15,29,3,57,1707,292,290,238,54,2590
LGA21370,123,31,19,1405,1346,171,167,39,26,1741,1324,191,194,48,19,1780,1321,188,178,63,22,1781,1097,183,216,79,26,1610,445,81,155,75,26,775,138,29,90,45,7,312,45,26,65,51,26,207,12870,1239,1492,520,253,16371
LGA21450,344,60,42,3093,2255,459,307,68,32,3111,2120,414,316,64,26,2939,1761,366,222,77,28,2453,1247,281,239,70,20,1862,483,146,177,60,17,886,156,72,79,52,12,367,67,36,65,57,9,226,24579,3104,2848,665,286,31486
LGA21610,924,147,40,8639,6104,945,811,142,44,8047,5850,925,758,130,37,7697,4612,787,607,124,47,6179,3306,605,506,86,37,4540,1392,284,231,69,22,2001,340,129,95,42,6,618,135,56,58,37,21,312,66680,7267,6650,1206,456,82257
LGA21670,30,6,6,360,372,37,45,7,5,458,387,50,36,13,3,487,441,40,39,22,9,549,288,34,53,15,16,403,142,24,47,20,9,242,42,11,27,13,0,96,19,9,11,17,0,60,3622,282,353,110,77,4438
LGA21750,93,21,5,903,748,113,116,25,13,1011,849,80,131,26,20,1100,793,97,116,34,17,1061,608,78,136,38,6,871,279,49,89,46,8,473,98,33,76,36,15,250,24,15,41,48,21,148,8347,685,1002,324,142,10496
LGA21830,79,16,12,623,492,81,115,26,19,729,519,100,143,31,16,810,564,69,153,46,32,864,432,71,146,40,26,715,210,66,100,38,9,427,51,37,52,66,12,214,26,18,69,41,11,167,5102,631,1048,380,183,7344
LGA21890,552,79,28,5599,4368,563,529,63,28,5556,4195,607,558,75,37,5465,3630,468,388,60,29,4563,2677,326,333,61,24,3421,1127,191,221,27,17,1585,342,100,90,28,18,571,111,62,43,24,8,242,44612,3977,4466,593,312,53965
LGA22110,136,32,20,1548,1387,125,161,37,21,1737,1511,185,192,36,27,1960,1571,157,215,61,31,2039,1315,186,252,82,40,1871,592,98,169,105,39,1001,175,75,112,61,15,446,41,38,87,93,29,293,13969,1190,1688,595,319,17762
LGA22170,440,82,30,5340,4280,578,416,56,22,5352,4216,639,457,79,34,5430,3534,511,405,63,34,4534,2747,402,304,58,33,3538,1072,226,218,45,14,1582,316,130,97,22,12,573,115,75,37,35,18,273,43468,4110,3571,610,299,52045
