POW_LGA_CODE_2021,M_EWFT_15_19_E,M_EWFT_15_19_OM_IE,M_EWFT_15_19_OM_UIE,M_EWFT_15_19_CFW,M_EWFT_15_19_ES_NS,M_EWFT_15_19_Tot,M_EWFT_20_24_E,M_EWFT_20_24_OM_IE,M_EWFT_20_24_OM_UIE,M_EWFT_20_24_CFW,M_EWFT_20_24_ES_NS,M_EWFT_20_24_Tot,M_EWFT_25_29_E,M_EWFT_25_29_OM_IE,M_EWFT_25_29_OM_UIE,M_EWFT_25_29_CFW,M_EWFT_25_29_ES_NS,M_EWFT_25_29_Tot,M_EWFT_30_34_E,M_EWFT_30_34_OM_IE,M_EWFT_30_34_OM_UIE,M_EWFT_30_34_CFW,M_EWFT_30_34_ES_NS,M_EWFT_30_34_Tot,M_EWFT_35_39_E,M_EWFT_35_39_OM_IE,M_EWFT_35_39_OM_UIE,M_EWFT_35_39_CFW,M_EWFT_35_39_ES_NS,M_EWFT_35_39_Tot,M_EWFT_40_44_E,M_EWFT_40_44_OM_IE,M_EWFT_40_44_OM_UIE,M_EWFT_40_44_CFW,M_EWFT_40_44_ES_NS,M_EWFT_40_44_Tot,M_EWFT_45_49_E,M_EWFT_45_49_OM_IE,M_EWFT_45_49_OM_UIE,M_EWFT_45_49_CFW,M_EWFT_45_49_ES_NS,M_EWFT_45_49_Tot,M_EWFT_50_54_E,M_EWFT_50_54_OM_IE,M_EWFT_50_54_OM_UIE,M_EWFT_50_54_CFW,M_EWFT_50_54_ES_NS,M_EWFT_50_54_Tot,M_EWFT_55_59_E,M_EWFT_55_59_OM_IE,M_EWFT_55_59_OM_UIE,M_EWFT_55_59_CFW,M_EWFT_55_59_ES_NS,M_EWFT_55_59_Tot,M_EWFT_60_64_E,M_EWFT_60_64_OM_IE,M_EWFT_60_64_OM_UIE,M_EWFT_60_64_CFW,M_EWFT_60_64_ES_NS,M_EWFT_60_64_Tot,M_EWFT_65_69_E,M_EWFT_65_69_OM_IE,M_EWFT_65_69_OM_UIE,M_EWFT_65_69_CFW,M_EWFT_65_69_ES_NS,M_EWFT_65_69_Tot,M_EWFT_70_74_E,M_EWFT_70_74_OM_IE,M_EWFT_70_74_OM_UIE,M_EWFT_70_74_CFW,M_EWFT_70_74_ES_NS,M_EWFT_70_74_Tot,M_EWFT_75ov_E,M_EWFT_75ov_OM_IE,M_EWFT_75ov_OM_UIE,M_EWFT_75ov_CFW,M_EWFT_75ov_ES_NS,M_EWFT_75ov_Tot,M_EWFT_Tot_E,M_EWFT_Tot_OM_IE,M_EWFT_Tot_OM_UIE,M_EWFT_Tot_CFW,M_EWFT_Tot_ES_NS,M_EWFT_Tot_Tot,M_EWPT_15_19_E,M_EWPT_15_19_OM_IE,M_EWPT_15_19_OM_UIE,M_EWPT_15_19_CFW,M_EWPT_15_19_ES_NS,M_EWPT_15_19_Tot,M_EWPT_20_24_E,M_EWPT_20_24_OM_IE,M_EWPT_20_24_OM_UIE,M_EWPT_20_24_CFW,M_EWPT_20_24_ES_NS,M_EWPT_20_24_Tot,M_EWPT_25_29_E,M_EWPT_25_29_OM_IE,M_EWPT_25_29_OM_UIE,M_EWPT_25_29_CFW,M_EWPT_25_29_ES_NS,M_EWPT_25_29_Tot,M_EWPT_30_34_E,M_EWPT_30_34_OM_IE,M_EWPT_30_34_OM_UIE,M_EWPT_30_34_CFW,M_EWPT_30_34_ES_NS,M_EWPT_30_34_Tot,M_EWPT_35_39_E,M_EWPT_35_39_OM_IE,M_EWPT_35_39_OM_UIE,M_EWPT_35_39_CFW,M_EWPT_35_39_ES_NS,M_EWPT_35_39_Tot,M_EWPT_40_44_E,M_EWPT_40_44_OM_IE,M_EWPT_40_44_OM_UIE,M_EWPT_40_44_CFW,M_EWPT_40_44_ES_NS,M_EWPT_40_44_Tot,M_EWPT_45_49_E,M_EWPT_45_49_OM_IE,M_EWPT_45_49_OM_UIE,M_EWPT_45_49_CFW,M_EWPT_45_49_ES_NS,M_EWPT_45_49_Tot,M_EWPT_50_54_E,M_EWPT_50_54_OM_IE,M_EWPT_50_54_OM_UIE,M_EWPT_50_54_CFW,M_EWPT_50_54_ES_NS,M_EWPT_50_54_Tot,M_EWPT_55_59_E,M_EWPT_55_59_OM_IE,M_EWPT_55_59_OM_UIE,M_EWPT_55_59_CFW,M_EWPT_55_59_ES_NS,M_EWPT_55_59_Tot,M_EWPT_60_64_E,M_EWPT_60_64_OM_IE,M_EWPT_60_64_OM_UIE,M_EWPT_60_64_CFW,M_EWPT_60_64_ES_NS,M_EWPT_60_64_Tot,M_EWPT_65_69_E,M_EWPT_65_69_OM_IE,M_EWPT_65_69_OM_UIE,M_EWPT_65_69_CFW,M_EWPT_65_69_ES_NS,M_EWPT_65_69_Tot,M_EWPT_70_74_E,M_EWPT_70_74_OM_IE,M_EWPT_70_74_OM_UIE,M_EWPT_70_74_CFW,M_EWPT_70_74_ES_NS,M_EWPT_70_74_Tot,M_EWPT_75ov_E,M_EWPT_75ov_OM_IE,M_EWPT_75ov_OM_UIE,M_EWPT_75ov_CFW,M_EWPT_75ov_ES_NS,M_EWPT_75ov_Tot,M_EWPT_Tot_E,M_EWPT_Tot_OM_IE,M_EWPT_Tot_OM_UIE,M_EWPT_Tot_CFW,M_EWPT_Tot_ES_NS,M_EWPT_Tot_Tot,M_EAFW_E,M_EAFW_OM_IE,M_EAFW_OM_UIE,M_EAFW_CFW,M_EAFW_ES_NS,M_EAFW_Tot,M_H_NS_E,M_H_NS_OM_IE,M_H_NS_OM_UIE,M_H_NS_CFW,M_H_NS_ES_NS,M_H_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_EWFT_15_19_E,F_EWFT_15_19_OM_IE,F_EWFT_15_19_OM_UIE,F_EWFT_15_19_CFW,F_EWFT_15_19_ES_NS,F_EWFT_15_19_Tot,F_EWFT_20_24_E,F_EWFT_20_24_OM_IE,F_EWFT_20_24_OM_UIE,F_EWFT_20_24_CFW,F_EWFT_20_24_ES_NS,F_EWFT_20_24_Tot,F_EWFT_25_29_E,F_EWFT_25_29_OM_IE
LGA20110,26,0,0,0,0,26,76,0,0,0,0,83,102,12,8,0,0,118,125,15,11,0,0,145,104,25,23,0,0,158,107,25,16,3,0,149,134,47,16,3,0,208,128,29,35,8,0,208,133,37,28,9,3,206,104,26,32,11,5,176,29,12,33,3,5,85,8,4,12,4,0,30,0,3,7,0,0,23,1081,240,219,47,23,1606,111,0,0,0,0,113,64,0,0,0,0,70,72,3,5,0,0,78,26,0,6,0,0,40,27,0,5,0,0,39,33,8,9,0,0,48,36,3,13,0,0,55,25,14,11,7,0,52,47,7,10,0,5,64,42,14,17,6,3,75,33,12,11,6,0,68,20,0,5,9,0,40,11,3,0,16,0,29,540,70,102,51,13,776,118,12,19,5,6,162,39,6,5,6,9,59,1776,326,347,112,45,2607,11,0,0,0,0,9,52,0,0,0,0,52,68,0
LGA20260,51,0,0,0,0,53,131,0,0,0,0,135,180,10,5,0,4,195,181,13,13,8,5,217,130,16,9,9,0,166,148,26,19,11,0,199,157,25,12,7,0,198,185,30,20,4,0,248,151,24,21,5,0,214,104,27,25,7,3,170,51,19,15,4,0,99,10,7,12,9,0,34,0,8,9,6,0,23,1479,199,176,77,18,1941,74,0,0,3,0,83,48,0,0,0,0,46,45,0,6,0,0,48,29,5,4,0,0,36,35,0,0,0,0,41,21,0,4,0,0,28,24,0,4,0,0,24,36,0,10,0,0,44,26,3,8,0,0,40,45,6,7,9,0,67,22,5,4,10,0,40,14,5,5,0,0,33,9,0,5,3,0,15,425,27,67,35,10,556,108,5,19,4,3,133,33,0,3,10,13,57,2040,230,262,122,37,2693,25,0,0,0,0,28,91,0,0,0,0,96,123,0
LGA20570,447,0,6,0,0,454,1399,13,31,0,3,1440,1902,81,87,3,3,2072,1922,173,96,8,7,2204,1740,250,119,12,6,2123,1659,252,126,13,3,2056,1708,291,130,15,14,2155,1584,292,117,18,16,2025,1334,250,126,17,13,1735,911,175,99,20,12,1216,274,87,47,6,7,422,53,38,24,5,5,121,11,10,8,8,3,37,14947,1902,1007,125,92,18078,1072,0,4,8,6,1088,911,0,26,0,0,943,588,11,58,0,3,657,402,17,46,3,0,470,312,35,51,0,4,402,233,28,26,13,0,297,271,38,48,9,4,364,228,37,63,5,9,344,288,49,61,9,9,413,340,45,85,16,11,498,249,43,57,12,4,373,116,34,29,25,0,201,29,19,18,20,0,90,5042,363,568,128,47,6142,948,45,70,14,13,1093,317,27,26,20,52,441,21251,2335,1666,285,207,25746,187,0,0,0,0,186,1011,0,16,0,4,1036,1502,17
LGA20660,192,0,0,0,0,193,805,18,21,4,0,846,1394,49,59,0,3,1502,1437,155,113,9,8,1717,1389,220,104,12,5,1731,1199,258,95,12,9,1563,1112,294,112,9,3,1529,1040,291,109,9,0,1454,856,248,109,10,8,1238,667,185,78,11,9,947,285,96,50,11,4,445,57,48,25,5,0,136,8,21,12,5,0,46,10446,1883,883,93,46,13351,722,5,10,8,0,739,919,12,40,6,0,979,491,18,71,6,6,590,343,40,54,3,0,439,299,39,64,12,0,413,216,50,72,10,0,352,190,58,80,19,0,348,200,64,88,10,0,363,192,74,81,13,3,357,218,78,94,13,9,408,170,74,71,11,0,334,91,55,54,6,6,204,43,29,28,9,0,107,4079,597,802,120,36,5635,606,63,78,16,6,765,227,39,30,10,33,343,15360,2582,1791,236,119,20089,58,0,0,0,0,58,705,3,9,0,0,712,1557,13
LGA20740,82,0,0,0,0,82,223,4,11,0,4,247,278,9,35,0,0,322,276,38,46,0,6,364,260,63,67,0,9,400,271,70,69,6,6,417,265,80,68,6,6,424,272,68,70,10,12,431,223,53,55,5,9,349,177,48,47,9,9,281,51,25,33,10,4,119,15,6,14,5,0,46,0,6,17,3,0,28,2399,472,514,68,58,3513,241,0,3,4,0,255,167,0,7,0,0,173,103,5,8,0,0,120,93,7,14,0,0,112,84,6,20,4,3,122,71,12,15,3,6,104,78,17,33,3,3,132,89,14,37,3,3,148,91,21,38,6,5,159,122,38,58,5,7,225,69,26,44,11,4,163,35,18,28,11,5,95,16,13,24,7,0,62,1255,175,329,63,36,1858,267,35,41,21,10,373,74,25,24,8,23,153,4001,697,909,154,131,5896,42,0,0,0,0,37,131,4,9,0,0,140,205,3
LGA20830,191,0,0,0,0,189,520,11,14,6,0,549,613,45,52,0,6,714,517,85,71,4,6,680,495,105,64,17,4,680,394,106,62,4,7,574,433,119,86,15,9,653,446,128,82,16,10,676,376,113,94,11,5,603,271,63,85,23,11,454,87,52,57,22,8,224,17,25,25,13,5,90,3,9,36,26,7,80,4359,859,724,146,82,6175,382,0,5,5,4,393,226,0,11,3,0,241,165,0,13,0,0,181,97,10,18,4,0,130,100,14,16,0,0,140,89,14,21,6,0,130,84,22,16,9,0,133,100,11,31,3,0,148,101,20,33,3,5,158,147,18,58,11,5,234,87,38,59,17,9,199,51,20,30,21,0,123,38,10,37,30,5,118,1666,176,341,110,26,2329,262,25,38,17,4,349,145,19,18,9,22,216,6436,1076,1133,284,132,9059,76,0,0,0,0,76,350,0,5,0,3,359,489,7
LGA20910,90,3,0,0,0,96,549,17,18,0,0,574,888,43,52,0,0,990,914,115,62,0,0,1091,861,184,69,11,4,1135,748,244,80,7,11,1088,684,339,115,18,3,1158,638,351,125,17,0,1132,558,340,107,10,3,1023,334,229,110,16,4,693,141,135,55,9,0,335,25,73,19,4,0,131,4,37,15,3,0,59,6432,2109,828,97,33,9505,608,0,17,6,4,633,828,5,36,0,0,876,361,8,46,4,0,418,221,24,45,8,0,291,180,30,42,4,0,253,143,56,43,9,3,246,118,60,47,17,0,239,116,76,84,10,0,290,121,101,71,12,4,310,146,119,89,19,6,377,117,113,71,25,0,325,68,96,58,16,3,241,29,80,39,32,4,183,3057,765,688,147,30,4688,439,53,72,11,9,583,163,25,23,7,24,241,10090,2950,1609,272,93,15013,36,0,0,0,0,36,450,10,7,0,0,467,831,8
LGA21010,60,0,0,0,0,59,160,0,0,0,0,161,195,4,8,0,0,207,215,8,17,3,5,245,175,18,26,3,0,224,184,20,14,0,3,217,199,12,21,3,6,244,189,37,25,3,3,257,203,35,26,3,3,274,158,30,36,10,7,238,61,10,31,11,0,120,15,6,22,14,0,60,5,7,12,10,0,35,1816,188,234,65,28,2331,93,0,0,5,0,94,34,0,0,0,0,39,38,0,3,0,0,43,30,4,5,0,0,37,17,0,3,0,5,27,22,7,8,0,0,34,18,0,3,0,0,31,19,4,3,0,3,34,44,8,13,4,0,71,42,4,15,4,4,79,34,7,15,10,0,65,18,0,15,11,0,39,8,0,10,14,0,31,422,43,89,45,11,614,103,11,14,5,3,134,58,0,12,6,13,93,2404,249,351,115,58,3176,23,0,0,0,0,23,88,0,3,0,0,85,97,0
LGA21110,103,0,0,0,0,103,1084,16,26,0,5,1121,2534,81,102,3,0,2725,2991,247,115,14,0,3368,2919,342,124,28,5,3428,2579,437,153,19,6,3195,2178,560,155,28,7,2927,1924,618,163,29,7,2741,1481,530,160,22,10,2211,928,371,141,19,0,1470,363,186,101,8,5,660,102,107,44,7,0,258,32,51,17,9,0,114,19222,3540,1311,206,49,24319,1074,5,31,9,0,1123,1890,15,79,11,0,1997,924,18,99,8,0,1053,608,72,97,10,0,783,430,90,105,20,0,642,328,98,86,28,0,536,303,135,78,23,0,534,287,128,99,26,0,548,304,167,97,19,9,584,311,178,157,38,5,682,286,182,148,24,4,638,170,127,106,27,3,440,104,89,70,41,0,303,7025,1286,1255,284,36,9876,926,84,112,31,11,1160,363,62,42,21,55,540,27533,4969,2709,535,147,35899,63,0,0,0,0,60,1131,4,12,5,0,1152,2875,30
LGA21180,418,0,0,0,0,419,1866,26,43,3,6,1945,3347,139,150,12,8,3649,3840,316,146,11,14,4344,3697,421,177,10,19,4334,3269,435,155,21,16,3892,3333,442,146,22,16,3960,3040,420,151,19,10,3635,2545,347,150,15,11,3068,1789,264,118,9,14,2183,602,129,44,13,7,795,97,51,15,6,4,177,28,24,6,3,0,57,27870,3028,1288,147,131,32453,1114,12,3,17,4,1140,1547,30,75,5,0,1669,1102,68,126,12,5,1316,793,86,120,20,4,1025,615,79,102,21,7,834,509,91,91,15,5,716,451,96,88,21,7,670,472,76,99,12,6,668,423,78,106,20,7,629,422,80,92,22,4,619,263,58,46,20,9,406,126,38,23,8,5,200,50,23,17,7,0,102,7892,819,1004,203,65,9978,1214,74,132,34,23,1476,781,87,82,19,83,1060,37749,4011,2508,398,301,44975,85,0,4,0,0,87,1044,11,8,0,0,1062,2078,30
