POW_LGA_CODE_2021,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_16_20,Tot_2021,Tot_NS,Tot_Tot
LGA20110,266,26,55,59,91,71,111,0,16,700
LGA20260,134,20,35,44,94,84,177,28,18,641
LGA20570,1667,244,404,663,1265,1202,1372,15,100,6936
LGA20660,3725,911,1095,1519,2609,2173,2219,37,160,14437
LGA20740,715,90,123,180,286,301,238,3,48,1975
LGA20830,878,104,184,245,476,380,468,3,59,2794
LGA20910,2811,712,921,1328,1861,1731,2088,26,138,11605
LGA21010,215,24,34,53,97,89,163,0,14,692
LGA21110,6559,1550,2261,3398,4991,5015,5757,89,309,29922
LGA21180,8427,2338,2405,3297,6618,5469,5558,73,488,34674
LGA21270,45,6,14,14,26,27,63,0,5,185
LGA21370,347,61,91,107,219,245,315,10,39,1436
LGA21450,1789,339,516,840,1865,1456,1409,15,127,8372
LGA21610,6305,1785,2527,4157,8162,5867,4764,47,340,33946
LGA21670,153,9,18,27,66,54,74,0,14,421
LGA21750,298,38,59,117,168,201,427,16,19,1338
LGA21830,159,21,60,88,95,98,128,8,16,663
LGA21890,4737,1148,1411,1978,3222,3205,3669,34,265,19659
LGA22110,743,89,135,160,274,313,356,8,60,2143
LGA22170,3991,764,1108,1714,2986,2228,2090,31,196,15115
LGA22250,72,6,22,20,38,45,63,0,5,277
LGA22310,3970,1130,1382,1814,2821,2678,3481,53,187,17523
LGA22410,263,24,65,54,90,109,129,0,22,759
LGA22490,188,25,33,40,86,98,93,3,8,579
LGA22620,1289,211,342,534,1282,1095,1242,13,87,6101
LGA22670,12657,3925,4494,5936,10465,8389,8735,126,665,55388
LGA22750,5603,892,1275,1904,4186,4130,4529,60,330,22918
LGA22830,841,185,318,490,1149,1135,1415,27,116,5676
LGA22910,321,41,66,78,122,128,151,0,25,933
LGA22980,42,7,5,34,94,52,52,0,9,288
LGA23110,3306,722,1000,1404,2704,2271,2607,32,170,14226
LGA23190,170,28,37,67,180,151,190,0,8,829
LGA23270,9348,2702,3058,4302,8868,7030,7896,100,562,43867
LGA23350,218,36,35,33,85,53,62,0,21,541
LGA23430,8201,2199,2524,3746,6008,5037,5755,66,428,33965
LGA23670,6700,1494,1954,2980,4875,3926,3718,66,259,25973
LGA23810,1358,151,237,376,688,581,653,20,72,4131
LGA23940,64,6,11,16,33,46,46,4,3,229
LGA24130,881,98,198,245,405,337,386,3,55,2610
LGA24210,2918,744,963,1395,2272,2027,2144,33,145,12629
LGA24250,196,18,24,41,48,41,62,3,20,456
LGA24330,4351,1203,1407,1882,3270,2952,3439,37,231,18775
LGA24410,3435,794,909,1456,2513,2108,2076,27,131,13455
LGA24600,37477,11477,16446,25582,38070,40585,47535,954,1769,219893
LGA24650,2568,712,979,1594,3433,2622,2671,23,161,14760
LGA24780,636,87,188,246,482,618,1157,25,93,3533
LGA24850,520,85,129,203,494,408,358,7,56,2260
LGA24900,309,27,61,120,217,254,394,3,35,1417
LGA24970,11183,3149,4125,6114,9912,8473,9771,130,577,53430
LGA25060,3418,737,891,1238,2214,1989,2336,29,167,13024
LGA25150,506,63,103,161,477,360,335,3,44,2057
LGA25250,4053,898,1191,1470,2762,2576,3379,68,201,16598
LGA25340,3964,587,851,1318,2200,1827,1614,19,266,12639
LGA25430,369,64,94,103,152,110,111,4,28,1023
LGA25490,150,27,54,70,104,112,115,9,21,659
LGA25620,263,27,36,47,57,78,91,0,28,625
LGA25710,985,170,223,339,552,429,398,4,50,3143
LGA25810,122,24,35,40,90,103,213,12,14,659
LGA25900,5491,1526,2122,3264,5446,5954,8455,144,286,32695
LGA25990,100,7,11,16,31,24,24,0,6,211
LGA26080,91,8,12,23,29,20,26,0,6,224
LGA26170,570,47,91,116,200,165,172,10,44,1416
LGA26260,177,34,43,69,138,92,97,0,19,672
LGA26350,4390,1129,1632,2445,3982,4238,5894,105,253,24068
LGA26430,149,16,20,47,79,110,116,0,14,548
LGA26490,467,71,114,152,319,384,390,5,27,1928
LGA26610,192,35,83,111,255,329,921,21,93,2045
LGA26670,84,8,9,10,22,26,42,10,3,218
LGA26700,447,57,80,101,176,177,272,7,20,1344
LGA26730,382,67,125,177,290,295,586,14,35,1970
LGA26810,645,89,127,180,316,301,337,11,49,2038
LGA26890,38,5,7,5,16,7,32,0,0,121
LGA26980,6395,1704,2608,4094,5856,5320,5467,66,301,31820
LGA27070,5563,1541,1817,2661,5967,4575,4894,57,351,27426
LGA27170,690,89,133,206,463,429,470,9,44,2538
LGA27260,6046,1925,2511,4852,10849,8249,8436,112,457,43439
LGA27350,6490,1775,2451,3748,5919,6642,7928,175,365,35504
LGA27450,3185,481,676,981,1499,1280,1268,12,148,9529
LGA27630,47,0,3,11,36,30,34,0,5,168
LGA29399,75,13,26,38,44,46,162,4,11,409
LGA29499,9578,2134,2802,3551,6129,5487,6947,148,657,37444
LGA29799,14,0,7,0,6,4,0,0,0,39
