POW_LGA_CODE_2021,SEO_AGFF_Bf_91,SEO_AGFF_91_95,SEO_AGFF_96_00,SEO_AGFF_01_05,SEO_AGFF_06_10,SEO_AGFF_11_15,SEO_AGFF_16_20,SEO_AGFF_2021,SEO_AGFF_NS,SEO_AGFF_Tot,SEO_Min_Bf_91,SEO_Min_91_95,SEO_Min_96_00,SEO_Min_01_05,SEO_Min_06_10,SEO_Min_11_15,SEO_Min_16_20,SEO_Min_2021,SEO_Min_NS,SEO_Min_Tot,SEO_Mnf_Bf_91,SEO_Mnf_91_95,SEO_Mnf_96_00,SEO_Mnf_01_05,SEO_Mnf_06_10,SEO_Mnf_11_15,SEO_Mnf_16_20,SEO_Mnf_2021,SEO_Mnf_NS,SEO_Mnf_Tot,SEO_EGWWS_Bf_91,SEO_EGWWS_91_95,SEO_EGWWS_96_00,SEO_EGWWS_01_05,SEO_EGWWS_06_10,SEO_EGWWS_11_15,SEO_EGWWS_16_20,SEO_EGWWS_2021,SEO_EGWWS_NS,SEO_EGWWS_Tot,SEO_Const_Bf_91,SEO_Const_91_95,SEO_Const_96_00,SEO_Const_01_05,SEO_Const_06_10,SEO_Const_11_15,SEO_Const_16_20,SEO_Const_2021,SEO_Const_NS,SEO_Const_Tot,SEO_WST_Bf_91,SEO_WST_91_95,SEO_WST_96_00,SEO_WST_01_05,SEO_WST_06_10,SEO_WST_11_15,SEO_WST_16_20,SEO_WST_2021,SEO_WST_NS,SEO_WST_Tot,SEO_RetT_Bf_91,SEO_RetT_91_95,SEO_RetT_96_00,SEO_RetT_01_05,SEO_RetT_06_10,SEO_RetT_11_15,SEO_RetT_16_20,SEO_RetT_2021,SEO_RetT_NS,SEO_RetT_Tot,SEO_AcFd_Bf_91,SEO_AcFd_91_95,SEO_AcFd_96_00,SEO_AcFd_01_05,SEO_AcFd_06_10,SEO_AcFd_11_15,SEO_AcFd_16_20,SEO_AcFd_2021,SEO_AcFd_NS,SEO_AcFd_Tot,SEO_TPW_Bf_91,SEO_TPW_91_95,SEO_TPW_96_00,SEO_TPW_01_05,SEO_TPW_06_10,SEO_TPW_11_15,SEO_TPW_16_20,SEO_TPW_2021,SEO_TPW_NS,SEO_TPW_Tot,SEO_IMT_Bf_91,SEO_IMT_91_95,SEO_IMT_96_00,SEO_IMT_01_05,SEO_IMT_06_10,SEO_IMT_11_15,SEO_IMT_16_20,SEO_IMT_2021,SEO_IMT_NS,SEO_IMT_Tot,SEO_FinIns_Bf_91,SEO_FinIns_91_95,SEO_FinIns_96_00,SEO_FinIns_01_05,SEO_FinIns_06_10,SEO_FinIns_11_15,SEO_FinIns_16_20,SEO_FinIns_2021,SEO_FinIns_NS,SEO_FinIns_Tot,SEO_RHRE_Bf_91,SEO_RHRE_91_95,SEO_RHRE_96_00,SEO_RHRE_01_05,SEO_RHRE_06_10,SEO_RHRE_11_15,SEO_RHRE_16_20,SEO_RHRE_2021,SEO_RHRE_NS,SEO_RHRE_Tot,SEO_ProSTS_Bf_91,SEO_ProSTS_91_95,SEO_ProSTS_96_00,SEO_ProSTS_01_05,SEO_ProSTS_06_10,SEO_ProSTS_11_15,SEO_ProSTS_16_20,SEO_ProSTS_2021,SEO_ProSTS_NS,SEO_ProSTS_Tot,SEO_AdSup_Bf_91,SEO_AdSup_91_95,SEO_AdSup_96_00,SEO_AdSup_01_05,SEO_AdSup_06_10,SEO_AdSup_11_15,SEO_AdSup_16_20,SEO_AdSup_2021,SEO_AdSup_NS,SEO_AdSup_Tot,SEO_PubAS_Bf_91,SEO_PubAS_91_95,SEO_PubAS_96_00,SEO_PubAS_01_05,SEO_PubAS_06_10,SEO_PubAS_11_15,SEO_PubAS_16_20,SEO_PubAS_2021,SEO_PubAS_NS,SEO_PubAS_Tot,SEO_EdTrn_Bf_91,SEO_EdTrn_91_95,SEO_EdTrn_96_00,SEO_EdTrn_01_05,SEO_EdTrn_06_10,SEO_EdTrn_11_15,SEO_EdTrn_16_20,SEO_EdTrn_2021,SEO_EdTrn_NS,SEO_EdTrn_Tot,SEO_HC_SA_Bf_91,SEO_HC_SA_91_95,SEO_HC_SA_96_00,SEO_HC_SA_01_05,SEO_HC_SA_06_10,SEO_HC_SA_11_15,SEO_HC_SA_16_20,SEO_HC_SA_2021,SEO_HC_SA_NS,SEO_HC_SA_Tot,SEO_ArtsR_Bf_91,SEO_ArtsR_91_95,SEO_ArtsR_96_00,SEO_ArtsR_01_05,SEO_ArtsR_06_10,SEO_ArtsR_11_15,SEO_ArtsR_16_20,SEO_ArtsR_2021,SEO_ArtsR_NS,SEO_ArtsR_Tot,SEO_OthSvs_Bf_91,SEO_OthSvs_91_95,SEO_OthSvs_96_00,SEO_OthSvs_01_05,SEO_OthSvs_06_10,SEO_OthSvs_11_15,SEO_OthSvs_16_20,SEO_OthSvs_2021,SEO_OthSvs_NS,SEO_OthSvs_Tot,SEO_IDNS_Bf_91,SEO_IDNS_91_95,SEO_IDNS_96_00,SEO_IDNS_01_05,SEO_IDNS_06_10,SEO_IDNS_11_15,SEO_IDNS_16_20,SEO_IDNS_2021,SEO_IDNS_NS,SEO_IDNS_Tot
LGA20110,20,0,7,5,0,0,0,0,5,33,0,0,0,0,0,0,0,0,0,0,18,4,4,10,0,7,0,0,0,35,4,0,0,0,0,0,0,0,0,3,17,4,0,0,3,0,0,0,0,21,4,0,0,0,0,0,0,0,0,5,18,4,3,6,4,0,4,0,0,39,25,0,9,18,12,4,17,0,4,79,7,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,4,6,3,7,4,0,0,0,37,11,0,5,0,0,6,0,0,0,14,11,0,0,3,6,0,0,0,0,22,25,0,4,3,9,3,3,0,0,41,35,0,5,0,3,4,8,0,4,62,3,0,0,0,0,0,0,0,0,11,3,0,4,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,10
LGA20260,8,0,0,4,3,3,8,0,0,37,0,0,0,0,0,0,0,0,0,0,8,0,4,0,5,3,3,3,0,23,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,3,5,0,0,4,0,0,0,0,0,12,0,0,0,0,3,4,4,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,0,0,9,3,0,0,0,0,0,0,0,0,10,23,3,6,3,6,10,7,0,0,55,12,0,0,0,0,0,0,0,0,21,34,0,4,6,8,0,0,0,0,61,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10
LGA20570,18,0,4,4,0,5,0,0,0,32,14,5,6,4,5,5,0,0,0,23,102,13,20,16,18,21,15,0,6,206,16,0,4,5,4,4,4,0,0,35,77,13,18,13,24,14,17,0,8,186,27,0,5,3,3,5,7,0,0,53,119,13,21,32,31,36,18,3,9,273,46,9,15,18,44,36,31,0,6,194,57,4,8,0,8,7,8,0,0,96,22,0,8,5,0,4,5,0,0,49,28,0,5,6,6,3,4,0,0,51,10,0,6,0,10,0,0,0,0,27,76,8,24,16,23,24,13,0,5,184,39,4,6,3,11,5,14,0,0,81,108,14,22,21,17,21,10,0,0,216,180,22,37,37,51,46,23,0,3,389,377,40,65,89,101,70,63,0,13,814,29,0,8,8,11,25,17,0,0,88,46,0,0,13,6,6,6,0,4,82,38,5,18,7,5,7,18,0,4,109
LGA20660,8,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,7,89,12,23,22,26,13,25,0,4,209,4,0,0,3,0,0,0,0,0,9,110,17,23,33,33,30,30,0,3,284,33,6,0,3,7,0,0,0,0,52,143,17,13,37,35,24,22,0,10,302,48,10,7,22,41,17,24,0,0,169,48,8,5,5,10,7,6,0,3,87,20,0,3,3,5,0,0,0,0,32,41,7,6,3,11,0,3,0,0,79,21,4,3,5,0,8,0,0,0,46,163,25,27,41,28,21,20,0,0,323,47,5,11,4,13,11,9,0,0,102,126,22,27,27,37,24,12,0,0,270,233,28,52,65,61,39,40,0,3,516,819,147,173,193,232,180,126,4,19,1901,16,3,4,8,3,9,4,0,0,47,49,3,11,14,15,20,12,0,3,129,65,7,10,10,27,22,18,0,7,174
LGA20740,28,0,12,4,0,9,11,0,0,62,0,0,0,0,0,0,0,0,0,0,23,3,0,0,3,13,4,0,3,48,13,0,0,3,5,0,0,0,0,23,46,3,7,14,11,3,0,0,3,91,15,0,0,0,0,0,6,0,0,19,57,5,9,19,9,9,7,0,7,116,38,6,15,11,17,16,13,0,0,116,19,0,0,0,0,0,6,0,0,27,9,0,0,4,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,16,7,0,4,0,4,0,0,0,0,26,49,6,0,9,7,5,3,0,3,74,22,3,3,3,3,9,0,0,0,45,36,7,4,9,4,5,0,0,4,68,35,3,7,13,8,9,6,0,5,86,146,12,12,20,19,24,14,0,3,248,25,3,3,4,6,0,0,0,3,46,20,6,4,8,5,4,4,0,0,54,29,7,7,4,5,3,0,0,0,47
LGA20830,84,4,14,12,19,17,21,0,12,177,3,0,0,0,0,0,0,0,0,10,34,0,14,3,4,11,10,0,8,81,7,0,0,0,0,0,0,0,0,10,56,5,6,10,12,5,8,0,0,103,18,0,0,0,0,0,6,0,0,26,63,5,9,13,14,5,7,0,0,115,31,0,3,9,9,13,11,0,0,83,21,0,3,4,4,0,0,0,0,28,10,0,0,3,0,0,0,0,0,21,15,0,7,0,7,0,0,0,0,32,9,0,0,0,0,0,0,0,0,13,45,5,10,11,10,9,3,0,0,87,20,6,4,0,4,4,0,0,5,31,33,3,5,3,0,5,3,0,0,61,105,14,8,18,24,4,5,0,0,171,131,9,30,30,40,25,16,0,5,281,13,0,6,4,3,0,0,0,3,28,32,5,7,4,10,11,3,0,0,75,23,0,3,6,9,3,0,0,3,54
LGA20910,4,0,0,0,3,0,0,0,0,10,3,0,0,0,5,0,0,0,0,8,105,13,20,28,24,17,18,0,5,232,8,3,5,0,4,0,3,0,0,20,134,23,42,37,28,47,31,0,6,347,53,9,14,15,17,5,8,4,0,114,150,22,35,64,62,46,46,0,7,430,64,14,27,62,61,50,66,0,3,351,31,5,10,9,6,0,5,0,0,75,29,0,4,6,11,4,9,0,0,67,99,16,20,30,29,21,13,0,0,229,47,12,8,13,5,3,6,0,0,98,281,46,67,97,83,77,54,0,10,725,62,16,12,24,24,15,15,0,5,167,59,11,23,28,12,11,9,0,0,157,210,32,63,103,91,73,67,6,8,641,363,67,78,92,129,125,84,0,11,956,38,6,8,12,25,17,4,0,6,120,65,11,19,20,30,21,16,0,0,181,99,24,23,17,27,22,26,0,10,252
LGA21010,17,0,4,0,4,0,4,0,0,25,5,0,0,0,0,0,0,0,0,4,25,6,4,5,3,4,4,0,0,45,0,0,0,0,0,0,0,0,0,0,25,3,0,0,7,17,31,0,3,86,3,0,0,0,0,0,0,0,0,5,12,0,0,0,3,5,0,0,0,21,11,0,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,4,0,0,0,5,20,3,0,0,0,0,0,0,0,0,3,12,3,0,4,0,3,0,0,0,20,18,0,0,0,0,5,0,0,0,21,42,5,3,3,0,3,0,0,3,63,0,0,0,0,0,0,0,0,0,3,9,0,0,3,0,0,0,0,0,13,10,0,0,6,0,0,0,0,0,17
LGA21110,8,0,0,0,5,3,8,0,0,25,8,0,0,3,3,0,4,0,0,19,102,17,24,27,36,43,25,0,7,278,16,3,5,3,4,3,3,0,0,45,184,29,26,44,48,56,64,0,0,458,107,13,34,22,20,37,27,3,4,269,355,60,81,140,159,156,112,4,21,1087,65,14,43,72,66,70,97,0,3,436,105,6,17,18,26,18,17,0,3,213,43,3,3,15,15,7,12,0,0,100,245,28,37,59,50,50,34,0,3,509,89,12,18,15,12,18,13,0,4,186,731,120,188,216,209,237,209,7,22,1936,81,8,22,20,18,32,40,0,0,228,126,15,23,28,35,25,20,0,10,281,610,99,140,172,202,178,147,0,16,1580,751,114,147,154,170,195,177,7,19,1727,37,7,7,17,24,7,3,0,0,107,113,14,17,28,24,33,38,0,3,280,124,20,27,31,42,48,64,3,25,385
LGA21180,18,0,0,9,6,3,3,0,0,37,6,0,0,4,3,5,0,0,0,12,467,52,73,103,139,129,100,0,16,1091,41,4,11,11,11,7,8,0,3,104,260,38,59,56,91,113,92,0,14,722,209,25,37,36,48,57,50,0,4,474,237,30,31,73,73,72,46,0,15,583,44,8,10,28,46,29,25,0,7,206,315,44,63,80,105,84,70,6,11,770,30,3,4,8,8,10,6,0,0,68,39,5,8,10,13,4,3,0,0,70,44,7,5,3,15,15,0,0,0,95,87,5,19,21,24,19,19,0,0,197,78,8,15,21,23,30,30,0,3,196,157,21,22,35,27,27,12,0,8,308,316,42,50,58,49,48,44,0,4,605,442,102,104,134,157,141,129,3,8,1219,16,0,5,8,8,0,3,0,0,48,120,7,17,21,29,23,27,0,0,241,177,28,35,42,72,60,64,0,26,514
