POW_LGA_CODE_2021,NS_ArtsR_Bf_91,NS_ArtsR_91_95,NS_ArtsR_96_00,NS_ArtsR_01_05,NS_ArtsR_06_10,NS_ArtsR_11_15,NS_ArtsR_16_20,NS_ArtsR_2021,NS_ArtsR_NS,NS_ArtsR_Tot,NS_OthSvs_Bf_91,NS_OthSvs_91_95,NS_OthSvs_96_00,NS_OthSvs_01_05,NS_OthSvs_06_10,NS_OthSvs_11_15,NS_OthSvs_16_20,NS_OthSvs_2021,NS_OthSvs_NS,NS_OthSvs_Tot,NS_IDNS_Bf_91,NS_IDNS_91_95,NS_IDNS_96_00,NS_IDNS_01_05,NS_IDNS_06_10,NS_IDNS_11_15,NS_IDNS_16_20,NS_IDNS_2021,NS_IDNS_NS,NS_IDNS_Tot,NS_Tot_Bf_91,NS_Tot_91_95,NS_Tot_96_00,NS_Tot_01_05,NS_Tot_06_10,NS_Tot_11_15,NS_Tot_16_20,NS_Tot_2021,NS_Tot_NS,NS_Tot_Tot,Tot_AGFF_Bf_91,Tot_AGFF_91_95,Tot_AGFF_96_00,Tot_AGFF_01_05,Tot_AGFF_06_10,Tot_AGFF_11_15,Tot_AGFF_16_20,Tot_AGFF_2021,Tot_AGFF_NS,Tot_AGFF_Tot,Tot_Min_Bf_91,Tot_Min_91_95,Tot_Min_96_00,Tot_Min_01_05,Tot_Min_06_10,Tot_Min_11_15,Tot_Min_16_20,Tot_Min_2021,Tot_Min_NS,Tot_Min_Tot,Tot_Mnf_Bf_91,Tot_Mnf_91_95,Tot_Mnf_96_00,Tot_Mnf_01_05,Tot_Mnf_06_10,Tot_Mnf_11_15,Tot_Mnf_16_20,Tot_Mnf_2021,Tot_Mnf_NS,Tot_Mnf_Tot,Tot_EGWWS_Bf_91,Tot_EGWWS_91_95,Tot_EGWWS_96_00,Tot_EGWWS_01_05,Tot_EGWWS_06_10,Tot_EGWWS_11_15,Tot_EGWWS_16_20,Tot_EGWWS_2021,Tot_EGWWS_NS,Tot_EGWWS_Tot,Tot_Const_Bf_91,Tot_Const_91_95,Tot_Const_96_00,Tot_Const_01_05,Tot_Const_06_10,Tot_Const_11_15,Tot_Const_16_20,Tot_Const_2021,Tot_Const_NS,Tot_Const_Tot,Tot_WST_Bf_91,Tot_WST_91_95,Tot_WST_96_00,Tot_WST_01_05,Tot_WST_06_10,Tot_WST_11_15,Tot_WST_16_20,Tot_WST_2021,Tot_WST_NS,Tot_WST_Tot,Tot_RetT_Bf_91,Tot_RetT_91_95,Tot_RetT_96_00,Tot_RetT_01_05,Tot_RetT_06_10,Tot_RetT_11_15,Tot_RetT_16_20,Tot_RetT_2021,Tot_RetT_NS,Tot_RetT_Tot,Tot_AcFd_Bf_91,Tot_AcFd_91_95,Tot_AcFd_96_00,Tot_AcFd_01_05,Tot_AcFd_06_10,Tot_AcFd_11_15,Tot_AcFd_16_20,Tot_AcFd_2021,Tot_AcFd_NS,Tot_AcFd_Tot,Tot_TPW_Bf_91,Tot_TPW_91_95,Tot_TPW_96_00,Tot_TPW_01_05,Tot_TPW_06_10,Tot_TPW_11_15,Tot_TPW_16_20,Tot_TPW_2021,Tot_TPW_NS,Tot_TPW_Tot,Tot_IMT_Bf_91,Tot_IMT_91_95,Tot_IMT_96_00,Tot_IMT_01_05,Tot_IMT_06_10,Tot_IMT_11_15,Tot_IMT_16_20,Tot_IMT_2021,Tot_IMT_NS,Tot_IMT_Tot,Tot_FinIns_Bf_91,Tot_FinIns_91_95,Tot_FinIns_96_00,Tot_FinIns_01_05,Tot_FinIns_06_10,Tot_FinIns_11_15,Tot_FinIns_16_20,Tot_FinIns_2021,Tot_FinIns_NS,Tot_FinIns_Tot,Tot_RHRE_Bf_91,Tot_RHRE_91_95,Tot_RHRE_96_00,Tot_RHRE_01_05,Tot_RHRE_06_10,Tot_RHRE_11_15,Tot_RHRE_16_20,Tot_RHRE_2021,Tot_RHRE_NS,Tot_RHRE_Tot,Tot_ProSTS_Bf_91,Tot_ProSTS_91_95,Tot_ProSTS_96_00,Tot_ProSTS_01_05,Tot_ProSTS_06_10,Tot_ProSTS_11_15,Tot_ProSTS_16_20,Tot_ProSTS_2021,Tot_ProSTS_NS,Tot_ProSTS_Tot,Tot_AdSup_Bf_91,Tot_AdSup_91_95,Tot_AdSup_96_00,Tot_AdSup_01_05,Tot_AdSup_06_10,Tot_AdSup_11_15,Tot_AdSup_16_20,Tot_AdSup_2021,Tot_AdSup_NS,Tot_AdSup_Tot,Tot_PubAS_Bf_91,Tot_PubAS_91_95,Tot_PubAS_96_00,Tot_PubAS_01_05,Tot_PubAS_06_10,Tot_PubAS_11_15,Tot_PubAS_16_20,Tot_PubAS_2021,Tot_PubAS_NS,Tot_PubAS_Tot,Tot_EdTrn_Bf_91,Tot_EdTrn_91_95,Tot_EdTrn_96_00,Tot_EdTrn_01_05,Tot_EdTrn_06_10,Tot_EdTrn_11_15,Tot_EdTrn_16_20,Tot_EdTrn_2021,Tot_EdTrn_NS,Tot_EdTrn_Tot
LGA20110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,7,5,0,6,3,0,5,40,0,0,0,0,0,0,0,0,0,0,26,4,6,8,8,8,5,0,0,65,3,0,0,0,4,0,3,0,0,11,18,4,0,0,3,0,0,0,0,30,3,0,0,0,0,0,0,0,0,4,18,4,9,3,9,3,8,0,0,55,29,0,12,18,25,17,45,0,4,150,7,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,18,4,3,6,5,4,0,0,0,45,11,0,5,0,0,4,5,0,0,25,11,0,3,5,6,0,0,0,0,29,23,0,3,3,4,6,0,0,0,53
LGA20260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,4,8,11,13,0,0,51,0,0,0,0,4,0,0,0,0,4,14,0,3,3,18,24,79,26,3,174,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,4,0,3,0,3,3,15,0,0,26,3,0,0,7,11,0,11,0,0,30,5,3,0,4,14,6,12,0,6,45,5,0,0,0,5,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,5,3,0,3,0,0,5,0,0,17,3,0,0,0,0,0,0,0,0,14,28,3,8,9,3,11,11,0,5,72,12,0,0,0,6,0,3,0,0,31
LGA20570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,17,17,0,9,4,4,8,9,0,0,54,10,5,6,7,13,3,18,0,0,52,119,15,27,52,73,76,68,0,3,443,17,0,9,10,9,6,3,0,0,55,90,15,18,18,51,46,81,0,7,341,28,0,7,5,8,11,10,0,5,77,134,18,27,50,95,76,112,3,7,519,85,10,31,56,165,169,252,0,9,775,66,6,13,9,64,39,54,0,0,256,29,6,8,3,7,7,10,0,0,76,31,0,4,6,15,12,12,0,0,81,17,3,5,6,14,8,8,0,0,55,85,17,35,42,71,59,48,0,9,367,44,3,7,11,26,20,57,0,3,173,118,15,29,33,35,46,38,0,0,320,201,43,51,69,101,110,71,0,5,645
LGA20660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,4,13,11,0,0,0,7,5,6,0,0,30,3,0,3,0,0,0,3,0,0,13,248,71,61,61,118,110,94,0,9,766,13,6,4,4,0,3,4,0,0,36,188,40,52,78,144,129,135,0,12,774,55,15,16,14,22,12,18,0,0,154,263,58,62,94,175,135,154,0,16,962,136,42,44,89,213,150,273,0,0,957,98,31,31,34,45,35,87,0,4,371,27,6,8,13,15,6,8,0,0,80,74,22,20,27,34,13,12,0,0,198,41,10,14,11,13,11,4,0,0,103,259,55,70,97,131,102,96,3,9,820,86,18,29,23,52,55,113,0,0,377,169,54,52,67,114,73,36,0,6,565,321,64,94,116,175,135,121,0,8,1037
LGA20740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,12,4,4,8,10,0,0,79,0,0,0,0,0,0,0,0,0,6,23,3,7,3,15,20,11,0,3,86,10,7,0,3,8,6,0,0,0,37,53,6,14,19,22,20,9,0,3,139,12,0,0,0,0,0,4,0,0,24,72,5,12,22,19,24,15,0,7,178,60,7,20,25,61,53,74,0,3,301,18,0,0,8,3,3,6,0,0,40,9,0,0,4,0,3,0,0,0,15,16,0,0,0,0,6,0,0,0,24,7,0,4,0,7,0,0,0,4,33,56,5,0,9,4,5,3,0,3,84,24,3,3,4,9,12,5,0,0,63,42,6,4,8,12,13,3,0,4,90,43,5,12,18,7,10,10,0,8,112
LGA20830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,96,5,19,21,47,51,151,0,17,402,3,0,0,0,0,0,0,0,0,10,44,4,14,11,15,31,38,0,8,168,7,0,0,0,0,0,0,0,0,7,66,3,11,19,17,26,19,0,3,166,21,0,3,0,3,3,13,0,0,45,74,11,7,23,51,24,29,0,5,222,48,3,8,21,53,40,49,0,0,226,27,0,3,7,15,8,4,0,0,55,10,0,0,3,5,4,4,0,0,24,13,0,11,0,10,5,0,0,0,46,13,0,0,0,0,0,0,0,0,19,52,4,11,13,18,20,16,0,0,124,24,6,7,0,14,9,8,0,0,68,40,5,14,13,8,10,3,0,0,93,116,15,14,23,37,13,12,0,7,234
LGA20910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,13,8,0,0,0,4,0,7,0,0,17,6,0,0,0,5,0,0,0,0,6,170,53,52,52,91,65,96,5,3,585,10,4,5,3,0,0,3,0,0,28,186,44,72,74,110,159,116,4,9,773,64,20,30,25,26,21,33,4,0,222,223,52,70,121,147,132,178,0,11,940,164,40,77,146,207,213,427,3,10,1281,81,29,20,30,37,16,35,0,0,249,31,0,10,12,17,9,11,0,0,97,131,27,40,49,67,43,41,6,0,403,68,17,12,26,19,18,9,0,0,174,358,102,123,162,176,188,152,0,13,1281,85,25,23,35,40,31,98,0,8,347,90,22,35,39,45,29,31,0,5,298,261,47,99,160,164,158,141,3,11,1051
LGA21010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,3,0,0,5,0,0,37,5,0,0,0,0,0,0,0,0,9,28,8,6,11,8,3,13,0,0,74,0,0,0,0,0,0,0,0,0,0,25,3,7,9,19,34,70,0,3,163,6,0,0,0,0,0,0,0,0,4,13,5,0,5,11,7,7,0,0,41,6,6,0,0,17,4,12,0,0,45,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,4,0,0,0,0,7,9,0,0,0,3,0,5,0,5,27,3,0,0,0,0,0,0,0,0,8,12,5,0,12,3,6,4,0,0,44,13,0,0,4,4,3,6,0,0,34
LGA21110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,10,0,0,7,8,3,4,0,0,39,11,0,3,3,10,9,17,0,0,63,12,3,0,5,7,6,4,0,0,33,173,47,48,77,124,123,116,3,12,716,23,8,4,21,31,24,22,0,0,134,341,72,95,148,235,284,259,6,14,1450,164,37,58,62,88,147,137,9,7,705,602,138,229,369,591,546,682,10,28,3194,242,70,136,233,389,436,817,0,20,2344,226,35,53,70,111,80,146,0,4,728,64,9,15,31,49,25,47,0,3,248,373,78,109,208,216,187,147,0,11,1341,171,45,75,114,190,123,67,4,6,797,1131,257,434,627,759,876,881,23,32,5020,152,21,66,73,106,129,333,7,10,897,235,55,60,90,104,90,63,5,11,706,876,231,311,457,633,598,508,6,29,3641
LGA21180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,7,0,0,4,0,3,15,12,0,6,6,6,8,9,0,0,37,34,10,5,10,41,31,26,0,0,159,14,5,3,7,11,7,10,0,0,48,1503,402,367,464,1030,862,767,15,70,5479,75,18,24,23,61,42,29,6,3,283,672,172,192,204,427,532,496,3,34,2740,471,115,119,152,290,224,218,4,11,1612,719,222,202,327,547,420,511,3,33,2988,270,87,83,149,337,251,392,3,24,1609,920,275,276,376,953,672,893,10,39,4412,59,19,19,36,50,44,36,0,0,263,120,34,29,43,65,27,27,0,5,352,123,18,38,32,67,55,47,0,5,396,240,61,67,77,138,143,124,0,3,853,257,68,73,86,165,152,260,0,10,1069,333,66,65,128,157,115,68,0,9,926,612,137,151,198,258,207,131,0,13,1700
