POW_LGA_CODE_2021,Pro_500_649_A_25_34,Pro_500_649_A_35_44,Pro_500_649_A_45_54,Pro_500_649_A_55_64,Pro_500_649_A_65_74,Pro_500_649_A_75ov,Pro_500_649_Tot,Pro_650_799_A_15_19,Pro_650_799_A_20_24,Pro_650_799_A_25_34,Pro_650_799_A_35_44,Pro_650_799_A_45_54,Pro_650_799_A_55_64,Pro_650_799_A_65_74,Pro_650_799_A_75ov,Pro_650_799_Tot,Pro_800_999_A_15_19,Pro_800_999_A_20_24,Pro_800_999_A_25_34,Pro_800_999_A_35_44,Pro_800_999_A_45_54,Pro_800_999_A_55_64,Pro_800_999_A_65_74,Pro_800_999_A_75ov,Pro_800_999_Tot,Pro_1000_1249_A_15_19,Pro_1000_1249_A_20_24,Pro_1000_1249_A_25_34,Pro_1000_1249_A_35_44,Pro_1000_1249_A_45_54,Pro_1000_1249_A_55_64,Pro_1000_1249_A_65_74,Pro_1000_1249_A_75ov,Pro_1000_1249_Tot,Pro_1250_1499_A_15_19,Pro_1250_1499_A_20_24,Pro_1250_1499_A_25_34,Pro_1250_1499_A_35_44,Pro_1250_1499_A_45_54,Pro_1250_1499_A_55_64,Pro_1250_1499_A_65_74,Pro_1250_1499_A_75ov,Pro_1250_1499_Tot,Pro_1500_1749_A_15_19,Pro_1500_1749_A_20_24,Pro_1500_1749_A_25_34,Pro_1500_1749_A_35_44,Pro_1500_1749_A_45_54,Pro_1500_1749_A_55_64,Pro_1500_1749_A_65_74,Pro_1500_1749_A_75ov,Pro_1500_1749_Tot,Pro_1750_1999_A_15_19,Pro_1750_1999_A_20_24,Pro_1750_1999_A_25_34,Pro_1750_1999_A_35_44,Pro_1750_1999_A_45_54,Pro_1750_1999_A_55_64,Pro_1750_1999_A_65_74,Pro_1750_1999_A_75ov,Pro_1750_1999_Tot,Pro_2000_2999_A_15_19,Pro_2000_2999_A_20_24,Pro_2000_2999_A_25_34,Pro_2000_2999_A_35_44,Pro_2000_2999_A_45_54,Pro_2000_2999_A_55_64,Pro_2000_2999_A_65_74,Pro_2000_2999_A_75ov,Pro_2000_2999_Tot,Pro_3000_3499_A_15_19,Pro_3000_3499_A_20_24,Pro_3000_3499_A_25_34,Pro_3000_3499_A_35_44,Pro_3000_3499_A_45_54,Pro_3000_3499_A_55_64,Pro_3000_3499_A_65_74,Pro_3000_3499_A_75ov,Pro_3000_3499_Tot,Pro_3500mo_A_15_19,Pro_3500mo_A_20_24,Pro_3500mo_A_25_34,Pro_3500mo_A_35_44,Pro_3500mo_A_45_54,Pro_3500mo_A_55_64,Pro_3500mo_A_65_74,Pro_3500mo_A_75ov,Pro_3500mo_Tot,Pro_PINS_A_15_19,Pro_PINS_A_20_24,Pro_PINS_A_25_34,Pro_PINS_A_35_44,Pro_PINS_A_45_54,Pro_PINS_A_55_64,Pro_PINS_A_65_74,Pro_PINS_A_75ov,Pro_PINS_Tot,Pro_Tot_A_15_19,Pro_Tot_A_20_24,Pro_Tot_A_25_34,Pro_Tot_A_35_44,Pro_Tot_A_45_54,Pro_Tot_A_55_64,Pro_Tot_A_65_74,Pro_Tot_A_75ov,Pro_Tot_Tot,TaTW_NNI_A_15_19,TaTW_NNI_A_20_24,TaTW_NNI_A_25_34,TaTW_NNI_A_35_44,TaTW_NNI_A_45_54,TaTW_NNI_A_55_64,TaTW_NNI_A_65_74,TaTW_NNI_A_75ov,TaTW_NNI_Tot,TaTW_1_149_A_15_19,TaTW_1_149_A_20_24,TaTW_1_149_A_25_34,TaTW_1_149_A_35_44,TaTW_1_149_A_45_54,TaTW_1_149_A_55_64,TaTW_1_149_A_65_74,TaTW_1_149_A_75ov,TaTW_1_149_Tot,TaTW_150_299_A_15_19,TaTW_150_299_A_20_24,TaTW_150_299_A_25_34,TaTW_150_299_A_35_44,TaTW_150_299_A_45_54,TaTW_150_299_A_55_64,TaTW_150_299_A_65_74,TaTW_150_299_A_75ov,TaTW_150_299_Tot,TaTW_300_399_A_15_19,TaTW_300_399_A_20_24,TaTW_300_399_A_25_34,TaTW_300_399_A_35_44,TaTW_300_399_A_45_54,TaTW_300_399_A_55_64,TaTW_300_399_A_65_74,TaTW_300_399_A_75ov,TaTW_300_399_Tot,TaTW_400_499_A_15_19,TaTW_400_499_A_20_24,TaTW_400_499_A_25_34,TaTW_400_499_A_35_44,TaTW_400_499_A_45_54,TaTW_400_499_A_55_64,TaTW_400_499_A_65_74,TaTW_400_499_A_75ov,TaTW_400_499_Tot,TaTW_500_649_A_15_19,TaTW_500_649_A_20_24,TaTW_500_649_A_25_34,TaTW_500_649_A_35_44,TaTW_500_649_A_45_54,TaTW_500_649_A_55_64,TaTW_500_649_A_65_74,TaTW_500_649_A_75ov,TaTW_500_649_Tot,TaTW_650_799_A_15_19,TaTW_650_799_A_20_24,TaTW_650_799_A_25_34,TaTW_650_799_A_35_44,TaTW_650_799_A_45_54,TaTW_650_799_A_55_64,TaTW_650_799_A_65_74,TaTW_650_799_A_75ov,TaTW_650_799_Tot,TaTW_800_999_A_15_19,TaTW_800_999_A_20_24,TaTW_800_999_A_25_34,TaTW_800_999_A_35_44,TaTW_800_999_A_45_54,TaTW_800_999_A_55_64,TaTW_800_999_A_65_74,TaTW_800_999_A_75ov,TaTW_800_999_Tot,TaTW_1000_1249_A_15_19,TaTW_1000_1249_A_20_24,TaTW_1000_1249_A_25_34,TaTW_1000_1249_A_35_44,TaTW_1000_1249_A_45_54,TaTW_1000_1249_A_55_64,TaTW_1000_1249_A_65_74,TaTW_1000_1249_A_75ov,TaTW_1000_1249_Tot,TaTW_1250_1499_A_15_19,TaTW_1250_1499_A_20_24,TaTW_1250_1499_A_25_34,TaTW_1250_1499_A_35_44,TaTW_1250_1499_A_45_54,TaTW_1250_1499_A_55_64,TaTW_1250_1499_A_65_74,TaTW_1250_1499_A_75ov,TaTW_1250_1499_Tot,TaTW_1500_1749_A_15_19,TaTW_1500_1749_A_20_24,TaTW_1500_1749_A_25_34,TaTW_1500_1749_A_35_44
LGA20110,3,9,7,0,8,0,28,0,0,14,9,3,7,11,0,46,0,0,8,21,19,11,5,0,62,0,6,23,22,28,22,9,0,103,0,4,31,31,22,19,7,0,108,0,0,22,31,34,24,0,0,115,0,0,7,19,28,19,4,0,78,0,0,22,45,37,26,6,0,144,0,0,4,6,3,4,4,0,19,0,0,8,7,14,10,4,0,42,0,0,0,6,0,3,0,0,5,4,15,147,221,204,155,66,10,830,0,0,0,0,0,6,0,0,4,3,0,0,0,4,0,0,0,3,4,3,0,4,0,0,3,0,11,3,4,4,3,4,4,0,0,22,9,3,3,5,6,6,0,4,38,4,7,6,3,6,4,7,0,47,4,15,19,13,16,15,5,0,88,0,22,27,16,19,33,4,0,125,0,14,48,36,27,28,3,0,150,0,0,23,20,12,13,0,0,71,0,5,12,19
LGA20260,5,3,6,10,0,0,26,0,6,13,6,4,4,0,0,42,0,0,17,19,8,9,5,0,61,0,5,31,18,21,9,10,0,94,0,4,31,14,22,12,7,0,89,0,6,40,29,34,23,11,0,142,0,0,14,30,21,18,7,0,88,0,0,13,31,49,28,11,0,123,0,0,3,7,4,8,0,0,19,0,0,0,4,3,14,0,0,25,0,0,0,0,0,4,0,0,5,4,26,179,166,172,147,55,5,755,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,5,0,0,0,5,0,0,14,6,0,5,0,5,0,4,0,14,8,4,0,4,0,7,4,0,24,12,0,6,5,11,5,4,0,47,4,15,11,6,10,7,3,0,58,0,11,11,15,18,9,3,0,67,0,4,29,14,28,14,0,0,92,0,9,19,15,8,16,5,0,67,0,0,11,6
LGA20570,88,111,55,59,34,9,382,8,34,144,150,83,80,43,3,551,3,96,224,237,170,125,47,3,902,0,145,468,374,257,219,58,8,1532,0,137,593,406,297,238,59,4,1729,0,39,629,458,383,271,40,3,1819,0,11,352,426,385,238,47,5,1465,0,14,385,643,609,377,75,3,2093,0,5,53,103,81,68,20,0,330,0,0,55,189,232,138,40,0,662,0,4,9,6,16,13,6,0,55,58,570,3108,3210,2656,1914,511,51,12064,3,3,0,4,0,11,0,0,21,20,5,0,4,4,9,3,0,43,28,8,10,13,17,9,4,0,99,28,15,19,19,18,19,13,0,132,107,35,40,33,31,24,18,5,284,145,143,68,63,59,67,15,4,575,67,242,173,101,95,96,35,0,801,20,251,368,203,200,144,29,0,1222,14,168,469,296,263,199,25,0,1432,5,71,298,219,202,139,21,0,950,0,21,176,158
LGA20660,124,113,79,52,38,16,481,0,49,158,182,111,92,52,7,654,0,125,284,272,179,139,72,5,1079,0,231,657,435,311,219,94,6,1951,0,159,883,456,370,249,63,5,2186,0,51,964,539,472,323,86,6,2446,0,14,608,516,418,293,69,3,1918,0,9,670,722,651,476,108,11,2644,0,0,120,165,112,78,27,5,504,0,0,92,355,343,183,84,4,1063,0,9,18,25,18,17,3,0,89,59,856,4732,3981,3194,2200,771,83,15878,0,0,8,12,5,4,0,0,36,21,3,7,4,5,3,3,0,47,17,14,5,15,16,11,13,0,81,16,16,34,16,24,17,10,0,133,43,52,34,23,29,26,7,0,224,50,97,68,71,51,40,18,3,398,34,131,136,87,96,81,31,3,604,17,177,253,156,107,99,33,0,852,24,127,323,246,175,137,29,0,1059,3,49,225,146,159,112,17,6,717,3,28,169,133
LGA20740,23,22,23,16,13,0,106,0,3,25,25,26,24,13,0,123,0,11,41,36,41,35,26,7,195,0,17,69,82,64,59,23,3,324,0,22,70,69,57,61,15,4,304,0,4,85,85,75,53,15,5,316,0,6,46,57,57,40,7,0,213,0,0,48,107,118,79,12,6,364,0,0,4,15,14,8,0,0,44,0,0,17,22,23,21,6,4,100,0,0,5,0,5,8,0,0,13,4,82,461,542,518,435,156,27,2227,0,0,0,4,4,0,0,0,11,3,0,3,3,0,3,0,0,20,10,5,4,0,8,4,6,0,37,9,9,3,6,10,15,10,0,60,24,5,8,20,11,15,6,0,97,43,36,22,21,22,31,9,5,174,13,53,46,31,32,30,12,3,221,4,45,111,60,48,33,7,0,313,0,26,101,90,66,47,10,0,341,0,10,64,56,32,30,7,3,198,0,0,25,40
LGA20830,27,30,28,41,13,0,146,0,12,50,39,30,26,18,4,181,0,19,68,73,62,44,16,4,282,0,33,138,91,76,76,21,3,445,0,34,184,115,96,70,28,0,523,0,10,174,133,106,85,22,0,539,0,5,95,100,104,64,15,4,381,0,3,95,165,169,117,34,0,569,0,0,16,24,21,17,0,0,73,0,0,20,49,34,41,17,3,163,0,3,0,0,8,4,9,0,29,20,146,908,882,753,630,213,28,3580,4,0,4,0,4,0,0,0,11,10,0,0,6,5,3,0,0,29,24,4,11,3,8,9,6,0,57,11,3,16,16,17,11,8,0,85,46,9,20,10,16,17,5,0,129,79,54,25,28,28,37,9,5,260,21,88,48,43,28,26,20,4,279,3,87,110,77,57,61,9,4,405,0,62,148,90,90,55,13,0,461,0,17,113,75,71,45,3,0,334,0,16,82,60
LGA20910,63,46,64,57,23,5,294,0,30,54,83,78,76,50,9,387,0,68,113,132,129,140,58,10,643,0,97,263,199,164,151,82,19,983,0,68,368,214,195,146,58,12,1064,0,26,375,248,205,185,57,14,1124,0,14,229,234,220,173,59,8,933,0,13,253,506,495,335,103,21,1721,0,0,35,89,127,90,26,7,374,0,0,39,249,386,244,93,14,1027,0,0,11,8,17,20,12,3,72,70,455,1891,2102,2195,1727,691,134,9264,0,0,5,0,0,0,8,0,24,17,5,4,0,0,3,0,0,38,14,5,10,13,10,10,8,0,55,7,17,22,10,18,16,7,0,96,21,38,24,18,16,27,18,0,161,28,59,56,37,43,29,11,0,265,20,101,89,49,62,53,13,0,381,6,125,193,101,85,70,36,0,617,0,58,227,146,105,90,30,3,668,0,29,167,118,105,52,17,0,497,0,17,90,99
LGA21010,3,11,0,9,5,0,29,0,0,7,12,4,10,8,0,43,0,4,11,18,17,19,3,3,78,0,9,29,19,16,16,5,0,98,0,13,40,13,27,34,0,0,125,0,0,44,24,39,29,10,0,155,0,0,19,26,29,28,7,0,113,0,0,31,50,41,51,5,0,172,0,0,0,5,0,0,0,0,18,0,0,3,9,4,15,3,3,32,0,0,0,0,0,0,3,0,5,0,30,201,194,186,210,68,15,909,0,0,0,5,0,0,0,0,8,5,0,0,0,0,3,0,5,17,0,0,0,0,0,3,0,0,7,0,3,4,0,0,8,5,0,18,10,4,4,0,8,8,0,0,34,22,6,5,7,5,9,3,0,57,7,16,9,11,12,12,10,0,89,0,24,27,22,19,16,5,0,122,0,16,44,32,25,28,9,0,155,0,8,22,18,23,28,5,0,105,0,6,16,19
LGA21110,202,154,125,105,68,26,763,0,108,215,195,151,138,102,19,927,5,165,470,280,216,230,130,24,1520,0,294,921,472,335,319,145,28,2515,3,220,1306,601,430,329,150,27,3063,0,70,1420,881,552,463,129,16,3530,0,21,926,831,590,405,131,26,2938,0,31,1364,2143,1588,1050,283,45,6503,0,0,183,485,394,258,77,9,1406,0,3,192,668,876,600,225,35,2596,0,10,42,26,39,34,15,7,175,186,1351,7470,6986,5517,4106,1579,290,27479,0,4,9,7,7,0,3,0,32,27,17,5,12,3,8,0,0,74,16,38,21,12,23,12,8,0,126,23,30,43,25,12,21,10,0,165,25,48,45,29,33,25,8,3,217,49,91,98,78,40,43,19,0,429,15,127,169,110,82,77,28,4,613,4,139,309,157,120,111,26,4,863,0,99,381,235,132,118,35,3,1004,0,34,282,197,168,114,21,0,812,5,12,175,149
LGA21180,92,75,58,43,17,5,320,4,40,164,141,77,58,34,6,523,0,104,355,251,151,96,44,3,1005,3,205,690,388,271,169,54,5,1789,0,172,907,495,287,193,38,4,2104,0,53,885,505,413,250,73,6,2187,0,12,547,510,390,251,56,0,1775,0,18,618,753,668,385,62,10,2510,0,0,90,108,93,56,20,5,366,0,7,73,176,190,97,34,8,583,0,12,25,13,12,13,10,0,82,72,777,4577,3542,2707,1689,476,55,13885,0,3,19,8,12,12,0,0,63,17,3,15,9,14,6,0,0,60,15,11,21,13,27,10,5,0,104,17,28,30,35,40,42,15,5,204,78,96,81,50,59,46,17,0,432,110,175,109,110,98,61,29,0,686,62,266,233,134,154,103,24,3,973,25,242,439,282,236,172,30,0,1437,17,196,603,437,390,259,49,0,1956,4,94,486,361,310,205,42,0,1502,0,53,337,347
