POW_LGA_CODE_2021,TaTW_650_799_H_0,TaTW_650_799_H_1_19,TaTW_650_799_H_20_29,TaTW_650_799_H_30_34,TaTW_650_799_H_35_39,TaTW_650_799_H_40_44,TaTW_650_799_H_45_49,TaTW_650_799_H_50ov,TaTW_650_799_H_NS,TaTW_650_799_H_Tot,TaTW_800_999_H_0,TaTW_800_999_H_1_19,TaTW_800_999_H_20_29,TaTW_800_999_H_30_34,TaTW_800_999_H_35_39,TaTW_800_999_H_40_44,TaTW_800_999_H_45_49,TaTW_800_999_H_50ov,TaTW_800_999_H_NS,TaTW_800_999_H_Tot,TaTW_1000_1249_H_0,TaTW_1000_1249_H_1_19,TaTW_1000_1249_H_20_29,TaTW_1000_1249_H_30_34,TaTW_1000_1249_H_35_39,TaTW_1000_1249_H_40_44,TaTW_1000_1249_H_45_49,TaTW_1000_1249_H_50ov,TaTW_1000_1249_H_NS,TaTW_1000_1249_H_Tot,TaTW_1250_1499_H_0,TaTW_1250_1499_H_1_19,TaTW_1250_1499_H_20_29,TaTW_1250_1499_H_30_34,TaTW_1250_1499_H_35_39,TaTW_1250_1499_H_40_44,TaTW_1250_1499_H_45_49,TaTW_1250_1499_H_50ov,TaTW_1250_1499_H_NS,TaTW_1250_1499_H_Tot,TaTW_1500_1749_H_0,TaTW_1500_1749_H_1_19,TaTW_1500_1749_H_20_29,TaTW_1500_1749_H_30_34,TaTW_1500_1749_H_35_39,TaTW_1500_1749_H_40_44,TaTW_1500_1749_H_45_49,TaTW_1500_1749_H_50ov,TaTW_1500_1749_H_NS,TaTW_1500_1749_H_Tot,TaTW_1750_1999_H_0,TaTW_1750_1999_H_1_19,TaTW_1750_1999_H_20_29,TaTW_1750_1999_H_30_34,TaTW_1750_1999_H_35_39,TaTW_1750_1999_H_40_44,TaTW_1750_1999_H_45_49,TaTW_1750_1999_H_50ov,TaTW_1750_1999_H_NS,TaTW_1750_1999_H_Tot,TaTW_2000_2999_H_0,TaTW_2000_2999_H_1_19,TaTW_2000_2999_H_20_29,TaTW_2000_2999_H_30_34,TaTW_2000_2999_H_35_39,TaTW_2000_2999_H_40_44,TaTW_2000_2999_H_45_49,TaTW_2000_2999_H_50ov,TaTW_2000_2999_H_NS,TaTW_2000_2999_H_Tot,TaTW_3000_3499_H_0,TaTW_3000_3499_H_1_19,TaTW_3000_3499_H_20_29,TaTW_3000_3499_H_30_34,TaTW_3000_3499_H_35_39,TaTW_3000_3499_H_40_44,TaTW_3000_3499_H_45_49,TaTW_3000_3499_H_50ov,TaTW_3000_3499_H_NS,TaTW_3000_3499_H_Tot,TaTW_3500mo_H_0,TaTW_3500mo_H_1_19,TaTW_3500mo_H_20_29,TaTW_3500mo_H_30_34,TaTW_3500mo_H_35_39,TaTW_3500mo_H_40_44,TaTW_3500mo_H_45_49,TaTW_3500mo_H_50ov,TaTW_3500mo_H_NS,TaTW_3500mo_H_Tot,TaTW_PINS_H_0,TaTW_PINS_H_1_19,TaTW_PINS_H_20_29,TaTW_PINS_H_30_34,TaTW_PINS_H_35_39,TaTW_PINS_H_40_44,TaTW_PINS_H_45_49,TaTW_PINS_H_50ov,TaTW_PINS_H_NS,TaTW_PINS_H_Tot,TaTW_Tot_H_0,TaTW_Tot_H_1_19,TaTW_Tot_H_20_29,TaTW_Tot_H_30_34,TaTW_Tot_H_35_39,TaTW_Tot_H_40_44,TaTW_Tot_H_45_49,TaTW_Tot_H_50ov,TaTW_Tot_H_NS,TaTW_Tot_H_Tot,CoPSW_NNI_H_0,CoPSW_NNI_H_1_19,CoPSW_NNI_H_20_29,CoPSW_NNI_H_30_34,CoPSW_NNI_H_35_39,CoPSW_NNI_H_40_44,CoPSW_NNI_H_45_49,CoPSW_NNI_H_50ov,CoPSW_NNI_H_NS,CoPSW_NNI_H_Tot,CoPSW_1_149_H_0,CoPSW_1_149_H_1_19,CoPSW_1_149_H_20_29,CoPSW_1_149_H_30_34,CoPSW_1_149_H_35_39,CoPSW_1_149_H_40_44,CoPSW_1_149_H_45_49,CoPSW_1_149_H_50ov,CoPSW_1_149_H_NS,CoPSW_1_149_H_Tot,CoPSW_150_299_H_0,CoPSW_150_299_H_1_19,CoPSW_150_299_H_20_29,CoPSW_150_299_H_30_34,CoPSW_150_299_H_35_39,CoPSW_150_299_H_40_44,CoPSW_150_299_H_45_49,CoPSW_150_299_H_50ov,CoPSW_150_299_H_NS,CoPSW_150_299_H_Tot,CoPSW_300_399_H_0,CoPSW_300_399_H_1_19,CoPSW_300_399_H_20_29,CoPSW_300_399_H_30_34,CoPSW_300_399_H_35_39,CoPSW_300_399_H_40_44,CoPSW_300_399_H_45_49,CoPSW_300_399_H_50ov,CoPSW_300_399_H_NS,CoPSW_300_399_H_Tot,CoPSW_400_499_H_0,CoPSW_400_499_H_1_19,CoPSW_400_499_H_20_29,CoPSW_400_499_H_30_34,CoPSW_400_499_H_35_39,CoPSW_400_499_H_40_44,CoPSW_400_499_H_45_49,CoPSW_400_499_H_50ov,CoPSW_400_499_H_NS,CoPSW_400_499_H_Tot,CoPSW_500_649_H_0,CoPSW_500_649_H_1_19,CoPSW_500_649_H_20_29,CoPSW_500_649_H_30_34,CoPSW_500_649_H_35_39,CoPSW_500_649_H_40_44,CoPSW_500_649_H_45_49,CoPSW_500_649_H_50ov,CoPSW_500_649_H_NS,CoPSW_500_649_H_Tot,CoPSW_650_799_H_0,CoPSW_650_799_H_1_19,CoPSW_650_799_H_20_29,CoPSW_650_799_H_30_34,CoPSW_650_799_H_35_39,CoPSW_650_799_H_40_44,CoPSW_650_799_H_45_49,CoPSW_650_799_H_50ov,CoPSW_650_799_H_NS,CoPSW_650_799_H_Tot,CoPSW_800_999_H_0,CoPSW_800_999_H_1_19,CoPSW_800_999_H_20_29,CoPSW_800_999_H_30_34,CoPSW_800_999_H_35_39,CoPSW_800_999_H_40_44,CoPSW_800_999_H_45_49,CoPSW_800_999_H_50ov,CoPSW_800_999_H_NS,CoPSW_800_999_H_Tot,CoPSW_1000_1249_H_0,CoPSW_1000_1249_H_1_19,CoPSW_1000_1249_H_20_29,CoPSW_1000_1249_H_30_34,CoPSW_1000_1249_H_35_39,CoPSW_1000_1249_H_40_44,CoPSW_1000_1249_H_45_49,CoPSW_1000_1249_H_50ov,CoPSW_1000_1249_H_NS,CoPSW_1000_1249_H_Tot
LGA20110,6,14,12,6,21,14,0,4,0,88,0,14,11,9,41,21,10,9,3,125,13,14,12,16,35,38,10,18,6,150,4,3,3,4,14,19,10,14,0,71,0,3,4,0,7,27,0,19,0,63,0,0,3,0,7,9,0,11,0,40,5,0,0,5,10,16,8,7,4,49,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,47,79,83,60,144,157,55,87,18,736,0,8,0,0,0,0,0,0,0,9,26,18,0,0,0,0,0,0,0,47,6,12,0,0,0,0,0,0,0,17,0,17,6,0,0,0,0,0,0,24,9,24,15,0,4,3,0,0,0,52,10,28,25,5,0,3,0,0,3,86,10,26,41,13,14,8,0,0,3,112,11,30,22,19,20,14,5,4,0,114,4,7,9,20,18,13,0,3,0,80
LGA20260,0,4,13,3,7,12,5,5,0,58,0,5,9,14,12,12,3,6,0,67,5,3,3,3,26,38,9,6,3,92,3,0,0,0,15,22,8,9,0,67,0,4,0,0,7,13,0,5,4,40,0,0,0,3,0,6,0,3,0,24,0,0,0,0,0,15,0,4,0,25,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,28,38,54,34,94,137,35,56,7,483,6,0,0,0,0,0,0,0,0,6,4,13,0,0,0,0,0,0,0,19,0,16,0,4,0,0,0,0,0,23,0,9,3,0,0,0,0,0,0,19,0,17,11,0,6,0,0,0,0,33,10,9,26,10,6,0,0,4,0,70,7,15,28,13,15,3,3,6,0,90,9,7,18,27,25,16,0,5,4,111,13,3,10,18,36,34,5,8,0,129
LGA20570,25,65,143,80,186,198,33,50,17,801,35,62,87,117,396,370,60,90,11,1222,44,41,61,72,469,495,112,137,13,1432,23,9,37,30,236,374,105,131,5,950,16,8,15,16,107,242,65,127,8,597,5,6,8,5,53,117,48,92,0,346,17,14,3,7,70,145,66,165,4,495,3,0,0,3,10,24,9,27,0,80,3,3,5,4,9,12,5,29,0,70,0,0,0,0,18,26,0,7,16,77,248,500,520,433,1776,2187,547,900,102,7201,5,18,0,3,0,0,0,0,0,28,82,244,0,0,0,0,0,0,4,335,68,224,18,4,3,0,0,0,4,334,66,225,60,17,6,0,5,3,6,392,52,253,137,24,25,13,0,3,12,517,91,280,322,101,42,25,7,18,7,891,77,196,365,218,145,37,11,19,12,1078,65,149,274,308,306,90,19,32,11,1263,45,74,160,241,294,139,29,44,12,1043
LGA20660,36,56,116,69,135,120,24,33,11,604,36,64,93,90,248,219,52,46,15,852,29,38,77,86,325,338,66,81,14,1059,23,28,29,46,201,244,65,70,6,717,10,16,18,25,128,251,48,70,4,566,4,7,8,13,59,159,35,69,3,365,13,8,8,16,61,204,75,96,6,489,0,0,0,5,9,23,12,22,4,80,0,0,0,4,0,13,9,19,0,47,4,9,0,0,18,17,0,4,26,74,236,486,570,412,1308,1700,412,557,105,5776,14,12,3,0,0,5,0,0,5,34,87,209,14,0,0,3,0,0,0,312,69,266,31,3,0,0,0,0,4,377,48,256,73,8,6,3,0,0,5,396,43,248,127,16,12,9,0,0,6,460,65,230,266,69,35,19,4,6,10,700,52,155,295,167,110,43,9,19,4,857,57,121,228,211,243,115,19,27,10,1026,39,65,116,154,237,202,31,40,4,892
LGA20740,17,22,43,17,50,44,8,17,3,221,15,25,38,31,89,87,14,17,6,313,14,20,30,23,103,109,16,33,5,341,12,5,5,21,46,75,11,24,0,198,3,10,8,10,32,44,16,17,3,130,0,0,0,4,9,45,4,23,3,95,10,3,0,4,17,55,3,24,0,107,0,0,0,0,0,0,0,4,0,8,0,0,0,6,0,0,0,11,0,22,0,5,4,3,0,5,0,3,0,22,115,186,196,141,393,530,81,182,35,1857,0,4,0,0,0,0,0,0,0,6,50,67,0,0,0,0,0,0,0,118,20,54,13,3,0,0,0,0,0,84,22,73,16,5,0,0,0,3,0,119,19,62,40,9,7,5,0,0,8,136,32,86,89,20,7,6,0,4,9,251,41,63,86,59,33,7,5,3,3,299,19,54,63,44,53,23,3,4,6,259,8,12,35,36,66,25,3,14,5,188
LGA20830,13,25,43,32,69,66,6,20,7,279,14,27,38,46,107,110,24,41,5,405,14,17,19,26,140,158,31,51,4,461,14,12,11,11,80,132,22,57,5,334,6,4,4,9,37,70,22,59,0,224,7,0,0,9,24,44,17,43,0,138,3,4,0,0,14,35,13,46,0,129,0,0,0,0,0,7,6,13,0,26,0,0,0,0,3,8,0,8,0,25,0,0,4,0,8,21,0,6,4,48,112,259,218,165,577,748,166,368,35,2646,0,0,0,0,0,0,0,0,0,7,36,92,6,0,0,0,0,0,3,133,20,113,10,4,0,0,0,0,5,144,20,89,16,0,0,0,0,0,9,131,18,97,50,10,7,0,3,0,3,191,35,114,125,40,22,10,4,3,5,358,24,70,137,82,70,16,3,10,7,424,14,47,83,98,96,39,9,7,5,405,14,28,52,57,89,40,12,11,0,298
LGA20910,24,49,83,48,88,63,12,9,3,381,26,51,92,63,176,152,18,26,5,617,28,31,74,57,176,211,44,41,0,668,18,23,31,31,120,186,42,40,6,497,13,17,13,25,61,149,42,43,0,362,0,5,9,10,28,95,20,32,7,211,3,12,5,13,32,103,34,80,0,280,0,9,0,0,3,17,8,17,0,54,0,0,0,4,4,16,3,24,0,56,0,7,3,3,7,8,0,6,5,31,181,430,456,283,766,1056,239,345,43,3794,7,21,0,0,0,0,0,0,0,33,98,330,3,0,0,0,0,0,4,435,90,273,31,3,0,4,0,4,3,414,46,223,52,10,4,3,0,0,3,344,39,220,105,16,0,3,0,4,0,392,59,171,224,55,28,18,0,7,0,570,52,145,210,138,92,33,0,14,10,696,34,98,173,151,143,63,10,18,9,701,25,63,89,104,197,106,18,30,8,637
LGA21010,5,12,12,10,18,19,3,5,0,89,3,6,9,11,29,38,9,17,0,122,0,3,9,10,48,60,7,13,7,155,5,5,0,7,18,46,11,21,0,105,5,0,0,0,18,28,5,19,3,70,0,3,5,0,9,15,0,15,0,48,0,0,5,0,3,14,9,28,0,61,0,0,0,0,0,3,0,11,0,16,0,0,0,0,0,3,3,14,0,21,0,3,0,0,0,0,0,3,5,14,27,69,51,50,172,244,52,153,22,844,0,0,0,0,0,0,0,0,0,3,12,17,0,0,0,0,0,0,3,31,3,23,0,0,0,0,0,0,0,33,7,19,10,0,0,0,0,0,0,44,6,19,12,0,0,0,0,0,3,47,6,43,44,6,4,6,0,0,4,115,5,34,35,26,15,0,3,5,6,123,4,18,23,23,22,8,4,0,0,100,11,12,17,19,16,14,0,3,0,81
LGA21110,33,102,144,68,106,99,13,27,8,613,44,79,128,104,218,191,34,42,14,863,42,77,94,87,294,292,58,48,10,1004,31,34,47,52,260,275,50,55,5,812,8,25,24,30,152,229,46,59,4,589,12,13,24,17,86,140,34,56,3,377,12,14,6,13,87,183,64,122,0,511,0,8,0,4,8,32,7,33,0,89,3,5,4,3,3,23,5,59,0,102,3,0,5,0,5,12,0,4,14,50,269,757,755,446,1281,1580,336,544,86,6054,15,17,6,0,3,4,0,0,5,46,175,425,12,3,0,0,0,0,0,616,108,559,53,8,3,5,0,4,8,746,99,482,116,9,0,5,0,5,12,730,68,440,206,16,14,3,0,0,3,760,74,386,405,68,37,26,3,12,17,1028,71,284,421,203,153,41,8,18,16,1216,59,173,307,221,296,105,21,23,12,1221,65,117,147,183,337,172,26,45,14,1087
LGA21180,32,77,114,94,312,242,37,53,15,973,41,71,123,99,491,399,88,100,31,1437,53,70,78,89,712,657,126,139,35,1956,28,47,48,57,457,588,119,143,21,1502,29,22,22,34,347,463,123,184,14,1233,18,19,14,19,167,328,96,152,6,822,33,7,10,19,157,329,121,244,3,934,3,0,0,0,11,39,26,53,0,139,4,4,6,3,18,32,8,64,0,145,4,6,3,5,18,39,6,13,48,131,358,690,776,529,2927,3358,799,1186,208,10826,22,21,6,0,0,4,0,0,8,53,72,181,8,0,0,3,5,0,3,267,58,235,40,6,3,0,0,0,6,351,51,206,74,16,14,3,5,3,10,378,34,238,139,31,12,8,0,3,10,472,63,232,310,99,40,21,0,13,21,805,56,159,316,219,147,41,6,17,18,975,47,92,185,230,299,101,20,30,17,1028,37,64,142,157,330,164,21,48,11,969
