POW_LGA_CODE_2021,Lab_1_149_H_0,Lab_1_149_H_1_19,Lab_1_149_H_20_29,Lab_1_149_H_30_34,Lab_1_149_H_35_39,Lab_1_149_H_40_44,Lab_1_149_H_45_49,Lab_1_149_H_50ov,Lab_1_149_H_NS,Lab_1_149_H_Tot,Lab_150_299_H_0,Lab_150_299_H_1_19,Lab_150_299_H_20_29,Lab_150_299_H_30_34,Lab_150_299_H_35_39,Lab_150_299_H_40_44,Lab_150_299_H_45_49,Lab_150_299_H_50ov,Lab_150_299_H_NS,Lab_150_299_H_Tot,Lab_300_399_H_0,Lab_300_399_H_1_19,Lab_300_399_H_20_29,Lab_300_399_H_30_34,Lab_300_399_H_35_39,Lab_300_399_H_40_44,Lab_300_399_H_45_49,Lab_300_399_H_50ov,Lab_300_399_H_NS,Lab_300_399_H_Tot,Lab_400_499_H_0,Lab_400_499_H_1_19,Lab_400_499_H_20_29,Lab_400_499_H_30_34,Lab_400_499_H_35_39,Lab_400_499_H_40_44,Lab_400_499_H_45_49,Lab_400_499_H_50ov,Lab_400_499_H_NS,Lab_400_499_H_Tot,Lab_500_649_H_0,Lab_500_649_H_1_19,Lab_500_649_H_20_29,Lab_500_649_H_30_34,Lab_500_649_H_35_39,Lab_500_649_H_40_44,Lab_500_649_H_45_49,Lab_500_649_H_50ov,Lab_500_649_H_NS,Lab_500_649_H_Tot,Lab_650_799_H_0,Lab_650_799_H_1_19,Lab_650_799_H_20_29,Lab_650_799_H_30_34,Lab_650_799_H_35_39,Lab_650_799_H_40_44,Lab_650_799_H_45_49,Lab_650_799_H_50ov,Lab_650_799_H_NS,Lab_650_799_H_Tot,Lab_800_999_H_0,Lab_800_999_H_1_19,Lab_800_999_H_20_29,Lab_800_999_H_30_34,Lab_800_999_H_35_39,Lab_800_999_H_40_44,Lab_800_999_H_45_49,Lab_800_999_H_50ov,Lab_800_999_H_NS,Lab_800_999_H_Tot,Lab_1000_1249_H_0,Lab_1000_1249_H_1_19,Lab_1000_1249_H_20_29,Lab_1000_1249_H_30_34,Lab_1000_1249_H_35_39,Lab_1000_1249_H_40_44,Lab_1000_1249_H_45_49,Lab_1000_1249_H_50ov,Lab_1000_1249_H_NS,Lab_1000_1249_H_Tot,Lab_1250_1499_H_0,Lab_1250_1499_H_1_19,Lab_1250_1499_H_20_29,Lab_1250_1499_H_30_34,Lab_1250_1499_H_35_39,Lab_1250_1499_H_40_44,Lab_1250_1499_H_45_49,Lab_1250_1499_H_50ov,Lab_1250_1499_H_NS,Lab_1250_1499_H_Tot,Lab_1500_1749_H_0,Lab_1500_1749_H_1_19,Lab_1500_1749_H_20_29,Lab_1500_1749_H_30_34,Lab_1500_1749_H_35_39,Lab_1500_1749_H_40_44,Lab_1500_1749_H_45_49,Lab_1500_1749_H_50ov,Lab_1500_1749_H_NS,Lab_1500_1749_H_Tot,Lab_1750_1999_H_0,Lab_1750_1999_H_1_19,Lab_1750_1999_H_20_29,Lab_1750_1999_H_30_34,Lab_1750_1999_H_35_39,Lab_1750_1999_H_40_44,Lab_1750_1999_H_45_49,Lab_1750_1999_H_50ov,Lab_1750_1999_H_NS,Lab_1750_1999_H_Tot,Lab_2000_2999_H_0,Lab_2000_2999_H_1_19,Lab_2000_2999_H_20_29,Lab_2000_2999_H_30_34,Lab_2000_2999_H_35_39,Lab_2000_2999_H_40_44,Lab_2000_2999_H_45_49,Lab_2000_2999_H_50ov,Lab_2000_2999_H_NS,Lab_2000_2999_H_Tot,Lab_3000_3499_H_0,Lab_3000_3499_H_1_19,Lab_3000_3499_H_20_29,Lab_3000_3499_H_30_34,Lab_3000_3499_H_35_39,Lab_3000_3499_H_40_44,Lab_3000_3499_H_45_49,Lab_3000_3499_H_50ov,Lab_3000_3499_H_NS,Lab_3000_3499_H_Tot,Lab_3500mo_H_0,Lab_3500mo_H_1_19,Lab_3500mo_H_20_29,Lab_3500mo_H_30_34,Lab_3500mo_H_35_39,Lab_3500mo_H_40_44,Lab_3500mo_H_45_49,Lab_3500mo_H_50ov,Lab_3500mo_H_NS,Lab_3500mo_H_Tot,Lab_PINS_H_0,Lab_PINS_H_1_19,Lab_PINS_H_20_29,Lab_PINS_H_30_34,Lab_PINS_H_35_39,Lab_PINS_H_40_44,Lab_PINS_H_45_49,Lab_PINS_H_50ov,Lab_PINS_H_NS,Lab_PINS_H_Tot,Lab_Tot_H_0,Lab_Tot_H_1_19,Lab_Tot_H_20_29,Lab_Tot_H_30_34,Lab_Tot_H_35_39,Lab_Tot_H_40_44,Lab_Tot_H_45_49,Lab_Tot_H_50ov,Lab_Tot_H_NS,Lab_Tot_H_Tot,OIDNS_NNI_H_0,OIDNS_NNI_H_1_19,OIDNS_NNI_H_20_29,OIDNS_NNI_H_30_34,OIDNS_NNI_H_35_39,OIDNS_NNI_H_40_44,OIDNS_NNI_H_45_49,OIDNS_NNI_H_50ov,OIDNS_NNI_H_NS,OIDNS_NNI_H_Tot,OIDNS_1_149_H_0,OIDNS_1_149_H_1_19,OIDNS_1_149_H_20_29,OIDNS_1_149_H_30_34,OIDNS_1_149_H_35_39,OIDNS_1_149_H_40_44,OIDNS_1_149_H_45_49,OIDNS_1_149_H_50ov,OIDNS_1_149_H_NS,OIDNS_1_149_H_Tot,OIDNS_150_299_H_0,OIDNS_150_299_H_1_19,OIDNS_150_299_H_20_29,OIDNS_150_299_H_30_34,OIDNS_150_299_H_35_39,OIDNS_150_299_H_40_44,OIDNS_150_299_H_45_49,OIDNS_150_299_H_50ov,OIDNS_150_299_H_NS,OIDNS_150_299_H_Tot,OIDNS_300_399_H_0,OIDNS_300_399_H_1_19,OIDNS_300_399_H_20_29,OIDNS_300_399_H_30_34,OIDNS_300_399_H_35_39,OIDNS_300_399_H_40_44,OIDNS_300_399_H_45_49,OIDNS_300_399_H_50ov,OIDNS_300_399_H_NS,OIDNS_300_399_H_Tot
LGA20110,13,47,0,0,0,0,0,0,0,59,3,29,3,5,3,0,0,0,0,46,3,31,6,0,0,0,0,0,0,50,8,24,12,9,6,6,0,0,5,58,15,29,18,10,8,7,0,7,3,89,11,15,31,18,24,11,0,0,0,112,8,14,17,12,30,19,8,0,4,111,6,10,3,5,26,16,7,4,0,77,6,4,5,0,10,5,0,5,0,29,0,8,0,0,5,0,0,7,0,21,0,0,0,0,3,3,0,3,0,8,0,0,0,0,3,3,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,6,77,207,97,54,118,61,19,38,15,687,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,4
LGA20260,0,28,0,0,0,0,0,0,0,33,3,28,13,0,0,0,0,0,0,47,0,24,10,0,0,0,0,0,0,33,3,24,3,6,3,0,0,5,6,50,0,20,19,9,11,0,5,0,4,70,7,16,28,21,44,36,14,4,0,158,3,8,9,24,54,70,16,13,0,199,7,3,12,24,36,15,10,13,0,116,0,0,0,3,3,12,8,7,0,38,3,0,0,3,3,6,0,3,6,26,0,0,0,0,4,0,0,3,0,9,4,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,4,0,0,0,0,0,5,8,41,160,96,94,161,151,49,49,15,820,3,0,0,0,0,0,0,0,6,5,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,7,0,6,0,0,0,0,0,0,7,8
LGA20570,70,392,13,0,0,0,0,0,9,481,27,289,36,0,4,0,0,0,5,363,25,182,58,4,4,6,0,6,5,290,33,185,112,25,13,11,3,0,3,399,43,198,226,69,32,10,8,10,12,599,33,140,138,116,157,66,12,15,10,685,35,59,95,81,316,166,25,26,6,813,36,40,33,45,186,210,53,48,11,666,10,4,23,23,74,103,28,53,6,325,13,12,16,10,40,75,27,40,0,222,7,0,4,4,25,48,19,25,0,137,5,4,3,3,20,46,49,36,0,172,3,0,0,3,6,5,0,5,0,15,0,0,0,0,3,5,0,8,0,24,0,11,3,6,5,4,0,5,16,52,344,1516,778,404,879,751,223,284,95,5274,3,0,0,0,0,0,0,3,13,25,0,10,0,0,0,0,0,0,12,24,3,17,0,0,0,0,0,0,6,25,5,9,3,0,0,0,0,0,22,44
LGA20660,25,254,8,0,0,0,0,0,0,290,17,175,20,0,0,0,0,0,4,216,15,128,48,8,10,3,0,0,5,206,14,129,64,7,9,4,0,5,7,227,19,115,151,34,21,7,0,3,10,366,21,60,111,70,114,41,6,4,8,431,15,50,57,66,130,71,9,19,12,430,12,21,34,28,96,81,16,15,4,301,4,12,14,19,48,52,11,23,0,168,6,7,4,9,24,52,10,14,0,123,0,5,5,5,14,13,7,10,0,58,0,3,0,3,13,17,13,29,0,77,0,0,0,0,4,0,6,0,0,8,0,3,0,0,0,3,0,5,0,6,0,4,0,0,3,0,0,0,3,20,157,971,504,254,478,352,74,120,48,2956,3,0,4,0,0,0,0,0,12,19,4,14,0,5,0,0,0,0,6,31,4,6,0,0,0,0,0,0,3,20,0,16,0,4,0,0,0,0,3,26
LGA20740,25,72,0,0,0,0,0,0,0,99,17,76,12,3,0,0,0,0,5,113,12,81,13,0,4,0,0,0,0,119,13,79,30,10,3,6,0,0,5,140,26,73,64,14,17,9,0,0,5,207,25,42,45,31,17,19,3,3,4,199,9,12,28,32,50,39,10,5,4,190,12,12,15,17,38,36,14,13,0,153,3,7,3,4,14,14,5,8,0,54,0,0,0,4,0,10,0,8,0,31,0,0,0,0,7,9,0,5,0,17,0,0,0,0,7,4,5,9,0,29,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,4,0,0,0,8,0,3,0,4,0,0,0,0,9,27,153,475,216,112,160,151,36,57,34,1395,0,5,0,0,0,5,0,0,6,15,9,4,0,0,0,0,0,0,4,20,0,0,0,0,0,0,0,0,6,14,3,0,0,0,0,0,0,0,9,8
LGA20830,26,182,0,0,0,0,0,0,5,218,12,171,20,3,0,0,0,0,0,215,15,88,28,5,5,0,0,7,0,147,19,80,36,15,4,6,0,3,11,183,16,81,90,40,28,11,3,8,6,291,32,61,82,83,119,43,9,11,5,434,15,37,50,79,152,90,14,27,9,470,11,15,25,25,86,85,30,32,3,308,4,5,0,13,27,49,19,30,4,155,3,0,5,4,8,23,12,24,0,70,0,0,7,0,0,17,10,16,0,51,4,0,0,0,0,17,20,15,0,64,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,5,0,14,0,3,0,0,8,3,0,4,12,38,173,741,356,277,444,344,118,178,63,2696,0,0,0,0,0,0,0,0,4,13,0,5,0,0,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,0,5,15
LGA20910,21,150,0,0,0,0,0,0,0,178,10,114,16,0,0,0,0,0,0,150,11,83,24,0,0,0,0,3,0,122,7,69,52,4,3,6,0,5,0,153,14,80,73,20,19,5,0,0,3,216,11,45,71,32,33,15,6,0,4,223,11,29,53,43,70,46,9,13,4,266,3,18,23,17,52,65,8,11,4,204,3,8,9,9,37,44,12,9,0,128,0,4,5,6,10,22,8,8,0,62,0,8,4,0,7,10,4,0,0,36,0,0,0,0,0,13,5,11,0,39,0,0,0,0,0,5,3,5,0,14,0,0,0,0,0,0,0,5,0,11,6,0,0,0,3,3,0,0,3,24,101,620,333,148,250,234,50,79,23,1834,3,0,3,0,0,0,3,5,5,21,0,7,0,0,0,0,0,0,3,20,0,4,6,0,0,0,0,0,5,16,0,5,0,0,0,0,0,0,3,19
LGA21010,5,31,0,0,0,0,0,0,0,45,8,27,0,0,0,0,0,0,0,40,8,30,8,3,0,0,0,0,0,47,0,20,9,6,0,0,0,5,0,42,3,20,31,3,8,3,0,6,0,78,12,17,15,12,15,21,10,4,0,92,8,14,6,16,40,54,3,7,3,161,0,3,5,10,40,42,9,21,3,138,0,3,0,0,5,21,8,24,0,63,4,0,0,0,9,6,6,4,0,28,0,0,0,0,0,4,3,11,0,24,0,0,0,0,0,10,4,19,5,45,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,3,5,6,0,0,3,0,0,0,5,12,48,174,81,51,135,160,44,117,20,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3
LGA21110,43,320,12,0,0,0,0,0,0,383,27,267,31,9,3,4,0,0,6,341,19,200,76,8,5,3,0,0,0,308,22,163,119,18,7,0,0,0,8,329,29,153,193,36,23,7,0,0,3,446,23,103,167,59,76,29,8,5,0,472,23,48,98,63,102,39,11,15,5,403,11,34,56,32,95,71,11,14,4,322,5,14,15,14,48,45,12,10,0,168,5,11,5,4,22,35,5,9,0,99,4,4,6,0,17,18,3,10,4,65,3,5,8,3,21,21,12,22,0,94,0,0,0,4,3,7,0,11,0,27,4,0,0,0,0,0,0,7,0,18,0,10,7,0,0,5,0,3,8,34,217,1352,783,252,429,283,61,111,54,3537,6,0,3,0,0,8,0,3,17,44,5,12,4,0,0,3,0,3,8,34,0,18,7,0,0,0,0,0,3,33,3,11,10,0,0,0,0,0,18,45
LGA21180,54,399,16,4,3,0,0,0,11,488,35,342,46,6,10,0,0,0,8,450,26,242,95,15,14,3,0,0,9,403,33,162,193,23,25,12,3,7,10,460,43,204,272,87,99,34,5,17,17,779,48,143,218,169,373,119,23,20,24,1133,33,105,130,137,671,331,45,47,30,1544,25,58,76,77,424,336,67,76,13,1159,23,27,38,35,208,175,46,71,7,635,11,18,20,23,110,121,37,63,7,417,3,22,6,4,56,83,37,45,0,260,14,4,8,7,54,84,24,70,0,269,0,6,0,0,3,5,4,23,6,45,0,0,0,5,9,3,3,15,6,43,5,11,10,0,13,11,5,7,28,82,382,1783,1135,599,2079,1325,310,466,185,8259,11,6,0,0,0,7,0,3,34,64,3,19,5,0,0,0,0,0,9,44,7,21,0,8,0,0,0,0,7,40,0,17,11,4,7,0,0,0,20,55
