POW_LGA_CODE_2021,OIDNS_400_499_H_0,OIDNS_400_499_H_1_19,OIDNS_400_499_H_20_29,OIDNS_400_499_H_30_34,OIDNS_400_499_H_35_39,OIDNS_400_499_H_40_44,OIDNS_400_499_H_45_49,OIDNS_400_499_H_50ov,OIDNS_400_499_H_NS,OIDNS_400_499_H_Tot,OIDNS_500_649_H_0,OIDNS_500_649_H_1_19,OIDNS_500_649_H_20_29,OIDNS_500_649_H_30_34,OIDNS_500_649_H_35_39,OIDNS_500_649_H_40_44,OIDNS_500_649_H_45_49,OIDNS_500_649_H_50ov,OIDNS_500_649_H_NS,OIDNS_500_649_H_Tot,OIDNS_650_799_H_0,OIDNS_650_799_H_1_19,OIDNS_650_799_H_20_29,OIDNS_650_799_H_30_34,OIDNS_650_799_H_35_39,OIDNS_650_799_H_40_44,OIDNS_650_799_H_45_49,OIDNS_650_799_H_50ov,OIDNS_650_799_H_NS,OIDNS_650_799_H_Tot,OIDNS_800_999_H_0,OIDNS_800_999_H_1_19,OIDNS_800_999_H_20_29,OIDNS_800_999_H_30_34,OIDNS_800_999_H_35_39,OIDNS_800_999_H_40_44,OIDNS_800_999_H_45_49,OIDNS_800_999_H_50ov,OIDNS_800_999_H_NS,OIDNS_800_999_H_Tot,OIDNS_1000_1249_H_0,OIDNS_1000_1249_H_1_19,OIDNS_1000_1249_H_20_29,OIDNS_1000_1249_H_30_34,OIDNS_1000_1249_H_35_39,OIDNS_1000_1249_H_40_44,OIDNS_1000_1249_H_45_49,OIDNS_1000_1249_H_50ov,OIDNS_1000_1249_H_NS,OIDNS_1000_1249_H_Tot,OIDNS_1250_1499_H_0,OIDNS_1250_1499_H_1_19,OIDNS_1250_1499_H_20_29,OIDNS_1250_1499_H_30_34,OIDNS_1250_1499_H_35_39,OIDNS_1250_1499_H_40_44,OIDNS_1250_1499_H_45_49,OIDNS_1250_1499_H_50ov,OIDNS_1250_1499_H_NS,OIDNS_1250_1499_H_Tot,OIDNS_1500_1749_H_0,OIDNS_1500_1749_H_1_19,OIDNS_1500_1749_H_20_29,OIDNS_1500_1749_H_30_34,OIDNS_1500_1749_H_35_39,OIDNS_1500_1749_H_40_44,OIDNS_1500_1749_H_45_49,OIDNS_1500_1749_H_50ov,OIDNS_1500_1749_H_NS,OIDNS_1500_1749_H_Tot,OIDNS_1750_1999_H_0,OIDNS_1750_1999_H_1_19,OIDNS_1750_1999_H_20_29,OIDNS_1750_1999_H_30_34,OIDNS_1750_1999_H_35_39,OIDNS_1750_1999_H_40_44,OIDNS_1750_1999_H_45_49,OIDNS_1750_1999_H_50ov,OIDNS_1750_1999_H_NS,OIDNS_1750_1999_H_Tot,OIDNS_2000_2999_H_0,OIDNS_2000_2999_H_1_19,OIDNS_2000_2999_H_20_29,OIDNS_2000_2999_H_30_34,OIDNS_2000_2999_H_35_39,OIDNS_2000_2999_H_40_44,OIDNS_2000_2999_H_45_49,OIDNS_2000_2999_H_50ov,OIDNS_2000_2999_H_NS,OIDNS_2000_2999_H_Tot,OIDNS_3000_3499_H_0,OIDNS_3000_3499_H_1_19,OIDNS_3000_3499_H_20_29,OIDNS_3000_3499_H_30_34,OIDNS_3000_3499_H_35_39,OIDNS_3000_3499_H_40_44,OIDNS_3000_3499_H_45_49,OIDNS_3000_3499_H_50ov,OIDNS_3000_3499_H_NS,OIDNS_3000_3499_H_Tot,OIDNS_3500mo_H_0,OIDNS_3500mo_H_1_19,OIDNS_3500mo_H_20_29,OIDNS_3500mo_H_30_34,OIDNS_3500mo_H_35_39,OIDNS_3500mo_H_40_44,OIDNS_3500mo_H_45_49,OIDNS_3500mo_H_50ov,OIDNS_3500mo_H_NS,OIDNS_3500mo_H_Tot,OIDNS_PINS_H_0,OIDNS_PINS_H_1_19,OIDNS_PINS_H_20_29,OIDNS_PINS_H_30_34,OIDNS_PINS_H_35_39,OIDNS_PINS_H_40_44,OIDNS_PINS_H_45_49,OIDNS_PINS_H_50ov,OIDNS_PINS_H_NS,OIDNS_PINS_H_Tot,OIDNS_Tot_H_0,OIDNS_Tot_H_1_19,OIDNS_Tot_H_20_29,OIDNS_Tot_H_30_34,OIDNS_Tot_H_35_39,OIDNS_Tot_H_40_44,OIDNS_Tot_H_45_49,OIDNS_Tot_H_50ov,OIDNS_Tot_H_NS,OIDNS_Tot_H_Tot,Tot_NNI_H_0,Tot_NNI_H_1_19,Tot_NNI_H_20_29,Tot_NNI_H_30_34,Tot_NNI_H_35_39,Tot_NNI_H_40_44,Tot_NNI_H_45_49,Tot_NNI_H_50ov,Tot_NNI_H_NS,Tot_NNI_H_Tot,Tot_1_149_H_0,Tot_1_149_H_1_19,Tot_1_149_H_20_29,Tot_1_149_H_30_34,Tot_1_149_H_35_39,Tot_1_149_H_40_44,Tot_1_149_H_45_49,Tot_1_149_H_50ov,Tot_1_149_H_NS,Tot_1_149_H_Tot,Tot_150_299_H_0,Tot_150_299_H_1_19,Tot_150_299_H_20_29,Tot_150_299_H_30_34,Tot_150_299_H_35_39,Tot_150_299_H_40_44,Tot_150_299_H_45_49,Tot_150_299_H_50ov,Tot_150_299_H_NS,Tot_150_299_H_Tot,Tot_300_399_H_0,Tot_300_399_H_1_19,Tot_300_399_H_20_29,Tot_300_399_H_30_34,Tot_300_399_H_35_39,Tot_300_399_H_40_44,Tot_300_399_H_45_49,Tot_300_399_H_50ov,Tot_300_399_H_NS,Tot_300_399_H_Tot,Tot_400_499_H_0,Tot_400_499_H_1_19,Tot_400_499_H_20_29,Tot_400_499_H_30_34,Tot_400_499_H_35_39,Tot_400_499_H_40_44,Tot_400_499_H_45_49,Tot_400_499_H_50ov,Tot_400_499_H_NS,Tot_400_499_H_Tot,Tot_500_649_H_0,Tot_500_649_H_1_19,Tot_500_649_H_20_29,Tot_500_649_H_30_34,Tot_500_649_H_35_39,Tot_500_649_H_40_44,Tot_500_649_H_45_49,Tot_500_649_H_50ov,Tot_500_649_H_NS,Tot_500_649_H_Tot,Tot_650_799_H_0,Tot_650_799_H_1_19,Tot_650_799_H_20_29,Tot_650_799_H_30_34,Tot_650_799_H_35_39,Tot_650_799_H_40_44,Tot_650_799_H_45_49,Tot_650_799_H_50ov,Tot_650_799_H_NS,Tot_650_799_H_Tot
LGA20110,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,14,6,0,0,0,6,0,0,0,8,11,3,0,0,0,0,0,0,0,0,11,0,0,0,0,3,0,0,4,0,4,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,10,14,14,8,3,11,8,3,10,27,93,8,8,8,3,4,0,0,9,0,45,51,143,3,0,3,4,0,3,3,216,26,87,16,5,4,4,0,11,3,162,17,125,39,14,8,12,0,14,7,222,37,118,52,24,20,21,3,18,8,289,48,127,132,49,22,33,7,29,16,467,44,107,155,95,109,61,4,42,19,650
LGA20260,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,6,17,0,4,0,0,0,8,0,0,5,16,0,0,0,3,4,0,0,3,7,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,9,0,0,0,0,3,4,0,0,0,8,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,14,11,15,5,6,13,22,0,12,35,118,13,19,0,0,3,3,0,11,5,50,15,97,6,0,3,3,3,3,3,136,17,104,21,7,5,8,0,7,3,179,13,82,29,9,8,13,0,17,5,179,18,95,38,12,20,18,0,25,10,229,22,76,100,46,42,30,13,19,5,356,28,70,114,82,115,95,20,43,18,581
LGA20570,7,4,3,0,0,0,0,0,13,42,6,7,9,10,3,5,0,8,12,58,3,9,6,7,13,6,0,9,10,63,6,4,5,3,16,9,3,0,24,67,0,6,7,3,30,24,0,9,18,100,0,4,6,3,16,28,4,5,16,86,3,4,6,0,11,10,8,6,7,50,3,0,0,0,10,9,6,7,5,37,4,0,0,0,6,11,4,6,5,45,0,0,0,0,0,5,0,0,0,3,9,0,0,0,4,0,5,3,3,25,0,6,4,0,8,13,0,4,57,91,54,80,42,35,124,117,36,70,224,788,43,87,26,14,15,19,3,31,22,260,265,1486,47,9,4,10,0,11,28,1860,189,1198,161,25,25,12,8,14,37,1668,198,1009,306,68,52,43,9,45,50,1764,180,1080,600,112,142,118,24,49,46,2355,331,1142,1373,445,364,244,55,102,63,4121,287,886,1375,829,947,539,106,173,65,5212
LGA20660,0,7,0,5,0,0,0,0,16,30,3,8,8,4,5,3,0,0,16,47,3,9,8,6,6,5,0,0,18,55,5,4,3,12,17,8,0,4,12,68,8,3,8,7,23,18,3,3,15,88,0,3,3,4,9,14,5,0,11,57,3,3,3,3,15,11,3,3,6,55,0,5,4,0,10,15,6,10,3,44,0,0,0,0,10,18,3,7,4,50,0,0,0,0,0,6,0,0,0,13,0,0,0,0,5,3,0,11,0,21,0,0,5,4,9,10,0,11,64,109,37,84,57,51,106,116,27,50,195,727,50,74,27,14,21,22,4,27,26,264,210,1239,50,6,9,10,0,8,13,1564,164,1200,149,29,17,24,5,6,22,1618,150,1010,305,50,40,38,8,33,26,1666,138,992,530,92,77,66,6,35,34,1973,223,967,1140,275,225,182,35,76,48,3167,233,763,1171,639,653,386,70,106,56,4063
LGA20740,4,7,0,0,0,0,0,0,4,11,0,3,4,0,0,0,0,0,4,9,6,0,0,7,3,4,0,0,4,24,0,5,0,5,6,0,3,3,7,36,4,0,4,3,4,0,0,4,5,31,0,0,0,0,5,0,0,0,4,8,5,0,0,0,0,0,0,0,3,13,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,6,0,0,0,0,0,4,0,18,25,41,26,13,15,30,33,10,9,68,244,13,28,11,8,6,14,9,17,12,102,132,330,18,3,5,0,0,6,18,511,78,299,43,17,3,8,0,11,12,481,58,325,83,18,19,14,3,28,13,558,88,318,190,45,36,30,10,18,17,755,119,421,402,93,87,88,14,33,29,1294,128,299,357,225,197,144,25,65,34,1480
LGA20830,0,3,0,0,0,0,0,3,6,15,0,4,3,0,3,0,0,3,6,16,0,3,6,0,0,3,0,0,12,27,3,3,5,0,4,10,0,3,6,38,0,0,0,5,10,9,3,6,5,38,0,0,0,0,4,5,3,4,4,28,0,0,0,0,0,9,0,0,3,21,0,0,0,0,0,3,0,3,9,15,0,0,0,0,3,0,0,0,3,17,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,6,3,12,0,0,0,0,5,6,5,0,23,47,19,36,21,10,38,43,9,37,92,311,18,51,7,9,12,20,0,43,10,172,91,587,26,11,7,6,0,16,15,752,70,577,91,16,16,9,0,32,12,824,76,400,121,35,23,37,3,33,19,753,68,409,227,64,56,48,16,56,28,976,117,460,512,154,163,132,29,98,35,1705,128,333,539,322,408,224,29,121,50,2153
LGA20910,0,9,4,4,0,0,0,0,4,19,0,6,10,7,3,0,0,0,4,25,0,5,4,6,4,5,0,0,9,30,4,5,10,3,9,12,3,0,12,61,3,0,3,3,10,8,6,9,10,55,5,9,3,0,4,6,0,4,4,37,0,8,0,4,13,14,0,5,6,51,0,3,0,0,4,4,0,5,3,22,0,0,6,0,5,5,0,7,10,38,0,4,0,0,6,0,0,4,0,19,0,18,12,0,0,7,6,11,6,58,5,0,0,0,5,9,0,3,47,77,27,83,74,25,70,72,24,49,139,563,26,88,24,11,16,30,4,22,16,238,193,982,29,4,13,8,0,3,12,1243,161,931,120,25,13,17,3,17,10,1302,124,748,180,44,25,37,5,18,25,1198,113,745,398,53,43,54,4,29,20,1461,154,761,763,181,134,119,24,54,27,2210,154,593,764,406,361,234,37,76,34,2652
LGA21010,7,0,0,0,0,0,0,0,5,12,0,0,6,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,4,9,0,0,0,0,3,0,0,0,4,15,0,0,0,3,3,6,0,0,6,19,0,0,0,0,4,4,0,3,0,11,0,0,0,0,0,3,0,0,0,7,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,3,9,15,10,6,8,3,19,19,5,13,43,130,6,12,3,6,0,10,0,12,0,52,28,102,4,0,0,3,0,4,10,156,19,127,17,3,9,6,0,17,6,198,20,107,35,12,11,16,3,20,4,214,15,87,66,13,19,23,10,26,15,267,36,115,165,36,47,32,8,40,17,486,34,107,116,105,110,75,18,42,10,605
LGA21110,5,14,16,4,3,5,0,0,12,58,3,20,13,4,6,4,0,3,20,78,3,17,17,10,13,4,0,3,27,91,8,16,16,4,24,13,3,3,29,124,3,8,12,10,36,34,6,7,20,135,8,9,13,4,25,28,3,11,9,115,8,11,6,8,27,20,7,6,12,108,0,7,4,5,18,25,3,10,17,91,3,10,3,8,23,25,7,14,10,107,0,9,4,4,4,6,4,11,3,42,3,18,7,3,4,25,4,14,8,86,4,7,4,4,22,17,3,5,122,183,72,177,137,76,199,223,43,100,348,1373,61,134,53,21,39,53,6,48,40,454,383,1821,85,17,11,26,5,18,21,2386,263,1994,240,55,25,42,7,23,33,2688,237,1696,489,73,33,79,10,37,51,2701,203,1523,828,131,79,75,8,39,44,2927,257,1589,1569,369,230,226,32,100,72,4441,276,1235,1665,736,678,412,65,143,85,5285
LGA21180,4,14,15,5,3,5,0,0,26,78,4,10,22,16,10,8,0,0,41,105,3,15,25,23,42,20,0,11,37,168,0,13,18,22,77,32,0,12,52,229,12,12,15,8,66,53,14,12,42,236,5,4,0,8,63,50,10,17,28,176,5,3,0,4,37,35,8,20,15,126,0,0,0,6,35,24,0,17,12,92,3,0,3,0,14,20,3,18,14,80,0,0,0,0,5,3,0,5,0,13,0,5,3,0,0,11,0,3,12,34,3,7,4,8,29,20,4,16,150,240,79,152,122,105,368,285,46,132,493,1790,98,164,45,23,46,54,18,35,61,545,282,1521,64,17,19,18,4,11,37,1976,227,1544,237,44,35,25,3,16,43,2178,190,1260,514,94,85,46,9,38,61,2297,191,1129,1019,172,180,151,32,39,84,3001,282,1222,1743,533,481,353,63,106,126,4901,309,937,1644,1011,1591,856,120,200,139,6807
