POW_LGA_CODE_2021,Tot_800_999_H_0,Tot_800_999_H_1_19,Tot_800_999_H_20_29,Tot_800_999_H_30_34,Tot_800_999_H_35_39,Tot_800_999_H_40_44,Tot_800_999_H_45_49,Tot_800_999_H_50ov,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_19,Tot_1000_1249_H_20_29,Tot_1000_1249_H_30_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40_44,Tot_1000_1249_H_45_49,Tot_1000_1249_H_50ov,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_19,Tot_1250_1499_H_20_29,Tot_1250_1499_H_30_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40_44,Tot_1250_1499_H_45_49,Tot_1250_1499_H_50ov,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_19,Tot_1500_1749_H_20_29,Tot_1500_1749_H_30_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40_44,Tot_1500_1749_H_45_49,Tot_1500_1749_H_50ov,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_19,Tot_1750_1999_H_20_29,Tot_1750_1999_H_30_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40_44,Tot_1750_1999_H_45_49,Tot_1750_1999_H_50ov,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_19,Tot_2000_2999_H_20_29,Tot_2000_2999_H_30_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40_44,Tot_2000_2999_H_45_49,Tot_2000_2999_H_50ov,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000_3499_H_0,Tot_3000_3499_H_1_19,Tot_3000_3499_H_20_29,Tot_3000_3499_H_30_34,Tot_3000_3499_H_35_39,Tot_3000_3499_H_40_44,Tot_3000_3499_H_45_49,Tot_3000_3499_H_50ov,Tot_3000_3499_H_NS,Tot_3000_3499_H_Tot,Tot_3500mo_H_0,Tot_3500mo_H_1_19,Tot_3500mo_H_20_29,Tot_3500mo_H_30_34,Tot_3500mo_H_35_39,Tot_3500mo_H_40_44,Tot_3500mo_H_45_49,Tot_3500mo_H_50ov,Tot_3500mo_H_NS,Tot_3500mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_19,Tot_PINS_H_20_29,Tot_PINS_H_30_34,Tot_PINS_H_35_39,Tot_PINS_H_40_44,Tot_PINS_H_45_49,Tot_PINS_H_50ov,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_19,Tot_Tot_H_20_29,Tot_Tot_H_30_34,Tot_Tot_H_35_39,Tot_Tot_H_40_44,Tot_Tot_H_45_49,Tot_Tot_H_50ov,Tot_Tot_H_NS,Tot_Tot_H_Tot
LGA20110,40,93,121,115,168,105,32,51,10,738,38,64,97,88,171,147,42,98,7,743,20,27,51,47,97,118,33,72,9,467,17,25,18,31,78,89,39,94,6,389,6,9,19,18,49,61,21,52,0,239,22,11,19,26,86,107,37,88,4,399,4,3,4,8,10,11,6,18,0,62,6,10,10,15,14,22,11,40,4,121,5,6,7,0,8,4,0,11,10,54,369,949,753,524,836,806,257,647,115,5264
LGA20260,24,52,78,111,172,183,41,76,10,745,41,43,64,82,195,188,50,104,17,782,24,18,26,41,130,150,51,105,3,548,33,13,22,35,98,157,35,108,6,503,29,12,12,16,68,107,31,62,3,338,25,16,15,16,65,133,36,87,0,387,7,5,0,0,0,12,3,26,0,57,5,6,10,0,4,17,8,34,0,80,5,3,5,0,5,13,0,10,21,67,306,702,551,468,926,1126,295,736,100,5211
LGA20570,299,602,1104,1040,2190,1240,226,332,86,7119,311,448,883,948,2421,2011,440,543,89,8097,235,170,467,577,1615,1598,447,605,44,5756,230,134,263,442,1203,1339,400,671,48,4718,143,70,148,220,756,1005,367,614,19,3352,227,111,138,175,885,1402,672,1260,36,4906,42,32,30,41,115,215,126,298,3,895,50,64,53,67,165,304,145,566,14,1427,17,64,38,23,65,71,12,34,145,470,3035,8577,7019,5035,10960,10166,3051,5350,791,53983
LGA20660,234,619,1031,833,1305,824,152,211,76,5266,277,445,891,989,1545,1491,257,340,70,6301,215,248,556,739,1242,1355,290,374,39,5068,185,168,323,576,1157,1424,322,470,36,4664,146,99,175,323,764,1095,284,493,14,3383,195,154,207,254,819,1613,544,1081,20,4890,29,55,66,55,101,271,118,305,11,1009,45,68,108,120,151,437,177,665,14,1781,14,58,38,33,62,78,17,39,148,484,2516,8173,6762,5022,8183,9325,2275,4272,648,47174
LGA20740,82,214,276,248,410,283,59,72,33,1680,82,129,210,193,476,395,61,137,22,1703,51,62,108,124,241,301,63,112,16,1075,46,47,58,95,196,252,62,130,17,893,24,23,30,43,107,172,49,122,10,591,44,22,29,43,139,311,91,214,10,904,5,4,13,12,18,45,12,53,0,163,8,21,17,19,24,60,22,89,9,273,11,17,27,7,19,15,3,17,36,159,976,2558,1871,1210,1991,2120,487,1131,275,12622
LGA20830,93,266,451,425,699,463,90,199,53,2732,94,156,299,282,723,635,172,288,27,2681,89,86,147,179,457,493,141,286,25,1903,65,52,84,126,304,398,134,320,19,1499,34,34,39,69,193,251,97,273,14,1011,48,49,49,58,229,342,169,425,15,1380,11,13,10,10,26,68,14,81,4,243,8,20,29,32,36,94,38,179,12,454,11,40,25,15,36,55,7,54,70,301,1030,3537,2663,1802,3391,3280,949,2497,405,19545
LGA20910,144,493,725,487,813,522,81,156,50,3469,136,352,590,502,1069,887,175,247,41,3993,106,219,333,312,836,847,191,294,27,3169,94,173,243,271,623,772,225,344,17,2753,55,112,157,157,452,581,170,310,24,2012,91,172,208,202,527,1008,392,885,30,3514,18,68,58,56,131,239,99,272,7,942,46,161,164,142,164,555,213,893,15,2360,20,45,26,14,41,46,13,35,113,361,1646,6646,4780,2858,5248,5949,1615,3658,483,32884
LGA21010,30,65,103,105,216,186,28,75,21,835,34,46,57,88,220,239,52,98,19,850,21,27,35,60,140,157,41,118,8,608,32,21,31,45,114,132,52,88,7,524,18,13,10,16,77,98,23,94,9,357,24,5,15,22,97,148,64,180,9,567,5,0,0,0,4,17,3,38,0,74,4,6,5,9,9,22,7,71,3,129,4,6,8,3,7,6,0,18,21,73,321,844,660,517,1084,1164,317,940,155,6003
LGA21110,260,899,1517,973,1587,999,152,228,96,6718,305,711,1156,948,2537,1980,353,409,90,8492,248,458,701,730,2223,2121,483,574,61,7600,223,369,560,614,1993,2279,519,744,53,7359,180,252,311,404,1370,1851,457,749,53,5625,291,372,428,528,2181,4034,1257,2476,37,11598,64,132,143,114,383,1013,342,841,18,3041,89,285,280,245,504,1558,633,2556,34,6194,34,87,67,21,94,108,26,60,222,716,3372,13557,10089,5991,13960,16853,4347,9052,1002,78222
LGA21180,342,793,1370,1223,3587,2175,361,433,226,10510,396,567,1066,1045,4041,3426,687,858,187,12275,299,300,518,676,2857,2821,672,962,111,9213,237,179,324,553,2135,2268,708,1165,83,7657,178,138,160,266,1281,1677,554,1025,53,5318,221,116,157,227,1386,2322,882,1827,65,7199,27,27,51,45,173,376,175,487,7,1362,51,61,75,80,198,481,196,767,31,1939,28,61,59,39,139,144,17,77,362,923,3346,10015,9040,6043,18234,17180,4495,8058,1682,78096
