POW_LGA_CODE_2021,Ad_Dip_300_399_Mng,Ad_Dip_300_399_Pro,Ad_Dip_300_399_TecTW,Ad_Dip_300_399_CoPSW,Ad_Dip_300_399_ClAW,Ad_Dip_300_399_SWks,Ad_Dip_300_399_MaOpDv,Ad_Dip_300_399_Lab,Ad_Dip_300_399_IDNS,Ad_Dip_300_399_Tot,Ad_Dip_400_499_Mng,Ad_Dip_400_499_Pro,Ad_Dip_400_499_TecTW,Ad_Dip_400_499_CoPSW,Ad_Dip_400_499_ClAW,Ad_Dip_400_499_SWks,Ad_Dip_400_499_MaOpDv,Ad_Dip_400_499_Lab,Ad_Dip_400_499_IDNS,Ad_Dip_400_499_Tot,Ad_Dip_500_649_Mng,Ad_Dip_500_649_Pro,Ad_Dip_500_649_TecTW,Ad_Dip_500_649_CoPSW,Ad_Dip_500_649_ClAW,Ad_Dip_500_649_SWks,Ad_Dip_500_649_MaOpDv,Ad_Dip_500_649_Lab,Ad_Dip_500_649_IDNS,Ad_Dip_500_649_Tot,Ad_Dip_650_799_Mng,Ad_Dip_650_799_Pro,Ad_Dip_650_799_TecTW,Ad_Dip_650_799_CoPSW,Ad_Dip_650_799_ClAW,Ad_Dip_650_799_SWks,Ad_Dip_650_799_MaOpDv,Ad_Dip_650_799_Lab,Ad_Dip_650_799_IDNS,Ad_Dip_650_799_Tot,Ad_Dip_800_999_Mng,Ad_Dip_800_999_Pro,Ad_Dip_800_999_TecTW,Ad_Dip_800_999_CoPSW,Ad_Dip_800_999_ClAW,Ad_Dip_800_999_SWks,Ad_Dip_800_999_MaOpDv,Ad_Dip_800_999_Lab,Ad_Dip_800_999_IDNS,Ad_Dip_800_999_Tot,Ad_Dip_1000_1249_Mng,Ad_Dip_1000_1249_Pro,Ad_Dip_1000_1249_TecTW,Ad_Dip_1000_1249_CoPSW,Ad_Dip_1000_1249_ClAW,Ad_Dip_1000_1249_SWks,Ad_Dip_1000_1249_MaOpDv,Ad_Dip_1000_1249_Lab,Ad_Dip_1000_1249_IDNS,Ad_Dip_1000_1249_Tot,Ad_Dip_1250_1499_Mng,Ad_Dip_1250_1499_Pro,Ad_Dip_1250_1499_TecTW,Ad_Dip_1250_1499_CoPSW,Ad_Dip_1250_1499_ClAW,Ad_Dip_1250_1499_SWks,Ad_Dip_1250_1499_MaOpDv,Ad_Dip_1250_1499_Lab,Ad_Dip_1250_1499_IDNS,Ad_Dip_1250_1499_Tot,Ad_Dip_1500_1749_Mng,Ad_Dip_1500_1749_Pro,Ad_Dip_1500_1749_TecTW,Ad_Dip_1500_1749_CoPSW,Ad_Dip_1500_1749_ClAW,Ad_Dip_1500_1749_SWks,Ad_Dip_1500_1749_MaOpDv,Ad_Dip_1500_1749_Lab,Ad_Dip_1500_1749_IDNS,Ad_Dip_1500_1749_Tot,Ad_Dip_1750_1999_Mng,Ad_Dip_1750_1999_Pro,Ad_Dip_1750_1999_TecTW,Ad_Dip_1750_1999_CoPSW,Ad_Dip_1750_1999_ClAW,Ad_Dip_1750_1999_SWks,Ad_Dip_1750_1999_MaOpDv,Ad_Dip_1750_1999_Lab,Ad_Dip_1750_1999_IDNS,Ad_Dip_1750_1999_Tot,Ad_Dip_2000_2999_Mng,Ad_Dip_2000_2999_Pro,Ad_Dip_2000_2999_TecTW,Ad_Dip_2000_2999_CoPSW,Ad_Dip_2000_2999_ClAW,Ad_Dip_2000_2999_SWks,Ad_Dip_2000_2999_MaOpDv,Ad_Dip_2000_2999_Lab,Ad_Dip_2000_2999_IDNS,Ad_Dip_2000_2999_Tot,Ad_Dip_3000_3499_Mng,Ad_Dip_3000_3499_Pro,Ad_Dip_3000_3499_TecTW,Ad_Dip_3000_3499_CoPSW,Ad_Dip_3000_3499_ClAW,Ad_Dip_3000_3499_SWks,Ad_Dip_3000_3499_MaOpDv,Ad_Dip_3000_3499_Lab,Ad_Dip_3000_3499_IDNS,Ad_Dip_3000_3499_Tot,Ad_Dip_3500mo_Mng,Ad_Dip_3500mo_Pro,Ad_Dip_3500mo_TecTW,Ad_Dip_3500mo_CoPSW,Ad_Dip_3500mo_ClAW,Ad_Dip_3500mo_SWks,Ad_Dip_3500mo_MaOpDv,Ad_Dip_3500mo_Lab,Ad_Dip_3500mo_IDNS,Ad_Dip_3500mo_Tot,Ad_Dip_PINS_Mng,Ad_Dip_PINS_Pro,Ad_Dip_PINS_TecTW,Ad_Dip_PINS_CoPSW,Ad_Dip_PINS_ClAW,Ad_Dip_PINS_SWks,Ad_Dip_PINS_MaOpDv,Ad_Dip_PINS_Lab,Ad_Dip_PINS_IDNS,Ad_Dip_PINS_Tot,Ad_Dip_Tot_Mng,Ad_Dip_Tot_Pro,Ad_Dip_Tot_TecTW,Ad_Dip_Tot_CoPSW,Ad_Dip_Tot_ClAW,Ad_Dip_Tot_SWks,Ad_Dip_Tot_MaOpDv,Ad_Dip_Tot_Lab,Ad_Dip_Tot_IDNS,Ad_Dip_Tot_Tot,CL_nfd_NNI_Mng,CL_nfd_NNI_Pro,CL_nfd_NNI_TecTW,CL_nfd_NNI_CoPSW,CL_nfd_NNI_ClAW,CL_nfd_NNI_SWks,CL_nfd_NNI_MaOpDv,CL_nfd_NNI_Lab,CL_nfd_NNI_IDNS,CL_nfd_NNI_Tot,CL_nfd_1_149_Mng,CL_nfd_1_149_Pro,CL_nfd_1_149_TecTW,CL_nfd_1_149_CoPSW,CL_nfd_1_149_ClAW,CL_nfd_1_149_SWks,CL_nfd_1_149_MaOpDv,CL_nfd_1_149_Lab,CL_nfd_1_149_IDNS,CL_nfd_1_149_Tot,CL_nfd_150_299_Mng,CL_nfd_150_299_Pro,CL_nfd_150_299_TecTW,CL_nfd_150_299_CoPSW,CL_nfd_150_299_ClAW,CL_nfd_150_299_SWks,CL_nfd_150_299_MaOpDv,CL_nfd_150_299_Lab,CL_nfd_150_299_IDNS,CL_nfd_150_299_Tot,CL_nfd_300_399_Mng,CL_nfd_300_399_Pro,CL_nfd_300_399_TecTW,CL_nfd_300_399_CoPSW,CL_nfd_300_399_ClAW,CL_nfd_300_399_SWks,CL_nfd_300_399_MaOpDv,CL_nfd_300_399_Lab,CL_nfd_300_399_IDNS,CL_nfd_300_399_Tot,CL_nfd_400_499_Mng,CL_nfd_400_499_Pro,CL_nfd_400_499_TecTW,CL_nfd_400_499_CoPSW,CL_nfd_400_499_ClAW,CL_nfd_400_499_SWks,CL_nfd_400_499_MaOpDv,CL_nfd_400_499_Lab,CL_nfd_400_499_IDNS,CL_nfd_400_499_Tot,CL_nfd_500_649_Mng,CL_nfd_500_649_Pro,CL_nfd_500_649_TecTW,CL_nfd_500_649_CoPSW,CL_nfd_500_649_ClAW,CL_nfd_500_649_SWks,CL_nfd_500_649_MaOpDv,CL_nfd_500_649_Lab,CL_nfd_500_649_IDNS,CL_nfd_500_649_Tot
LGA20110,12,3,0,3,0,4,0,8,0,26,4,8,4,9,3,4,0,7,0,39,13,0,4,10,6,4,3,6,0,54,15,10,5,13,8,13,4,13,0,85,13,14,14,30,20,3,5,9,0,110,16,14,23,23,15,6,0,0,0,96,15,8,4,12,5,7,3,4,0,59,23,7,5,3,10,4,3,4,0,58,8,6,0,0,7,0,0,0,0,23,15,12,6,9,0,3,5,0,0,60,0,0,0,4,0,0,0,0,0,0,3,5,0,5,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,4,146,91,80,126,78,58,19,57,6,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,5,3,0,11
LGA20260,8,5,0,4,0,0,0,0,0,24,0,0,0,4,9,0,0,4,0,21,12,4,0,12,8,0,6,6,0,41,14,8,4,10,9,5,0,8,0,55,11,8,11,20,10,4,10,11,0,78,5,15,4,25,14,3,5,3,0,78,22,12,5,18,15,0,5,0,0,85,16,13,3,20,9,0,0,0,0,70,12,11,0,31,3,0,0,6,0,63,11,14,0,21,4,4,3,3,0,58,7,0,0,0,0,0,0,0,0,9,5,4,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,5,140,93,36,172,83,26,23,41,5,617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,6
LGA20570,15,12,11,45,32,40,4,22,0,171,10,27,27,81,42,29,3,22,0,248,23,52,27,142,65,36,9,36,3,385,44,56,51,212,105,48,21,32,8,584,48,100,92,263,180,59,23,38,3,802,91,169,146,295,249,44,39,37,13,1077,99,170,68,165,152,28,22,23,13,745,132,144,56,111,120,26,17,17,6,629,94,125,24,71,66,12,6,7,4,414,175,122,60,96,75,14,12,5,10,571,51,15,12,8,12,5,4,6,0,113,43,31,5,6,4,12,0,0,0,108,6,4,0,7,0,0,0,0,7,29,851,1052,599,1555,1109,388,162,252,60,6033,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,3,0,0,7,5,8,0,3,0,19,0,0,0,7,6,12,0,4,0,31,0,4,5,8,8,8,0,0,0,37,8,0,3,17,18,12,6,12,0,73
LGA20660,12,21,19,61,35,30,6,14,6,197,16,36,23,86,33,35,3,31,3,259,32,61,46,134,70,36,15,37,0,418,32,61,75,172,102,26,11,45,3,535,49,96,96,240,118,39,19,33,10,702,88,159,137,225,175,23,32,37,9,887,71,116,92,115,110,20,19,11,8,561,84,157,71,113,81,15,9,13,10,547,86,112,51,55,49,10,5,3,3,368,131,141,56,68,44,8,3,6,8,466,29,20,15,0,3,3,0,0,0,82,47,31,3,6,13,10,0,0,3,107,3,0,11,13,9,5,0,4,8,45,693,1047,702,1357,878,276,125,253,72,5413,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,6,0,3,0,20,0,0,0,0,7,0,0,4,0,16,0,0,0,9,7,0,0,3,0,27,0,0,0,13,19,4,7,4,0,50,0,3,4,17,13,9,0,15,0,62
LGA20740,7,11,0,22,12,0,0,9,0,66,5,6,9,20,11,10,0,14,0,72,15,13,11,40,31,20,3,11,0,142,21,19,21,60,30,24,5,19,4,197,27,35,33,71,43,14,5,13,0,241,40,37,43,47,47,18,4,9,0,232,23,36,21,28,30,8,4,3,0,147,22,26,9,17,20,11,0,0,3,110,17,12,9,17,9,0,0,0,0,66,28,23,13,40,4,0,0,0,0,116,11,0,0,0,0,0,3,0,0,24,10,7,0,0,5,3,0,0,3,26,0,0,0,0,0,0,0,0,0,3,236,220,173,381,239,126,23,80,15,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,9,7,0,0,6,3,0,0,0,0,11,0,0,0,0,3,7,0,3,0,19,0,0,0,7,6,3,0,7,0,23
LGA20830,14,9,13,25,9,10,0,7,0,80,22,16,3,34,17,10,3,12,0,119,18,32,15,69,35,17,0,20,0,215,30,27,19,89,32,14,7,30,3,256,42,45,27,105,57,28,10,28,0,341,51,57,32,92,67,21,9,16,6,348,34,49,31,47,49,8,4,7,3,226,34,45,12,22,30,17,3,8,0,169,34,27,10,22,22,12,0,6,0,136,56,43,8,33,9,10,4,7,3,164,15,5,3,3,3,0,0,0,0,32,22,6,0,3,4,3,0,0,0,46,4,0,0,4,0,0,0,6,0,17,391,371,185,572,352,156,37,154,26,2235,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,4,0,0,0,9,0,0,0,0,3,0,0,4,0,10,0,3,0,5,3,4,0,0,0,20,3,0,3,0,3,0,0,5,0,18,6,0,4,18,9,3,3,9,0,48
LGA20910,6,14,15,35,28,16,4,0,0,121,16,24,14,67,43,24,0,9,0,204,22,32,30,105,54,32,5,21,0,313,22,49,51,162,67,26,8,24,6,408,42,71,100,192,92,38,18,28,3,588,76,110,116,156,103,33,18,26,14,647,64,83,80,78,70,26,6,9,3,416,71,84,46,54,64,26,5,8,3,365,73,81,21,41,32,23,3,4,5,282,115,122,30,47,35,28,3,5,5,377,34,28,8,3,11,15,5,0,4,100,87,66,11,3,15,18,0,0,4,214,0,8,0,8,4,0,0,0,4,29,632,806,547,1003,637,339,81,148,55,4246,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,0,0,0,8,6,0,0,4,0,22,0,0,3,6,5,0,0,0,0,17,5,4,3,9,9,8,0,4,0,42,5,0,0,26,7,4,0,5,0,50
LGA21010,6,4,0,3,0,0,0,0,0,25,7,4,5,7,3,3,0,4,0,19,6,7,5,23,6,0,0,5,0,50,13,7,5,25,13,0,0,3,0,63,13,17,13,20,11,12,9,8,0,100,16,9,14,29,14,0,7,13,0,98,12,21,5,6,18,4,4,6,3,73,20,22,0,20,9,3,0,0,0,74,20,11,3,21,11,0,0,3,0,67,29,15,8,18,6,0,0,5,7,72,4,0,0,0,0,0,0,0,0,7,9,3,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,7,160,114,51,180,97,25,18,41,10,702,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,0,3,0,15
LGA21110,27,24,23,80,50,38,3,34,5,286,19,57,27,122,62,45,5,27,5,379,51,62,55,187,102,74,11,41,9,599,50,72,83,256,119,79,14,63,8,748,95,135,136,265,166,66,32,43,15,962,150,176,183,268,258,86,14,47,10,1179,151,204,128,142,227,58,15,17,20,961,162,256,96,108,173,40,7,7,10,855,168,172,47,65,131,47,11,7,8,648,364,345,81,61,137,80,5,9,13,1098,113,77,15,8,24,20,0,7,4,263,215,125,18,4,31,28,0,5,3,426,14,6,5,13,9,3,0,4,10,57,1608,1753,921,1669,1543,721,133,338,125,8806,3,0,0,3,0,3,0,0,4,11,0,0,0,4,0,3,0,0,0,14,0,0,4,8,3,0,0,6,0,29,3,3,3,12,3,0,0,3,0,29,4,0,5,15,13,10,0,6,0,49,5,0,5,19,23,3,0,15,0,71
LGA21180,11,21,15,55,42,31,14,24,0,216,17,22,27,76,39,48,33,34,6,311,22,47,78,170,86,76,45,65,14,605,48,50,80,231,126,70,108,68,16,799,86,86,135,239,233,79,206,117,17,1201,151,125,208,268,262,71,273,85,25,1463,148,145,169,157,224,50,147,54,14,1105,162,151,151,91,160,33,108,33,12,898,129,106,80,79,87,32,48,17,9,595,269,165,101,89,92,33,30,11,9,805,85,28,8,14,10,12,3,0,0,156,110,23,12,5,7,9,0,5,0,183,17,7,6,12,5,0,3,0,7,60,1277,1005,1095,1569,1411,591,1045,557,137,8687,0,0,0,5,0,0,0,0,0,10,0,0,5,7,3,0,0,0,0,23,0,0,4,8,9,8,0,9,0,28,0,5,3,3,4,7,0,10,0,35,3,0,10,18,10,11,7,9,0,69,5,0,13,27,24,19,11,20,0,121
