POW_LGA_CODE_2021,CL_nfd_650_799_Mng,CL_nfd_650_799_Pro,CL_nfd_650_799_TecTW,CL_nfd_650_799_CoPSW,CL_nfd_650_799_ClAW,CL_nfd_650_799_SWks,CL_nfd_650_799_MaOpDv,CL_nfd_650_799_Lab,CL_nfd_650_799_IDNS,CL_nfd_650_799_Tot,CL_nfd_800_999_Mng,CL_nfd_800_999_Pro,CL_nfd_800_999_TecTW,CL_nfd_800_999_CoPSW,CL_nfd_800_999_ClAW,CL_nfd_800_999_SWks,CL_nfd_800_999_MaOpDv,CL_nfd_800_999_Lab,CL_nfd_800_999_IDNS,CL_nfd_800_999_Tot,CL_nfd_1000_1249_Mng,CL_nfd_1000_1249_Pro,CL_nfd_1000_1249_TecTW,CL_nfd_1000_1249_CoPSW,CL_nfd_1000_1249_ClAW,CL_nfd_1000_1249_SWks,CL_nfd_1000_1249_MaOpDv,CL_nfd_1000_1249_Lab,CL_nfd_1000_1249_IDNS,CL_nfd_1000_1249_Tot,CL_nfd_1250_1499_Mng,CL_nfd_1250_1499_Pro,CL_nfd_1250_1499_TecTW,CL_nfd_1250_1499_CoPSW,CL_nfd_1250_1499_ClAW,CL_nfd_1250_1499_SWks,CL_nfd_1250_1499_MaOpDv,CL_nfd_1250_1499_Lab,CL_nfd_1250_1499_IDNS,CL_nfd_1250_1499_Tot,CL_nfd_1500_1749_Mng,CL_nfd_1500_1749_Pro,CL_nfd_1500_1749_TecTW,CL_nfd_1500_1749_CoPSW,CL_nfd_1500_1749_ClAW,CL_nfd_1500_1749_SWks,CL_nfd_1500_1749_MaOpDv,CL_nfd_1500_1749_Lab,CL_nfd_1500_1749_IDNS,CL_nfd_1500_1749_Tot,CL_nfd_1750_1999_Mng,CL_nfd_1750_1999_Pro,CL_nfd_1750_1999_TecTW,CL_nfd_1750_1999_CoPSW,CL_nfd_1750_1999_ClAW,CL_nfd_1750_1999_SWks,CL_nfd_1750_1999_MaOpDv,CL_nfd_1750_1999_Lab,CL_nfd_1750_1999_IDNS,CL_nfd_1750_1999_Tot,CL_nfd_2000_2999_Mng,CL_nfd_2000_2999_Pro,CL_nfd_2000_2999_TecTW,CL_nfd_2000_2999_CoPSW,CL_nfd_2000_2999_ClAW,CL_nfd_2000_2999_SWks,CL_nfd_2000_2999_MaOpDv,CL_nfd_2000_2999_Lab,CL_nfd_2000_2999_IDNS,CL_nfd_2000_2999_Tot,CL_nfd_3000_3499_Mng,CL_nfd_3000_3499_Pro,CL_nfd_3000_3499_TecTW,CL_nfd_3000_3499_CoPSW,CL_nfd_3000_3499_ClAW,CL_nfd_3000_3499_SWks,CL_nfd_3000_3499_MaOpDv,CL_nfd_3000_3499_Lab,CL_nfd_3000_3499_IDNS,CL_nfd_3000_3499_Tot,CL_nfd_3500mo_Mng,CL_nfd_3500mo_Pro,CL_nfd_3500mo_TecTW,CL_nfd_3500mo_CoPSW,CL_nfd_3500mo_ClAW,CL_nfd_3500mo_SWks,CL_nfd_3500mo_MaOpDv,CL_nfd_3500mo_Lab,CL_nfd_3500mo_IDNS,CL_nfd_3500mo_Tot,CL_nfd_PINS_Mng,CL_nfd_PINS_Pro,CL_nfd_PINS_TecTW,CL_nfd_PINS_CoPSW,CL_nfd_PINS_ClAW,CL_nfd_PINS_SWks,CL_nfd_PINS_MaOpDv,CL_nfd_PINS_Lab,CL_nfd_PINS_IDNS,CL_nfd_PINS_Tot,CL_nfd_Tot_Mng,CL_nfd_Tot_Pro,CL_nfd_Tot_TecTW,CL_nfd_Tot_CoPSW,CL_nfd_Tot_ClAW,CL_nfd_Tot_SWks,CL_nfd_Tot_MaOpDv,CL_nfd_Tot_Lab,CL_nfd_Tot_IDNS,CL_nfd_Tot_Tot,CIII_IV_NNI_Mng,CIII_IV_NNI_Pro,CIII_IV_NNI_TecTW,CIII_IV_NNI_CoPSW,CIII_IV_NNI_ClAW,CIII_IV_NNI_SWks,CIII_IV_NNI_MaOpDv,CIII_IV_NNI_Lab,CIII_IV_NNI_IDNS,CIII_IV_NNI_Tot,CIII_IV_1_149_Mng,CIII_IV_1_149_Pro,CIII_IV_1_149_TecTW,CIII_IV_1_149_CoPSW,CIII_IV_1_149_ClAW,CIII_IV_1_149_SWks,CIII_IV_1_149_MaOpDv,CIII_IV_1_149_Lab,CIII_IV_1_149_IDNS,CIII_IV_1_149_Tot,CIII_IV_150_299_Mng,CIII_IV_150_299_Pro,CIII_IV_150_299_TecTW,CIII_IV_150_299_CoPSW,CIII_IV_150_299_ClAW,CIII_IV_150_299_SWks,CIII_IV_150_299_MaOpDv,CIII_IV_150_299_Lab,CIII_IV_150_299_IDNS,CIII_IV_150_299_Tot,CIII_IV_300_399_Mng,CIII_IV_300_399_Pro,CIII_IV_300_399_TecTW,CIII_IV_300_399_CoPSW,CIII_IV_300_399_ClAW,CIII_IV_300_399_SWks,CIII_IV_300_399_MaOpDv,CIII_IV_300_399_Lab,CIII_IV_300_399_IDNS,CIII_IV_300_399_Tot,CIII_IV_400_499_Mng,CIII_IV_400_499_Pro,CIII_IV_400_499_TecTW,CIII_IV_400_499_CoPSW,CIII_IV_400_499_ClAW,CIII_IV_400_499_SWks,CIII_IV_400_499_MaOpDv,CIII_IV_400_499_Lab,CIII_IV_400_499_IDNS,CIII_IV_400_499_Tot,CIII_IV_500_649_Mng,CIII_IV_500_649_Pro,CIII_IV_500_649_TecTW,CIII_IV_500_649_CoPSW,CIII_IV_500_649_ClAW,CIII_IV_500_649_SWks,CIII_IV_500_649_MaOpDv,CIII_IV_500_649_Lab,CIII_IV_500_649_IDNS,CIII_IV_500_649_Tot,CIII_IV_650_799_Mng,CIII_IV_650_799_Pro,CIII_IV_650_799_TecTW,CIII_IV_650_799_CoPSW,CIII_IV_650_799_ClAW,CIII_IV_650_799_SWks,CIII_IV_650_799_MaOpDv,CIII_IV_650_799_Lab,CIII_IV_650_799_IDNS,CIII_IV_650_799_Tot,CIII_IV_800_999_Mng,CIII_IV_800_999_Pro,CIII_IV_800_999_TecTW,CIII_IV_800_999_CoPSW,CIII_IV_800_999_ClAW,CIII_IV_800_999_SWks,CIII_IV_800_999_MaOpDv,CIII_IV_800_999_Lab,CIII_IV_800_999_IDNS,CIII_IV_800_999_Tot,CIII_IV_1000_1249_Mng,CIII_IV_1000_1249_Pro,CIII_IV_1000_1249_TecTW,CIII_IV_1000_1249_CoPSW,CIII_IV_1000_1249_ClAW,CIII_IV_1000_1249_SWks,CIII_IV_1000_1249_MaOpDv,CIII_IV_1000_1249_Lab,CIII_IV_1000_1249_IDNS,CIII_IV_1000_1249_Tot
LGA20110,6,0,0,4,3,0,0,4,0,25,0,0,0,0,4,0,0,0,0,9,3,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,11,3,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,11,17,15,10,11,10,0,96,0,0,0,3,0,0,0,0,0,9,0,0,0,5,0,0,0,6,0,11,3,0,4,3,4,0,0,5,0,22,3,0,15,5,5,3,4,7,0,46,8,5,15,13,6,11,0,6,0,63,19,3,18,20,9,12,6,13,3,108,30,0,47,33,19,15,8,17,0,179,28,0,70,31,22,9,11,34,0,208,43,7,84,15,14,13,30,29,7,242
LGA20260,0,0,0,5,0,0,0,5,0,9,0,0,0,10,0,0,0,4,0,15,7,0,0,4,3,0,0,4,0,18,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,3,27,12,4,4,8,0,89,6,0,0,6,0,0,0,0,0,12,0,0,4,7,4,0,0,0,0,10,3,0,8,4,0,5,0,0,0,17,4,0,6,5,4,5,0,6,0,31,6,0,11,8,0,7,0,6,0,35,12,0,23,21,10,8,0,12,0,96,23,10,31,32,5,11,12,36,4,154,18,0,31,47,21,3,14,39,3,174,36,14,53,51,24,3,14,23,0,221
LGA20570,3,3,3,30,13,24,7,12,0,90,6,7,9,32,21,12,8,9,0,108,12,8,9,24,30,3,11,4,0,110,9,6,6,22,16,6,3,4,0,75,12,7,8,8,8,3,0,4,0,53,3,6,0,3,5,4,4,4,0,37,6,9,5,5,4,5,4,0,0,39,4,0,0,0,0,4,0,0,0,14,5,0,0,0,0,7,4,0,0,21,0,0,0,0,0,0,0,0,0,3,71,57,56,159,149,98,46,63,0,710,11,0,10,4,9,8,3,0,0,51,8,0,4,13,9,12,0,23,0,77,8,14,35,51,17,35,5,40,0,204,18,15,42,86,33,41,15,39,9,294,24,18,79,113,56,73,15,49,7,439,37,34,197,261,120,135,42,100,5,931,70,27,352,339,200,136,60,152,13,1337,144,65,657,421,283,162,153,198,16,2101,200,89,885,325,349,130,188,211,24,2399
LGA20660,9,5,16,32,15,16,3,9,0,103,6,4,7,41,34,8,5,9,0,118,7,3,11,23,25,3,4,12,0,91,16,4,9,6,17,11,8,3,0,70,8,4,8,11,12,4,0,3,0,47,8,3,0,4,8,0,0,3,3,26,10,11,5,3,11,3,0,4,0,46,0,0,0,0,0,4,0,0,0,14,10,0,0,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,82,45,65,177,163,77,33,72,13,728,5,3,13,3,4,3,3,5,6,35,0,6,15,23,4,10,0,5,0,64,6,9,23,42,6,22,0,23,0,136,6,3,38,69,17,28,9,28,3,208,19,9,60,84,34,19,11,33,0,278,24,18,130,163,62,46,16,51,11,515,35,23,193,209,91,55,30,52,9,686,59,32,309,263,129,39,58,71,13,981,81,47,455,248,135,36,73,62,24,1161
LGA20740,0,0,0,13,5,4,0,3,0,34,3,0,0,10,3,0,0,3,0,22,4,0,4,4,3,3,0,6,0,29,6,3,8,0,5,3,3,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,6,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,34,6,20,44,27,28,9,20,4,197,7,0,4,4,0,0,0,4,3,23,6,0,4,0,3,4,0,0,0,24,9,4,15,11,9,16,3,17,0,76,12,0,27,26,7,18,3,28,4,120,12,4,35,29,10,24,3,24,5,151,26,9,67,73,32,40,7,29,3,295,34,16,103,108,39,44,13,50,3,409,45,22,171,69,51,71,31,57,9,524,72,22,210,52,41,32,35,53,11,529
LGA20830,6,0,0,19,5,0,0,6,0,41,3,8,5,18,9,6,5,9,0,58,5,0,7,16,6,6,6,4,0,51,4,0,0,0,11,0,0,0,0,20,0,0,0,5,0,0,0,0,0,10,0,0,4,0,3,0,0,0,0,9,0,0,0,3,0,8,5,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,40,15,24,92,53,29,20,37,4,322,12,0,0,0,5,0,3,5,5,34,3,4,8,12,4,4,3,11,0,47,13,11,21,35,14,16,0,22,0,127,7,7,38,35,16,22,7,21,0,154,34,3,53,55,23,20,7,38,8,242,43,22,95,114,41,53,15,55,3,441,54,13,135,156,76,39,27,79,9,591,98,24,251,136,105,48,59,127,15,856,114,36,314,98,77,54,79,109,13,882
LGA20910,5,0,5,15,9,0,6,6,5,47,3,13,5,24,13,3,6,12,0,86,11,9,8,16,20,0,3,7,0,75,13,14,4,8,12,4,6,4,0,68,4,7,3,4,8,7,0,0,0,33,3,5,0,4,0,12,0,0,0,29,23,7,4,4,3,6,0,0,0,49,0,0,0,0,0,4,0,0,0,4,13,10,0,0,3,6,0,0,0,28,0,0,0,0,0,0,0,0,0,3,82,73,48,125,99,62,20,53,12,562,5,0,10,3,3,0,0,0,0,31,0,6,6,13,5,3,0,3,0,31,4,8,10,34,7,11,0,5,0,87,0,3,22,35,6,15,0,12,4,100,10,3,44,55,14,11,5,16,3,160,11,10,66,89,37,24,4,22,0,268,26,9,132,143,39,21,9,28,0,418,44,23,213,143,51,28,24,41,9,575,64,29,287,143,105,29,20,49,14,731
LGA21010,0,0,6,0,0,0,0,3,0,14,0,0,0,3,0,0,0,3,0,13,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,9,3,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,6,16,10,10,11,17,6,98,3,0,3,0,0,0,0,0,0,12,0,0,0,4,0,0,0,0,0,13,8,3,0,11,3,6,0,3,0,44,4,0,9,19,3,4,0,4,0,48,5,5,11,15,5,8,0,7,6,59,18,4,21,38,18,17,4,8,3,124,12,0,48,49,18,21,12,11,0,179,31,3,71,41,32,11,28,38,4,266,38,10,107,30,28,21,24,37,5,289
LGA21110,4,3,3,42,15,7,3,15,0,100,11,3,12,34,30,16,3,7,0,115,21,9,14,25,57,18,0,4,0,155,7,10,10,19,44,15,0,10,0,107,26,20,7,13,14,8,0,0,0,91,16,8,7,0,21,11,0,0,0,60,27,34,4,4,29,13,0,0,6,113,5,9,0,6,5,8,0,0,0,33,26,10,0,3,8,11,0,0,0,60,6,0,0,0,5,5,0,0,4,14,151,127,72,211,261,135,11,67,14,1051,5,0,12,3,9,0,0,4,3,36,6,4,6,21,5,4,0,15,0,66,0,11,18,55,18,23,0,19,3,143,12,8,39,91,13,33,4,19,3,226,21,3,47,113,30,33,0,41,5,289,23,21,104,166,67,44,7,47,8,493,40,34,161,220,85,54,6,47,10,644,66,35,270,244,126,50,17,61,10,878,109,71,354,204,167,60,24,55,8,1051
LGA21180,3,8,8,28,28,14,18,23,7,131,10,12,21,41,47,10,45,34,5,226,35,7,25,31,66,21,38,23,5,254,21,13,17,13,42,10,21,11,0,154,25,8,17,10,24,16,16,3,0,126,8,8,11,8,12,5,5,6,0,70,33,10,14,10,8,7,10,4,0,93,7,0,0,0,0,0,0,0,0,10,8,0,0,4,0,3,0,0,0,16,0,0,3,6,3,4,0,0,0,13,163,71,148,218,283,135,187,141,22,1365,7,0,15,6,10,3,0,9,6,57,3,4,17,22,13,11,4,8,3,82,8,0,29,48,23,44,12,33,4,212,14,16,52,65,26,44,19,55,3,293,20,5,101,95,44,44,53,55,10,425,43,19,165,183,81,59,74,101,9,737,46,26,299,241,150,74,146,148,13,1148,106,45,547,267,228,117,362,225,27,1926,189,93,949,228,330,115,441,209,50,2600
