POW_LGA_CODE_2021,HNFA_15_19_EWFT,HNFA_15_19_EWPT,HNFA_15_19_EAFW,HNFA_15_19_EHW_NS,HNFA_15_19_Tot,HNFA_20_24_EWFT,HNFA_20_24_EWPT,HNFA_20_24_EAFW,HNFA_20_24_EHW_NS,HNFA_20_24_Tot,HNFA_25_29_EWFT,HNFA_25_29_EWPT,HNFA_25_29_EAFW,HNFA_25_29_EHW_NS,HNFA_25_29_Tot,HNFA_30_34_EWFT,HNFA_30_34_EWPT,HNFA_30_34_EAFW,HNFA_30_34_EHW_NS,HNFA_30_34_Tot,HNFA_35_39_EWFT,HNFA_35_39_EWPT,HNFA_35_39_EAFW,HNFA_35_39_EHW_NS,HNFA_35_39_Tot,HNFA_40_44_EWFT,HNFA_40_44_EWPT,HNFA_40_44_EAFW,HNFA_40_44_EHW_NS,HNFA_40_44_Tot,HNFA_45_49_EWFT,HNFA_45_49_EWPT,HNFA_45_49_EAFW,HNFA_45_49_EHW_NS,HNFA_45_49_Tot,HNFA_50_54_EWFT,HNFA_50_54_EWPT,HNFA_50_54_EAFW,HNFA_50_54_EHW_NS,HNFA_50_54_Tot,HNFA_55_59_EWFT,HNFA_55_59_EWPT,HNFA_55_59_EAFW,HNFA_55_59_EHW_NS,HNFA_55_59_Tot,HNFA_60_64_EWFT,HNFA_60_64_EWPT,HNFA_60_64_EAFW,HNFA_60_64_EHW_NS,HNFA_60_64_Tot,HNFA_65_69_EWFT,HNFA_65_69_EWPT,HNFA_65_69_EAFW,HNFA_65_69_EHW_NS,HNFA_65_69_Tot,HNFA_70_74_EWFT,HNFA_70_74_EWPT,HNFA_70_74_EAFW,HNFA_70_74_EHW_NS,HNFA_70_74_Tot,HNFA_75ov_EWFT,HNFA_75ov_EWPT,HNFA_75ov_EAFW,HNFA_75ov_EHW_NS,HNFA_75ov_Tot,HNFA_Tot_EWFT,HNFA_Tot_EWPT,HNFA_Tot_EAFW,HNFA_Tot_EHW_NS,HNFA_Tot_Tot,DNHNFA_15_19_EWFT,DNHNFA_15_19_EWPT,DNHNFA_15_19_EAFW,DNHNFA_15_19_EHW_NS,DNHNFA_15_19_Tot,DNHNFA_20_24_EWFT,DNHNFA_20_24_EWPT,DNHNFA_20_24_EAFW,DNHNFA_20_24_EHW_NS,DNHNFA_20_24_Tot,DNHNFA_25_29_EWFT,DNHNFA_25_29_EWPT,DNHNFA_25_29_EAFW,DNHNFA_25_29_EHW_NS,DNHNFA_25_29_Tot,DNHNFA_30_34_EWFT,DNHNFA_30_34_EWPT,DNHNFA_30_34_EAFW,DNHNFA_30_34_EHW_NS,DNHNFA_30_34_Tot,DNHNFA_35_39_EWFT,DNHNFA_35_39_EWPT,DNHNFA_35_39_EAFW,DNHNFA_35_39_EHW_NS,DNHNFA_35_39_Tot,DNHNFA_40_44_EWFT,DNHNFA_40_44_EWPT,DNHNFA_40_44_EAFW,DNHNFA_40_44_EHW_NS,DNHNFA_40_44_Tot,DNHNFA_45_49_EWFT,DNHNFA_45_49_EWPT,DNHNFA_45_49_EAFW,DNHNFA_45_49_EHW_NS,DNHNFA_45_49_Tot,DNHNFA_50_54_EWFT,DNHNFA_50_54_EWPT,DNHNFA_50_54_EAFW,DNHNFA_50_54_EHW_NS,DNHNFA_50_54_Tot,DNHNFA_55_59_EWFT,DNHNFA_55_59_EWPT,DNHNFA_55_59_EAFW,DNHNFA_55_59_EHW_NS,DNHNFA_55_59_Tot,DNHNFA_60_64_EWFT,DNHNFA_60_64_EWPT,DNHNFA_60_64_EAFW,DNHNFA_60_64_EHW_NS,DNHNFA_60_64_Tot,DNHNFA_65_69_EWFT,DNHNFA_65_69_EWPT,DNHNFA_65_69_EAFW,DNHNFA_65_69_EHW_NS,DNHNFA_65_69_Tot,DNHNFA_70_74_EWFT,DNHNFA_70_74_EWPT,DNHNFA_70_74_EAFW,DNHNFA_70_74_EHW_NS,DNHNFA_70_74_Tot,DNHNFA_75ov_EWFT,DNHNFA_75ov_EWPT,DNHNFA_75ov_EAFW,DNHNFA_75ov_EHW_NS,DNHNFA_75ov_Tot,DNHNFA_Tot_EWFT,DNHNFA_Tot_EWPT,DNHNFA_Tot_EAFW,DNHNFA_Tot_EHW_NS,DNHNFA_Tot_Tot,NFANS_15_19_EWFT,NFANS_15_19_EWPT,NFANS_15_19_EAFW,NFANS_15_19_EHW_NS,NFANS_15_19_Tot,NFANS_20_24_EWFT,NFANS_20_24_EWPT,NFANS_20_24_EAFW,NFANS_20_24_EHW_NS,NFANS_20_24_Tot,NFANS_25_29_EWFT,NFANS_25_29_EWPT,NFANS_25_29_EAFW,NFANS_25_29_EHW_NS,NFANS_25_29_Tot,NFANS_30_34_EWFT,NFANS_30_34_EWPT,NFANS_30_34_EAFW,NFANS_30_34_EHW_NS,NFANS_30_34_Tot,NFANS_35_39_EWFT,NFANS_35_39_EWPT,NFANS_35_39_EAFW,NFANS_35_39_EHW_NS,NFANS_35_39_Tot,NFANS_40_44_EWFT,NFANS_40_44_EWPT,NFANS_40_44_EAFW,NFANS_40_44_EHW_NS,NFANS_40_44_Tot,NFANS_45_49_EWFT,NFANS_45_49_EWPT,NFANS_45_49_EAFW,NFANS_45_49_EHW_NS,NFANS_45_49_Tot,NFANS_50_54_EWFT,NFANS_50_54_EWPT,NFANS_50_54_EAFW,NFANS_50_54_EHW_NS,NFANS_50_54_Tot,NFANS_55_59_EWFT,NFANS_55_59_EWPT,NFANS_55_59_EAFW,NFANS_55_59_EHW_NS,NFANS_55_59_Tot,NFANS_60_64_EWFT,NFANS_60_64_EWPT,NFANS_60_64_EAFW,NFANS_60_64_EHW_NS,NFANS_60_64_Tot,NFANS_65_69_EWFT,NFANS_65_69_EWPT,NFANS_65_69_EAFW,NFANS_65_69_EHW_NS,NFANS_65_69_Tot,NFANS_70_74_EWFT,NFANS_70_74_EWPT,NFANS_70_74_EAFW,NFANS_70_74_EHW_NS,NFANS_70_74_Tot
LGA20110,0,4,0,0,4,0,4,0,0,4,0,0,0,0,0,0,3,0,0,5,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,0,0,4,0,5,0,0,0,0,3,0,0,0,0,5,0,6,0,0,6,6,34,7,0,51,40,232,61,8,344,132,152,32,16,337,190,155,29,10,383,219,143,26,13,395,207,179,23,9,429,249,181,19,6,462,350,204,22,7,577,337,189,36,16,577,339,226,31,11,606,268,251,41,6,555,122,155,33,7,325,36,71,7,7,119,22,44,3,6,73,2520,2192,364,116,5182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,4,0,0,0,5
LGA20260,0,8,0,4,5,4,4,0,0,7,0,7,0,0,7,4,3,3,0,7,5,0,3,0,4,0,4,0,0,7,3,0,0,0,4,0,4,3,0,10,8,4,0,0,8,0,0,5,0,5,3,0,0,0,3,0,0,0,0,3,0,5,0,0,3,31,34,13,8,85,75,185,20,9,286,226,114,17,7,361,316,128,34,3,477,318,154,29,3,505,240,141,31,3,422,327,141,25,6,502,360,111,18,7,490,399,156,26,8,590,336,155,29,9,535,237,198,24,13,474,125,101,22,7,248,50,65,8,6,129,23,31,7,8,71,3038,1676,286,92,5092,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0
LGA20570,8,51,12,0,77,16,66,19,3,110,11,52,8,0,74,27,51,10,0,86,11,35,8,0,62,21,31,3,0,57,16,32,4,0,50,28,32,13,5,72,24,38,11,0,75,15,39,16,0,59,10,26,0,3,34,0,9,0,0,14,0,6,8,6,26,190,466,114,28,789,620,2569,333,69,3592,2451,2369,310,86,5223,3592,1791,343,109,5838,3370,1780,404,83,5639,3223,1938,267,73,5502,3291,1764,161,45,5257,3577,1724,150,65,5519,3431,1632,194,62,5315,2835,1672,291,57,4850,1955,1548,271,41,3810,609,804,123,19,1557,164,341,42,16,560,47,119,20,16,201,29162,20055,2902,742,52865,7,13,6,3,29,8,11,0,3,24,14,4,0,0,23,12,6,0,0,23,12,8,4,0,25,30,11,0,0,43,24,20,0,0,43,18,6,0,7,32,28,4,4,4,39,13,13,0,4,32,6,5,3,0,15,0,0,0,0,3
LGA20660,0,24,5,0,33,5,24,0,0,29,10,24,4,0,35,17,17,3,0,39,12,22,0,4,39,15,21,0,0,30,15,15,7,0,32,22,29,4,0,46,16,19,8,0,39,15,16,6,0,37,9,13,3,0,28,3,7,0,0,12,0,6,0,0,10,136,239,33,9,417,247,1851,230,21,2347,1542,2526,285,97,4449,3081,1633,265,85,5056,3213,1757,390,87,5441,2745,1907,298,78,5024,2680,1767,159,58,4660,2779,1795,136,46,4764,2738,1782,160,47,4719,2247,1660,166,43,4118,1597,1490,211,26,3325,674,866,118,22,1677,190,363,38,3,595,56,178,21,12,264,23775,19593,2458,627,46456,5,8,0,0,12,12,18,5,4,34,16,4,0,3,22,13,7,5,4,27,12,7,0,0,24,7,15,0,0,26,21,11,0,0,43,11,11,0,4,31,5,6,3,0,24,22,12,5,0,35,8,5,0,0,15,0,3,0,0,4
LGA20740,3,12,0,3,19,0,6,0,0,9,0,7,0,0,14,3,5,0,0,8,3,9,0,0,6,3,10,3,0,14,5,7,0,0,11,3,4,3,0,11,5,4,3,0,18,0,3,3,0,12,0,5,0,0,5,3,4,0,0,9,4,6,3,0,12,40,81,21,7,152,117,556,153,27,848,383,427,71,20,899,540,347,73,27,983,590,386,101,26,1106,624,481,94,14,1212,635,456,49,19,1163,727,528,53,23,1335,719,553,72,39,1379,600,616,98,17,1336,444,620,108,14,1182,172,346,49,18,584,64,136,14,13,225,31,86,15,7,150,5645,5540,952,260,12396,0,3,0,0,6,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,7,0,0,0,7,9,0,0,4,17,0,7,0,3,13,4,3,0,0,7,3,6,0,0,9,5,5,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA20830,3,18,0,0,28,7,12,6,0,21,5,17,0,0,23,0,13,3,0,21,8,20,0,0,28,9,14,5,0,27,3,5,4,0,15,11,18,6,0,30,14,20,10,0,36,10,19,4,0,32,0,11,0,0,16,0,7,0,0,9,0,12,0,3,16,74,171,34,13,289,263,978,106,25,1374,899,706,96,46,1750,1225,590,104,47,1965,1068,633,133,39,1873,1043,718,80,38,1876,967,625,55,33,1678,1150,669,58,34,1902,1119,723,76,27,1945,980,681,78,26,1770,696,678,119,21,1511,333,416,59,15,821,129,190,15,13,346,95,148,13,10,270,9955,7757,986,378,19079,0,12,0,0,13,5,0,0,0,8,6,0,0,4,8,17,5,0,0,30,11,3,0,0,19,12,10,4,0,24,4,12,0,0,17,8,3,5,0,18,6,4,0,0,7,10,5,0,0,11,3,6,0,0,12,4,4,0,0,7
LGA20910,0,17,0,0,23,0,10,0,0,9,8,14,0,0,21,3,9,0,0,10,5,9,6,0,12,6,3,0,0,15,7,9,6,0,21,10,6,0,0,19,10,6,5,0,21,12,14,3,0,23,5,7,0,0,12,0,12,0,0,16,3,9,3,3,26,67,134,25,9,232,130,1459,235,21,1843,1037,2001,239,57,3327,1831,1040,149,62,3081,1888,931,185,65,3076,1835,1055,157,46,3089,1764,1103,97,42,3005,2033,1276,102,40,3459,2122,1308,104,41,3574,1802,1270,117,40,3224,1101,1164,117,23,2404,501,751,57,15,1323,191,457,33,0,688,72,249,19,7,351,16304,14080,1609,454,32450,0,12,4,0,15,7,10,0,4,24,11,6,0,0,19,7,6,0,0,13,10,7,0,5,15,11,5,0,0,22,16,4,0,0,19,9,4,0,3,18,12,9,0,0,21,0,8,0,0,10,5,5,0,0,9,5,5,0,0,8
LGA21010,0,3,0,0,8,0,6,0,0,8,4,0,0,0,5,0,5,0,0,5,5,3,0,0,8,0,8,0,0,8,4,0,0,0,4,7,5,0,0,7,0,6,0,0,12,4,3,0,0,5,0,5,0,0,5,0,0,0,0,5,0,7,0,0,10,25,53,3,0,86,84,198,23,15,323,248,118,17,10,394,305,126,29,21,482,334,148,30,13,521,312,142,21,9,488,325,136,24,7,488,372,140,16,12,548,439,179,23,15,658,425,239,40,6,712,335,249,36,9,625,168,138,30,8,349,71,94,6,4,175,34,37,5,10,96,3449,1953,310,144,5854,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,7,0,0,0,8,5,0,0,0,5,0,4,0,0,4,0,3,0,0,3,5,0,0,0,5,3,0,0,0,3,7,0,0,0,8,0,0,0,0,3,0,3,0,0,3
LGA21110,4,19,4,0,26,6,34,3,0,48,19,30,8,0,55,17,35,8,0,58,13,38,10,0,55,19,25,6,0,51,24,33,11,3,71,23,33,12,0,72,19,41,12,6,74,13,28,0,0,45,7,30,0,5,42,8,29,0,0,33,3,26,8,6,40,173,403,85,16,673,158,2717,402,38,3313,2262,4490,460,128,7338,5644,2656,298,159,8758,6275,2399,494,135,9299,5874,2445,426,96,8841,5304,2320,195,85,7909,5303,2449,170,66,7995,5030,2484,197,98,7809,3883,2282,193,52,6409,2544,2120,182,35,4884,1014,1414,158,22,2610,370,810,57,14,1249,139,469,36,23,665,43801,29048,3268,949,77075,0,14,4,0,24,10,26,7,8,44,20,15,0,5,36,26,13,0,3,42,31,15,0,5,48,29,12,0,0,45,28,15,0,4,51,29,11,0,4,44,35,16,0,5,57,18,26,0,0,43,12,13,4,0,28,3,9,0,4,17
LGA21180,3,34,4,0,39,19,28,4,0,46,29,36,5,0,69,19,30,11,0,66,26,32,7,0,68,37,34,5,0,75,34,39,8,3,91,39,47,11,3,94,27,37,10,4,80,28,46,15,0,86,13,30,4,0,52,7,12,0,3,24,0,13,3,3,17,283,418,94,17,807,502,2528,326,68,3435,2970,3237,311,218,6740,5731,2566,373,278,8952,6367,2615,500,241,9723,6242,2554,362,203,9355,5608,2215,214,143,8181,5840,2199,203,126,8370,5393,2041,219,118,7769,4446,1781,273,80,6584,2989,1538,253,81,4862,1026,794,141,27,1989,212,320,44,7,589,64,137,13,13,228,47396,24521,3237,1608,76763,5,19,4,3,23,22,17,0,12,49,30,6,0,11,48,30,10,0,9,49,33,19,0,7,61,29,15,3,7,50,36,15,0,7,57,47,19,0,9,76,37,16,0,3,58,23,12,3,0,33,7,6,0,0,16,0,0,0,0,4
