POW_SA2_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
201011001,4,4,0,0,9,2277,1618,193,48,4135
201011002,10,44,12,5,78,10199,8481,1309,274,20261
201011005,0,3,0,0,8,1731,920,173,51,2874
201011006,3,12,3,0,14,2841,1517,195,69,4617
201011007,0,7,0,0,4,304,186,21,6,520
201011008,7,22,6,0,34,6826,3113,516,156,10619
201011481,0,9,0,3,16,1283,1213,166,43,2712
201011482,3,15,0,3,17,1234,964,124,43,2365
201011483,7,10,0,5,16,1431,1133,181,51,2793
201011484,0,9,0,0,12,1388,1546,154,59,3148
201021009,12,20,0,0,32,953,779,107,43,1882
201021010,23,18,0,7,50,1060,827,119,40,2051
201021011,27,41,5,4,73,1592,1773,264,60,3694
201021012,20,21,0,4,44,658,391,61,27,1138
201031013,5,22,0,0,35,517,341,35,25,922
201031014,12,9,0,0,23,810,415,60,37,1327
201031015,5,13,0,0,26,408,226,29,13,675
201031016,5,13,0,4,28,1743,1522,230,85,3582
201031017,15,7,7,0,33,504,314,42,23,891
202011018,10,50,10,9,84,12003,9054,1461,335,22856
202011019,0,6,0,0,10,1182,939,127,39,2294
202011020,7,14,3,6,23,3962,2452,296,94,6809
202011021,0,4,0,0,3,1053,738,92,23,1902
202011022,8,28,0,0,36,3713,3028,350,106,7199
202011023,0,5,0,0,9,462,304,36,13,818
202011024,3,3,0,0,11,779,656,58,20,1515
202011025,0,11,0,3,16,2314,1255,221,56,3844
202021026,12,13,3,3,27,1293,459,78,40,1876
202021027,14,21,0,7,43,3060,2493,312,106,5971
202021028,26,20,0,3,50,834,763,109,40,1747
202021029,12,14,0,4,29,745,484,71,28,1333
202021030,22,43,6,5,66,2501,2095,288,92,4974
202021031,8,23,0,0,38,1079,1090,130,39,2341
202031032,15,10,0,0,28,1209,346,90,29,1671
202031033,40,35,5,9,88,1549,849,107,92,2594
203011034,10,8,0,0,22,913,790,69,26,1802
203011035,11,13,6,0,34,855,533,69,41,1494
203011036,14,31,3,0,53,823,723,76,32,1654
203021037,9,6,3,0,21,2238,2714,318,85,5356
203021039,45,69,8,14,129,20368,12961,2283,451,36060
203021040,9,27,0,0,35,2730,2806,304,87,5930
203021042,11,28,0,0,35,3862,2819,321,108,7105
203021043,7,15,0,0,26,5076,2343,385,150,7956
203021044,4,8,0,0,9,806,1167,112,33,2112
203021045,6,21,3,0,29,3046,2036,214,90,5383
203021046,11,22,8,0,40,2603,2096,236,58,4992
203021047,13,26,6,6,46,7823,3543,559,166,12092
203021485,0,0,0,0,3,601,499,54,20,1177
203021486,6,11,0,3,25,3918,1984,288,109,6297
203021487,0,18,0,6,22,3089,3525,417,109,7139
203021488,0,3,0,0,13,1968,1322,190,59,3542
203031048,7,21,0,0,30,1470,1421,175,40,3117
203031049,0,21,5,0,27,901,1114,234,33,2284
203031051,0,13,0,0,19,721,790,128,30,1676
203031052,10,25,0,0,34,850,979,191,40,2057
203031053,12,31,5,0,48,3666,3515,496,114,7788
203031489,11,3,0,0,16,1038,1109,171,37,2354
203031490,9,33,4,8,53,2181,2635,302,96,5213
204011054,23,46,3,8,76,1467,1038,213,59,2777
204011055,32,40,8,11,82,1213,888,120,60,2281
204011056,13,17,3,0,33,2441,1911,266,107,4740
204011057,14,41,11,8,64,2251,2000,284,109,4652
204011058,26,26,4,0,54,1081,593,88,29,1796
204011059,6,14,0,0,13,1538,1302,179,75,3100
204011060,9,15,0,0,30,1647,420,107,40,2213
204011061,0,0,0,0,0,27,10,4,0,38
204011062,27,23,8,5,58,523,530,88,18,1163
204021063,18,27,7,9,59,3011,1761,277,132,5182
204021064,25,24,0,0,48,520,278,49,21,867
204021065,8,20,3,0,33,925,456,145,22,1544
204021066,9,21,9,5,42,5874,4233,615,176,10898
204021067,66,51,0,8,128,1541,899,157,68,2658
204031068,8,8,3,0,22,891,821,151,28,1888
204031069,15,26,4,4,47,2006,2194,352,108,4658
204031070,13,8,0,3,28,328,257,41,15,646
204031071,8,19,0,5,34,1091,788,137,56,2069
204031072,47,35,9,5,96,1255,822,130,49,2251
204031073,7,23,5,0,32,3251,1644,256,82,5226
204031075,24,20,4,0,42,718,515,80,34,1347
204031491,5,12,0,5,26,2855,957,164,84,4052
204031492,15,37,0,3,60,7157,3956,574,207,11885
205011076,21,32,4,0,58,2349,1876,208,104,4537
205011077,18,36,0,5,52,999,711,120,50,1882
205011078,21,22,6,5,50,1174,934,128,61,2294
205011079,36,74,9,7,128,5730,4544,592,195,11059
205021080,0,0,0,0,0,0,0,0,0,0
205021081,13,38,3,5,62,5162,3794,550,219,9720
205021082,49,36,3,4,93,1149,722,96,46,2008
205021083,0,0,0,0,0,0,0,0,0,0
205021084,4,23,4,3,47,1225,1352,210,74,2854
205021085,21,29,8,5,58,1144,910,136,66,2257
205021086,11,20,0,0,37,435,434,60,33,956
205031087,17,33,0,4,65,1505,1367,210,82,3164
205031088,0,5,0,0,4,33,30,7,0,64
205031089,21,35,0,0,59,1576,1164,157,77,2971
205031090,24,47,4,8,86,3086,2047,272,138,5540
205031091,0,31,9,0,47,1641,1774,399,95,3913
205031092,0,0,0,0,0,19,18,5,0,47
205031093,31,58,6,12,110,4045,3857,576,181,8663
205041094,16,29,0,4,46,2469,928,164,88,3644
205041095,6,15,5,0,27,2891,2123,319,139,5467
205041096,14,26,0,7,45,6299,3254,574,201,10334
205041098,6,0,3,0,13,267,198,30,11,504
205041493,5,19,0,3,34,4183,3141,449,156,7925
205041494,0,13,7,0,21,2927,2205,365,80,5576
205051099,0,0,0,0,0,15,5,0,0,24
205051100,11,8,0,4,27,1765,441,113,41,2363
205051101,35,32,3,4,73,2360,1468,242,84,4149
205051102,9,10,0,3,28,1052,408,85,40,1580
205051103,15,17,4,6,50,4069,3087,504,142,7804
205051104,17,20,4,3,47,977,689,85,49,1793
206011106,4,6,0,0,11,1551,1500,143,47,3244
206011107,9,7,0,0,13,849,888,81,31,1853
206011109,0,0,0,0,9,649,629,67,17,1362
206011495,7,19,0,3,28,2436,1827,215,80,4559
206011496,12,20,4,0,34,4042,3575,463,107,8186
206011497,11,23,0,5,39,3024,2704,319,126,6176
206011498,0,6,0,0,7,1104,1073,106,41,2329
206021110,0,14,3,0,24,2755,1659,199,59,4686
206021112,11,20,0,0,34,2920,2318,236,91,5560
206021499,9,9,0,0,19,1868,1653,215,49,3783
206021500,10,9,0,0,15,1632,1457,180,51,3321
206031113,6,7,0,0,16,1253,1318,151,35,2755
206031115,7,5,3,0,10,1564,1183,136,58,2945
206031116,6,22,4,6,32,4237,3321,482,128,8177
206031501,4,22,0,0,27,1837,1719,188,71,3814
206031502,5,12,0,0,18,2079,1653,228,56,4019
206041117,18,46,3,0,62,10289,6128,834,238,17493
206041118,26,30,12,16,82,69822,10663,3935,1030,85451
206041119,26,57,27,3,111,13663,5142,1468,237,20511
206041120,0,3,3,0,7,764,393,98,22,1275
206041121,4,14,0,0,17,3034,1538,196,76,4843
206041124,20,43,8,4,74,19141,10951,1890,406,32388
206041125,25,54,10,3,93,13042,5333,1060,251,19692
206041127,5,8,4,3,18,3342,675,191,103,4304
206041503,52,122,21,33,228,78097,19627,5419,1367,104517
206041504,14,22,3,4,49,17854,7494,1409,370,27130
206041505,95,176,30,27,324,86462,19837,4460,1415,112180
206041506,21,26,0,4,48,7529,3411,490,183,11608
206041507,0,0,0,0,0,220,106,12,0,349
206041508,5,18,3,4,36,19595,5912,2986,389,28884
206041509,10,22,0,3,39,8713,2969,545,179,12410
206041510,5,15,0,0,23,3858,1372,247,81,5553
206051128,29,72,4,0,101,11257,3985,642,193,16077
206051129,6,10,0,0,20,1283,1256,148,31,2720
206051130,0,37,3,0,48,2360,1734,243,65,4404
206051134,8,26,3,0,39,1738,1542,165,55,3500
206051511,26,27,4,3,61,23200,5417,1020,471,30107
206051512,23,60,10,9,95,15019,5166,755,306,21249
206051513,15,22,0,0,43,3438,1843,227,58,5570
206051514,14,32,3,0,52,5577,3007,562,143,9288
206061135,21,50,9,0,82,3319,2697,387,94,6497
206061136,22,24,7,3,56,6017,4329,641,171,11151
206061138,23,85,10,0,127,2358,2055,248,68,4728
206061515,14,30,3,4,52,4311,2126,272,91,6791
206061516,9,30,0,0,38,3527,2425,363,102,6417
206071139,9,27,0,0,36,7087,2975,443,148,10652
206071140,8,26,0,0,33,1234,952,99,32,2317
206071141,16,31,0,0,52,8745,4135,739,168,13793
206071142,17,40,10,4,66,8427,6076,932,203,15640
206071143,9,29,0,0,46,2010,1851,206,72,4130
206071145,7,30,0,0,41,2307,1591,200,74,4164
206071517,15,48,6,9,78,21056,5967,1216,357,28596
206071518,21,40,5,0,72,9406,5192,754,217,15567
207011146,5,18,3,0,31,902,1310,140,33,2390
207011147,14,45,0,3,66,2271,2444,228,70,5014
207011148,11,41,0,0,62,1721,1792,184,53,3755
207011149,22,59,3,3,88,4952,4037,464,116,9574
207011150,6,37,0,6,44,5392,2308,268,87,8052
207011152,22,49,0,3,77,7336,3608,474,144,11561
207011154,8,13,3,0,29,1425,1189,95,38,2748
207011155,13,64,4,3,83,3308,2746,243,83,6377
207011519,8,34,0,0,41,4270,2596,313,89,7271
207011520,12,49,10,4,78,5753,2781,371,126,9031
207011521,15,48,0,0,61,4615,2503,345,72,7535
207011522,9,39,4,0,52,2275,2313,245,80,4911
207021156,5,20,3,0,33,1508,1315,165,30,3028
207021157,8,52,4,3,68,4118,4693,788,140,9735
207021159,8,31,4,3,48,1301,1387,147,52,2883
207021160,3,32,0,0,42,1641,1553,286,52,3534
207021424,7,14,0,0,23,1130,1541,141,52,2853
207021425,11,16,3,3,35,2181,2044,205,61,4488
207031161,9,55,4,3,72,4693,3183,331,129,8331
207031162,0,9,0,0,12,730,868,103,18,1718
207031163,17,44,6,5,79,10880,7821,1045,276,20027
207031164,0,24,4,0,29,1402,1257,96,37,2791
207031165,10,28,3,3,48,4769,2604,310,97,7783
207031166,3,23,4,0,30,3458,2061,354,59,5932
207031167,3,28,0,0,33,1646,1217,108,51,3022
208011168,4,35,7,0,37,1218,1261,132,36,2651
208011169,36,107,14,3,159,4816,4742,600,175,10327
208011170,11,40,0,0,53,1933,1569,158,37,3698
208011171,9,13,3,0,27,3856,1976,221,85,6134
208011172,10,30,0,0,49,1996,2055,209,69,4331
208011173,4,46,3,5,61,2652,2676,326,78,5742
208021174,8,34,5,0,44,3274,2847,318,90,6521
208021176,4,19,0,0,25,1873,1763,187,71,3892
208021177,24,61,4,3,91,4071,3346,302,122,7839
208021178,17,54,4,0,76,3134,2539,275,81,6028
208021179,13,31,3,0,42,2251,2427,261,79,5016
208021180,0,5,3,0,10,695,647,73,21,1432
208021181,4,8,0,0,7,685,699,77,32,1498
208021182,0,19,5,0,22,1186,1370,108,27,2694
208021426,9,15,10,0,34,3190,1889,236,75,5399
208021427,9,5,0,0,9,1125,945,89,37,2194
208031183,0,7,0,0,15,837,545,54,16,1451
208031184,17,41,0,3,68,9761,2563,352,231,12916
208031185,3,11,0,0,20,863,962,101,43,1966
208031186,0,8,0,0,7,1183,1138,132,46,2496
208031187,0,0,0,0,3,961,693,67,34,1752
208031188,19,56,15,0,87,6861,6139,954,188,14147
208031189,4,12,0,0,14,1048,963,130,32,2166
208031190,15,27,3,0,45,2737,2518,257,72,5584
208031191,31,71,0,0,102,11901,5338,697,251,18187
208031192,5,7,0,0,11,2211,1048,193,53,3502
208031193,20,39,0,3,59,4083,2856,294,117,7346
208041194,30,89,7,3,133,6122,4623,583,163,11486
208041195,15,42,4,0,63,5682,6547,1267,213,13710
209011196,0,10,0,0,18,1400,910,122,37,2472
209011197,7,27,0,0,40,3083,3659,476,107,7322
209011198,13,37,6,7,62,7645,6548,958,193,15349
209011199,17,28,7,3,54,5136,2624,305,128,8192
209011200,3,16,3,5,29,1884,2029,200,51,4162
209011201,3,15,0,0,22,725,712,65,13,1509
