POW_SA2_CODE_2021,Emp_15_19_HW_0,Emp_15_19_HW_1_19,Emp_15_19_HW_20_29,Emp_15_19_HW_30_34,Emp_15_19_HW_35_39,Emp_15_19_HW_40_44,Emp_15_19_HW_45_49,Emp_15_19_HW_50mor,Emp_15_19_HW_NS,Emp_15_19_Tot,Emp_20_24_HW_0,Emp_20_24_HW_1_19,Emp_20_24_HW_20_29,Emp_20_24_HW_30_34,Emp_20_24_HW_35_39,Emp_20_24_HW_40_44,Emp_20_24_HW_45_49,Emp_20_24_HW_50mor,Emp_20_24_HW_NS,Emp_20_24_Tot,Emp_25_29_HW_0,Emp_25_29_HW_1_19,Emp_25_29_HW_20_29,Emp_25_29_HW_30_34,Emp_25_29_HW_35_39,Emp_25_29_HW_40_44,Emp_25_29_HW_45_49,Emp_25_29_HW_50mor,Emp_25_29_HW_NS,Emp_25_29_Tot,Emp_30_34_HW_0,Emp_30_34_HW_1_19,Emp_30_34_HW_20_29,Emp_30_34_HW_30_34,Emp_30_34_HW_35_39,Emp_30_34_HW_40_44,Emp_30_34_HW_45_49,Emp_30_34_HW_50mor,Emp_30_34_HW_NS,Emp_30_34_Tot,Emp_35_39_HW_0,Emp_35_39_HW_1_19,Emp_35_39_HW_20_29,Emp_35_39_HW_30_34,Emp_35_39_HW_35_39,Emp_35_39_HW_40_44,Emp_35_39_HW_45_49,Emp_35_39_HW_50mor,Emp_35_39_HW_NS,Emp_35_39_Tot,Emp_40_44_HW_0,Emp_40_44_HW_1_19,Emp_40_44_HW_20_29,Emp_40_44_HW_30_34,Emp_40_44_HW_35_39,Emp_40_44_HW_40_44,Emp_40_44_HW_45_49,Emp_40_44_HW_50mor,Emp_40_44_HW_NS,Emp_40_44_Tot,Emp_45_49_HW_0,Emp_45_49_HW_1_19,Emp_45_49_HW_20_29,Emp_45_49_HW_30_34,Emp_45_49_HW_35_39,Emp_45_49_HW_40_44,Emp_45_49_HW_45_49,Emp_45_49_HW_50mor,Emp_45_49_HW_NS,Emp_45_49_Tot,Emp_50_54_HW_0,Emp_50_54_HW_1_19,Emp_50_54_HW_20_29,Emp_50_54_HW_30_34,Emp_50_54_HW_35_39,Emp_50_54_HW_40_44,Emp_50_54_HW_45_49,Emp_50_54_HW_50mor,Emp_50_54_HW_NS,Emp_50_54_Tot,Emp_55_59_HW_0,Emp_55_59_HW_1_19,Emp_55_59_HW_20_29,Emp_55_59_HW_30_34,Emp_55_59_HW_35_39,Emp_55_59_HW_40_44,Emp_55_59_HW_45_49,Emp_55_59_HW_50mor,Emp_55_59_HW_NS,Emp_55_59_Tot,Emp_60_64_HW_0,Emp_60_64_HW_1_19,Emp_60_64_HW_20_29,Emp_60_64_HW_30_34,Emp_60_64_HW_35_39,Emp_60_64_HW_40_44,Emp_60_64_HW_45_49,Emp_60_64_HW_50mor,Emp_60_64_HW_NS,Emp_60_64_Tot,Emp_65_69_HW_0,Emp_65_69_HW_1_19,Emp_65_69_HW_20_29,Emp_65_69_HW_30_34,Emp_65_69_HW_35_39,Emp_65_69_HW_40_44,Emp_65_69_HW_45_49,Emp_65_69_HW_50mor,Emp_65_69_HW_NS,Emp_65_69_Tot,Emp_70_74_HW_0,Emp_70_74_HW_1_19,Emp_70_74_HW_20_29,Emp_70_74_HW_30_34,Emp_70_74_HW_35_39,Emp_70_74_HW_40_44,Emp_70_74_HW_45_49,Emp_70_74_HW_50mor,Emp_70_74_HW_NS,Emp_70_74_Tot,Emp_75ov_HW_0,Emp_75ov_HW_1_19,Emp_75ov_HW_20_29,Emp_75ov_HW_30_34,Emp_75ov_HW_35_39,Emp_75ov_HW_40_44,Emp_75ov_HW_45_49,Emp_75ov_HW_50mor,Emp_75ov_HW_NS,Emp_75ov_Tot,Emp_Tot_HW_0,Emp_Tot_HW_1_19,Emp_Tot_HW_20_29,Emp_Tot_HW_30_34,Emp_Tot_HW_35_39,Emp_Tot_HW_40_44,Emp_Tot_HW_45_49,Emp_Tot_HW_50mor,Emp_Tot_HW_NS,Emp_Tot_Tot,OM_IEs_15_19_HW_0,OM_IEs_15_19_HW_1_19,OM_IEs_15_19_HW_20_29,OM_IEs_15_19_HW_30_34,OM_IEs_15_19_HW_35_39,OM_IEs_15_19_HW_40_44,OM_IEs_15_19_HW_45_49,OM_IEs_15_19_HW_50mor,OM_IEs_15_19_HW_NS,OM_IEs_15_19_Tot,OM_IEs_20_24_HW_0,OM_IEs_20_24_HW_1_19,OM_IEs_20_24_HW_20_29,OM_IEs_20_24_HW_30_34,OM_IEs_20_24_HW_35_39,OM_IEs_20_24_HW_40_44,OM_IEs_20_24_HW_45_49,OM_IEs_20_24_HW_50mor,OM_IEs_20_24_HW_NS,OM_IEs_20_24_Tot,OM_IEs_25_29_HW_0,OM_IEs_25_29_HW_1_19,OM_IEs_25_29_HW_20_29,OM_IEs_25_29_HW_30_34,OM_IEs_25_29_HW_35_39,OM_IEs_25_29_HW_40_44,OM_IEs_25_29_HW_45_49,OM_IEs_25_29_HW_50mor,OM_IEs_25_29_HW_NS,OM_IEs_25_29_Tot,OM_IEs_30_34_HW_0,OM_IEs_30_34_HW_1_19,OM_IEs_30_34_HW_20_29,OM_IEs_30_34_HW_30_34,OM_IEs_30_34_HW_35_39,OM_IEs_30_34_HW_40_44,OM_IEs_30_34_HW_45_49,OM_IEs_30_34_HW_50mor,OM_IEs_30_34_HW_NS,OM_IEs_30_34_Tot,OM_IEs_35_39_HW_0,OM_IEs_35_39_HW_1_19,OM_IEs_35_39_HW_20_29,OM_IEs_35_39_HW_30_34,OM_IEs_35_39_HW_35_39,OM_IEs_35_39_HW_40_44,OM_IEs_35_39_HW_45_49,OM_IEs_35_39_HW_50mor,OM_IEs_35_39_HW_NS,OM_IEs_35_39_Tot,OM_IEs_40_44_HW_0,OM_IEs_40_44_HW_1_19,OM_IEs_40_44_HW_20_29,OM_IEs_40_44_HW_30_34,OM_IEs_40_44_HW_35_39,OM_IEs_40_44_HW_40_44,OM_IEs_40_44_HW_45_49,OM_IEs_40_44_HW_50mor,OM_IEs_40_44_HW_NS,OM_IEs_40_44_Tot
201011001,21,204,37,10,31,15,10,7,7,352,24,70,55,23,99,77,18,23,0,397,23,57,44,39,117,95,28,44,5,447,22,48,34,33,101,62,19,37,0,361,19,40,54,44,66,68,18,33,0,343,12,23,45,40,71,72,26,37,0,328,7,33,45,33,65,74,21,33,5,310,15,21,37,36,82,71,28,39,6,335,10,21,39,28,55,66,24,27,0,270,19,30,35,20,46,32,7,9,0,199,5,17,16,5,10,8,0,4,0,66,3,5,3,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,4,175,575,451,313,755,645,198,291,30,3433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,3,7,0,12,0,0,0,0,4,8,0,6,0,26,0,6,8,4,5,3,0,15,0,39,0,5,3,7,5,11,7,25,0,51
201011002,149,704,116,49,75,46,13,9,24,1170,133,484,336,212,421,243,51,42,41,1957,153,257,235,222,601,433,114,103,40,2177,197,269,291,200,466,412,94,141,27,2092,119,243,364,237,447,351,89,116,19,1982,68,204,304,237,387,354,110,135,11,1803,55,153,267,252,424,375,95,177,16,1818,74,154,241,246,439,354,107,166,18,1791,104,154,234,196,384,271,67,122,6,1547,99,166,239,205,283,179,48,77,3,1294,47,123,80,51,82,61,14,16,5,477,17,42,24,6,13,4,0,7,5,118,7,19,7,0,6,0,0,0,0,33,1224,2956,2733,2106,4033,3092,797,1109,207,18258,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,4,0,0,0,10,0,0,4,5,13,9,4,4,0,31,4,0,11,9,5,17,3,13,0,72,3,10,11,8,5,27,13,30,0,111,6,12,12,7,4,32,10,40,0,129
201011005,7,53,10,3,0,3,0,0,5,79,12,40,31,21,52,29,7,14,0,205,15,28,27,26,77,81,27,13,3,305,30,34,30,37,81,68,37,22,7,338,20,27,39,23,70,73,30,31,5,325,13,22,44,15,71,82,26,23,0,293,7,20,33,23,72,62,27,38,4,291,18,14,14,24,56,56,25,27,0,240,18,22,17,31,70,41,12,20,6,243,12,12,18,10,29,26,4,18,0,137,3,19,5,4,12,9,3,7,0,70,6,4,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,150,292,284,226,593,537,216,211,34,2534,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,5,3,0,0,12,0,0,0,0,0,6,0,4,5,22,0,0,4,0,0,5,0,4,0,13
201011006,23,233,45,14,33,42,4,0,5,399,20,76,82,42,119,113,30,25,8,520,25,46,44,33,122,133,49,38,11,493,28,49,35,25,93,115,31,51,6,438,15,22,26,34,91,98,27,43,4,352,6,22,45,18,70,84,30,35,5,317,9,24,42,22,91,95,27,33,7,356,11,16,38,25,78,85,37,39,3,338,14,17,32,33,76,59,25,18,4,270,19,33,40,25,55,41,12,26,0,256,0,22,12,16,13,10,0,6,0,81,0,21,3,6,0,0,0,0,0,35,3,0,0,0,0,0,0,0,0,8,171,572,439,285,853,885,274,331,51,3854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,5,4,5,0,11,0,23,0,0,5,0,8,7,7,14,0,41,0,6,4,4,9,9,3,16,0,48,0,0,0,4,8,8,0,17,0,37
201011007,0,11,0,0,7,6,0,0,0,20,3,9,6,4,6,8,9,4,0,41,3,10,4,0,12,10,4,5,0,53,0,6,6,0,5,12,5,8,0,42,0,7,6,6,5,7,0,0,0,31,0,3,3,0,10,3,6,4,0,22,0,5,4,0,11,6,4,3,0,19,0,0,0,0,5,3,6,3,0,23,0,3,0,0,0,3,0,4,0,20,0,3,0,0,3,9,0,0,0,17,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,49,24,21,63,70,29,26,4,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,3,0,7,0,13,0,0,3,0,0,0,3,0,0,12,0,0,0,0,5,3,0,4,0,18
201011008,56,346,69,21,66,66,15,23,14,669,51,198,123,61,230,233,57,56,17,1032,42,98,104,66,282,280,68,100,13,1058,59,68,79,60,238,237,72,140,12,963,42,76,108,55,214,218,69,116,9,918,16,75,79,67,217,289,90,136,10,974,33,67,90,77,228,286,103,157,6,1050,37,70,87,63,219,250,92,129,13,963,62,89,79,73,237,212,82,95,5,927,41,60,80,49,155,137,44,51,4,635,21,51,30,15,42,36,11,16,3,233,3,25,7,3,9,8,0,3,4,64,6,12,3,0,3,0,0,0,0,19,472,1233,935,612,2146,2242,704,1040,115,9506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,6,0,23,0,3,0,0,3,6,4,19,0,37,0,4,3,0,15,19,7,28,0,82,0,4,4,3,6,13,4,34,0,71
201011481,22,105,23,12,16,14,5,3,3,201,20,71,47,28,50,34,11,13,3,280,23,34,23,26,72,51,11,26,0,260,20,38,34,24,69,36,11,21,3,261,5,31,38,23,50,57,11,21,5,230,4,20,29,28,33,39,10,9,4,174,9,22,38,22,48,33,14,19,0,204,8,18,34,30,48,43,9,16,0,200,12,25,41,23,34,29,8,5,7,192,9,24,41,23,22,20,13,3,0,156,0,14,19,3,5,4,0,4,0,50,0,11,6,6,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,139,409,368,245,450,350,98,139,24,2221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,8,0,5,0,23,4,7,0,0,0,7,6,3,0,22,4,0,0,0,6,4,0,9,0,25
201011482,11,105,6,6,10,14,0,0,0,153,13,36,25,4,49,38,0,7,7,182,7,22,24,16,43,31,7,10,6,167,17,24,24,17,38,33,13,19,3,188,13,24,20,7,29,35,16,14,0,150,4,10,24,18,46,41,13,15,0,172,3,20,23,19,39,38,14,11,3,172,6,19,23,17,35,41,8,17,0,175,10,21,17,24,37,40,11,19,4,185,11,17,16,21,26,28,10,10,4,135,8,11,4,3,6,10,3,4,0,44,0,9,5,0,4,0,0,0,0,17,0,3,0,0,0,0,0,0,0,7,107,313,220,159,357,349,97,114,29,1746,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,4,0,6,4,3,6,0,19,0,8,0,0,0,6,0,8,0,25,0,6,0,5,4,7,4,15,0,34
201011483,22,84,7,7,19,8,0,7,0,157,20,64,62,17,43,30,7,14,3,273,20,35,39,32,56,49,10,30,9,277,8,36,21,15,56,39,16,43,0,238,18,40,34,22,45,49,6,31,0,247,15,27,31,29,47,51,23,31,5,250,10,24,36,26,48,49,11,38,5,250,9,25,24,19,45,42,11,33,5,210,10,32,22,18,27,20,13,26,0,183,13,26,20,18,33,21,5,13,0,156,7,24,10,5,8,0,0,6,0,57,0,6,3,0,3,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,156,416,304,211,437,368,109,266,36,2309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,8,0,0,3,0,0,5,0,9,0,16,0,0,0,3,4,11,0,10,0,32,0,0,3,4,6,7,0,9,0,29
201011484,20,287,37,21,30,24,5,6,4,441,17,90,52,38,65,48,8,8,3,336,19,45,50,37,83,51,13,20,14,334,14,39,33,31,50,37,10,21,3,238,8,30,33,22,47,37,18,22,5,212,3,37,40,24,47,40,13,12,4,211,10,23,35,32,62,34,21,8,0,218,13,35,37,35,63,37,9,24,3,248,17,34,43,42,44,34,11,16,3,236,9,28,22,18,45,11,4,10,0,153,3,27,14,10,18,7,0,6,0,77,0,10,12,4,4,0,0,0,0,26,0,0,0,0,4,0,0,0,0,4,143,677,414,303,555,354,106,153,46,2747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,10,0,0,6,0,0,5,0,3,0,14,0,0,3,0,0,0,4,3,0,20,0,0,0,0,3,6,0,9,0,19
