POW_SA2_CODE_2021,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000_3499_E,P_3000_3499_OM_IE,P_3000_3499_OM_UIE,P_3000_3499_CFW,P_3000_3499_ES_NS,P_3000_3499_Tot,P_3500mo_E,P_3500mo_OM_IE,P_3500mo_OM_UIE,P_3500mo_CFW,P_3500mo_ES_NS,P_3500mo_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
201011001,116,34,10,1999,10,0,6,13,0,38,175,0,4,0,6,186,118,0,10,9,0,133,87,7,7,0,3,110,165,5,17,7,4,200,260,10,37,7,3,314,352,19,30,4,3,404,518,21,33,8,0,584,520,35,25,8,7,594,373,33,25,0,4,437,280,43,29,3,0,353,174,22,21,4,0,216,282,51,21,4,0,359,49,11,10,0,0,72,48,47,17,0,0,108,22,0,4,0,3,22,3433,319,287,64,29,4135
201011002,391,72,58,13048,37,3,0,20,4,65,610,0,16,5,5,635,545,6,17,6,0,578,548,17,42,10,11,632,751,19,47,15,7,843,1383,31,62,10,9,1496,1797,77,68,10,7,1961,2353,96,60,12,11,2531,2740,75,75,12,17,2918,1982,86,42,6,13,2120,1704,95,49,0,3,1854,1257,73,50,4,5,1382,1764,132,64,4,9,1971,240,69,33,6,0,346,406,223,119,3,3,756,139,15,0,9,7,167,18258,1018,741,125,119,20261
201011005,70,18,4,1595,4,0,5,4,0,12,47,0,4,0,0,52,42,0,0,0,0,49,59,0,9,5,0,74,77,6,13,4,0,100,134,11,19,0,4,165,185,7,13,5,0,212,251,14,18,7,0,282,284,15,20,0,0,323,299,14,15,0,0,330,327,18,7,0,0,351,264,16,8,0,0,290,427,17,9,0,0,453,65,0,4,0,0,74,60,16,7,0,0,80,10,8,3,0,0,23,2534,138,161,29,15,2874
201011006,92,26,9,1721,12,0,3,13,0,29,192,0,4,4,0,195,121,3,8,8,0,145,125,6,18,5,0,158,156,12,16,0,0,195,292,20,21,5,0,337,400,27,34,0,0,470,688,41,43,0,3,782,725,60,47,5,6,840,436,49,23,4,0,508,289,45,20,0,0,351,155,26,18,0,3,205,182,52,20,0,0,256,20,15,6,0,0,41,35,24,7,4,0,69,38,0,7,0,3,49,3854,394,297,47,24,4617
201011007,39,23,0,196,0,0,0,0,0,0,8,0,9,4,0,14,7,0,8,5,0,17,15,0,5,5,0,25,10,4,4,7,0,22,26,3,10,0,0,43,23,5,15,6,0,44,45,8,7,0,4,64,51,13,15,0,0,81,38,6,15,3,0,60,30,12,5,5,0,50,16,9,0,0,0,28,21,13,3,0,0,34,4,9,7,0,0,15,3,3,0,0,0,5,0,0,0,0,0,8,299,83,107,34,5,520
201011008,147,41,32,3993,24,0,4,18,6,49,254,5,11,8,0,283,262,4,12,0,5,279,272,14,21,13,6,331,367,14,29,8,4,418,574,25,34,7,8,649,805,32,41,5,3,888,1323,40,40,11,14,1430,1682,62,49,4,8,1817,1174,55,43,4,10,1287,835,68,29,5,4,941,628,47,19,3,4,699,937,83,38,0,0,1060,150,27,5,0,0,181,148,75,13,3,0,235,67,0,5,4,0,79,9506,554,386,99,77,10619
201011481,106,19,8,1503,8,0,0,4,0,9,87,0,3,0,0,91,91,3,12,0,0,113,83,8,15,7,0,121,122,3,23,6,0,150,209,9,19,4,6,247,264,15,33,0,5,307,331,21,25,5,0,383,360,26,28,5,3,427,226,24,24,5,0,280,142,21,15,0,0,179,98,11,7,0,0,119,145,37,9,0,0,194,20,5,6,0,0,33,11,9,0,0,0,28,26,4,4,0,3,31,2221,193,231,39,23,2712
201011482,111,35,11,1162,7,0,0,7,0,14,76,0,6,3,0,92,67,3,11,6,0,86,56,4,19,9,0,79,65,12,20,3,0,90,142,19,35,7,3,206,195,20,38,3,0,258,232,29,33,0,3,296,238,26,37,5,4,310,173,30,27,0,5,235,174,25,25,3,0,225,103,19,16,0,0,135,155,16,10,0,0,188,32,17,7,0,0,58,23,28,9,6,0,62,11,0,0,0,3,15,1746,249,288,59,15,2365
201011483,105,27,11,1388,4,0,0,11,0,19,78,0,3,4,0,90,82,0,11,3,0,99,73,3,14,7,0,99,106,4,19,3,0,135,232,8,35,8,4,285,254,17,27,4,3,300,311,28,14,3,0,352,324,24,24,0,3,376,225,27,26,4,0,280,189,20,13,5,0,229,146,7,9,0,0,163,208,27,10,0,3,244,37,5,4,0,0,51,25,14,9,0,0,46,23,0,3,5,0,27,2309,176,234,46,20,2793
201011484,65,22,18,1678,12,0,3,7,0,18,212,0,3,0,0,218,153,4,3,4,0,168,138,6,3,6,0,155,171,6,17,8,5,208,313,15,31,5,10,368,317,11,26,3,0,362,383,14,20,0,4,425,375,20,21,0,4,418,204,13,14,5,4,232,179,14,14,0,0,197,100,16,8,0,0,122,132,19,0,0,0,154,17,6,0,0,0,28,12,7,5,0,0,29,37,0,6,0,3,46,2747,152,179,36,32,3148
201021009,77,40,13,947,3,0,7,10,0,23,72,3,5,3,0,85,85,0,7,8,0,106,58,9,12,6,0,82,89,7,21,5,0,123,118,9,6,8,3,152,184,16,34,9,0,235,220,26,20,6,4,266,185,15,25,6,0,233,113,21,17,12,5,162,92,20,13,3,0,132,61,5,6,0,0,79,91,17,5,5,3,122,19,4,6,0,0,19,11,15,9,7,0,37,18,4,4,0,0,29,1426,163,190,84,24,1882
201021010,114,51,14,999,3,3,5,8,3,20,48,0,0,14,3,72,53,0,13,8,4,76,46,8,31,18,4,100,85,5,16,3,4,117,144,20,40,15,5,225,155,16,34,17,4,229,202,29,36,11,8,287,202,25,37,6,5,277,124,22,16,9,3,178,116,21,18,0,6,163,59,8,23,4,0,89,72,17,6,3,0,103,14,14,3,0,0,32,15,19,3,0,3,43,14,4,11,3,5,36,1363,216,293,130,48,2051
