POW_SA2_CODE_2021,M_Tot_H_0,M_Tot_H_1_19,M_Tot_H_20_29,M_Tot_H_30_34,M_Tot_H_35_39,M_Tot_H_40_44,M_Tot_H_45_49,M_Tot_H_50ov,M_Tot_H_NS,M_Tot_H_Tot,F_AgFF_H_0,F_AgFF_H_1_19,F_AgFF_H_20_29,F_AgFF_H_30_34,F_AgFF_H_35_39,F_AgFF_H_40_44,F_AgFF_H_45_49,F_AgFF_H_50ov,F_AgFF_H_NS,F_AgFF_H_Tot,F_Min_H_0,F_Min_H_1_19,F_Min_H_20_29,F_Min_H_30_34,F_Min_H_35_39,F_Min_H_40_44,F_Min_H_45_49,F_Min_H_50ov,F_Min_H_NS,F_Min_H_Tot,F_Mnf_H_0,F_Mnf_H_1_19,F_Mnf_H_20_29,F_Mnf_H_30_34,F_Mnf_H_35_39,F_Mnf_H_40_44,F_Mnf_H_45_49,F_Mnf_H_50ov,F_Mnf_H_NS,F_Mnf_H_Tot,F_EGWWS_H_0,F_EGWWS_H_1_19,F_EGWWS_H_20_29,F_EGWWS_H_30_34,F_EGWWS_H_35_39,F_EGWWS_H_40_44,F_EGWWS_H_45_49,F_EGWWS_H_50ov,F_EGWWS_H_NS,F_EGWWS_H_Tot,F_Const_H_0,F_Const_H_1_19,F_Const_H_20_29,F_Const_H_30_34,F_Const_H_35_39,F_Const_H_40_44,F_Const_H_45_49,F_Const_H_50ov,F_Const_H_NS,F_Const_H_Tot,F_WST_H_0,F_WST_H_1_19,F_WST_H_20_29,F_WST_H_30_34,F_WST_H_35_39,F_WST_H_40_44,F_WST_H_45_49,F_WST_H_50ov,F_WST_H_NS,F_WST_H_Tot,F_RetT_H_0,F_RetT_H_1_19,F_RetT_H_20_29,F_RetT_H_30_34,F_RetT_H_35_39,F_RetT_H_40_44,F_RetT_H_45_49,F_RetT_H_50ov,F_RetT_H_NS,F_RetT_H_Tot,F_AcFd_H_0,F_AcFd_H_1_19,F_AcFd_H_20_29,F_AcFd_H_30_34,F_AcFd_H_35_39,F_AcFd_H_40_44,F_AcFd_H_45_49,F_AcFd_H_50ov,F_AcFd_H_NS,F_AcFd_H_Tot,F_TPW_H_0,F_TPW_H_1_19,F_TPW_H_20_29,F_TPW_H_30_34,F_TPW_H_35_39,F_TPW_H_40_44,F_TPW_H_45_49,F_TPW_H_50ov,F_TPW_H_NS,F_TPW_H_Tot,F_IMT_H_0,F_IMT_H_1_19,F_IMT_H_20_29,F_IMT_H_30_34,F_IMT_H_35_39,F_IMT_H_40_44,F_IMT_H_45_49,F_IMT_H_50ov,F_IMT_H_NS,F_IMT_H_Tot,F_FinIns_H_0,F_FinIns_H_1_19,F_FinIns_H_20_29,F_FinIns_H_30_34,F_FinIns_H_35_39,F_FinIns_H_40_44,F_FinIns_H_45_49,F_FinIns_H_50ov,F_FinIns_H_NS,F_FinIns_H_Tot,F_RHRE_H_0,F_RHRE_H_1_19,F_RHRE_H_20_29,F_RHRE_H_30_34,F_RHRE_H_35_39,F_RHRE_H_40_44,F_RHRE_H_45_49,F_RHRE_H_50ov,F_RHRE_H_NS,F_RHRE_H_Tot,F_ProSTS_H_0,F_ProSTS_H_1_19,F_ProSTS_H_20_29,F_ProSTS_H_30_34,F_ProSTS_H_35_39,F_ProSTS_H_40_44,F_ProSTS_H_45_49,F_ProSTS_H_50ov,F_ProSTS_H_NS,F_ProSTS_H_Tot,F_AdSup_H_0,F_AdSup_H_1_19,F_AdSup_H_20_29,F_AdSup_H_30_34,F_AdSup_H_35_39,F_AdSup_H_40_44,F_AdSup_H_45_49,F_AdSup_H_50ov,F_AdSup_H_NS,F_AdSup_H_Tot,F_PubAS_H_0,F_PubAS_H_1_19,F_PubAS_H_20_29,F_PubAS_H_30_34,F_PubAS_H_35_39,F_PubAS_H_40_44,F_PubAS_H_45_49,F_PubAS_H_50ov,F_PubAS_H_NS,F_PubAS_H_Tot,F_EdTrn_H_0,F_EdTrn_H_1_19,F_EdTrn_H_20_29,F_EdTrn_H_30_34,F_EdTrn_H_35_39,F_EdTrn_H_40_44,F_EdTrn_H_45_49,F_EdTrn_H_50ov,F_EdTrn_H_NS,F_EdTrn_H_Tot,F_HltHC_SA_H_0,F_HltHC_SA_H_1_19,F_HltHC_SA_H_20_29,F_HltHC_SA_H_30_34,F_HltHC_SA_H_35_39,F_HltHC_SA_H_40_44,F_HltHC_SA_H_45_49,F_HltHC_SA_H_50ov,F_HltHC_SA_H_NS,F_HltHC_SA_H_Tot,F_ArtsR_H_0,F_ArtsR_H_1_19,F_ArtsR_H_20_29,F_ArtsR_H_30_34,F_ArtsR_H_35_39,F_ArtsR_H_40_44,F_ArtsR_H_45_49,F_ArtsR_H_50ov,F_ArtsR_H_NS,F_ArtsR_H_Tot,F_OthSvs_H_0,F_OthSvs_H_1_19,F_OthSvs_H_20_29,F_OthSvs_H_30_34,F_OthSvs_H_35_39,F_OthSvs_H_40_44,F_OthSvs_H_45_49,F_OthSvs_H_50ov,F_OthSvs_H_NS,F_OthSvs_H_Tot
201011001,86,246,145,114,431,542,175,370,29,2142,0,3,0,0,0,0,0,0,0,5,0,0,0,0,4,4,0,0,0,5,5,22,8,10,21,23,13,13,0,115,0,0,0,0,0,0,0,0,0,5,6,19,38,8,37,25,8,9,0,155,3,14,6,3,10,3,0,0,0,42,15,65,47,26,32,18,10,0,3,221,12,82,28,0,10,8,0,0,0,150,0,6,5,6,0,3,0,3,0,21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,6,0,0,4,0,0,8,0,0,0,14,0,11,20,19,16,9,0,4,0,71,0,16,9,4,3,0,0,0,0,39,0,0,10,4,12,13,3,0,0,39,7,59,39,46,42,20,18,26,0,255,42,102,146,131,170,60,7,29,0,689,10,10,8,3,6,4,0,8,0,44,4,26,16,10,17,5,0,4,0,73
201011002,347,843,629,449,1696,1724,501,888,134,7209,0,5,0,0,3,4,0,0,0,13,0,0,0,0,0,4,0,0,0,4,4,67,24,7,25,10,3,5,0,150,0,0,0,0,0,0,0,0,0,5,6,20,12,10,31,8,0,0,0,85,0,4,10,4,10,18,0,0,0,55,110,445,287,152,198,104,32,36,10,1379,120,441,164,61,103,55,10,17,11,987,8,10,25,17,77,21,8,0,0,157,10,15,7,6,19,18,5,4,0,90,24,20,53,37,87,50,18,28,0,319,3,32,24,22,77,46,14,15,0,244,32,83,116,73,215,114,37,46,3,727,14,50,39,24,72,20,3,10,4,236,84,100,167,125,357,233,54,66,8,1192,65,179,188,129,256,137,89,153,9,1201,443,776,1131,1080,932,858,152,221,24,5623,8,35,16,17,10,7,4,4,0,92,19,66,68,26,48,27,5,8,5,274
201011005,55,94,98,63,284,364,139,159,23,1284,0,5,0,0,0,0,0,4,0,10,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,31,11,0,8,7,0,3,0,58,5,17,14,0,4,5,0,5,0,51,0,5,0,3,0,0,0,0,0,4,20,17,18,13,23,22,49,9,0,173,0,7,6,0,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,10,8,10,8,43,4,9,0,104,10,13,24,21,33,11,0,0,0,104,10,4,6,6,10,9,4,3,0,53,37,88,95,81,166,85,18,69,6,637,20,38,28,45,62,45,16,13,0,266,0,4,0,0,0,0,0,0,0,12,6,9,0,3,8,8,0,0,0,35
201011006,91,274,191,138,572,835,265,491,43,2897,0,5,0,4,4,4,0,0,0,18,0,0,0,0,0,0,0,0,0,3,3,11,10,9,54,22,5,4,4,124,0,0,4,0,0,0,0,0,0,3,3,11,22,12,25,17,0,0,0,88,6,3,6,3,16,14,0,5,0,47,25,117,71,49,61,41,10,4,0,374,9,65,19,0,14,14,0,11,0,128,3,12,9,0,10,5,0,0,0,47,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,4,0,0,0,10,0,6,11,6,3,5,0,4,0,34,0,13,12,4,6,9,0,0,0,42,4,3,0,7,10,18,6,0,0,48,12,49,45,26,41,19,6,14,0,214,17,63,70,61,86,27,5,14,4,353,0,10,12,0,0,0,0,0,0,25,3,13,23,0,12,4,0,0,0,63
201011007,13,27,14,22,49,91,33,60,6,325,0,5,0,0,4,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,6,0,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,4,0,0,0,9,0,3,0,0,0,0,0,3,0,8,0,3,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,3,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,17,5,6,5,6,5,0,0,50,0,0,8,0,4,0,0,0,0,13,0,5,5,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,17
201011008,262,507,378,289,1536,1839,623,1103,98,6625,4,16,5,4,4,15,0,6,0,49,0,0,4,0,3,7,0,0,0,15,33,57,62,44,109,129,30,44,0,507,4,6,12,9,28,42,9,7,0,118,0,25,30,12,24,33,3,4,0,144,8,9,3,3,15,13,9,5,0,59,52,241,122,48,111,64,12,10,5,669,15,116,45,16,22,9,3,3,4,236,3,20,25,14,36,22,7,16,0,139,0,3,3,0,6,5,0,5,0,27,0,0,3,0,10,9,3,4,0,33,3,0,0,3,8,3,0,0,0,23,3,11,20,14,25,45,6,5,0,125,4,35,27,9,13,14,0,0,0,105,9,26,26,18,50,17,3,7,0,151,32,115,113,69,97,73,33,65,0,589,47,87,106,98,89,63,14,21,7,537,7,41,23,17,28,27,12,14,0,166,16,43,30,10,31,12,4,4,3,153
201011481,65,160,109,83,217,291,82,174,24,1204,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,18,5,8,10,6,0,3,0,55,0,0,0,0,0,0,0,0,0,3,0,11,3,3,3,5,0,3,0,32,0,0,3,0,3,3,0,0,0,11,7,56,32,12,23,14,9,4,0,162,12,42,16,10,9,8,0,3,0,105,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,4,0,5,0,8,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,15,12,13,8,3,3,0,60,5,7,5,5,9,0,0,0,0,33,0,7,8,3,10,3,0,0,0,39,13,52,56,34,68,30,12,22,4,293,30,98,137,84,79,42,10,24,5,507,5,16,10,6,23,7,0,0,0,71,10,20,7,11,9,11,4,5,0,76
201011482,46,150,110,63,214,330,100,162,26,1203,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,4,9,6,5,4,0,0,37,0,0,0,0,0,0,0,0,0,0,0,16,10,10,4,5,0,0,0,50,0,0,3,0,3,0,0,0,0,12,3,31,21,21,12,19,0,6,0,118,14,61,11,4,9,4,0,0,3,118,7,3,4,4,7,14,3,4,0,43,0,0,4,0,10,4,0,0,0,24,0,0,0,0,4,3,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,26,14,7,11,6,5,0,0,73,0,10,5,6,0,0,0,0,0,23,0,3,0,0,3,4,0,0,0,13,11,45,45,32,51,25,16,23,0,257,21,39,41,42,58,24,6,11,0,246,9,11,8,7,0,3,0,0,0,33,3,17,20,13,11,9,0,4,6,77
201011483,66,167,122,95,280,300,95,257,23,1403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,18,5,13,11,3,12,4,0,0,0,51,0,0,0,0,0,0,0,0,0,0,3,3,13,4,3,6,0,0,0,34,0,9,0,0,4,0,0,0,0,13,0,38,26,12,14,14,0,5,0,104,38,91,21,7,18,8,3,0,5,183,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,3,0,0,0,6,0,12,3,3,0,11,0,5,0,37,0,25,14,3,8,6,0,0,0,68,0,0,0,0,0,5,0,0,0,8,20,48,61,56,64,51,25,45,0,364,8,50,59,47,64,17,7,11,0,275,20,21,16,10,17,13,0,7,0,106,7,16,15,6,10,7,0,5,0,65
201011484,57,297,157,123,292,286,80,146,35,1474,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,16,3,8,9,5,0,0,0,41,0,0,0,0,0,0,0,0,0,3,0,12,3,0,0,8,0,0,0,19,4,11,3,5,5,0,0,0,0,32,11,88,69,33,48,21,9,8,0,287,20,150,37,18,15,9,0,8,0,269,0,4,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,8,0,7,3,0,3,0,0,0,0,11,0,0,6,5,8,8,0,0,0,27,3,15,12,6,0,0,0,0,5,38,7,11,9,0,5,5,0,0,0,35,15,57,58,43,73,25,19,42,0,343,20,51,81,68,84,52,8,25,4,393,0,10,0,0,0,0,4,0,0,22,9,21,18,11,15,8,0,0,0,75
