POW_SA2_CODE_2021,Pro_500_649_A_25_34,Pro_500_649_A_35_44,Pro_500_649_A_45_54,Pro_500_649_A_55_64,Pro_500_649_A_65_74,Pro_500_649_A_75ov,Pro_500_649_Tot,Pro_650_799_A_15_19,Pro_650_799_A_20_24,Pro_650_799_A_25_34,Pro_650_799_A_35_44,Pro_650_799_A_45_54,Pro_650_799_A_55_64,Pro_650_799_A_65_74,Pro_650_799_A_75ov,Pro_650_799_Tot,Pro_800_999_A_15_19,Pro_800_999_A_20_24,Pro_800_999_A_25_34,Pro_800_999_A_35_44,Pro_800_999_A_45_54,Pro_800_999_A_55_64,Pro_800_999_A_65_74,Pro_800_999_A_75ov,Pro_800_999_Tot,Pro_1000_1249_A_15_19,Pro_1000_1249_A_20_24,Pro_1000_1249_A_25_34,Pro_1000_1249_A_35_44,Pro_1000_1249_A_45_54,Pro_1000_1249_A_55_64,Pro_1000_1249_A_65_74,Pro_1000_1249_A_75ov,Pro_1000_1249_Tot,Pro_1250_1499_A_15_19,Pro_1250_1499_A_20_24,Pro_1250_1499_A_25_34,Pro_1250_1499_A_35_44,Pro_1250_1499_A_45_54,Pro_1250_1499_A_55_64,Pro_1250_1499_A_65_74,Pro_1250_1499_A_75ov,Pro_1250_1499_Tot,Pro_1500_1749_A_15_19,Pro_1500_1749_A_20_24,Pro_1500_1749_A_25_34,Pro_1500_1749_A_35_44,Pro_1500_1749_A_45_54,Pro_1500_1749_A_55_64,Pro_1500_1749_A_65_74,Pro_1500_1749_A_75ov,Pro_1500_1749_Tot,Pro_1750_1999_A_15_19,Pro_1750_1999_A_20_24,Pro_1750_1999_A_25_34,Pro_1750_1999_A_35_44,Pro_1750_1999_A_45_54,Pro_1750_1999_A_55_64,Pro_1750_1999_A_65_74,Pro_1750_1999_A_75ov,Pro_1750_1999_Tot,Pro_2000_2999_A_15_19,Pro_2000_2999_A_20_24,Pro_2000_2999_A_25_34,Pro_2000_2999_A_35_44,Pro_2000_2999_A_45_54,Pro_2000_2999_A_55_64,Pro_2000_2999_A_65_74,Pro_2000_2999_A_75ov,Pro_2000_2999_Tot,Pro_3000_3499_A_15_19,Pro_3000_3499_A_20_24,Pro_3000_3499_A_25_34,Pro_3000_3499_A_35_44,Pro_3000_3499_A_45_54,Pro_3000_3499_A_55_64,Pro_3000_3499_A_65_74,Pro_3000_3499_A_75ov,Pro_3000_3499_Tot,Pro_3500mo_A_15_19,Pro_3500mo_A_20_24,Pro_3500mo_A_25_34,Pro_3500mo_A_35_44,Pro_3500mo_A_45_54,Pro_3500mo_A_55_64,Pro_3500mo_A_65_74,Pro_3500mo_A_75ov,Pro_3500mo_Tot,Pro_PINS_A_15_19,Pro_PINS_A_20_24,Pro_PINS_A_25_34,Pro_PINS_A_35_44,Pro_PINS_A_45_54,Pro_PINS_A_55_64,Pro_PINS_A_65_74,Pro_PINS_A_75ov,Pro_PINS_Tot,Pro_Tot_A_15_19,Pro_Tot_A_20_24,Pro_Tot_A_25_34,Pro_Tot_A_35_44,Pro_Tot_A_45_54,Pro_Tot_A_55_64,Pro_Tot_A_65_74,Pro_Tot_A_75ov,Pro_Tot_Tot,TaTW_NNI_A_15_19,TaTW_NNI_A_20_24,TaTW_NNI_A_25_34,TaTW_NNI_A_35_44,TaTW_NNI_A_45_54,TaTW_NNI_A_55_64,TaTW_NNI_A_65_74,TaTW_NNI_A_75ov,TaTW_NNI_Tot,TaTW_1_149_A_15_19,TaTW_1_149_A_20_24,TaTW_1_149_A_25_34,TaTW_1_149_A_35_44,TaTW_1_149_A_45_54,TaTW_1_149_A_55_64,TaTW_1_149_A_65_74,TaTW_1_149_A_75ov,TaTW_1_149_Tot,TaTW_150_299_A_15_19,TaTW_150_299_A_20_24,TaTW_150_299_A_25_34,TaTW_150_299_A_35_44,TaTW_150_299_A_45_54,TaTW_150_299_A_55_64,TaTW_150_299_A_65_74,TaTW_150_299_A_75ov,TaTW_150_299_Tot,TaTW_300_399_A_15_19,TaTW_300_399_A_20_24,TaTW_300_399_A_25_34,TaTW_300_399_A_35_44,TaTW_300_399_A_45_54,TaTW_300_399_A_55_64,TaTW_300_399_A_65_74,TaTW_300_399_A_75ov,TaTW_300_399_Tot,TaTW_400_499_A_15_19,TaTW_400_499_A_20_24,TaTW_400_499_A_25_34,TaTW_400_499_A_35_44,TaTW_400_499_A_45_54,TaTW_400_499_A_55_64,TaTW_400_499_A_65_74,TaTW_400_499_A_75ov,TaTW_400_499_Tot,TaTW_500_649_A_15_19,TaTW_500_649_A_20_24,TaTW_500_649_A_25_34,TaTW_500_649_A_35_44,TaTW_500_649_A_45_54,TaTW_500_649_A_55_64,TaTW_500_649_A_65_74,TaTW_500_649_A_75ov,TaTW_500_649_Tot,TaTW_650_799_A_15_19,TaTW_650_799_A_20_24,TaTW_650_799_A_25_34,TaTW_650_799_A_35_44,TaTW_650_799_A_45_54,TaTW_650_799_A_55_64,TaTW_650_799_A_65_74,TaTW_650_799_A_75ov,TaTW_650_799_Tot,TaTW_800_999_A_15_19,TaTW_800_999_A_20_24,TaTW_800_999_A_25_34,TaTW_800_999_A_35_44,TaTW_800_999_A_45_54,TaTW_800_999_A_55_64,TaTW_800_999_A_65_74,TaTW_800_999_A_75ov,TaTW_800_999_Tot,TaTW_1000_1249_A_15_19,TaTW_1000_1249_A_20_24,TaTW_1000_1249_A_25_34,TaTW_1000_1249_A_35_44,TaTW_1000_1249_A_45_54,TaTW_1000_1249_A_55_64,TaTW_1000_1249_A_65_74,TaTW_1000_1249_A_75ov,TaTW_1000_1249_Tot,TaTW_1250_1499_A_15_19,TaTW_1250_1499_A_20_24,TaTW_1250_1499_A_25_34,TaTW_1250_1499_A_35_44,TaTW_1250_1499_A_45_54,TaTW_1250_1499_A_55_64,TaTW_1250_1499_A_65_74,TaTW_1250_1499_A_75ov,TaTW_1250_1499_Tot,TaTW_1500_1749_A_15_19,TaTW_1500_1749_A_20_24,TaTW_1500_1749_A_25_34,TaTW_1500_1749_A_35_44
201011001,0,8,7,0,3,0,20,0,5,12,3,9,3,6,0,27,0,9,7,23,4,12,0,0,52,0,11,22,27,15,15,0,0,86,0,13,18,32,22,14,0,0,103,0,0,42,16,28,19,3,0,110,0,0,12,20,15,14,0,0,69,0,0,14,44,26,19,0,0,101,0,0,7,12,0,3,0,0,21,0,0,8,11,17,5,0,0,40,0,0,0,0,0,0,0,0,0,5,38,157,192,155,108,23,0,678,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,9,0,0,3,0,0,0,0,11,0,0,0,3,0,0,0,0,6,10,3,3,5,3,0,6,0,26,22,19,4,6,5,10,3,0,66,10,28,21,14,6,5,3,0,83,3,30,41,24,22,8,3,0,131,4,15,48,31,22,8,3,0,123,0,10,40,27,23,15,0,0,110,0,0,27,25
201011002,43,52,21,23,10,4,174,0,16,76,93,49,31,28,3,291,3,57,129,117,92,71,25,0,493,0,91,265,209,151,121,25,8,870,0,67,314,223,171,130,37,0,941,0,21,338,244,207,169,24,0,1014,0,6,204,231,212,125,28,0,813,0,5,247,316,311,213,43,0,1134,0,0,35,56,42,38,7,0,183,0,0,44,140,174,108,28,0,491,0,4,4,4,7,11,3,0,30,27,313,1759,1722,1470,1069,276,23,6655,0,0,0,0,0,6,0,0,7,5,0,0,0,0,0,0,0,6,0,3,3,0,0,0,0,0,19,5,3,5,10,3,0,0,0,36,13,3,14,14,6,9,3,0,65,17,32,16,16,15,15,4,0,118,7,48,48,38,26,22,5,0,205,0,42,76,49,50,24,3,0,259,0,32,115,56,54,41,3,0,302,0,14,60,52,28,37,3,0,187,0,6,24,35
201011005,8,4,3,5,8,0,34,0,0,10,10,8,3,3,0,35,0,0,15,13,8,8,7,0,48,0,10,24,28,10,15,4,0,96,0,16,38,27,14,24,5,0,120,0,3,53,45,38,14,6,0,159,0,0,29,48,39,28,5,0,140,0,0,29,73,76,33,12,0,218,0,0,0,5,9,10,0,0,31,0,0,0,6,5,8,4,0,26,0,0,4,0,3,0,0,0,3,4,41,213,263,225,153,59,3,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,7,0,4,0,0,7,0,0,0,18,4,5,3,5,0,4,0,0,18,5,9,5,6,4,4,0,0,32,0,5,22,6,10,0,0,0,39,0,3,16,15,5,8,0,0,44,0,7,8,10,8,4,0,0,36,0,0,11,14
201011006,4,3,0,3,0,0,10,0,0,4,3,4,4,0,0,21,0,3,4,12,4,0,0,0,24,0,0,19,15,7,7,5,0,47,0,4,22,20,6,6,4,0,60,0,3,20,13,9,3,0,0,51,0,0,16,14,8,5,0,0,42,0,0,16,13,10,6,0,0,44,0,0,0,3,0,0,0,0,5,0,0,4,0,4,4,0,0,17,0,0,0,0,0,0,0,0,5,0,15,116,95,69,42,14,0,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,4,0,0,8,4,0,0,3,0,4,4,0,18,18,4,0,0,3,0,0,0,37,23,27,8,8,8,11,3,0,79,4,37,20,9,9,13,4,0,92,0,49,55,29,37,18,7,0,195,0,30,72,39,40,28,5,0,212,0,7,49,26,27,15,4,0,121,0,0,30,27
201011007,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,4,0,0,0,6,0,0,0,0,12,0,0,9,3,8,0,0,0,16,0,0,8,0,0,0,0,0,7,0,0,0,0,3,0,0,0,9,0,0,0,6,3,0,0,0,10,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,17,16,3,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,10,5,0,0,0,0,0,0,0,13,0,0,10,0,0,0,0,0,12,0,8,3,4,8,3,0,0,24,0,5,5,5,7,3,0,0,16,0,0,6,3,0,4,0,0,18,0,0,8,5
201011008,7,9,5,7,0,0,31,0,5,8,9,10,9,5,0,51,0,13,13,30,16,13,9,0,83,0,12,57,30,15,23,3,0,149,0,18,89,34,25,20,6,0,190,0,6,69,64,34,23,0,0,193,0,0,53,54,46,30,6,0,179,0,0,30,97,79,52,10,0,269,0,0,4,15,17,8,0,0,37,0,0,6,13,17,3,0,0,42,0,0,0,0,0,0,0,0,3,10,55,340,365,268,189,39,3,1271,0,0,0,0,0,3,0,0,6,4,0,0,3,0,3,0,0,10,11,4,0,0,6,0,0,0,22,12,0,3,3,5,4,0,0,25,25,8,6,12,0,6,4,0,67,41,31,11,12,5,6,0,4,107,18,69,36,19,11,15,10,0,175,9,68,91,58,36,55,3,0,319,9,57,135,79,87,62,9,0,430,0,19,80,64,76,39,6,0,281,0,10,55,36
201011481,0,11,6,3,4,0,25,0,4,4,5,10,13,0,0,35,0,4,20,10,12,3,6,0,51,0,3,13,25,13,5,0,0,61,0,0,33,18,20,8,0,0,81,0,0,38,17,6,6,4,0,76,0,0,7,7,16,7,0,0,43,0,4,7,19,12,8,4,0,54,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,8,23,140,113,97,81,20,3,487,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,9,0,0,4,0,0,3,0,0,11,9,3,5,0,3,3,0,0,26,9,11,6,5,6,7,0,0,40,4,15,11,4,3,9,0,0,46,0,17,29,12,16,10,0,0,80,5,10,24,20,13,14,0,0,83,0,4,15,12,14,6,0,0,58,0,0,8,6
201011482,3,4,3,8,5,0,26,0,0,4,10,5,5,0,0,27,0,6,7,14,12,7,5,0,50,0,5,17,21,19,15,3,0,83,0,4,26,17,10,13,4,0,68,0,0,17,16,14,9,3,0,65,0,0,7,16,13,7,0,6,41,0,0,13,27,16,15,3,0,76,0,0,0,8,5,6,0,0,16,0,0,3,6,10,3,0,0,21,0,0,0,0,0,0,0,0,4,0,16,108,147,103,98,36,11,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,5,0,0,8,0,0,5,0,0,0,0,0,5,9,3,0,0,6,0,3,0,13,13,3,7,9,0,0,0,0,38,3,9,9,0,8,8,6,0,49,0,10,12,9,9,10,5,0,50,0,9,13,12,8,8,0,0,52,0,10,14,10,8,9,3,0,51,0,4,7,5
201011483,9,14,4,4,4,0,41,0,0,7,4,3,0,7,0,27,0,6,17,17,9,7,3,0,63,0,6,23,13,16,9,3,0,65,0,12,25,22,13,11,0,0,80,0,0,26,19,21,13,0,0,80,0,0,18,19,27,8,4,0,83,0,0,12,35,40,21,0,0,109,0,0,4,5,4,0,0,0,9,0,0,0,3,0,3,4,0,14,0,0,0,0,0,0,0,0,3,0,27,150,164,147,89,26,0,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,6,9,5,3,0,0,0,0,0,18,11,8,6,7,7,0,0,0,37,8,16,9,3,7,7,0,0,49,4,15,19,8,9,4,6,0,64,0,9,29,31,21,7,0,0,103,0,6,19,17,11,11,0,0,61,0,4,11,14
201011484,3,4,4,0,0,0,20,0,4,10,12,0,8,0,0,30,0,0,7,14,7,0,3,0,28,0,3,24,16,7,10,5,0,70,0,13,26,14,15,7,0,0,75,0,0,28,23,21,11,0,0,82,0,4,3,18,15,10,0,0,54,0,0,13,16,26,15,0,0,81,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,13,0,0,0,0,0,0,0,0,3,5,30,123,135,111,69,16,3,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,9,4,0,8,0,0,0,0,0,19,14,14,5,11,8,11,0,0,58,6,11,10,10,11,9,4,0,57,5,5,28,9,14,13,4,0,81,0,9,10,13,16,11,0,0,61,0,0,11,9,9,7,0,0,41,0,0,7,4
