POW_SA2_CODE_2021,SWs_PINS_H_0,SWs_PINS_H_1_19,SWs_PINS_H_20_29,SWs_PINS_H_30_34,SWs_PINS_H_35_39,SWs_PINS_H_40_44,SWs_PINS_H_45_49,SWs_PINS_H_50ov,SWs_PINS_H_NS,SWs_PINS_H_Tot,SWs_Tot_H_0,SWs_Tot_H_1_19,SWs_Tot_H_20_29,SWs_Tot_H_30_34,SWs_Tot_H_35_39,SWs_Tot_H_40_44,SWs_Tot_H_45_49,SWs_Tot_H_50ov,SWs_Tot_H_NS,SWs_Tot_H_Tot,MaOpD_NNI_H_0,MaOpD_NNI_H_1_19,MaOpD_NNI_H_20_29,MaOpD_NNI_H_30_34,MaOpD_NNI_H_35_39,MaOpD_NNI_H_40_44,MaOpD_NNI_H_45_49,MaOpD_NNI_H_50ov,MaOpD_NNI_H_NS,MaOpD_NNI_H_Tot,MaOpD_1_149_H_0,MaOpD_1_149_H_1_19,MaOpD_1_149_H_20_29,MaOpD_1_149_H_30_34,MaOpD_1_149_H_35_39,MaOpD_1_149_H_40_44,MaOpD_1_149_H_45_49,MaOpD_1_149_H_50ov,MaOpD_1_149_H_NS,MaOpD_1_149_H_Tot,MaOpD_150_299_H_0,MaOpD_150_299_H_1_19,MaOpD_150_299_H_20_29,MaOpD_150_299_H_30_34,MaOpD_150_299_H_35_39,MaOpD_150_299_H_40_44,MaOpD_150_299_H_45_49,MaOpD_150_299_H_50ov,MaOpD_150_299_H_NS,MaOpD_150_299_H_Tot,MaOpD_300_399_H_0,MaOpD_300_399_H_1_19,MaOpD_300_399_H_20_29,MaOpD_300_399_H_30_34,MaOpD_300_399_H_35_39,MaOpD_300_399_H_40_44,MaOpD_300_399_H_45_49,MaOpD_300_399_H_50ov,MaOpD_300_399_H_NS,MaOpD_300_399_H_Tot,MaOpD_400_499_H_0,MaOpD_400_499_H_1_19,MaOpD_400_499_H_20_29,MaOpD_400_499_H_30_34,MaOpD_400_499_H_35_39,MaOpD_400_499_H_40_44,MaOpD_400_499_H_45_49,MaOpD_400_499_H_50ov,MaOpD_400_499_H_NS,MaOpD_400_499_H_Tot,MaOpD_500_649_H_0,MaOpD_500_649_H_1_19,MaOpD_500_649_H_20_29,MaOpD_500_649_H_30_34,MaOpD_500_649_H_35_39,MaOpD_500_649_H_40_44,MaOpD_500_649_H_45_49,MaOpD_500_649_H_50ov,MaOpD_500_649_H_NS,MaOpD_500_649_H_Tot,MaOpD_650_799_H_0,MaOpD_650_799_H_1_19,MaOpD_650_799_H_20_29,MaOpD_650_799_H_30_34,MaOpD_650_799_H_35_39,MaOpD_650_799_H_40_44,MaOpD_650_799_H_45_49,MaOpD_650_799_H_50ov,MaOpD_650_799_H_NS,MaOpD_650_799_H_Tot,MaOpD_800_999_H_0,MaOpD_800_999_H_1_19,MaOpD_800_999_H_20_29,MaOpD_800_999_H_30_34,MaOpD_800_999_H_35_39,MaOpD_800_999_H_40_44,MaOpD_800_999_H_45_49,MaOpD_800_999_H_50ov,MaOpD_800_999_H_NS,MaOpD_800_999_H_Tot,MaOpD_1000_1249_H_0,MaOpD_1000_1249_H_1_19,MaOpD_1000_1249_H_20_29,MaOpD_1000_1249_H_30_34,MaOpD_1000_1249_H_35_39,MaOpD_1000_1249_H_40_44,MaOpD_1000_1249_H_45_49,MaOpD_1000_1249_H_50ov,MaOpD_1000_1249_H_NS,MaOpD_1000_1249_H_Tot,MaOpD_1250_1499_H_0,MaOpD_1250_1499_H_1_19,MaOpD_1250_1499_H_20_29,MaOpD_1250_1499_H_30_34,MaOpD_1250_1499_H_35_39,MaOpD_1250_1499_H_40_44,MaOpD_1250_1499_H_45_49,MaOpD_1250_1499_H_50ov,MaOpD_1250_1499_H_NS,MaOpD_1250_1499_H_Tot,MaOpD_1500_1749_H_0,MaOpD_1500_1749_H_1_19,MaOpD_1500_1749_H_20_29,MaOpD_1500_1749_H_30_34,MaOpD_1500_1749_H_35_39,MaOpD_1500_1749_H_40_44,MaOpD_1500_1749_H_45_49,MaOpD_1500_1749_H_50ov,MaOpD_1500_1749_H_NS,MaOpD_1500_1749_H_Tot,MaOpD_1750_1999_H_0,MaOpD_1750_1999_H_1_19,MaOpD_1750_1999_H_20_29,MaOpD_1750_1999_H_30_34,MaOpD_1750_1999_H_35_39,MaOpD_1750_1999_H_40_44,MaOpD_1750_1999_H_45_49,MaOpD_1750_1999_H_50ov,MaOpD_1750_1999_H_NS,MaOpD_1750_1999_H_Tot,MaOpD_2000_2999_H_0,MaOpD_2000_2999_H_1_19,MaOpD_2000_2999_H_20_29,MaOpD_2000_2999_H_30_34,MaOpD_2000_2999_H_35_39,MaOpD_2000_2999_H_40_44,MaOpD_2000_2999_H_45_49,MaOpD_2000_2999_H_50ov,MaOpD_2000_2999_H_NS,MaOpD_2000_2999_H_Tot,MaOpD_3000_3499_H_0,MaOpD_3000_3499_H_1_19,MaOpD_3000_3499_H_20_29,MaOpD_3000_3499_H_30_34,MaOpD_3000_3499_H_35_39,MaOpD_3000_3499_H_40_44,MaOpD_3000_3499_H_45_49,MaOpD_3000_3499_H_50ov,MaOpD_3000_3499_H_NS,MaOpD_3000_3499_H_Tot,MaOpD_3500mo_H_0,MaOpD_3500mo_H_1_19,MaOpD_3500mo_H_20_29,MaOpD_3500mo_H_30_34,MaOpD_3500mo_H_35_39,MaOpD_3500mo_H_40_44,MaOpD_3500mo_H_45_49,MaOpD_3500mo_H_50ov,MaOpD_3500mo_H_NS,MaOpD_3500mo_H_Tot,MaOpD_PINS_H_0,MaOpD_PINS_H_1_19,MaOpD_PINS_H_20_29,MaOpD_PINS_H_30_34,MaOpD_PINS_H_35_39,MaOpD_PINS_H_40_44,MaOpD_PINS_H_45_49,MaOpD_PINS_H_50ov,MaOpD_PINS_H_NS,MaOpD_PINS_H_Tot,MaOpD_Tot_H_0,MaOpD_Tot_H_1_19,MaOpD_Tot_H_20_29,MaOpD_Tot_H_30_34,MaOpD_Tot_H_35_39,MaOpD_Tot_H_40_44,MaOpD_Tot_H_45_49,MaOpD_Tot_H_50ov,MaOpD_Tot_H_NS,MaOpD_Tot_H_Tot,Lab_NNI_H_0,Lab_NNI_H_1_19,Lab_NNI_H_20_29,Lab_NNI_H_30_34,Lab_NNI_H_35_39,Lab_NNI_H_40_44,Lab_NNI_H_45_49,Lab_NNI_H_50ov,Lab_NNI_H_NS,Lab_NNI_H_Tot
201011001,0,0,0,0,0,0,0,0,3,5,23,149,70,25,55,60,12,29,5,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,3,4,0,0,0,0,0,0,9,0,7,4,6,0,4,0,0,0,18,0,4,5,0,5,9,0,0,0,26,3,0,5,3,17,11,0,5,0,48,0,0,0,0,13,17,4,8,0,44,0,0,0,0,10,10,0,3,0,24,0,0,0,0,4,7,0,8,0,19,0,0,0,0,0,4,0,4,0,9,4,0,0,0,0,0,0,12,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,23,28,19,49,57,12,40,0,232,0,0,0,0,0,0,0,0,0,6
201011002,0,7,5,3,0,0,0,0,0,14,158,735,356,176,352,213,57,79,20,2144,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,12,0,10,3,4,0,0,0,0,0,16,5,16,13,4,6,3,0,0,0,46,3,0,11,0,16,5,5,0,0,33,0,4,7,9,32,13,0,6,0,72,0,0,4,5,19,6,3,3,0,52,0,0,0,4,10,6,0,0,0,18,0,0,0,0,0,3,4,4,0,11,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,6,20,49,38,19,79,52,16,20,11,306,3,0,0,0,0,0,0,0,0,3
201011005,0,0,0,0,0,0,0,0,0,0,3,47,20,3,13,3,0,3,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,11,0,4,0,31,0,0,0,0,0,0,0,0,0,0
201011006,0,3,0,0,0,0,0,0,0,8,36,208,103,52,98,88,19,16,11,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,7,0,3,0,0,0,0,0,11,0,9,3,0,0,0,0,0,0,22,0,7,12,4,4,0,4,0,0,30,0,7,11,10,18,0,4,0,0,50,0,11,8,7,47,30,12,9,0,121,8,5,12,8,31,41,17,16,0,135,0,0,0,0,12,26,20,24,0,88,0,0,0,0,8,12,10,28,0,59,3,0,0,0,4,5,4,16,0,37,0,0,0,0,0,0,0,20,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,20,51,45,37,118,120,78,118,7,592,0,3,0,0,0,0,0,0,0,3
201011007,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,4,6,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,11,10,15,4,44,0,0,0,0,0,0,0,0,0,0
201011008,0,3,0,0,0,4,0,0,4,7,92,345,167,67,144,87,28,40,16,984,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,8,5,0,0,0,0,0,0,12,0,15,10,0,0,0,0,0,0,25,0,3,18,0,4,5,0,0,0,38,0,10,12,6,18,16,0,5,0,70,3,5,9,17,74,51,9,14,0,195,6,5,10,14,72,101,43,35,5,290,8,0,0,3,27,50,24,56,0,170,4,0,0,0,13,27,9,32,0,98,9,0,0,0,14,17,9,35,3,77,0,0,3,0,0,11,9,44,0,74,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,4,0,5,0,10,0,0,0,0,0,0,0,0,5,4,45,58,66,50,229,283,107,232,11,1082,0,3,0,0,0,0,0,0,0,13
201011481,0,0,0,0,0,0,0,0,0,5,19,91,41,22,25,25,4,9,0,235,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,7,0,3,0,0,3,5,0,0,0,14,0,0,0,0,11,5,4,0,0,25,0,0,0,0,0,4,0,5,0,18,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,4,3,6,0,11,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8,25,11,4,18,25,14,19,0,124,0,0,0,0,0,0,0,0,0,0
201011482,0,0,0,0,0,0,0,0,0,0,12,68,26,19,16,24,6,4,5,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,4,0,0,0,0,0,0,10,0,0,6,3,0,0,0,0,0,10,0,0,0,0,9,15,0,3,3,31,0,0,6,0,10,11,5,5,0,35,0,0,0,0,5,19,3,3,0,30,3,0,0,3,6,22,3,8,3,45,0,0,0,0,0,10,3,0,0,16,3,0,0,0,0,8,3,0,0,20,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13,11,16,8,34,94,30,22,8,231,0,0,0,0,0,0,0,0,0,4
201011483,0,0,0,0,0,4,0,0,0,4,15,77,38,18,29,16,4,4,3,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,0,10,3,0,0,0,24,0,3,0,0,11,7,0,4,0,24,0,0,3,0,9,3,0,3,0,24,0,3,0,3,3,4,0,9,0,16,0,0,0,0,0,7,0,12,0,18,0,0,0,0,0,0,3,13,0,21,3,0,0,0,4,4,0,32,0,39,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,13,14,15,3,41,30,9,69,5,201,0,0,0,0,0,0,0,0,0,3
201011484,0,5,0,0,0,0,0,0,0,5,30,243,100,51,72,31,10,12,0,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,7,0,3,4,0,0,0,0,0,0,7,0,5,3,3,0,0,0,0,0,17,0,4,7,5,6,0,0,0,0,20,7,3,4,0,4,6,3,4,0,31,5,5,0,0,5,7,0,4,0,30,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,5,3,0,0,4,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,36,20,9,16,20,9,20,3,144,0,0,0,0,0,0,0,0,0,0
