POW_SA2_CODE_2021,BDLA_NNI_Mng,BDLA_NNI_Pro,BDLA_NNI_TecTW,BDLA_NNI_CoPSW,BDLA_NNI_ClAW,BDLA_NNI_SWks,BDLA_NNI_MaOpDv,BDLA_NNI_Lab,BDLA_NNI_IDNS,BDLA_NNI_Tot,BDLA_1_149_Mng,BDLA_1_149_Pro,BDLA_1_149_TecTW,BDLA_1_149_CoPSW,BDLA_1_149_ClAW,BDLA_1_149_SWks,BDLA_1_149_MaOpDv,BDLA_1_149_Lab,BDLA_1_149_IDNS,BDLA_1_149_Tot,BDLA_150_299_Mng,BDLA_150_299_Pro,BDLA_150_299_TecTW,BDLA_150_299_CoPSW,BDLA_150_299_ClAW,BDLA_150_299_SWks,BDLA_150_299_MaOpDv,BDLA_150_299_Lab,BDLA_150_299_IDNS,BDLA_150_299_Tot,BDLA_300_399_Mng,BDLA_300_399_Pro,BDLA_300_399_TecTW,BDLA_300_399_CoPSW,BDLA_300_399_ClAW,BDLA_300_399_SWks,BDLA_300_399_MaOpDv,BDLA_300_399_Lab,BDLA_300_399_IDNS,BDLA_300_399_Tot,BDLA_400_499_Mng,BDLA_400_499_Pro,BDLA_400_499_TecTW,BDLA_400_499_CoPSW,BDLA_400_499_ClAW,BDLA_400_499_SWks,BDLA_400_499_MaOpDv,BDLA_400_499_Lab,BDLA_400_499_IDNS,BDLA_400_499_Tot,BDLA_500_649_Mng,BDLA_500_649_Pro,BDLA_500_649_TecTW,BDLA_500_649_CoPSW,BDLA_500_649_ClAW,BDLA_500_649_SWks,BDLA_500_649_MaOpDv,BDLA_500_649_Lab,BDLA_500_649_IDNS,BDLA_500_649_Tot,BDLA_650_799_Mng,BDLA_650_799_Pro,BDLA_650_799_TecTW,BDLA_650_799_CoPSW,BDLA_650_799_ClAW,BDLA_650_799_SWks,BDLA_650_799_MaOpDv,BDLA_650_799_Lab,BDLA_650_799_IDNS,BDLA_650_799_Tot,BDLA_800_999_Mng,BDLA_800_999_Pro,BDLA_800_999_TecTW,BDLA_800_999_CoPSW,BDLA_800_999_ClAW,BDLA_800_999_SWks,BDLA_800_999_MaOpDv,BDLA_800_999_Lab,BDLA_800_999_IDNS,BDLA_800_999_Tot,BDLA_1000_1249_Mng,BDLA_1000_1249_Pro,BDLA_1000_1249_TecTW,BDLA_1000_1249_CoPSW,BDLA_1000_1249_ClAW,BDLA_1000_1249_SWks,BDLA_1000_1249_MaOpDv,BDLA_1000_1249_Lab,BDLA_1000_1249_IDNS,BDLA_1000_1249_Tot,BDLA_1250_1499_Mng,BDLA_1250_1499_Pro,BDLA_1250_1499_TecTW,BDLA_1250_1499_CoPSW,BDLA_1250_1499_ClAW,BDLA_1250_1499_SWks,BDLA_1250_1499_MaOpDv,BDLA_1250_1499_Lab,BDLA_1250_1499_IDNS,BDLA_1250_1499_Tot,BDLA_1500_1749_Mng,BDLA_1500_1749_Pro,BDLA_1500_1749_TecTW,BDLA_1500_1749_CoPSW,BDLA_1500_1749_ClAW,BDLA_1500_1749_SWks,BDLA_1500_1749_MaOpDv,BDLA_1500_1749_Lab,BDLA_1500_1749_IDNS,BDLA_1500_1749_Tot,BDLA_1750_1999_Mng,BDLA_1750_1999_Pro,BDLA_1750_1999_TecTW,BDLA_1750_1999_CoPSW,BDLA_1750_1999_ClAW,BDLA_1750_1999_SWks,BDLA_1750_1999_MaOpDv,BDLA_1750_1999_Lab,BDLA_1750_1999_IDNS,BDLA_1750_1999_Tot,BDLA_2000_2999_Mng,BDLA_2000_2999_Pro,BDLA_2000_2999_TecTW,BDLA_2000_2999_CoPSW,BDLA_2000_2999_ClAW,BDLA_2000_2999_SWks,BDLA_2000_2999_MaOpDv,BDLA_2000_2999_Lab,BDLA_2000_2999_IDNS,BDLA_2000_2999_Tot,BDLA_3000_3499_Mng,BDLA_3000_3499_Pro,BDLA_3000_3499_TecTW,BDLA_3000_3499_CoPSW,BDLA_3000_3499_ClAW,BDLA_3000_3499_SWks,BDLA_3000_3499_MaOpDv,BDLA_3000_3499_Lab,BDLA_3000_3499_IDNS,BDLA_3000_3499_Tot,BDLA_3500mo_Mng,BDLA_3500mo_Pro,BDLA_3500mo_TecTW,BDLA_3500mo_CoPSW,BDLA_3500mo_ClAW,BDLA_3500mo_SWks,BDLA_3500mo_MaOpDv,BDLA_3500mo_Lab,BDLA_3500mo_IDNS,BDLA_3500mo_Tot,BDLA_PINS_Mng,BDLA_PINS_Pro,BDLA_PINS_TecTW,BDLA_PINS_CoPSW,BDLA_PINS_ClAW,BDLA_PINS_SWks,BDLA_PINS_MaOpDv,BDLA_PINS_Lab,BDLA_PINS_IDNS,BDLA_PINS_Tot,BDLA_Tot_Mng,BDLA_Tot_Pro,BDLA_Tot_TecTW,BDLA_Tot_CoPSW,BDLA_Tot_ClAW,BDLA_Tot_SWks,BDLA_Tot_MaOpDv,BDLA_Tot_Lab,BDLA_Tot_IDNS,BDLA_Tot_Tot,Ad_Dip_NNI_Mng,Ad_Dip_NNI_Pro,Ad_Dip_NNI_TecTW,Ad_Dip_NNI_CoPSW,Ad_Dip_NNI_ClAW,Ad_Dip_NNI_SWks,Ad_Dip_NNI_MaOpDv,Ad_Dip_NNI_Lab,Ad_Dip_NNI_IDNS,Ad_Dip_NNI_Tot,Ad_Dip_1_149_Mng,Ad_Dip_1_149_Pro,Ad_Dip_1_149_TecTW,Ad_Dip_1_149_CoPSW,Ad_Dip_1_149_ClAW,Ad_Dip_1_149_SWks,Ad_Dip_1_149_MaOpDv,Ad_Dip_1_149_Lab,Ad_Dip_1_149_IDNS,Ad_Dip_1_149_Tot,Ad_Dip_150_299_Mng,Ad_Dip_150_299_Pro,Ad_Dip_150_299_TecTW,Ad_Dip_150_299_CoPSW,Ad_Dip_150_299_ClAW,Ad_Dip_150_299_SWks,Ad_Dip_150_299_MaOpDv,Ad_Dip_150_299_Lab,Ad_Dip_150_299_IDNS,Ad_Dip_150_299_Tot
201011001,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,7,0,5,3,0,0,0,0,16,0,7,0,3,0,6,0,0,0,19,0,8,3,8,0,6,0,3,0,31,4,10,4,21,7,5,4,3,0,51,3,20,7,26,7,8,0,5,0,78,9,42,7,32,3,4,3,3,0,108,12,73,8,25,14,3,0,5,0,144,15,79,6,9,10,0,4,0,0,122,15,92,0,8,3,0,5,0,0,117,12,56,0,4,4,0,0,0,0,75,46,87,3,0,8,4,0,0,0,148,12,21,0,0,0,0,0,0,0,38,18,27,0,0,3,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,146,532,39,142,72,35,23,26,4,1006,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,9
201011002,5,5,0,0,4,0,0,0,0,8,0,17,0,4,0,4,0,0,0,30,3,29,0,9,4,5,6,5,0,72,5,34,4,25,14,12,0,9,3,108,3,60,4,32,20,12,6,11,0,145,18,113,11,51,26,41,6,18,3,290,22,217,26,61,69,26,0,17,3,443,24,371,40,81,97,38,6,12,0,676,49,658,33,87,151,24,6,4,3,1013,50,748,31,53,79,19,0,0,8,980,70,838,13,54,71,9,0,3,5,1059,68,684,16,39,65,5,0,5,11,890,228,997,13,62,56,15,0,4,0,1381,51,161,0,9,10,0,0,0,0,243,109,447,4,8,13,9,0,0,4,584,4,28,0,4,3,0,0,0,3,42,714,5412,198,581,697,213,25,76,52,7963,5,4,0,0,0,0,0,0,5,9,0,4,0,0,0,0,0,4,0,12,0,6,0,10,7,11,0,3,0,31
201011005,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,7,0,9,3,5,0,0,0,0,0,22,0,5,0,3,6,7,0,0,0,25,3,22,3,13,3,0,0,4,3,57,3,21,3,11,18,0,0,4,5,63,5,39,4,18,23,0,0,0,0,93,5,73,11,12,15,5,0,0,0,114,16,101,7,10,42,0,0,0,0,177,18,133,16,6,37,0,0,0,0,208,23,117,3,12,28,0,0,0,0,178,53,197,9,15,23,0,0,0,3,303,19,23,0,3,3,0,0,0,0,53,32,25,0,0,0,0,0,0,0,57,0,3,0,0,0,0,0,0,0,7,176,789,53,116,206,8,3,8,17,1380,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011006,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,9,0,5,0,8,0,6,0,0,0,20,0,9,4,13,6,5,0,4,3,35,4,9,3,6,4,9,0,7,0,50,4,13,14,28,7,5,4,10,0,81,18,39,3,12,6,10,8,5,0,106,7,34,0,8,8,0,0,6,0,68,13,37,8,10,0,3,0,0,0,66,7,37,5,3,0,0,3,0,0,49,23,41,0,3,8,0,0,0,0,76,8,6,0,0,0,0,0,0,0,17,14,11,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,3,108,258,38,107,34,40,17,33,9,641,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,3,4,0,0,0,0,9
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,0,4,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,4,0,12,3,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,9,4,10,0,0,0,0,0,0,0,13,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,58,3,6,7,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011008,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,4,3,0,7,5,5,0,6,0,23,6,9,0,14,4,0,0,4,0,32,4,8,0,15,3,18,8,3,0,58,11,23,3,13,10,11,0,17,0,94,7,27,9,25,14,13,6,5,0,102,14,55,22,26,23,9,6,16,0,173,19,95,16,16,38,13,7,6,3,218,31,138,16,4,34,4,4,7,0,248,25,147,16,7,18,4,6,10,0,236,24,143,9,7,10,0,7,0,7,211,131,227,7,21,19,3,3,3,0,424,41,33,0,5,3,0,0,0,0,83,75,31,0,0,7,0,0,0,0,124,0,0,0,0,0,0,0,0,0,5,386,958,111,167,196,73,44,85,26,2041,6,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,9,4,0,0,4,4,6,0,0,0,20
201011481,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,8,0,19,5,7,4,0,0,4,0,0,0,21,0,16,0,9,0,0,0,3,0,28,9,12,0,9,3,0,0,3,0,35,3,25,0,17,6,3,4,0,0,65,14,30,8,21,6,5,0,0,0,83,9,42,10,18,3,0,0,4,0,85,10,62,0,17,3,0,0,0,0,95,7,63,4,5,0,0,0,0,0,78,6,35,3,0,0,0,0,0,0,47,33,52,0,0,3,0,0,0,0,90,10,5,0,0,0,0,0,0,0,14,6,3,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,4,107,363,33,96,42,12,10,20,6,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6
201011482,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,8,0,7,4,0,0,0,0,12,0,5,0,5,4,0,0,4,0,22,3,6,0,0,7,0,0,4,0,15,0,17,6,7,6,4,5,3,0,36,5,17,3,8,9,0,5,4,0,45,4,29,3,15,8,0,6,0,5,72,13,59,3,9,6,5,8,0,0,99,10,53,3,0,0,0,7,0,0,71,7,57,0,0,3,0,8,0,5,82,6,37,0,0,0,3,0,0,0,51,20,67,0,4,7,3,0,0,0,106,13,18,0,0,0,0,0,0,0,29,17,17,0,0,4,0,0,0,0,41,0,0,0,0,0,0,0,0,0,4,108,376,23,59,51,15,35,15,10,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,3,0,0,0,0,0,8
201011483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,4,3,0,3,0,0,0,0,0,9,0,10,0,9,0,4,0,0,0,24,3,10,4,3,0,4,0,0,0,24,5,23,0,16,5,5,0,8,0,63,5,21,5,17,4,10,0,3,0,60,4,37,4,22,10,0,0,4,0,82,7,47,13,14,9,0,0,0,0,101,7,68,4,3,4,0,0,3,0,98,9,73,0,3,13,0,0,0,0,101,12,76,0,0,0,0,0,0,0,83,27,100,0,0,0,0,0,0,0,136,12,9,0,0,3,0,0,0,0,29,7,9,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,8,101,496,35,95,51,23,9,21,6,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11
201011484,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,9,0,0,0,3,0,3,0,0,0,11,0,5,0,6,0,0,0,0,0,17,0,7,0,3,0,7,0,0,0,20,0,18,0,5,6,7,3,3,0,57,5,16,5,5,4,7,4,0,0,48,9,25,7,20,4,4,4,3,0,64,9,56,0,17,3,4,0,0,3,98,10,60,0,13,4,0,0,0,0,87,7,72,0,5,5,4,0,0,0,95,8,43,0,14,0,0,0,0,0,59,17,75,0,9,0,0,0,0,0,99,9,3,0,4,0,0,0,0,0,16,4,13,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,0,0,5,72,396,21,105,30,35,19,9,4,700,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,7
