POW_SA2_CODE_2021,FTS_None_Mng,FTS_None_Pro,FTS_None_TecTW,FTS_None_CoPSW,FTS_None_ClAW,FTS_None_SWks,FTS_None_MaOpDv,FTS_None_Lab,FTS_None_IDNS,FTS_None_Tot,FTS_1_15_Mng,FTS_1_15_Pro,FTS_1_15_TecTW,FTS_1_15_CoPSW,FTS_1_15_ClAW,FTS_1_15_SWks,FTS_1_15_MaOpDv,FTS_1_15_Lab,FTS_1_15_IDNS,FTS_1_15_Tot,FTS_16_24_Mng,FTS_16_24_Pro,FTS_16_24_TecTW,FTS_16_24_CoPSW,FTS_16_24_ClAW,FTS_16_24_SWks,FTS_16_24_MaOpDv,FTS_16_24_Lab,FTS_16_24_IDNS,FTS_16_24_Tot,FTS_25_34_Mng,FTS_25_34_Pro,FTS_25_34_TecTW,FTS_25_34_CoPSW,FTS_25_34_ClAW,FTS_25_34_SWks,FTS_25_34_MaOpDv,FTS_25_34_Lab,FTS_25_34_IDNS,FTS_25_34_Tot,FTS_35_39_Mng,FTS_35_39_Pro,FTS_35_39_TecTW,FTS_35_39_CoPSW,FTS_35_39_ClAW,FTS_35_39_SWks,FTS_35_39_MaOpDv,FTS_35_39_Lab,FTS_35_39_IDNS,FTS_35_39_Tot,FTS_40_Mng,FTS_40_Pro,FTS_40_TecTW,FTS_40_CoPSW,FTS_40_ClAW,FTS_40_SWks,FTS_40_MaOpDv,FTS_40_Lab,FTS_40_IDNS,FTS_40_Tot,FTS_41_48_Mng,FTS_41_48_Pro,FTS_41_48_TecTW,FTS_41_48_CoPSW,FTS_41_48_ClAW,FTS_41_48_SWks,FTS_41_48_MaOpDv,FTS_41_48_Lab,FTS_41_48_IDNS,FTS_41_48_Tot,FTS_49ov_Mng,FTS_49ov_Pro,FTS_49ov_TecTW,FTS_49ov_CoPSW,FTS_49ov_ClAW,FTS_49ov_SWks,FTS_49ov_MaOpDv,FTS_49ov_Lab,FTS_49ov_IDNS,FTS_49ov_Tot,FTS_NS_Mng,FTS_NS_Pro,FTS_NS_TecTW,FTS_NS_CoPSW,FTS_NS_ClAW,FTS_NS_SWks,FTS_NS_MaOpDv,FTS_NS_Lab,FTS_NS_IDNS,FTS_NS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_Inad_des_Tot,FTS_Tot_Tot,PTS_None_Mng,PTS_None_Pro,PTS_None_TecTW,PTS_None_CoPSW,PTS_None_ClAW,PTS_None_SWks,PTS_None_MaOpDv,PTS_None_Lab,PTS_None_IDNS,PTS_None_Tot,PTS_1_15_Mng,PTS_1_15_Pro,PTS_1_15_TecTW,PTS_1_15_CoPSW,PTS_1_15_ClAW,PTS_1_15_SWks,PTS_1_15_MaOpDv,PTS_1_15_Lab,PTS_1_15_IDNS,PTS_1_15_Tot,PTS_16_24_Mng,PTS_16_24_Pro,PTS_16_24_TecTW,PTS_16_24_CoPSW,PTS_16_24_ClAW,PTS_16_24_SWks,PTS_16_24_MaOpDv,PTS_16_24_Lab,PTS_16_24_IDNS,PTS_16_24_Tot,PTS_25_34_Mng,PTS_25_34_Pro,PTS_25_34_TecTW,PTS_25_34_CoPSW,PTS_25_34_ClAW,PTS_25_34_SWks,PTS_25_34_MaOpDv,PTS_25_34_Lab,PTS_25_34_IDNS,PTS_25_34_Tot,PTS_35_39_Mng,PTS_35_39_Pro,PTS_35_39_TecTW,PTS_35_39_CoPSW,PTS_35_39_ClAW,PTS_35_39_SWks,PTS_35_39_MaOpDv,PTS_35_39_Lab,PTS_35_39_IDNS,PTS_35_39_Tot,PTS_40_Mng,PTS_40_Pro,PTS_40_TecTW,PTS_40_CoPSW,PTS_40_ClAW,PTS_40_SWks,PTS_40_MaOpDv,PTS_40_Lab,PTS_40_IDNS,PTS_40_Tot,PTS_41_48_Mng,PTS_41_48_Pro,PTS_41_48_TecTW,PTS_41_48_CoPSW,PTS_41_48_ClAW,PTS_41_48_SWks,PTS_41_48_MaOpDv,PTS_41_48_Lab,PTS_41_48_IDNS,PTS_41_48_Tot,PTS_49ov_Mng,PTS_49ov_Pro,PTS_49ov_TecTW,PTS_49ov_CoPSW,PTS_49ov_ClAW,PTS_49ov_SWks,PTS_49ov_MaOpDv,PTS_49ov_Lab,PTS_49ov_IDNS,PTS_49ov_Tot,PTS_NS_Mng,PTS_NS_Pro,PTS_NS_TecTW,PTS_NS_CoPSW,PTS_NS_ClAW,PTS_NS_SWks,PTS_NS_MaOpDv,PTS_NS_Lab,PTS_NS_IDNS,PTS_NS_Tot,PTS_Tot_Mng,PTS_Tot_Pro,PTS_Tot_TecTW,PTS_Tot_CoPSW,PTS_Tot_ClAW,PTS_Tot_SWks,PTS_Tot_MaOpDv,PTS_Tot_Lab,PTS_Tot_Inad_des_Tot,PTS_Tot_Tot
201011001,0,0,0,13,0,7,0,6,0,31,0,9,4,43,3,92,0,61,0,213,0,0,3,8,3,24,0,8,0,50,0,0,0,3,0,3,0,0,0,14,0,0,0,0,0,3,0,0,0,8,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,10,3,10,19,69,11,131,7,83,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,4,0,4,0,4,0,13,0,0,0,0,0,0,0,0,0,10,0,0,14,3,0,0,0,0,0,20,4,0,15,0,0,0,0,0,0,20,0,0,8,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,5,47,18,3,9,6,9,0,84
201011002,0,0,0,80,8,60,0,34,0,187,10,34,7,219,48,351,11,149,0,828,4,11,13,61,42,59,5,31,3,228,0,0,4,39,22,18,0,5,0,93,0,7,14,10,10,3,0,3,0,43,3,4,0,5,0,0,0,0,0,16,0,4,5,4,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,0,0,7,5,8,0,7,4,24,23,67,43,422,137,503,11,221,16,1440,0,0,0,3,0,4,0,4,0,17,3,0,0,19,3,15,0,15,0,45,0,0,3,23,4,13,0,7,0,49,0,8,5,17,7,5,0,0,0,48,0,8,17,8,11,5,0,0,0,46,0,7,16,4,0,0,3,0,0,36,0,0,5,0,0,5,0,0,0,8,0,0,3,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,5,9,25,50,80,28,38,3,30,0,267
201011005,0,4,0,5,0,3,0,4,0,13,0,8,0,10,0,33,3,7,0,68,0,0,0,7,0,8,0,8,0,22,0,0,3,5,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,5,12,4,23,4,47,0,19,5,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,5,4,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,5,8,4,0,3,0,34
201011006,0,0,0,4,0,14,0,6,0,28,3,0,0,36,5,134,3,45,5,236,0,0,0,17,3,26,0,11,0,63,0,0,0,10,0,11,0,4,0,27,4,0,0,0,0,5,0,0,0,7,0,0,3,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,3,3,12,0,13,73,7,190,4,67,4,376,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,0,3,0,13,0,0,0,3,0,3,0,0,0,6,0,0,6,3,0,5,0,0,0,7,0,0,17,5,5,5,0,0,0,25,0,0,30,9,0,0,0,0,0,39,0,0,11,0,0,0,0,0,0,15,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,66,17,5,21,0,6,4,124
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,13
201011008,0,0,0,12,0,35,0,12,0,63,0,0,5,75,14,158,4,95,0,361,4,4,4,16,6,37,0,23,0,95,3,0,0,3,5,9,0,6,0,27,0,0,10,3,0,4,0,0,0,15,0,3,7,0,0,0,0,0,0,16,0,0,5,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,5,12,5,16,37,116,33,245,9,133,7,597,0,0,0,4,0,0,0,5,0,15,0,0,3,5,3,8,0,0,0,26,0,0,6,4,0,4,3,7,0,19,0,3,6,0,0,7,0,10,0,22,0,3,36,3,5,0,3,0,0,58,0,0,43,0,0,0,0,0,0,54,0,0,19,0,0,0,0,0,0,21,0,0,23,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,6,9,141,14,13,27,9,21,0,233
201011481,0,0,0,13,0,9,0,0,0,24,0,10,5,16,4,46,9,32,0,121,0,0,3,16,0,12,5,4,0,44,0,0,0,8,0,5,0,0,0,13,0,0,6,4,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,12,17,64,3,76,10,38,0,223,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,0,0,9,0,0,7,3,0,0,0,0,0,9,0,0,10,3,0,0,0,0,0,10,0,0,7,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,16,0,3,3,5,0,52
201011482,0,0,0,13,0,4,0,3,0,20,0,0,0,26,6,40,0,28,0,108,0,0,3,0,0,3,0,5,0,19,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,45,10,54,3,36,0,157,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,14,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,10,0,4,0,8,0,41
201011483,0,0,0,18,0,4,0,3,0,23,0,0,8,27,4,37,4,26,0,99,0,0,6,15,0,12,0,3,0,35,0,0,0,7,3,5,0,0,0,16,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,16,67,9,54,5,33,4,186,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,15,0,0,6,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,28,5,0,8,0,3,0,50
201011484,0,0,0,4,0,10,0,7,0,27,0,3,0,19,0,136,5,80,0,255,0,0,0,5,0,28,0,21,0,64,7,0,0,8,0,7,0,0,0,29,0,0,0,3,0,5,0,0,0,14,0,0,6,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,10,6,8,43,6,188,16,106,12,401,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,6,0,16,0,0,7,4,0,0,0,0,0,11,3,0,0,4,0,0,0,3,0,11,4,0,7,5,0,0,0,0,0,14,0,0,5,0,3,0,0,0,0,10,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,19,11,3,13,0,3,0,65
