POW_SA2_CODE_2021,EWFT_15_TertVE_TPTP_FT,EWFT_15_TertVE_TPTP_PT,EWFT_15_TertVE_TPTP_NS,EWFT_15_TertVE_TPTP_Tot,EWFT_15_TertUni_or_OHE_FT,EWFT_15_TertUni_or_OHE_PT,EWFT_15_TertUni_or_OHE_NS,EWFT_15_TertUni_or_OHE_Tot,EWFT_15_Other_FT,EWFT_15_Other_PT,EWFT_15_Other_NS,EWFT_15_Other_Tot,EWFT_15_Not_Stated,EWFT_15_Tot,EWFT_16_TertVE_TPTP_FT,EWFT_16_TertVE_TPTP_PT,EWFT_16_TertVE_TPTP_NS,EWFT_16_TertVE_TPTP_Tot,EWFT_16_TertUni_or_OHE_FT,EWFT_16_TertUni_or_OHE_PT,EWFT_16_TertUni_or_OHE_NS,EWFT_16_TertUni_or_OHE_Tot,EWFT_16_Other_FT,EWFT_16_Other_PT,EWFT_16_Other_NS,EWFT_16_Other_Tot,EWFT_16_Not_Stated,EWFT_16_Tot,EWFT_17_TertVE_TPTP_FT,EWFT_17_TertVE_TPTP_PT,EWFT_17_TertVE_TPTP_NS,EWFT_17_TertVE_TPTP_Tot,EWFT_17_TertUni_or_OHE_FT,EWFT_17_TertUni_or_OHE_PT,EWFT_17_TertUni_or_OHE_NS,EWFT_17_TertUni_or_OHE_Tot,EWFT_17_Other_FT,EWFT_17_Other_PT,EWFT_17_Other_NS,EWFT_17_Other_Tot,EWFT_17_Not_Stated,EWFT_17_Tot,EWFT_18_TertVE_TPTP_FT,EWFT_18_TertVE_TPTP_PT,EWFT_18_TertVE_TPTP_NS,EWFT_18_TertVE_TPTP_Tot,EWFT_18_TertUni_or_OHE_FT,EWFT_18_TertUni_or_OHE_PT,EWFT_18_TertUni_or_OHE_NS,EWFT_18_TertUni_or_OHE_Tot,EWFT_18_Other_FT,EWFT_18_Other_PT,EWFT_18_Other_NS,EWFT_18_Other_Tot,EWFT_18_Not_Stated,EWFT_18_Tot,EWFT_19_TertVE_TPTP_FT,EWFT_19_TertVE_TPTP_PT,EWFT_19_TertVE_TPTP_NS,EWFT_19_TertVE_TPTP_Tot,EWFT_19_TertUni_or_OHE_FT,EWFT_19_TertUni_or_OHE_PT,EWFT_19_TertUni_or_OHE_NS,EWFT_19_TertUni_or_OHE_Tot,EWFT_19_Other_FT,EWFT_19_Other_PT,EWFT_19_Other_NS,EWFT_19_Other_Tot,EWFT_19_Not_Stated,EWFT_19_Tot,EWFT_20_24_TertVE_TPTP_FT,EWFT_20_24_TertVE_TPTP_PT,EWFT_20_24_TertVE_TPTP_NS,EWFT_20_24_TertVE_TPTP_Tot,EWFT_20_24_TertUni_or_OHE_FT,EWFT_20_24_TertUni_or_OHE_PT,EWFT_20_24_TertUni_or_OHE_NS,EWFT_20_24_TertUni_or_OHE_Tot,EWFT_20_24_Other_FT,EWFT_20_24_Other_PT,EWFT_20_24_Other_NS,EWFT_20_24_Other_Tot,EWFT_20_24_Not_Stated,EWFT_20_24_Tot,EWFT_25_29_TertVE_TPTP_FT,EWFT_25_29_TertVE_TPTP_PT,EWFT_25_29_TertVE_TPTP_NS,EWFT_25_29_TertVE_TPTP_Tot,EWFT_25_29_TertUni_or_OHE_FT,EWFT_25_29_TertUni_or_OHE_PT,EWFT_25_29_TertUni_or_OHE_NS,EWFT_25_29_TertUni_or_OHE_Tot,EWFT_25_29_Other_FT,EWFT_25_29_Other_PT,EWFT_25_29_Other_NS,EWFT_25_29_Other_Tot,EWFT_25_29_Not_Stated,EWFT_25_29_Tot,EWFT_30ov_TertVE_TPTP_FT,EWFT_30ov_TertVE_TPTP_PT,EWFT_30ov_TertVE_TPTP_NS,EWFT_30ov_TertVE_TPTP_Tot,EWFT_30ov_TertUni_or_OHE_FT,EWFT_30ov_TertUni_or_OHE_PT,EWFT_30ov_TertUni_or_OHE_NS,EWFT_30ov_TertUni_or_OHE_Tot,EWFT_30ov_Other_FT,EWFT_30ov_Other_PT,EWFT_30ov_Other_NS,EWFT_30ov_Other_Tot,EWFT_30ov_Not_Stated,EWFT_30ov_Tot,EWFT_Tot_TertVE_TPTP_FT,EWFT_Tot_TertVE_TPTP_PT,EWFT_Tot_TertVE_TPTP_NS,EWFT_Tot_TertVE_TPTP_Tot,EWFT_Tot_TertUni_or_OHE_FT,EWFT_Tot_TertUni_or_OHE_PT,EWFT_Tot_TertUni_or_OHE_NS,EWFT_Tot_TertUni_or_OHE_Tot,EWFT_Tot_Other_FT,EWFT_Tot_Other_PT,EWFT_Tot_Other_NS,EWFT_Tot_Other_Tot,EWFT_Tot_Not_Stated,EWFT_Tot_Tot,EWPT_15_TertVE_TPTP_FT,EWPT_15_TertVE_TPTP_PT,EWPT_15_TertVE_TPTP_NS,EWPT_15_TertVE_TPTP_Tot,EWPT_15_TertUni_or_OHE_FT,EWPT_15_TertUni_or_OHE_PT,EWPT_15_TertUni_or_OHE_NS,EWPT_15_TertUni_or_OHE_Tot,EWPT_15_Other_FT,EWPT_15_Other_PT,EWPT_15_Other_NS,EWPT_15_Other_Tot,EWPT_15_Not_Stated,EWPT_15_Tot,EWPT_16_TertVE_TPTP_FT,EWPT_16_TertVE_TPTP_PT,EWPT_16_TertVE_TPTP_NS,EWPT_16_TertVE_TPTP_Tot,EWPT_16_TertUni_or_OHE_FT,EWPT_16_TertUni_or_OHE_PT,EWPT_16_TertUni_or_OHE_NS,EWPT_16_TertUni_or_OHE_Tot,EWPT_16_Other_FT,EWPT_16_Other_PT,EWPT_16_Other_NS,EWPT_16_Other_Tot,EWPT_16_Not_Stated,EWPT_16_Tot,EWPT_17_TertVE_TPTP_FT,EWPT_17_TertVE_TPTP_PT,EWPT_17_TertVE_TPTP_NS,EWPT_17_TertVE_TPTP_Tot,EWPT_17_TertUni_or_OHE_FT,EWPT_17_TertUni_or_OHE_PT,EWPT_17_TertUni_or_OHE_NS,EWPT_17_TertUni_or_OHE_Tot,EWPT_17_Other_FT,EWPT_17_Other_PT,EWPT_17_Other_NS,EWPT_17_Other_Tot,EWPT_17_Not_Stated,EWPT_17_Tot,EWPT_18_TertVE_TPTP_FT,EWPT_18_TertVE_TPTP_PT,EWPT_18_TertVE_TPTP_NS,EWPT_18_TertVE_TPTP_Tot,EWPT_18_TertUni_or_OHE_FT,EWPT_18_TertUni_or_OHE_PT,EWPT_18_TertUni_or_OHE_NS,EWPT_18_TertUni_or_OHE_Tot,EWPT_18_Other_FT,EWPT_18_Other_PT,EWPT_18_Other_NS,EWPT_18_Other_Tot,EWPT_18_Not_Stated,EWPT_18_Tot,EWPT_19_TertVE_TPTP_FT,EWPT_19_TertVE_TPTP_PT,EWPT_19_TertVE_TPTP_NS,EWPT_19_TertVE_TPTP_Tot,EWPT_19_TertUni_or_OHE_FT,EWPT_19_TertUni_or_OHE_PT,EWPT_19_TertUni_or_OHE_NS,EWPT_19_TertUni_or_OHE_Tot,EWPT_19_Other_FT,EWPT_19_Other_PT,EWPT_19_Other_NS,EWPT_19_Other_Tot,EWPT_19_Not_Stated,EWPT_19_Tot,EWPT_20_24_TertVE_TPTP_FT,EWPT_20_24_TertVE_TPTP_PT,EWPT_20_24_TertVE_TPTP_NS,EWPT_20_24_TertVE_TPTP_Tot
201011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,10,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,6,0,0,0,5,0,0,0,0,0,14,9,22,0,29,8,5,0,12,0,3,0,3,0,47,0,15,0,22,7,6,0,13,0,3,0,3,0,39,4,31,0,34,9,18,0,25,0,9,0,8,0,71,14,86,0,103,18,35,0,53,0,17,0,21,4,178,0,0,0,0,0,0,0,0,44,0,0,44,0,44,0,0,0,0,0,0,0,0,58,0,0,58,0,58,0,0,0,0,0,0,0,0,49,0,0,49,0,56,0,5,0,3,12,0,0,14,19,0,0,19,0,39,3,3,0,4,18,0,0,23,0,0,0,0,0,27,9,12,0,22
201011002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,14,0,0,0,0,0,0,0,0,0,18,4,15,0,14,0,0,0,8,0,0,0,0,0,19,21,32,0,55,42,34,0,74,5,5,0,9,0,139,12,30,0,43,33,76,0,106,0,10,0,10,0,158,13,119,0,136,42,261,0,303,13,50,0,59,19,514,55,207,0,268,125,370,0,489,11,64,0,80,19,855,0,0,0,0,0,0,0,0,104,0,0,104,0,102,0,0,0,0,0,0,0,0,176,0,0,176,0,180,5,0,0,3,0,0,0,0,173,0,0,177,0,178,0,9,0,8,52,0,0,51,65,0,0,60,0,125,11,14,0,24,109,8,0,123,0,0,0,0,0,141,36,31,0,64
201011005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,5,6,0,11,0,0,0,0,0,24,0,7,0,6,7,12,0,19,0,0,0,0,0,25,0,31,0,31,11,82,0,90,0,12,0,12,3,136,4,49,0,51,21,94,0,120,0,12,0,12,3,176,0,0,0,0,0,0,0,0,12,0,0,12,0,12,0,0,0,0,0,0,0,0,15,0,0,15,0,17,0,0,0,0,0,0,0,0,18,0,0,18,0,18,0,0,0,0,0,0,0,0,9,0,0,9,0,9,0,0,0,0,6,0,0,6,0,0,0,0,0,9,8,7,0,8
201011006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,8,0,8,0,0,0,0,0,0,0,0,0,8,0,12,0,12,0,0,0,0,0,0,0,0,0,11,0,9,0,10,0,0,0,0,0,0,0,0,0,14,10,37,0,47,3,6,0,12,0,5,0,6,0,71,8,17,0,19,9,8,0,11,0,0,0,0,4,38,3,28,0,30,6,18,0,30,5,10,0,11,7,80,20,116,3,131,19,38,0,58,3,19,0,25,10,221,0,0,0,0,0,0,0,0,37,0,0,40,0,40,0,0,0,0,0,0,0,0,83,0,0,83,0,85,0,4,0,4,0,0,0,0,64,0,0,63,0,69,0,0,0,0,13,0,0,11,25,0,0,25,0,32,0,0,0,6,16,0,0,15,0,0,0,0,0,20,9,12,0,21
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,0,0,0,0,3,9,0,14,0,16,0,6,0,6,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3
201011008,0,0,0,0,0,0,0,0,3,0,0,3,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,10,0,10,0,0,0,0,0,4,0,4,0,10,3,17,0,20,0,0,0,0,0,0,0,0,0,22,0,22,0,23,3,0,0,3,0,5,0,5,0,29,14,68,0,87,10,13,0,26,0,4,0,6,4,120,6,24,0,33,18,21,0,35,0,3,0,6,0,72,12,60,0,74,9,62,0,65,0,18,0,22,12,166,42,209,0,247,37,86,0,127,9,39,0,47,14,433,0,0,0,0,0,0,0,0,58,0,0,58,0,62,0,0,0,0,0,0,0,0,87,0,0,82,0,85,8,0,0,4,0,0,0,0,76,0,0,76,0,81,0,4,0,4,25,5,0,26,41,0,0,41,0,76,3,0,0,4,38,6,0,39,5,0,0,5,0,45,14,18,0,27
201011481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,9,0,3,0,3,0,0,0,0,0,0,0,0,0,0,8,10,0,16,8,3,0,10,0,0,0,0,0,32,6,8,0,11,3,16,0,17,0,4,0,4,0,32,0,10,0,15,8,20,0,30,0,6,0,3,4,53,16,47,0,55,26,39,0,62,0,8,0,8,4,132,0,0,0,0,0,0,0,0,18,0,0,18,0,22,0,0,0,0,0,0,0,0,26,0,0,26,0,26,0,0,0,0,0,0,0,0,29,0,0,29,0,30,0,0,0,0,11,0,0,11,7,0,0,7,0,17,0,3,0,4,17,0,0,14,0,0,0,0,0,18,5,5,0,10
201011482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,12,0,10,0,3,0,3,0,0,0,0,0,18,0,7,0,7,0,0,0,3,0,0,0,0,0,6,0,23,0,23,0,12,0,17,0,7,0,9,0,49,0,48,0,55,0,22,0,20,0,11,0,12,0,87,0,0,0,0,0,0,0,0,19,0,0,19,0,19,0,0,0,0,0,0,0,0,33,0,0,33,0,33,3,0,0,3,0,0,0,0,20,0,0,20,0,24,0,0,0,0,0,0,0,0,7,0,0,7,0,12,0,0,0,0,11,0,0,11,0,0,0,0,0,15,0,3,0,11
201011483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,6,0,0,0,0,0,0,0,0,0,4,3,12,0,15,5,3,0,4,0,0,0,6,0,20,7,0,0,8,0,5,0,5,0,0,0,3,0,17,0,11,0,9,6,27,0,32,0,0,0,0,4,45,9,42,0,51,9,36,0,47,5,5,0,5,5,104,0,0,0,0,0,0,0,0,20,0,0,20,0,20,0,0,0,0,0,0,0,0,8,0,0,8,0,8,0,0,0,0,0,0,0,0,29,0,0,29,0,28,0,0,0,0,7,0,0,10,12,0,0,12,0,18,3,0,0,3,13,0,0,9,0,0,0,0,0,14,3,3,0,11
201011484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,5,0,6,0,6,0,0,0,0,0,0,0,0,0,7,0,3,0,3,0,0,0,0,0,0,0,0,0,10,0,5,0,10,15,4,0,15,0,0,0,0,0,27,3,3,0,11,0,0,0,3,0,0,0,0,0,9,4,8,0,14,9,21,0,22,0,0,0,0,6,39,13,37,0,49,16,22,0,40,3,0,0,3,9,104,0,0,0,0,0,0,0,0,56,0,0,56,0,56,5,0,0,4,0,0,0,0,89,0,0,89,0,96,0,0,0,3,0,0,0,0,66,0,0,66,0,71,5,0,0,5,9,3,0,10,28,0,0,28,0,43,4,0,0,5,16,5,0,19,4,0,0,4,0,27,3,11,0,17
