POW_SA2_CODE_2021,TYP_lthc_arth_A_15_24,TYP_ltch_arth_A_25_34,TYP_lthc_arth_A_35_34,TYP_lthc_arth_A_45_54,TYP_lthc_arth_A_55_64,TYP_lthc_arth_A_65_74,TYP_lthc_arth_A_75ov,TYP_lthc_arth_A_tot,TYP_lthc_asth_A_15_24,TYP_lthc_asth_A_25_34,TYP_lthc_asth_A_35_34,TYP_lthc_asth_A_45_54,TYP_lthc_asth_A_55_64,TYP_lthc_asth_A_65_74,TYP_lthc_asth_A_75ov,TYP_lthc_asth_A_tot,TYP_lthc_canc_A_15_24,TYP_lthc_canc_A_25_34,TYP_lthc_canc_A_35_34,TYP_lthc_canc_A_45_54,TYP_lthc_canc_A_55_64,TYP_lthc_canc_A_65_74,TYP_lthc_canc_A_75ov,TYP_lthc_canc_A_tot,TYP_lthc_demen_A_15_24,TYP_lthc_demen_A_25_34,TYP_lthc_demen_A_35_34,TYP_lthc_demen_A_45_54,TYP_lthc_demen_A_55_64,TYP_lthc_demen_A_65_74,TYP_lthc_demen_A_75ov,TYP_lthc_demen_A_tot,TYP_lthc_diab_A_15_24,TYP_lthc_diab_A_25_34,TYP_lthc_diab_A_35_34,TYP_lthc_diab_A_45_54,TYP_lthc_diab_A_55_64,TYP_lthc_diab_A_65_74,TYP_lthc_diab_A_75ov,TYP_lthc_diab_A_tot,TYP_lthc_hear_A_15_24,TYP_lthc_hear_A_25_34,TYP_lthc_hear_A_35_34,TYP_lthc_hear_A_45_54,TYP_lthc_hear_A_55_64,TYP_lthc_hear_A_65_74,TYP_lthc_hear_A_75ov,TYP_lthc_hear_A_tot,TYP_lthc_kidn_A_15_24,TYP_lthc_kidn_A_25_34,TYP_lthc_kidn_A_35_34,TYP_lthc_kidn_A_45_54,TYP_lthc_kidn_A_55_64,TYP_lthc_kidn_A_65_74,TYP_lthc_kidn_A_75ov,TYP_lthc_kidn_A_tot,TYP_lthc_lung_A_15_24,TYP_lthc_lung_A_25_34,TYP_lthc_lung_A_35_34,TYP_lthc_lung_A_45_54,TYP_lthc_lung_A_55_64,TYP_lthc_lung_A_65_74,TYP_lthc_lung_A_75ov,TYP_lthc_lung_A_tot,TYP_lthc_ment_A_15_24,TYP_lthc_ment_A_25_34,TYP_lthc_ment_A_35_34,TYP_lthc_ment_A_45_54,TYP_lthc_ment_A_55_64,TYP_lthc_ment_A_65_74,TYP_lthc_ment_A_75ov,TYP_lthc_ment_A_tot,TYP_lthc_stro_A_15_24,TYP_lthc_stro_A_25_34,TYP_lthc_stro_A_35_34,TYP_lthc_stro_A_45_54,TYP_lthc_stro_A_55_64,TYP_lthc_stro_A_65_74,TYP_lthc_stro_A_75ov,TYP_lthc_stro_A_tot,TYP_lthc_AO_lthc_A_15_24,TYP_lthc_AO_lthc_A_25_34,TYP_lthc_AO_lthc_A_35_34,TYP_lthc_AO_lthc_A_45_54,TYP_lthc_AO_lthc_A_55_64,TYP_lthc_AO_lthc_A_65_74,TYP_lthc_AO_lthc_A_75ov,TYP_lthc_AO_lthc_A_tot,TYP_lthc_NO_lthc_A_15_24,TYP_lthc_NO_lthc_A_25_34,TYP_lthc_NO_lthc_A_35_34,TYP_lthc_NO_lthc_A_45_54,TYP_lthc_NO_lthc_A_55_64,TYP_lthc_NO_lthc_A_65_74,TYP_lthc_NO_lthc_A_75ov,TYP_lthc_NO_lthc_A_tot,TYP_lthc_NS_A_15_24,TYP_lthc_NS_A_25_34,TYP_lthc_NS_A_35_34,TYP_lthc_NS_A_45_54,TYP_lthc_NS_A_55_64,TYP_lthc_NS_A_65_74,TYP_lthc_NS_A_75ov,TYP_lthc_NS_A_tot,TYP_lthc_Tot_A_15_24,TYP_lthc_Tot_A_25_34,TYP_lthc_Tot_A_35_34,TYP_lthc_Tot_A_45_54,TYP_lthc_Tot_A_55_64,TYP_lthc_Tot_A_65_74,TYP_lthc_Tot_A_75ov,TYP_lthc_Tot_A_tot,CNT_lthc_NONE_A_15_24,CNT_lthc_NONE_A_25_34,CNT_lthc_NONE_A_35_34,CNT_lthc_NONE_A_45_54,CNT_lthc_NONE_A_55_64,CNT_lthc_NONE_A_65_74,CNT_lthc_NONE_A_75ov,CNT_lthc_NONE_A_tot,CNT_lthc_ONE_A_15_24,CNT_lthc_ONE_A_25_34,CNT_lthc_ONE_A_35_34,CNT_lthc_ONE_A_45_54,CNT_lthc_ONE_A_55_64,CNT_lthc_ONE_A_65_74,CNT_lthc_ONE_A_75ov,CNT_lthc_ONE_A_tot,CNT_lthc_TWO_A_15_24,CNT_lthc_TWO_A_25_34,CNT_lthc_TWO_A_35_34,CNT_lthc_TWO_A_45_54,CNT_lthc_TWO_A_55_64,CNT_lthc_TWO_A_65_74,CNT_lthc_TWO_A_75ov,CNT_lthc_TWO_A_tot,CNT_lthc_THREEmo_A_15_24,CNT_lthc_THREEmo_A_25_34,CNT_lthc_THREEmo_A_35_34,CNT_lthc_THREEmo_A_45_54,CNT_lthc_THREEmo_A_55_64,CNT_lthc_THREEmo_A_65_74,CNT_lthc_THREEmo_A_75ov,CNT_lthc_THREEmo_A_tot,CNT_lthc_ONEmo_Tot_A_15_24,CNT_lthc_ONEmo_Tot_A_25_34,CNT_lthc_ONEmo_Tot_A_35_34,CNT_lthc_ONEmo_Tot_A_45_54,CNT_lthc_ONEmo_Tot_A_55_64,CNT_lthc_ONEmo_Tot_A_65_74,CNT_lthc_ONEmo_Tot_A_75ov,CNT_lthc_ONEmo_Tot_A_tot,CNT_lthc_NS_A_15_24,CNT_lthc_NS_Tot_A_25_34,CNT_lthc_NS_Tot_A_35_34,CNT_lthc_NS_Tot_A_45_54,CNT_lthc_NS_Tot_A_55_64,CNT_lthc_NS_Tot_A_65_74,CNT_lthc_NS_Tot_A_75ov,CNT_lthc_NS_Tot_A_tot,CNT_lthc_Tot_A_15_24,CNT_lthc_Tot_A_25_34,CNT_lthc_Tot_A_35_34,CNT_lthc_Tot_A_45_54,CNT_lthc_Tot_A_55_64,CNT_lthc_Tot_A_65_74,CNT_lthc_Tot_A_75ov,CNT_lthc_Tot_A_tot
201011001,3,23,42,70,88,34,0,267,99,112,102,101,51,8,0,488,0,4,15,15,30,9,0,75,0,0,0,0,4,0,0,4,3,9,20,43,38,7,0,123,0,6,5,26,28,13,3,95,0,3,5,0,10,0,0,21,0,0,4,7,11,5,0,36,81,148,135,108,48,14,0,536,0,0,0,7,4,3,0,13,37,55,61,86,54,12,0,305,550,604,550,474,311,62,5,2556,38,33,24,44,22,5,3,168,772,921,865,843,581,136,9,4135,569,635,581,517,350,70,5,2722,132,211,197,209,142,39,0,938,31,39,51,55,47,16,0,241,0,6,11,19,26,8,0,67,164,258,259,286,215,70,8,1246,38,33,24,44,22,5,3,168,772,921,865,843,581,136,9,4135
201011002,22,94,177,372,488,174,21,1345,396,590,517,462,285,68,9,2330,16,23,51,118,172,52,7,443,0,0,3,0,0,0,4,3,23,70,92,156,213,90,3,649,12,19,25,70,161,89,13,395,8,10,21,16,23,14,0,90,0,13,23,44,62,20,4,174,498,817,669,555,300,49,4,2889,5,0,5,15,19,10,5,62,209,356,353,416,338,72,9,1757,2146,2861,2660,2442,1775,363,25,12264,119,128,118,158,118,16,3,670,3181,4511,4236,4143,3323,795,78,20261,2242,3058,2857,2648,1972,396,32,13201,665,1044,983,960,870,240,25,4788,139,245,226,292,288,101,17,1304,11,28,39,83,81,40,8,299,813,1321,1258,1336,1245,375,42,6398,119,128,118,158,118,16,3,670,3181,4511,4236,4143,3323,795,78,20261
201011005,0,15,30,41,64,23,0,174,32,98,100,78,35,6,0,353,0,5,12,18,26,10,0,72,4,0,0,0,0,0,0,4,0,7,23,24,34,7,0,96,4,4,3,15,26,8,0,58,0,0,3,0,3,0,0,14,0,3,3,4,4,3,0,16,50,121,112,84,46,13,0,425,0,0,0,0,5,0,0,11,21,60,58,61,45,10,0,263,197,420,416,357,249,64,4,1694,9,19,16,18,18,7,0,88,295,672,688,621,463,125,8,2874,210,449,452,393,276,65,0,1837,62,170,174,166,118,39,3,736,18,30,40,35,34,14,0,171,0,8,7,11,14,3,0,45,81,207,222,216,172,51,3,946,9,19,16,18,18,7,0,88,295,672,688,621,463,125,8,2874
201011006,3,15,36,93,99,32,3,286,104,121,102,91,64,14,0,496,0,5,10,10,38,15,0,85,0,0,0,0,0,0,0,0,6,7,19,43,59,20,0,161,0,7,12,20,47,20,7,113,0,5,0,0,10,4,0,15,0,0,3,11,21,4,4,48,140,153,94,96,53,10,0,553,0,0,0,10,11,3,0,23,50,54,62,52,63,14,0,296,644,750,552,549,363,84,3,2943,52,22,24,42,23,10,0,177,936,1061,841,886,700,179,14,4617,669,773,594,569,388,88,6,3089,179,214,178,195,207,55,4,1034,30,48,41,57,60,24,0,254,5,0,7,17,22,8,3,68,213,261,224,270,295,80,11,1357,52,22,24,42,23,10,0,177,936,1061,841,886,700,179,14,4617
201011007,0,5,3,10,13,12,0,44,3,18,21,16,12,6,0,73,0,0,0,3,5,0,0,14,0,0,0,0,0,0,0,0,0,3,3,11,5,4,0,21,0,0,4,0,3,3,0,15,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9,6,14,20,14,7,3,0,60,0,0,0,0,0,0,0,3,3,6,12,10,10,0,0,41,51,83,69,63,34,7,0,310,0,3,6,3,0,0,0,20,63,121,120,111,70,29,4,520,53,86,77,69,36,7,3,332,13,29,17,32,22,16,0,122,0,3,11,7,3,5,5,36,0,0,3,0,5,3,0,10,9,30,29,38,30,19,5,171,0,3,6,3,0,0,0,20,63,121,120,111,70,29,4,520
201011008,13,53,78,169,269,99,10,694,216,311,288,203,144,41,0,1198,0,12,13,59,84,30,0,203,0,0,0,0,0,0,0,0,16,19,46,126,144,55,6,406,13,7,18,47,99,58,8,251,4,9,6,11,12,9,0,49,0,4,6,16,34,15,0,79,202,307,276,261,140,24,0,1208,0,0,0,11,22,7,0,47,96,135,128,152,175,41,3,729,1201,1450,1447,1386,972,170,13,6650,77,53,61,98,72,11,3,376,1729,2179,2146,2293,1824,404,34,10619,1257,1531,1509,1481,1072,179,15,7048,328,473,444,559,478,138,12,2440,50,108,117,127,155,50,7,607,7,14,20,28,49,29,3,147,396,590,576,720,679,215,20,3191,77,53,61,98,72,11,3,376,1729,2179,2146,2293,1824,404,34,10619
201011481,7,14,27,50,97,29,8,233,58,75,65,53,53,6,4,313,0,4,6,10,26,8,0,51,0,0,0,0,0,0,0,0,4,10,15,28,52,14,0,118,0,3,0,13,34,15,0,70,0,0,0,0,5,0,0,11,0,0,0,9,14,9,0,35,71,93,82,81,57,5,0,396,0,0,6,4,3,0,4,10,29,46,54,48,43,16,0,240,346,372,304,297,216,53,5,1587,19,14,18,20,17,3,0,92,483,585,503,528,469,131,16,2712,356,400,332,324,232,60,5,1711,80,130,118,127,140,48,3,655,24,32,27,40,52,14,0,199,0,10,10,6,25,7,0,52,111,168,153,178,215,71,13,905,19,14,18,20,17,3,0,92,483,585,503,528,469,131,16,2712
201011482,0,15,19,40,57,30,3,176,30,58,44,48,47,9,0,248,0,0,5,14,23,3,3,53,0,0,0,0,0,0,0,0,0,8,11,23,29,11,3,83,0,0,6,11,24,18,4,62,0,0,0,3,0,4,0,9,5,0,0,0,8,3,0,18,24,59,75,65,35,6,0,263,0,0,0,0,7,3,0,17,17,33,40,37,43,10,0,175,256,292,281,310,254,49,5,1456,18,16,10,20,17,4,0,83,349,431,454,507,480,130,17,2365,271,313,306,330,280,59,5,1563,60,87,122,110,133,42,7,556,0,16,16,42,32,13,3,128,0,4,5,7,12,4,4,30,64,108,137,156,181,63,10,714,18,16,10,20,17,4,0,83,349,431,454,507,480,130,17,2365
201011483,6,13,22,48,73,29,3,185,59,81,66,55,46,10,0,314,0,0,10,9,23,5,0,51,0,0,0,0,0,0,0,0,7,10,11,19,31,10,0,82,0,4,4,7,24,7,5,53,0,0,0,0,0,0,0,11,0,0,3,7,19,4,0,32,58,85,88,82,36,6,0,357,0,0,0,5,4,0,0,13,26,39,53,43,37,9,0,209,297,408,406,341,226,56,6,1737,19,20,18,26,21,0,0,96,445,604,616,564,432,110,16,2793,313,427,437,367,246,60,12,1857,102,127,127,128,108,35,3,630,9,27,29,42,40,12,0,166,0,0,5,5,19,0,3,37,112,157,163,175,167,48,5,836,19,20,18,26,21,0,0,96,445,604,616,564,432,110,16,2793
201011484,6,17,19,72,87,37,4,248,111,84,72,73,62,14,0,413,0,0,6,14,15,8,4,45,0,0,0,0,0,0,0,0,5,7,9,32,34,10,0,108,0,4,3,11,17,13,0,51,3,0,3,3,6,0,0,16,0,0,5,7,18,6,0,41,136,142,86,80,58,15,0,519,0,0,6,0,0,0,0,8,44,58,42,62,51,10,0,281,514,378,316,301,250,58,4,1823,35,23,13,21,15,3,0,119,797,642,520,566,480,127,12,3148,543,406,334,332,275,59,5,1959,190,167,135,153,114,39,0,798,28,41,29,43,44,15,4,217,3,0,5,17,28,11,0,63,225,215,171,214,185,59,5,1073,35,23,13,21,15,3,0,119,797,642,520,566,480,127,12,3148
