POW_SA3_CODE_2021,M_15_19_EWFT,M_15_19_EWPT,M_15_19_EAFW,M_15_19_EHW_NS,M_15_19_Tot,M_20_24_EWFT,M_20_24_EWPT,M_20_24_EAFW,M_20_24_EHW_NS,M_20_24_Tot,M_25_29_EWFT,M_25_29_EWPT,M_25_29_EAFW,M_25_29_EHW_NS,M_25_29_Tot,M_30_34_EWFT,M_30_34_EWPT,M_30_34_EAFW,M_30_34_EHW_NS,M_30_34_Tot,M_35_39_EWFT,M_35_39_EWPT,M_35_39_EAFW,M_35_39_EHW_NS,M_35_39_Tot,M_40_44_EWFT,M_40_44_EWPT,M_40_44_EAFW,M_40_44_EHW_NS,M_40_44_Tot,M_45_49_EWFT,M_45_49_EWPT,M_45_49_EAFW,M_45_49_EHW_NS,M_45_49_Tot,M_50_54_EWFT,M_50_54_EWPT,M_50_54_EAFW,M_50_54_EHW_NS,M_50_54_Tot,M_55_59_EWFT,M_55_59_EWPT,M_55_59_EAFW,M_55_59_EHW_NS,M_55_59_Tot,M_60_64_EWFT,M_60_64_EWPT,M_60_64_EAFW,M_60_64_EHW_NS,M_60_64_Tot,M_65_69_EWFT,M_65_69_EWPT,M_65_69_EAFW,M_65_69_EHW_NS,M_65_69_Tot,M_70_74_EWFT,M_70_74_EWPT,M_70_74_EAFW,M_70_74_EHW_NS,M_70_74_Tot,M_75ov_EWFT,M_75ov_EWPT,M_75ov_EAFW,M_75ov_EHW_NS,M_75ov_Tot,M_Tot_EWFT,M_Tot_EWPT,M_Tot_EAFW,M_Tot_EHW_NS,M_Tot_Tot,F_15_19_EWFT,F_15_19_EWPT,F_15_19_EAFW,F_15_19_EHW_NS,F_15_19_Tot,F_20_24_EWFT,F_20_24_EWPT,F_20_24_EAFW,F_20_24_EHW_NS,F_20_24_Tot,F_25_29_EWFT,F_25_29_EWPT,F_25_29_EAFW,F_25_29_EHW_NS,F_25_29_Tot,F_30_34_EWFT,F_30_34_EWPT,F_30_34_EAFW,F_30_34_EHW_NS,F_30_34_Tot,F_35_39_EWFT,F_35_39_EWPT,F_35_39_EAFW,F_35_39_EHW_NS,F_35_39_Tot,F_40_44_EWFT,F_40_44_EWPT,F_40_44_EAFW,F_40_44_EHW_NS,F_40_44_Tot,F_45_49_EWFT,F_45_49_EWPT,F_45_49_EAFW,F_45_49_EHW_NS,F_45_49_Tot,F_50_54_EWFT,F_50_54_EWPT,F_50_54_EAFW,F_50_54_EHW_NS,F_50_54_Tot,F_55_59_EWFT,F_55_59_EWPT,F_55_59_EAFW,F_55_59_EHW_NS,F_55_59_Tot,F_60_64_EWFT,F_60_64_EWPT,F_60_64_EAFW,F_60_64_EHW_NS,F_60_64_Tot,F_65_69_EWFT,F_65_69_EWPT,F_65_69_EAFW,F_65_69_EHW_NS,F_65_69_Tot,F_70_74_EWFT,F_70_74_EWPT,F_70_74_EAFW,F_70_74_EHW_NS,F_70_74_Tot,F_75ov_EWFT,F_75ov_EWPT,F_75ov_EAFW,F_75ov_EHW_NS,F_75ov_Tot,F_Tot_EWFT,F_Tot_EWPT,F_Tot_EAFW,F_Tot_EHW_NS,F_Tot_Tot,P_15_19_EWFT,P_15_19_EWPT,P_15_19_EAFW,P_15_19_EHW_NS,P_15_19_Tot,P_20_24_EWFT,P_20_24_EWPT,P_20_24_EAFW,P_20_24_EHW_NS,P_20_24_Tot,P_25_29_EWFT,P_25_29_EWPT,P_25_29_EAFW,P_25_29_EHW_NS,P_25_29_Tot,P_30_34_EWFT,P_30_34_EWPT,P_30_34_EAFW,P_30_34_EHW_NS,P_30_34_Tot,P_35_39_EWFT,P_35_39_EWPT,P_35_39_EAFW,P_35_39_EHW_NS,P_35_39_Tot,P_40_44_EWFT,P_40_44_EWPT,P_40_44_EAFW,P_40_44_EHW_NS,P_40_44_Tot,P_45_49_EWFT,P_45_49_EWPT,P_45_49_EAFW,P_45_49_EHW_NS,P_45_49_Tot,P_50_54_EWFT,P_50_54_EWPT,P_50_54_EAFW,P_50_54_EHW_NS,P_50_54_Tot,P_55_59_EWFT,P_55_59_EWPT,P_55_59_EAFW,P_55_59_EHW_NS,P_55_59_Tot,P_60_64_EWFT,P_60_64_EWPT,P_60_64_EAFW,P_60_64_EHW_NS,P_60_64_Tot,P_65_69_EWFT,P_65_69_EWPT,P_65_69_EAFW,P_65_69_EHW_NS,P_65_69_Tot,P_70_74_EWFT,P_70_74_EWPT,P_70_74_EAFW,P_70_74_EHW_NS,P_70_74_Tot
20101,454,1095,148,40,1729,1445,951,130,55,2581,2081,654,92,60,2883,2223,470,105,50,2848,2131,402,60,41,2641,2061,304,62,20,2453,2155,371,56,41,2626,2030,349,87,48,2511,1725,409,127,37,2305,1203,495,133,21,1852,413,377,60,13,865,119,197,26,9,351,29,85,9,12,134,18066,6154,1096,442,25759,186,1544,201,31,1965,1033,1508,202,40,2781,1554,1193,260,57,3062,1211,1370,315,35,2928,1130,1593,218,32,2977,1286,1512,102,23,2924,1468,1413,105,27,3006,1448,1337,122,20,2926,1137,1316,164,22,2633,761,1107,153,19,2034,198,462,72,12,740,41,145,19,7,220,7,44,16,12,79,11447,14534,1945,350,28277,643,2638,345,70,3690,2479,2456,330,97,5363,3633,1849,354,111,5948,3430,1838,419,87,5778,3263,1996,284,71,5608,3343,1810,169,47,5373,3621,1789,157,66,5627,3475,1681,207,71,5434,2862,1720,299,59,4943,1961,1597,287,46,3889,614,839,131,24,1604,159,343,45,18,564
20102,58,153,31,11,256,194,85,9,5,298,238,80,12,11,338,267,88,12,8,379,299,86,8,11,406,299,100,21,4,424,296,84,22,11,421,314,119,18,11,466,320,120,29,5,478,246,148,17,9,418,119,120,15,0,250,63,81,5,4,154,63,71,9,5,146,2790,1342,198,98,4425,22,181,38,3,239,101,167,32,8,302,135,162,45,9,353,117,194,36,8,353,116,212,27,8,366,158,223,25,10,420,194,254,22,8,476,230,245,27,11,513,195,323,33,10,561,122,261,37,4,428,50,116,12,5,183,19,64,9,4,96,14,28,5,3,55,1476,2435,353,78,4336,81,335,71,16,492,289,259,45,13,601,376,245,56,15,693,388,279,48,18,732,414,296,39,19,767,456,321,43,10,835,496,339,41,21,891,543,363,47,22,982,522,443,56,11,1036,364,411,57,13,844,172,238,28,3,435,88,148,10,5,247
20103,68,115,23,9,208,202,80,13,5,293,211,64,13,15,302,243,42,6,9,308,219,56,8,5,286,246,49,15,9,315,292,72,10,9,388,301,68,10,14,389,319,87,8,10,420,263,96,23,8,396,124,86,16,7,233,58,56,3,0,120,42,45,8,6,91,2577,912,165,97,3751,26,161,26,14,223,91,131,10,12,250,151,122,21,7,303,109,149,19,6,286,124,173,17,7,313,140,155,21,5,313,188,202,20,3,417,198,210,19,6,433,186,229,29,8,445,112,199,14,8,333,52,113,22,3,195,23,52,6,5,82,12,29,3,0,42,1410,1912,241,84,3642,88,273,48,25,438,296,206,18,21,542,361,184,36,16,605,348,190,34,21,591,345,222,30,6,601,384,203,27,15,633,473,277,34,12,799,498,274,32,18,824,500,315,41,15,870,375,293,38,15,727,180,205,39,11,427,82,104,15,6,204
20201,375,1038,114,31,1557,1259,768,96,38,2165,1744,481,69,51,2347,1873,393,70,35,2369,1799,368,62,35,2265,1675,349,67,28,2108,1740,297,44,26,2108,1728,324,54,30,2131,1439,360,103,20,1925,1058,452,112,23,1643,388,320,62,15,778,95,161,23,5,287,20,77,10,9,116,15181,5384,885,353,21799,159,1440,167,36,1794,937,1298,159,40,2429,1389,1050,210,37,2687,1081,1277,329,42,2731,1022,1503,188,41,2747,1146,1309,106,32,2588,1422,1182,90,27,2720,1216,1156,112,18,2500,1070,1204,157,22,2450,609,1037,151,20,1813,194,439,78,11,720,29,112,14,8,161,7,44,3,5,69,10284,13043,1755,334,25424,530,2477,276,65,3354,2199,2067,258,82,4598,3137,1532,280,92,5040,2959,1669,402,73,5103,2815,1871,253,78,5016,2818,1653,163,53,4693,3158,1476,136,56,4828,2939,1479,168,46,4631,2512,1562,258,43,4374,1664,1485,264,47,3457,579,760,139,24,1498,120,275,36,16,444
20202,147,301,43,18,506,440,232,40,26,738,618,167,27,14,824,664,164,31,14,873,693,147,26,13,876,655,176,20,22,865,735,168,44,24,969,726,215,35,20,999,642,241,47,19,944,504,295,56,13,871,227,244,26,12,511,78,127,13,3,218,69,87,7,9,171,6204,2550,415,193,9359,45,427,61,13,550,209,330,41,12,587,332,272,36,9,655,260,325,73,13,673,269,432,56,14,778,381,485,34,14,919,468,556,52,15,1089,498,560,59,19,1131,421,559,59,12,1051,283,465,51,8,811,96,247,36,5,380,33,122,9,10,167,20,46,6,10,86,3311,4834,580,152,8877,192,729,107,31,1054,647,560,80,41,1322,949,442,63,25,1477,926,489,105,22,1549,962,576,84,24,1647,1039,662,53,26,1784,1204,725,93,35,2058,1227,775,98,39,2135,1057,798,105,33,1985,785,760,109,19,1679,321,493,58,20,896,107,248,26,9,385
20203,29,50,9,6,90,118,30,6,0,154,189,23,6,3,217,215,22,5,9,250,226,18,7,9,262,249,20,14,3,288,226,25,5,4,268,245,33,16,8,305,218,45,14,7,277,210,57,15,8,289,107,47,4,0,163,55,34,9,0,92,41,29,4,8,81,2130,433,110,75,2742,8,62,8,4,76,35,36,8,4,78,66,35,8,3,110,46,62,12,8,122,33,60,9,8,110,60,69,9,0,139,70,68,5,3,151,75,80,10,5,177,93,90,9,7,195,62,85,8,3,161,42,52,3,3,98,14,39,0,0,59,13,11,4,5,37,628,761,83,53,1523,33,112,14,8,169,154,68,9,5,232,252,57,15,5,331,260,84,22,13,377,263,80,20,13,373,313,85,23,11,428,302,97,11,10,416,323,119,21,19,476,309,137,20,16,473,267,148,24,12,451,151,95,13,9,261,74,76,4,0,153
20301,55,76,14,3,147,131,74,3,3,209,142,39,4,0,186,200,33,9,7,243,183,29,6,7,230,177,35,6,6,222,197,42,5,3,250,207,45,9,5,267,163,52,13,6,230,121,55,4,0,187,63,56,4,0,124,42,61,6,0,105,29,36,7,3,73,1720,626,81,54,2483,19,148,13,6,186,92,107,16,4,216,97,91,13,8,203,86,124,11,7,227,87,163,27,0,275,101,162,9,3,278,110,127,9,9,253,112,137,9,8,267,82,139,11,9,239,53,108,7,4,172,14,52,4,0,73,11,31,0,4,53,12,19,0,0,32,876,1421,126,47,2470,77,224,20,8,339,220,180,18,4,423,236,126,18,4,384,287,152,15,18,473,266,196,29,10,507,276,201,19,5,500,308,172,19,7,501,319,184,17,15,537,245,187,24,13,467,180,159,15,4,358,80,109,8,3,200,58,93,5,4,160
20302,632,1908,222,36,2796,2578,2011,259,103,4963,4228,1409,177,139,5951,4645,885,162,100,5787,4662,852,149,93,5752,4125,665,162,71,5021,4097,714,140,63,5014,3893,657,150,80,4778,3363,801,182,58,4392,2201,876,177,38,3294,816,684,122,28,1647,208,338,44,10,606,102,175,19,14,308,35546,11983,1959,827,50316,230,2655,363,38,3285,1806,3066,393,88,5362,3297,2319,443,110,6170,2825,2699,686,73,6282,2519,3081,465,82,6149,2498,2944,248,53,5740,2915,2808,195,58,5979,2672,2512,236,63,5474,2125,2472,283,39,4924,1244,1973,246,44,3502,339,916,128,20,1398,77,300,34,6,418,22,81,5,20,123,22567,27837,3730,688,54818,863,4565,584,78,6082,4389,5081,655,197,10327,7522,3730,620,250,12123,7474,3586,841,168,12072,7176,3939,614,178,11900,6616,3607,409,120,10758,7016,3523,334,117,10988,6565,3176,379,138,10261,5482,3275,462,94,9313,3449,2855,422,77,6804,1153,1598,249,45,3045,284,640,78,23,1027
20303,148,719,134,16,1018,549,537,103,27,1217,714,370,51,18,1152,806,212,57,24,1091,851,221,37,13,1122,785,207,31,18,1045,829,223,35,14,1097,664,199,35,20,916,594,247,43,10,897,451,328,55,14,851,191,301,37,12,538,62,181,16,10,263,35,94,6,4,144,6678,3836,637,202,11356,55,887,177,20,1135,350,805,136,28,1317,516,473,94,18,1096,457,642,124,21,1239,428,820,114,22,1381,483,762,71,20,1339,564,742,62,20,1397,535,713,64,14,1323,423,721,82,10,1232,243,643,69,13,973,69,337,43,7,454,19,128,14,3,166,10,56,4,3,76,4161,7721,1052,200,13126,205,1598,309,38,2151,898,1348,237,55,2535,1226,842,148,40,2254,1260,852,176,38,2325,1282,1037,150,31,2504,1269,966,103,41,2380,1395,966,93,35,2495,1200,914,98,33,2240,1013,969,129,24,2131,700,973,123,26,1819,261,635,76,21,992,79,305,30,9,427
20401,272,418,54,16,760,628,275,46,22,975,759,199,29,26,1007,753,177,44,26,1005,752,137,41,25,951,744,135,27,23,928,813,179,30,24,1043,830,190,54,25,1092,831,217,54,27,1134,606,316,65,10,994,328,285,35,20,674,185,190,9,6,391,119,146,20,17,296,7615,2872,513,263,11261,92,519,103,26,747,380,413,82,25,901,514,386,76,18,996,415,447,108,19,992,411,589,76,20,1100,451,540,45,21,1061,576,595,43,21,1235,590,585,63,27,1259,533,579,102,12,1225,385,600,77,13,1077,151,328,49,23,549,58,158,12,6,234,33,70,12,12,127,4587,5820,846,242,11494,361,940,157,46,1506,1009,691,121,48,1867,1277,588,101,43,2003,1167,631,156,45,1999,1160,732,118,41,2053,1194,678,74,44,1989,1389,771,66,45,2279,1416,768,115,49,2352,1359,795,161,44,2354,991,917,149,20,2074,485,611,84,41,1224,238,354,22,16,626
