POW_SA3_CODE_2021,OM_IEs_45_49_HW_0,OM_IEs_45_49_HW_1_19,OM_IEs_45_49_HW_20_29,OM_IEs_45_49_HW_30_34,OM_IEs_45_49_HW_35_39,OM_IEs_45_49_HW_40_44,OM_IEs_45_49_HW_45_49,OM_IEs_45_49_HW_50mor,OM_IEs_45_49_HW_NS,OM_IEs_45_49_Tot,OM_IEs_50_54_HW_0,OM_IEs_50_54_HW_1_19,OM_IEs_50_54_HW_20_29,OM_IEs_50_54_HW_30_34,OM_IEs_50_54_HW_35_39,OM_IEs_50_54_HW_40_44,OM_IEs_50_54_HW_45_49,OM_IEs_50_54_HW_50mor,OM_IEs_50_54_HW_NS,OM_IEs_50_54_Tot,OM_IEs_55_59_HW_0,OM_IEs_55_59_HW_1_19,OM_IEs_55_59_HW_20_29,OM_IEs_55_59_HW_30_34,OM_IEs_55_59_HW_35_39,OM_IEs_55_59_HW_40_44,OM_IEs_55_59_HW_45_49,OM_IEs_55_59_HW_50mor,OM_IEs_55_59_HW_NS,OM_IEs_55_59_Tot,OM_IEs_60_64_HW_0,OM_IEs_60_64_HW_1_19,OM_IEs_60_64_HW_20_29,OM_IEs_60_64_HW_30_34,OM_IEs_60_64_HW_35_39,OM_IEs_60_64_HW_40_44,OM_IEs_60_64_HW_45_49,OM_IEs_60_64_HW_50mor,OM_IEs_60_64_HW_NS,OM_IEs_60_64_Tot,OM_IEs_65_69_HW_0,OM_IEs_65_69_HW_1_19,OM_IEs_65_69_HW_20_29,OM_IEs_65_69_HW_30_34,OM_IEs_65_69_HW_35_39,OM_IEs_65_69_HW_40_44,OM_IEs_65_69_HW_45_49,OM_IEs_65_69_HW_50mor,OM_IEs_65_69_HW_NS,OM_IEs_65_69_Tot,OM_IEs_70_74_HW_0,OM_IEs_70_74_HW_1_19,OM_IEs_70_74_HW_20_29,OM_IEs_70_74_HW_30_34,OM_IEs_70_74_HW_35_39,OM_IEs_70_74_HW_40_44,OM_IEs_70_74_HW_45_49,OM_IEs_70_74_HW_50mor,OM_IEs_70_74_HW_NS,OM_IEs_70_74_Tot,OM_IEs_75ov_HW_0,OM_IEs_75ov_HW_1_19,OM_IEs_75ov_HW_20_29,OM_IEs_75ov_HW_30_34,OM_IEs_75ov_HW_35_39,OM_IEs_75ov_HW_40_44,OM_IEs_75ov_HW_45_49,OM_IEs_75ov_HW_50mor,OM_IEs_75ov_HW_NS,OM_IEs_75ov_Tot,OM_IEs_Tot_HW_0,OM_IEs_Tot_HW_1_19,OM_IEs_Tot_HW_20_29,OM_IEs_Tot_HW_30_34,OM_IEs_Tot_HW_35_39,OM_IEs_Tot_HW_40_44,OM_IEs_Tot_HW_45_49,OM_IEs_Tot_HW_50mor,OM_IEs_Tot_HW_NS,OM_IEs_Tot_Tot,OM_UIE_15_19_HW_0,OM_UIE_15_19_HW_1_19,OM_UIE_15_19_HW_20_29,OM_UIE_15_19_HW_30_34,OM_UIE_15_19_HW_35_39,OM_UIE_15_19_HW_40_44,OM_UIE_15_19_HW_45_49,OM_UIE_15_19_HW_50mor,OM_UIE_15_19_HW_NS,OM_UIE_15_19_Tot,OM_UIE_20_24_HW_0,OM_UIE_20_24_HW_1_19,OM_UIE_20_24_HW_20_29,OM_UIE_20_24_HW_30_34,OM_UIE_20_24_HW_35_39,OM_UIE_20_24_HW_40_44,OM_UIE_20_24_HW_45_49,OM_UIE_20_24_HW_50mor,OM_UIE_20_24_HW_NS,OM_UIE_20_24_Tot,OM_UIE_25_29_HW_0,OM_UIE_25_29_HW_1_19,OM_UIE_25_29_HW_20_29,OM_UIE_25_29_HW_30_34,OM_UIE_25_29_HW_35_39,OM_UIE_25_29_HW_40_44,OM_UIE_25_29_HW_45_49,OM_UIE_25_29_HW_50mor,OM_UIE_25_29_HW_NS,OM_UIE_25_29_Tot,OM_UIE_30_34_HW_0,OM_UIE_30_34_HW_1_19,OM_UIE_30_34_HW_20_29,OM_UIE_30_34_HW_30_34,OM_UIE_30_34_HW_35_39,OM_UIE_30_34_HW_40_44,OM_UIE_30_34_HW_45_49,OM_UIE_30_34_HW_50mor,OM_UIE_30_34_HW_NS,OM_UIE_30_34_Tot,OM_UIE_35_39_HW_0,OM_UIE_35_39_HW_1_19,OM_UIE_35_39_HW_20_29,OM_UIE_35_39_HW_30_34,OM_UIE_35_39_HW_35_39,OM_UIE_35_39_HW_40_44,OM_UIE_35_39_HW_45_49,OM_UIE_35_39_HW_50mor,OM_UIE_35_39_HW_NS,OM_UIE_35_39_Tot,OM_UIE_40_44_HW_0,OM_UIE_40_44_HW_1_19,OM_UIE_40_44_HW_20_29,OM_UIE_40_44_HW_30_34,OM_UIE_40_44_HW_35_39,OM_UIE_40_44_HW_40_44,OM_UIE_40_44_HW_45_49,OM_UIE_40_44_HW_50mor,OM_UIE_40_44_HW_NS,OM_UIE_40_44_Tot,OM_UIE_45_49_HW_0,OM_UIE_45_49_HW_1_19,OM_UIE_45_49_HW_20_29,OM_UIE_45_49_HW_30_34,OM_UIE_45_49_HW_35_39,OM_UIE_45_49_HW_40_44,OM_UIE_45_49_HW_45_49,OM_UIE_45_49_HW_50mor,OM_UIE_45_49_HW_NS,OM_UIE_45_49_Tot,OM_UIE_50_54_HW_0,OM_UIE_50_54_HW_1_19,OM_UIE_50_54_HW_20_29,OM_UIE_50_54_HW_30_34,OM_UIE_50_54_HW_35_39,OM_UIE_50_54_HW_40_44,OM_UIE_50_54_HW_45_49,OM_UIE_50_54_HW_50mor,OM_UIE_50_54_HW_NS,OM_UIE_50_54_Tot,OM_UIE_55_59_HW_0,OM_UIE_55_59_HW_1_19,OM_UIE_55_59_HW_20_29,OM_UIE_55_59_HW_30_34,OM_UIE_55_59_HW_35_39,OM_UIE_55_59_HW_40_44,OM_UIE_55_59_HW_45_49,OM_UIE_55_59_HW_50mor,OM_UIE_55_59_HW_NS,OM_UIE_55_59_Tot,OM_UIE_60_64_HW_0,OM_UIE_60_64_HW_1_19,OM_UIE_60_64_HW_20_29,OM_UIE_60_64_HW_30_34,OM_UIE_60_64_HW_35_39,OM_UIE_60_64_HW_40_44,OM_UIE_60_64_HW_45_49,OM_UIE_60_64_HW_50mor,OM_UIE_60_64_HW_NS,OM_UIE_60_64_Tot,OM_UIE_65_69_HW_0,OM_UIE_65_69_HW_1_19,OM_UIE_65_69_HW_20_29,OM_UIE_65_69_HW_30_34,OM_UIE_65_69_HW_35_39,OM_UIE_65_69_HW_40_44,OM_UIE_65_69_HW_45_49,OM_UIE_65_69_HW_50mor,OM_UIE_65_69_HW_NS,OM_UIE_65_69_Tot,OM_UIE_70_74_HW_0,OM_UIE_70_74_HW_1_19,OM_UIE_70_74_HW_20_29,OM_UIE_70_74_HW_30_34,OM_UIE_70_74_HW_35_39,OM_UIE_70_74_HW_40_44,OM_UIE_70_74_HW_45_49,OM_UIE_70_74_HW_50mor,OM_UIE_70_74_HW_NS,OM_UIE_70_74_Tot
20101,3,29,41,33,35,119,39,170,0,477,4,34,30,38,61,102,45,164,7,479,9,32,43,27,64,81,20,131,4,423,16,19,38,33,34,67,31,95,6,324,12,30,21,18,15,29,9,47,0,184,0,21,24,9,16,14,8,13,0,98,3,12,11,0,5,0,0,3,0,34,82,268,305,233,381,707,246,1020,35,3278,4,3,0,0,0,0,0,0,0,7,6,34,11,9,9,16,11,7,0,94,19,35,40,23,35,35,11,22,3,218,18,49,44,31,34,47,19,47,3,295,9,61,57,24,26,71,15,58,4,322,15,52,41,25,30,60,15,72,3,315,11,73,47,25,48,70,17,78,6,378,9,59,53,30,35,61,22,63,3,336,17,71,56,29,28,53,22,61,5,332,20,70,42,36,26,45,22,34,6,304,11,65,37,11,8,16,8,22,0,186,10,27,8,10,8,11,4,7,0,77
20102,5,9,8,11,11,32,15,47,0,137,0,11,7,5,20,39,13,46,3,138,3,17,19,12,8,33,3,55,0,155,8,17,15,5,10,17,10,34,0,113,0,13,12,3,0,10,9,19,0,69,0,17,10,4,0,5,0,9,0,49,0,8,7,0,0,3,0,8,0,30,26,115,98,60,86,204,59,336,12,994,0,0,0,0,0,0,0,0,0,0,0,8,3,4,0,4,4,6,0,27,0,5,4,0,4,8,6,14,0,47,0,12,4,9,4,21,7,12,3,72,0,33,19,9,11,22,7,20,0,126,11,28,18,11,10,20,3,25,5,122,5,27,25,18,7,18,9,31,3,150,9,29,27,15,16,27,11,36,6,173,11,40,17,23,16,20,5,41,0,173,16,44,35,16,7,32,6,35,4,194,3,27,13,10,5,15,8,28,0,118,5,31,7,3,5,7,0,17,3,81
20103,4,8,3,5,8,7,5,30,0,78,0,4,5,3,8,16,8,28,0,82,0,7,4,11,5,4,8,28,0,57,7,8,3,0,3,10,0,37,0,72,4,10,0,9,3,3,3,18,0,51,0,7,6,5,4,0,0,9,3,30,0,0,6,3,0,7,0,3,0,29,17,60,42,45,37,100,29,225,6,565,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,4,0,10,0,5,0,5,3,9,0,8,0,36,3,12,5,5,8,6,3,15,0,50,7,10,3,4,0,19,3,12,0,51,0,3,8,4,8,15,5,9,0,60,7,10,7,7,10,14,6,25,0,88,5,13,8,7,4,10,6,30,0,80,4,16,4,13,8,9,3,35,0,93,9,19,11,13,5,17,11,29,6,113,4,26,13,3,5,13,3,29,0,89,0,12,6,11,4,9,5,12,0,64
20201,7,23,22,26,51,92,34,141,3,391,7,23,32,32,44,76,28,125,3,372,6,22,25,18,32,63,28,121,5,319,12,28,31,16,17,34,23,75,0,240,4,21,12,18,11,27,12,36,6,149,3,16,13,9,6,6,5,11,0,64,3,7,4,3,5,3,0,6,0,36,67,196,212,209,290,532,184,784,30,2504,3,9,0,0,0,0,0,0,0,12,0,15,16,8,9,8,0,11,0,70,8,26,28,17,21,36,11,23,4,176,19,55,30,29,28,41,12,31,5,234,15,57,40,24,22,43,15,39,3,271,12,41,44,20,36,55,15,45,3,269,13,41,42,22,35,57,11,59,3,280,7,41,42,31,26,44,17,55,4,275,13,64,47,24,21,43,17,60,4,291,12,69,39,36,22,41,12,42,0,261,11,61,18,13,12,14,7,26,0,162,5,27,17,6,3,9,0,10,0,82
20202,0,13,11,10,10,48,9,72,0,178,12,27,19,20,27,58,16,84,6,259,3,19,26,17,23,33,11,51,5,194,3,28,24,13,8,24,11,54,3,172,6,25,14,13,7,20,9,36,0,129,0,18,17,9,6,14,3,6,0,75,0,15,3,6,9,5,3,13,0,39,27,175,142,105,128,283,94,436,29,1429,0,0,0,0,0,0,0,0,0,5,0,11,3,0,0,7,0,0,0,32,0,18,5,7,11,11,3,18,0,77,12,33,13,13,8,26,7,22,0,126,10,40,30,25,13,28,5,27,0,183,3,47,31,33,30,51,11,38,0,247,7,59,51,42,27,50,7,47,3,300,3,61,39,30,27,73,11,57,8,310,3,59,54,29,23,38,15,57,0,282,13,74,50,28,22,39,12,27,3,270,11,66,31,23,5,24,4,31,3,199,4,39,26,17,6,8,3,7,0,103
20203,0,5,0,4,3,10,0,23,0,46,0,5,0,3,0,6,0,20,0,34,0,4,3,5,0,0,8,24,0,46,5,0,4,0,5,6,0,27,0,49,0,5,5,7,0,12,0,23,0,44,0,0,3,0,3,0,0,4,0,16,0,0,0,3,0,5,0,0,0,19,14,30,23,18,25,60,17,193,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,5,0,0,0,21,0,0,0,0,0,4,0,14,0,28,3,7,3,0,0,8,0,17,3,44,5,8,7,0,0,3,5,27,0,52,0,3,0,0,5,3,5,20,0,45,5,8,3,4,8,11,4,35,0,84,0,7,6,3,4,16,3,31,0,69,4,6,9,8,4,5,5,44,3,95,0,8,9,9,6,10,9,29,0,66,0,15,11,3,0,9,0,14,0,54
20301,0,7,5,5,8,17,9,41,0,90,0,0,14,3,8,18,6,43,0,92,0,7,9,4,6,19,3,35,0,85,0,7,8,5,3,12,5,22,0,63,0,3,3,0,0,3,0,8,0,24,0,8,3,3,0,7,0,5,0,29,0,0,0,0,0,4,0,0,0,10,8,59,56,41,49,137,30,228,5,603,0,5,0,0,0,0,0,0,0,5,0,11,0,0,0,5,0,0,0,19,0,5,0,4,0,6,0,4,0,28,4,16,9,0,9,9,5,12,0,66,5,11,9,3,5,12,3,12,0,60,0,14,10,4,13,16,6,13,0,77,5,15,7,11,6,17,3,10,3,76,0,23,11,5,17,10,0,20,0,89,0,14,10,6,4,12,0,26,0,77,10,13,13,9,3,16,0,21,0,83,0,19,8,6,9,5,0,9,0,56,3,11,14,4,5,3,0,8,5,55
20302,15,57,77,78,86,219,74,300,7,906,14,65,59,59,72,190,58,301,8,809,15,62,66,46,74,143,47,227,6,692,18,47,61,62,56,96,31,146,3,521,15,61,43,32,39,55,19,74,5,338,14,31,39,13,9,27,8,30,5,178,7,12,13,10,8,15,3,10,0,82,137,520,530,439,631,1305,394,1856,63,5885,0,21,3,4,0,0,0,0,3,27,14,62,32,16,14,25,9,14,3,185,29,85,92,64,41,86,23,54,13,489,38,128,97,75,61,115,33,82,11,638,34,153,109,61,69,116,34,100,11,685,39,120,115,57,57,111,27,95,12,635,30,111,82,79,48,97,42,119,9,619,29,134,81,62,50,130,33,100,10,636,27,123,93,63,51,89,25,97,8,584,27,143,82,69,42,69,38,81,4,545,23,102,43,34,22,29,11,45,3,317,3,64,43,17,5,16,4,19,0,175
20303,6,19,24,28,36,104,28,103,6,363,11,27,40,35,38,90,21,106,7,384,10,42,48,26,36,66,19,93,0,331,21,50,29,28,17,55,9,60,3,276,8,47,39,32,10,30,8,19,4,195,7,22,24,11,19,10,3,12,0,108,5,12,7,4,4,6,0,5,0,48,96,311,296,227,264,601,163,685,36,2684,0,8,0,0,0,0,0,0,0,5,0,15,10,8,11,13,4,4,0,68,7,31,22,15,16,43,13,16,4,157,22,50,44,31,35,63,16,28,0,300,18,70,71,34,29,62,8,29,3,326,14,87,66,46,30,59,13,34,5,352,15,80,64,56,40,80,19,39,5,400,19,89,54,38,32,59,14,41,9,349,20,84,53,35,28,59,8,45,0,320,23,100,50,30,22,32,9,28,5,303,10,94,39,16,6,16,8,16,0,206,7,65,19,14,3,8,0,3,0,119
20401,7,18,15,16,10,48,13,85,0,209,7,18,18,19,17,61,10,113,4,258,8,18,16,14,20,44,24,91,4,226,8,28,27,20,19,44,7,77,0,230,8,18,18,10,10,18,3,47,4,142,3,12,18,7,7,11,0,28,0,85,0,8,4,7,7,13,5,5,0,45,40,164,160,125,145,378,95,589,20,1713,0,8,0,0,0,0,0,0,0,11,0,7,5,0,5,12,3,12,0,37,9,7,11,8,11,26,8,22,0,98,8,23,13,3,18,27,5,33,0,130,11,37,23,20,11,30,11,40,3,191,0,26,29,27,9,28,10,45,8,181,4,38,26,23,15,66,12,44,5,237,12,34,33,17,19,43,23,67,3,250,17,48,28,29,23,34,15,71,0,272,18,45,34,23,24,43,20,55,0,261,13,48,40,34,12,43,10,50,3,254,0,43,24,14,14,30,4,25,6,157
