POW_SA3_CODE_2021,St_Em_NS_35_39_HW_0,St_Em_NS_35_39_HW_1_19,St_Em_NS_35_39_HW_20_29,St_Em_NS_35_39_HW_30_34,St_Em_NS_35_39_HW_35_39,St_Em_NS_35_39_HW_40_44,St_Em_NS_35_39_HW_45_49,St_Em_NS_35_39_HW_50mor,St_Em_NS_35_39_HW_NS,St_Em_NS_35_39_Tot,St_Em_NS_40_44_HW_0,St_Em_NS_40_44_HW_1_19,St_Em_NS_40_44_HW_20_29,St_Em_NS_40_44_HW_30_34,St_Em_NS_40_44_HW_35_39,St_Em_NS_40_44_HW_40_44,St_Em_NS_40_44_HW_45_49,St_Em_NS_40_44_HW_50mor,St_Em_NS_40_44_HW_NS,St_Em_NS_40_44_Tot,St_Em_NS_45_49_HW_0,St_Em_NS_45_49_HW_1_19,St_Em_NS_45_49_HW_20_29,St_Em_NS_45_49_HW_30_34,St_Em_NS_45_49_HW_35_39,St_Em_NS_45_49_HW_40_44,St_Em_NS_45_49_HW_45_49,St_Em_NS_45_49_HW_50mor,St_Em_NS_45_49_HW_NS,St_Em_NS_45_49_Tot,St_Em_NS_50_54_HW_0,St_Em_NS_50_54_HW_1_19,St_Em_NS_50_54_HW_20_29,St_Em_NS_50_54_HW_30_34,St_Em_NS_50_54_HW_35_39,St_Em_NS_50_54_HW_40_44,St_Em_NS_50_54_HW_45_49,St_Em_NS_50_54_HW_50mor,St_Em_NS_50_54_HW_NS,St_Em_NS_50_54_Tot,St_Em_NS_55_59_HW_0,St_Em_NS_55_59_HW_1_19,St_Em_NS_55_59_HW_20_29,St_Em_NS_55_59_HW_30_34,St_Em_NS_55_59_HW_35_39,St_Em_NS_55_59_HW_40_44,St_Em_NS_55_59_HW_45_49,St_Em_NS_55_59_HW_50mor,St_Em_NS_55_59_HW_NS,St_Em_NS_55_59_Tot,St_Em_NS_60_64_HW_0,St_Em_NS_60_64_HW_1_19,St_Em_NS_60_64_HW_20_29,St_Em_NS_60_64_HW_30_34,St_Em_NS_60_64_HW_35_39,St_Em_NS_60_64_HW_40_44,St_Em_NS_60_64_HW_45_49,St_Em_NS_60_64_HW_50mor,St_Em_NS_60_64_HW_NS,St_Em_NS_60_64_Tot,St_Em_NS_65_69_HW_0,St_Em_NS_65_69_HW_1_19,St_Em_NS_65_69_HW_20_29,St_Em_NS_65_69_HW_30_34,St_Em_NS_65_69_HW_35_39,St_Em_NS_65_69_HW_40_44,St_Em_NS_65_69_HW_45_49,St_Em_NS_65_69_HW_50mor,St_Em_NS_65_69_HW_NS,St_Em_NS_65_69_Tot,St_Em_NS_70_74_HW_0,St_Em_NS_70_74_HW_1_19,St_Em_NS_70_74_HW_20_29,St_Em_NS_70_74_HW_30_34,St_Em_NS_70_74_HW_35_39,St_Em_NS_70_74_HW_40_44,St_Em_NS_70_74_HW_45_49,St_Em_NS_70_74_HW_50mor,St_Em_NS_70_74_HW_NS,St_Em_NS_70_74_Tot,St_Em_NS_75ov_HW_0,St_Em_NS_75ov_HW_1_19,St_Em_NS_75ov_HW_20_29,St_Em_NS_75ov_HW_30_34,St_Em_NS_75ov_HW_35_39,St_Em_NS_75ov_HW_40_44,St_Em_NS_75ov_HW_45_49,St_Em_NS_75ov_HW_50mor,St_Em_NS_75ov_HW_NS,St_Em_NS_75ov_Tot,St_Em_NS_Tot_HW_0,St_Em_NS_Tot_HW_1_19,St_Em_NS_Tot_HW_20_29,St_Em_NS_Tot_HW_30_34,St_Em_NS_Tot_HW_35_39,St_Em_NS_Tot_HW_40_44,St_Em_NS_Tot_HW_45_49,St_Em_NS_Tot_HW_50mor,St_Em_NS_Tot_HW_NS,St_Em_NS_Tot_Tot,Tot_15_19_HW_0,Tot_15_19_HW_1_19,Tot_15_19_HW_20_29,Tot_15_19_HW_30_34,Tot_15_19_HW_35_39,Tot_15_19_HW_40_44,Tot_15_19_HW_45_49,Tot_15_19_HW_50mor,Tot_15_19_HW_NS,Tot_15_19_Tot,Tot_20_24_HW_0,Tot_20_24_HW_1_19,Tot_20_24_HW_20_29,Tot_20_24_HW_30_34,Tot_20_24_HW_35_39,Tot_20_24_HW_40_44,Tot_20_24_HW_45_49,Tot_20_24_HW_50mor,Tot_20_24_HW_NS,Tot_20_24_Tot,Tot_25_29_HW_0,Tot_25_29_HW_1_19,Tot_25_29_HW_20_29,Tot_25_29_HW_30_34,Tot_25_29_HW_35_39,Tot_25_29_HW_40_44,Tot_25_29_HW_45_49,Tot_25_29_HW_50mor,Tot_25_29_HW_NS,Tot_25_29_Tot,Tot_30_34_HW_0,Tot_30_34_HW_1_19,Tot_30_34_HW_20_29,Tot_30_34_HW_30_34,Tot_30_34_HW_35_39,Tot_30_34_HW_40_44,Tot_30_34_HW_45_49,Tot_30_34_HW_50mor,Tot_30_34_HW_NS,Tot_30_34_Tot,Tot_35_39_HW_0,Tot_35_39_HW_1_19,Tot_35_39_HW_20_29,Tot_35_39_HW_30_34,Tot_35_39_HW_35_39,Tot_35_39_HW_40_44,Tot_35_39_HW_45_49,Tot_35_39_HW_50mor,Tot_35_39_HW_NS,Tot_35_39_Tot,Tot_40_44_HW_0,Tot_40_44_HW_1_19,Tot_40_44_HW_20_29,Tot_40_44_HW_30_34,Tot_40_44_HW_35_39,Tot_40_44_HW_40_44,Tot_40_44_HW_45_49,Tot_40_44_HW_50mor,Tot_40_44_HW_NS,Tot_40_44_Tot,Tot_45_49_HW_0,Tot_45_49_HW_1_19,Tot_45_49_HW_20_29,Tot_45_49_HW_30_34,Tot_45_49_HW_35_39,Tot_45_49_HW_40_44,Tot_45_49_HW_45_49,Tot_45_49_HW_50mor,Tot_45_49_HW_NS,Tot_45_49_Tot,Tot_50_54_HW_0,Tot_50_54_HW_1_19,Tot_50_54_HW_20_29,Tot_50_54_HW_30_34,Tot_50_54_HW_35_39,Tot_50_54_HW_40_44,Tot_50_54_HW_45_49,Tot_50_54_HW_50mor,Tot_50_54_HW_NS,Tot_50_54_Tot,Tot_55_59_HW_0,Tot_55_59_HW_1_19,Tot_55_59_HW_20_29,Tot_55_59_HW_30_34,Tot_55_59_HW_35_39,Tot_55_59_HW_40_44,Tot_55_59_HW_45_49,Tot_55_59_HW_50mor,Tot_55_59_HW_NS,Tot_55_59_Tot,Tot_60_64_HW_0,Tot_60_64_HW_1_19,Tot_60_64_HW_20_29,Tot_60_64_HW_30_34,Tot_60_64_HW_35_39,Tot_60_64_HW_40_44,Tot_60_64_HW_45_49,Tot_60_64_HW_50mor,Tot_60_64_HW_NS,Tot_60_64_Tot
20101,0,0,3,5,0,3,0,4,11,34,4,3,0,0,3,3,0,4,8,22,3,3,8,0,3,0,0,5,7,31,0,3,3,0,6,9,0,6,9,38,4,5,6,3,6,5,0,0,6,42,0,4,8,5,3,4,0,3,8,45,5,0,7,0,0,0,0,6,5,18,0,5,0,0,0,0,0,4,5,13,5,0,0,0,0,0,0,0,13,16,35,41,38,21,37,40,7,33,90,350,345,2151,351,137,291,241,53,59,70,3690,330,1168,825,463,1154,890,223,211,97,5363,354,665,659,523,1541,1286,353,451,111,5948,419,687,656,493,1268,1176,352,637,87,5778,284,660,817,517,1133,1176,320,625,71,5608,169,545,727,543,1068,1206,377,687,47,5373,157,501,707,577,1186,1254,399,780,66,5627,207,478,635,568,1172,1160,404,746,71,5434,299,545,642,535,1078,931,310,547,59,4943,287,528,605,466,776,621,193,369,46,3889
20102,0,0,5,0,0,4,0,5,0,12,4,0,0,0,0,4,0,0,0,13,0,0,0,6,4,0,3,3,0,20,0,5,5,0,0,0,0,5,3,23,0,0,0,0,0,3,4,3,5,19,0,5,0,0,3,4,6,3,4,16,0,0,0,0,0,3,0,3,0,7,0,4,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,3,9,7,14,22,16,13,12,21,10,28,20,162,71,278,41,9,40,29,8,9,16,492,45,141,73,44,114,110,30,40,13,601,56,104,80,60,127,129,43,77,15,693,48,115,105,63,119,146,39,82,18,732,39,122,107,67,90,156,39,127,19,767,43,124,123,71,113,164,39,148,10,835,41,111,144,85,138,149,55,160,21,891,47,136,133,97,154,174,64,151,22,982,56,173,143,126,125,153,50,189,11,1036,57,187,136,89,83,117,37,126,13,844
20103,0,4,0,0,0,0,0,0,0,9,0,0,0,0,4,3,0,0,0,7,0,0,3,0,0,3,0,0,3,11,0,0,0,4,3,0,3,8,0,16,0,0,0,0,0,0,0,3,0,14,0,0,5,0,3,0,0,0,0,24,0,0,0,5,3,0,0,0,0,20,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,5,10,6,16,14,12,19,14,8,19,17,129,48,217,37,18,40,43,10,3,25,438,18,87,76,46,134,103,31,31,21,542,36,67,55,69,126,130,36,66,16,605,34,94,58,44,108,113,40,79,21,591,30,86,72,60,108,132,31,68,6,601,27,83,70,49,112,139,29,102,15,633,34,83,101,90,162,145,45,121,12,799,32,86,105,83,154,148,57,135,18,824,41,122,88,98,166,161,42,137,15,870,38,107,99,81,100,121,33,129,15,727
20201,4,4,3,0,0,5,0,6,8,27,4,9,9,0,5,0,0,0,0,27,0,3,0,0,0,0,0,9,5,15,0,0,5,4,9,3,0,5,4,33,9,4,5,4,3,9,0,5,6,46,8,3,8,3,0,5,0,0,6,33,3,3,0,0,0,3,0,5,8,21,5,6,4,0,3,0,0,0,5,18,0,3,0,0,4,0,0,0,5,17,35,32,33,18,27,37,4,34,71,297,276,2012,340,125,262,188,40,41,65,3354,258,949,674,441,1022,782,150,233,82,4598,280,544,526,455,1421,1059,286,364,92,5040,402,579,611,479,1173,1016,291,478,73,5103,253,605,749,515,1071,949,279,515,78,5016,163,491,637,522,1050,967,254,543,53,4693,136,405,574,487,1231,991,294,646,56,4828,168,397,566,511,1077,922,307,627,46,4631,258,502,590,467,952,764,261,535,43,4374,264,518,566,400,663,524,156,325,47,3457
20202,0,0,0,0,0,0,4,4,0,10,0,0,3,0,0,3,0,3,0,18,4,7,0,4,0,7,0,6,5,27,0,6,0,4,5,9,0,0,0,21,0,8,6,0,0,4,0,3,3,24,0,4,0,4,3,6,0,9,4,33,0,7,0,6,0,4,0,0,5,21,0,4,4,0,0,6,0,0,4,12,4,4,4,0,0,0,0,0,9,16,16,43,21,27,12,40,9,34,36,235,107,618,74,36,76,84,18,13,31,1054,80,263,173,125,247,274,50,71,41,1322,63,181,144,118,319,401,93,139,25,1477,105,207,170,115,303,344,84,195,22,1549,84,202,217,161,297,356,102,204,24,1647,53,242,227,189,285,385,103,262,26,1784,93,256,266,201,348,440,127,292,35,2058,98,283,274,216,344,445,122,313,39,2135,105,269,287,242,316,365,108,260,33,1985,109,302,274,188,228,296,66,202,19,1679
20203,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,3,0,9,0,7,0,0,0,0,0,3,0,5,3,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,8,4,16,4,10,7,6,7,7,0,21,15,86,14,91,15,3,13,13,0,7,8,169,9,24,24,13,33,50,11,51,5,232,15,30,10,14,48,82,41,85,5,331,22,37,28,21,49,83,22,107,13,377,20,36,29,12,34,81,26,112,13,373,23,30,39,23,45,65,37,166,11,428,11,43,31,23,53,93,34,118,10,416,21,40,41,36,56,93,36,138,19,476,20,44,50,41,49,83,40,139,16,473,24,55,59,31,42,63,26,151,12,451
20301,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,3,6,9,7,9,14,0,9,8,62,20,188,25,17,33,28,4,13,8,339,18,92,63,28,88,82,21,33,4,423,18,43,47,35,58,97,36,48,4,384,15,73,50,38,78,106,33,65,18,473,29,77,68,47,71,101,27,64,10,507,19,71,76,56,76,91,29,86,5,500,19,61,62,48,60,116,24,106,7,501,17,78,62,48,88,94,24,112,15,537,24,84,63,43,56,74,22,93,13,467,15,73,55,37,34,65,12,69,4,358
20302,3,6,11,8,14,7,4,9,18,69,6,7,6,4,11,4,0,18,15,63,3,6,7,3,8,3,3,6,12,52,3,8,4,10,8,16,0,9,10,66,11,4,5,8,11,10,4,8,14,67,0,8,8,0,4,3,0,4,13,51,0,13,4,0,5,4,0,3,7,33,4,3,0,3,0,3,0,0,3,26,3,8,0,0,0,4,0,0,20,39,46,69,49,46,70,89,15,78,161,625,584,3850,527,189,400,337,72,54,78,6082,655,2633,1572,878,2011,1662,330,386,197,10327,620,1369,1330,1028,3151,2789,658,933,250,12123,841,1243,1377,963,2775,2805,700,1193,168,12072,614,1337,1542,1057,2598,2576,719,1277,178,11900,409,1131,1446,1035,2147,2479,670,1316,120,10758,334,1031,1409,1083,2272,2462,797,1479,117,10988,379,978,1242,955,2231,2320,669,1343,138,10261,462,1018,1279,974,1998,1795,570,1124,94,9313,422,1065,1051,736,1283,1153,352,655,77,6804
20303,8,4,0,0,0,0,0,0,0,20,6,9,0,0,0,3,0,9,10,27,0,0,0,4,3,3,4,5,0,25,0,0,0,3,4,6,0,5,0,22,0,7,3,4,0,3,3,0,0,20,0,3,7,0,0,7,0,4,0,31,0,3,0,0,0,0,0,4,7,13,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,9,11,22,44,23,12,21,26,10,33,36,226,309,1379,167,51,89,94,4,9,38,2151,237,728,429,192,414,375,61,57,55,2535,148,340,327,176,525,471,110,123,40,2254,176,360,298,197,461,484,130,192,38,2325,150,430,401,211,409,475,120,276,31,2504,103,388,340,243,405,444,118,297,41,2380,93,317,350,299,410,533,145,301,35,2495,98,343,348,225,388,388,119,306,33,2240,129,372,375,221,341,338,79,254,24,2131,123,458,337,180,229,234,67,172,26,1819
20401,0,0,3,6,3,3,0,5,3,21,7,0,0,0,5,8,0,7,3,33,3,6,0,0,0,5,0,0,5,36,3,0,0,0,0,4,4,6,8,30,4,4,6,5,3,11,0,6,0,33,5,3,4,5,0,4,0,8,0,33,0,6,0,3,0,5,0,9,8,32,0,4,0,0,0,0,0,3,0,14,3,5,0,3,3,0,0,4,8,23,26,44,22,27,23,48,9,37,49,284,157,749,136,58,115,152,47,52,46,1506,121,315,240,133,359,390,111,150,48,1867,101,221,211,154,450,481,128,221,43,2003,156,246,216,168,341,429,127,275,45,1999,118,293,256,180,359,388,131,287,41,2053,74,218,268,189,350,412,120,308,44,1989,66,250,290,231,394,492,138,364,45,2279,115,256,281,233,422,459,132,407,49,2352,161,287,291,225,444,388,128,400,44,2354,149,358,347,212,320,330,83,262,20,2074
